Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Alma,"""premier ministre""",1,ICI.Radio-Canada.ca,Paul St-Pierre Plamondon de passage dans la région,2021-08-17,2,https://ici.radio-canada.ca/nouvelle/1817231/chef-pequiste-visite-saguenay-lac-saint-jean,2021-08-19 17:43:38,national
Alma,"""premier ministre""",2,La Presse,Réplique | Le TGV ne répond pas aux besoins du Canada et des Canadiens,2021-08-16,3,https://www.lapresse.ca/debats/opinions/2021-08-16/replique/le-tgv-ne-repond-pas-aux-besoins-du-canada-et-des-canadiens.php,2021-08-19 17:43:38,national
Alma,"""premier ministre""",3,Journal Le Lac St-Jean,Gilles Brunelle: un chiropraticien au parcours singulier,2021-08-13,6,https://lelacstjean.com/actualite/gilles-brunelle-un-chiropraticien-au-parcours-singulier/,2021-08-19 17:43:38,national
Alma,"""premier ministre""",4,Le Figaro,"Lady Diana, Élizabeth II, Prince Charles... Découvrez les premières photos officielles de la saison 5 de The Crown",2021-08-18,1,https://tvmag.lefigaro.fr/programme-tv/lady-diana-elizabeth-ii-prince-charles-decouvrez-les-premieres-photos-officielles-de-la-saison-5-de-the-crown_39bb097c-fff7-11eb-a959-043d09f94d0e/,2021-08-19 17:43:39,national
Alma,"""premier ministre""",5,Le Quotidien - Groupe Capitales Médias,Recherche et développement à Alma: Québec injecte 20 M$ dans Elysis,2021-04-21,120,https://www.lequotidien.com/actualites/recherche-et-developpement-a-alma-quebec-injecte-20-m-dans-elysis-1264301b78095677a2c73773a290acba,2021-08-19 17:43:39,national
Alma,"""premier ministre""",6,Le Quotidien - Groupe Capitales Médias,L'hôpital d'Alma à nouveau touché par la COVID-19,2021-06-07,73,https://www.lequotidien.com/actualites/covid-19/lhopital-dalma-a-nouveau-touche-par-la-covid-19-0a0121dbaff5909f7db1e043bf4b5ed6,2021-08-19 17:43:39,national
Alma,"""premier ministre""",7,Le Quotidien - Groupe Capitales Médias,"Maison des aînés d'Alma: un déboisement autorisé, mais sous conditions",2021-07-06,44,https://www.lequotidien.com/actualites/maison-des-aines-dalma-un-deboisement-autorise-mais-sous-conditions-aa29f78af29a244ed36c769b0cca9003,2021-08-19 17:43:39,national
Alma,"""premier ministre""",8,Le Quotidien - Groupe Capitales Médias,Les plans extérieurs de la maison des aînés d'Alma dévoilés,2021-07-09,41,https://www.lequotidien.com/actualites/les-plans-exterieurs-de-la-maison-des-aines-dalma-devoiles-c03d023755424917fffc9cb34bc919c6,2021-08-19 17:43:39,national
Alma,"""premier ministre""",9,Le Quotidien - Groupe Capitales Médias,« La grosse nuit'e»: les nouvelles aventures de Gilles débutent à Alma,2021-07-02,48,https://www.lequotidien.com/actualites/-la-grosse-nuite-les-nouvelles-aventures-de-gilles-debutent-a-alma-b3ca36e43b2dcdfa528073661fcddc83,2021-08-19 17:43:39,national
Alma,"""premier ministre""",10,Le Quotidien - Groupe Capitales Médias,Le tracé de l'autoroute 70 à Alma n'est toujours pas déterminé,2021-03-30,142,https://www.lequotidien.com/actualites/le-trace-de-lautoroute-70-a-alma-nest-toujours-pas-determine-e1a28ac40a5b5c6f08c587b40aa69f76,2021-08-19 17:43:39,national
