Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Amos,"""premier ministre""",1,Le Citoyen Val-d'Or - Amos,17 août 2021 Amos abritera un Espace bleu,2021-08-17,2,https://www.lecitoyenvaldoramos.com/article/2021/08/17/amos-abritera-un-espace-bleu,2021-08-19 17:45:27,national
Amos,"""premier ministre""",2,Le Devoir,"Le Vieux-Palais d'Amos, futur Espace bleu",2021-08-17,2,https://www.ledevoir.com/culture/625386/patrimoine-le-vieux-palais-d-amos-futur-espace-bleu,2021-08-19 17:45:27,national
Amos,"""premier ministre""",3,Le Journal de Montréal,La ministre Marguerite Blais en congé maladie,2021-08-17,2,https://www.journaldemontreal.com/2021/08/17/la-ministre-marguerite-blais-en-conge-maladie,2021-08-19 17:45:28,national
Amos,"""premier ministre""",4,La Presse,Le député William Amos quittera la politique fédérale,2021-08-08,11,https://www.lapresse.ca/actualites/politique/2021-08-08/le-depute-william-amos-quittera-la-politique-federale.php,2021-08-19 17:45:28,national
Amos,"""premier ministre""",5,Le Soleil - Groupe Capitales Médias,La ministre des Aînés Marguerite Blais en congé de maladie,2021-08-17,2,https://www.lesoleil.com/actualite/politique/la-ministre-des-aines-marguerite-blais-en-conge-de-maladie-3de02532d2b043223fc5724288c6b41d,2021-08-19 17:45:28,national
Amos,"""premier ministre""",6,iHeartRadio,«On va se fier aux balises du ministère» -François Legault,2021-08-17,2,https://www.iheartradio.ca/energie/energie-rouyn/nouvelles/on-va-se-fier-aux-balises-du-ministere-francois-legault-1.15887554,2021-08-19 17:45:28,national
Amos,"""premier ministre""",7,Le Devoir,Quoi surveiller ce 17 août?,2021-08-17,2,https://www.ledevoir.com/societe/625446/pour-votre-info-quoi-surveiller-aujourd-hui,2021-08-19 17:45:28,national
Amos,"""premier ministre""",8,ICI.Radio-Canada.ca,Des candidats de l'Outaouais prêts à faire campagne | Élections Canada 2021,2021-08-15,4,https://ici.radio-canada.ca/nouvelle/1816772/outaouais-elections-federales-declenchement-candidats,2021-08-19 17:45:29,national
Amos,"""premier ministre""",9,The Times of Israël,"Pour la première fois en trois ans, le cabinet approuve un budget d'État",2021-08-02,17,https://fr.timesofisrael.com/pour-la-premiere-fois-en-trois-ans-le-cabinet-approuve-un-budget-detat/,2021-08-19 17:45:29,national
Amos,"""premier ministre""",10,Le Droit - Groupe Capitales Médias,La maire adjointe d'Ottawa devient candidate libérale fédérale,2021-08-09,10,https://www.ledroit.com/actualites/politique/la-maire-adjointe-dottawa-devient-candidate-liberale-federale-ccc99de547ba809309ad25f459eb0156,2021-08-19 17:45:29,national
Amos,"""premier ministre""",11,Le Droit - Groupe Capitales Médias,Le député Will Amos «nu» lors de la période de questions à Ottawa,2021-04-14,127,https://www.ledroit.com/actualites/le-depute-will-amos-nu-lors-de-la-periode-de-questions-a-ottawa-fba299fc5f3807b71753a2768f4adde6,2021-08-19 17:45:29,national
Amos,"""premier ministre""",12,La Presse,Vu en train d'uriner lors d'une séance virtuelle | Le député libéral William Amos de nouveau dans l'embarras,2021-05-27,84,https://www.lapresse.ca/actualites/politique/2021-05-27/vu-en-train-d-uriner-lors-d-une-seance-virtuelle/le-depute-liberal-william-amos-de-nouveau-dans-l-embarras.php,2021-08-19 17:45:29,national
Amos,"""premier ministre""",13,ICI.Radio-Canada.ca,Des sections de la route 395 seront asphaltées cet été,2021-06-07,73,https://ici.radio-canada.ca/nouvelle/1799531/route-mtq-amos-preissac-sainte-gertrude-manneville,2021-08-19 17:45:29,national
Amos,"""premier ministre""",14,ICI.Radio-Canada.ca,Québec investit 5 millions de dollars dans la cathédrale d'Amos,2021-03-15,157,https://ici.radio-canada.ca/nouvelle/1777394/suzanne-blais-cathedrale-saine-therese-d-avila-conservation-travaux,2021-08-19 17:45:30,national
Amos,"""premier ministre""",15,ICI.Radio-Canada.ca,Une manifestation « pour toutes les personnes qui ont perdu la vie sur la route 109 »,2021-05-17,94,https://ici.radio-canada.ca/nouvelle/1793748/manifestation-route-109-amos-pikogan,2021-08-19 17:45:30,national
Amos,"""premier ministre""",16,Le Droit - Groupe Capitales Médias,Chambre des communes: William Amos blâmé pour le «deuxième incident»,2021-06-08,72,https://www.ledroit.com/actualites/politique/chambre-des-communes-william-amos-blame-pour-le-deuxieme-incident-ca0ca3ca26b7089d40041c30964f0b13,2021-08-19 17:45:30,national
Amos,"""premier ministre""",17,La Presse,Résolu ferme ses usines d'Amos et de Baie-Comeau,2021-04-30,111,https://www.lapresse.ca/affaires/entreprises/2021-04-30/resolu-ferme-ses-usines-d-amos-et-de-baie-comeau.php,2021-08-19 17:45:30,national
