Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Chibougamau,"""premier ministre""",1,La Sentinelle et le Jamésien,Logements : le premier ministre fait une annonce à Chibougamau,2021-08-16,3,https://www.lasentinelle.ca/logements-le-premier-ministre-fait-une-annonce-a-chibougamau/,2021-08-19 18:09:17,national
Chibougamau,"""premier ministre""",2,Le Journal de Québec,Québec financera des maisons à 350 000$ dans le nord,2021-08-16,3,https://www.journaldequebec.com/2021/08/16/quebec-financera-des-maisons-a-350000--dans-le-nord,2021-08-19 18:09:18,national
Chibougamau,"""premier ministre""",3,TVA Nouvelles,Québec financera des maisons à 350 000 $ dans le nord,2021-08-16,3,https://www.tvanouvelles.ca/2021/08/16/quebec-financera-des-maisons-a-350-000--dans-le-nord,2021-08-19 18:09:18,national
Chibougamau,"""premier ministre""",4,Le Devoir,Legault revient à la charge sur les transferts en santé,2021-08-16,3,https://www.ledevoir.com/societe/sante/625290/legault-revient-a-la-charge-sur-les-transferts-en-sante,2021-08-19 18:09:18,national
Chibougamau,"""premier ministre""",5,Le Soleil - Groupe Capitales Médias,Legault veut peupler le nord du Québec | Politique | Actualités,2021-08-16,3,https://www.lesoleil.com/actualite/politique/legault-veut-peupler-le-nord-du-quebec-26aeb165d019983767561e7f211180b5,2021-08-19 18:09:18,national
Chibougamau,"""premier ministre""",6,Le Journal de Québec,Changement d'image pour le chef du Parti conservateur,2021-08-16,3,https://www.journaldequebec.com/2021/08/16/otoole-promet-1-million-demplois-dans-sa-plateforme-electorale,2021-08-19 18:09:18,national
Chibougamau,"""premier ministre""",7,Radio-Canada.ca,"« On va faire notre part » pour accueillir des réfugiés afghans, assure Legault",2021-08-16,3,https://ici.radio-canada.ca/nouvelle/1817084/talibans-kaboul-femmes-refugies-immigration-afghanistan,2021-08-19 18:09:18,national
Chibougamau,"""premier ministre""",8,La Presse,"Accueil de réfugiés afghans | Le Québec « prêt à faire sa part », assure Legault",2021-08-16,3,https://www.lapresse.ca/actualites/politique/2021-08-16/accueil-de-refugies-afghans/le-quebec-pret-a-faire-sa-part-assure-legault.php,2021-08-19 18:09:19,national
Chibougamau,"""premier ministre""",9,ICI.Radio-Canada.ca,Les travailleurs de la santé du Québec devront obligatoirement se faire vacciner | Coronavirus,2021-08-17,2,https://ici.radio-canada.ca/amp/1817256/legault-lutte-covid-4-vague-tournee-region,2021-08-19 18:09:19,national
Chibougamau,"""premier ministre""",10,iHeartRadio,COVID-19: Vaccination obligatoire pour les travailleurs de la santé,2021-08-16,3,https://www.iheartradio.ca/energie/energie-montreal/nouvelles/covid-19-vaccination-obligatoire-pour-les-travailleurs-de-la-sante-1.15878177,2021-08-19 18:09:19,national
Chibougamau,"""premier ministre""",11,Le Soleil - Groupe Capitales Médias,"Québec va accueillir des Afghans, mais pas avant quelques semaines",2021-08-17,2,https://www.lesoleil.com/actualite/quebec-va-accueillir-des-afghans-mais-pas-avant-quelques-semaines-6ee44a78f678d63cd6dd71a1ee822e7d,2021-08-19 18:09:19,national
Chibougamau,"""premier ministre""",12,La Tribune - Groupe Capitales Médias,Le Québec recevra des réfugiés afghans | Actualités,2021-08-19,0,https://www.latribune.ca/actualites/le-quebec-recevra-des-refugies-afghans-52873435b51be0dbef64ff0b8242d3bc,2021-08-19 18:09:19,national
Chibougamau,"""premier ministre""",13,iHeartRadio,COVID-19 : Tout ce qu'il faut savoir ce mardi 17 août,2021-08-17,2,https://www.iheartradio.ca/energie/energie-montreal/nouvelles/covid-19-tout-ce-qu-il-faut-savoir-ce-mardi-17-aout-1.15874683,2021-08-19 18:09:20,national
Chibougamau,"""premier ministre""",14,La Tribune - Groupe Capitales Médias,Legault suspend sa tournée des régions pour se concentrer sur la quatrième vague de COVID-19,2021-08-17,2,https://www.latribune.ca/covid-19/legault-suspend-sa-tournee-des-regions-pour-se-concentrer-sur-la-quatrieme-vague-de-covid-19-16b516abaac1be0c30f8b1ededc5028b,2021-08-19 18:09:20,national
Chibougamau,"""premier ministre""",15,La Sentinelle et le Jamésien,Un Chibougamois accusé d'avoir menacé le premier ministre,2021-03-10,162,https://www.lasentinelle.ca/menace-de-mort-envers-le-pm-un-chibougamois-devant-la-justice/,2021-08-19 18:09:20,national
Chibougamau,"""premier ministre""",16,La Sentinelle et le Jamésien,Taxi Co-op Chibougamau cessera ses activités,2021-04-02,139,https://www.lasentinelle.ca/taxi-co-op-chibougamau-cessera-ses-activites/,2021-08-19 18:09:20,national
Chibougamau,"""premier ministre""",17,La Sentinelle et le Jamésien,Un nouveau cas de Covid à Chibougamau-Chapais,2021-03-15,157,https://www.lasentinelle.ca/un-nouveau-cas-de-covid-a-chibougamau-chapais/,2021-08-19 18:09:21,national
Chibougamau,"""premier ministre""",18,Le Quotidien - Groupe Capitales Médias,Deux lynx s'offrent en spectacle sur la 167 près de Chibougamau [VIDÉO],2020-11-07,285,https://www.lequotidien.com/actualites/deux-lynx-soffrent-en-spectacle-sur-la-167-pres-de-chibougamau-video-80c1dba774ab8e6dc2aafa63ab264271,2021-08-19 18:09:21,national
Chibougamau,"""premier ministre""",19,La Sentinelle et le Jamésien,Mines 500 000$ pour Doré Copper,2021-07-08,42,https://www.lasentinelle.ca/500-000-pour-dore-copper/,2021-08-19 18:09:21,national
Chibougamau,"""premier ministre""",20,La Sentinelle et le Jamésien,Feu vert pour Maheux-Cree,2021-03-13,159,https://www.lasentinelle.ca/feu-vert-pour-maheux-cree/,2021-08-19 18:09:21,national
Chibougamau,"""premier ministre""",21,La Sentinelle et le Jamésien,BlackRock : Où s'en va le projet ?,2020-11-13,279,https://www.lasentinelle.ca/blackrock-ou-sen-va-le-projet/,2021-08-19 18:09:21,national
Chibougamau,"""premier ministre""",22,La Sentinelle et le Jamésien,Les nouvelles mesures ne s'appliquent pas pour le Nord-du-Québec,2021-01-06,225,https://www.lasentinelle.ca/un-confinement-plus-strict-pendant-un-mois/,2021-08-19 18:09:21,national
Chibougamau,"""premier ministre""",23,La Sentinelle et le Jamésien,Un météorite aurait été vu à Chibougamau?,2021-04-20,121,https://www.lasentinelle.ca/un-meteorite-aurait-ete-vu-a-chibougamau/,2021-08-19 18:09:22,national
Chibougamau,"""premier ministre""",24,La Sentinelle et le Jamésien,Le Nord-du-Québec passera en zone orange,2021-02-02,198,https://www.lasentinelle.ca/le-nord-du-quebec-passera-en-zone-orange/,2021-08-19 18:09:22,national
Chibougamau,"""premier ministre""",25,La Sentinelle et le Jamésien,"Cet été, ma région, MA destination!",2021-05-18,93,https://www.lasentinelle.ca/cet-ete-ma-region-ma-destination/,2021-08-19 18:09:22,national
Chibougamau,climat,1,La Presse,Nouveau rapport du GIEC sur le climat | Un réchauffement « plus important » au Québec,2021-08-09,10,https://www.lapresse.ca/actualites/environnement/2021-08-09/nouveau-rapport-du-giec-sur-le-climat/un-rechauffement-plus-important-au-quebec.php,2021-08-19 18:09:57,national
Chibougamau,climat,2,Radio-Canada.ca,Les Cris d'Oujé-Bougoumou au cœur de la restauration d'un site minier,2021-07-25,25,https://ici.radio-canada.ca/nouvelle/1811049/restauration-nettoyage-sites-miniers-desaffectes,2021-08-19 18:09:57,national
Chibougamau,climat,3,ICI.Radio-Canada.ca,Le Québec aura un été des Indiens historique en 2020,2020-11-05,287,https://ici.radio-canada.ca/nouvelle/1746881/meteo-ete-des-indiens-quebec-2020-historique-redoux-gel,2021-08-19 18:09:57,national
Chibougamau,climat,4,Radio-Canada.ca,Une tique menace l'abondance des orignaux dans l'est du Canada,2021-02-21,179,https://ici.radio-canada.ca/nouvelle/1771557/tique-hiver-orignaux-etude-dussault,2021-08-19 18:09:57,national
Chibougamau,climat,5,Le Journal de Montréal,Le roi des forêts du Québec est menacé par une tique,2021-04-10,131,https://www.journaldemontreal.com/2021/04/10/le-roi-des-forets-du-quebec-est-menace,2021-08-19 18:09:57,national
