Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Drummondville,accident,1,VINGT 55 Média web,Un malaise en cause dans un accident sur l'autoroute 20 à Drummondville,2021-07-31,19,https://vingt55.ca/un-malaise-en-cause-dans-un-accident-sur-lautoroute-20-a-drummondville/,2021-08-19 12:00:10,local
Drummondville,accident,2,VINGT 55 Média web,"Quatre motocyclistes perdent la vie au Centre-du-Québec, dont un Drummondvillois",2021-08-16,3,https://vingt55.ca/quatre-motocyclistes-perdent-la-vie-au-centre-du-quebec-dont-un-drummondvillois/,2021-08-19 12:00:11,local
Drummondville,accident,3,VINGT 55 Média web,Accident – Lourd bilan impliquant des motocyclettes sur les routes du Centre-du-Québec,2021-08-16,3,https://vingt55.ca/accident-lourd-bilan-impliquant-des-motocyclettes-sur-les-routes-du-centre-du-quebec/,2021-08-19 12:00:11,local
Drummondville,accident,4,VINGT 55 Média web,Accident nautique – Un jeune homme gravement blessé par une hélice de bateau,2021-08-13,6,https://vingt55.ca/accident-nautique-un-jeune-homme-gravement-blesse-par-une-helice-de-bateau/,2021-08-19 12:00:11,local
Drummondville,accident,5,VINGT 55 Média web,Un camion lourd emboutit un camion atténuateur d'impact sur l'autoroute 20,2021-08-06,13,https://vingt55.ca/un-camion-lourd-emboutit-un-camion-attenuateur-dimpact-sur-lautoroute-20/,2021-08-19 12:00:11,local
Drummondville,accident,6,L'Express - Drummondville,La circulation au ralenti sur la 20 - L'Express,2021-07-31,19,https://www.journalexpress.ca/2021/07/31/la-circulation-au-ralenti-sur-la-20-2/,2021-08-19 12:00:11,local
Drummondville,accident,7,VINGT 55 Média web,Camionneur retrouvé sans vie à Sainte-Brigitte-des-Saults : le coroner ouvre une enquête,2021-08-14,5,https://vingt55.ca/centre-du-quebec-camionneur-retrouve-sans-vie-a-sainte-brigitte-des-saults-le-coroner-ouvre-une-enquete/,2021-08-19 12:00:12,local
Drummondville,accident,8,VINGT 55 Média web,Deux travailleurs blessés dans une zone de travaux sur l'autoroute 20 près de Drummondville,2021-04-08,133,https://vingt55.ca/deux-travailleurs-blesses-dans-une-zone-de-travaux-sur-lautoroute-20-pres-de-drummondville/,2021-08-19 12:00:12,local
Drummondville,accident,9,VINGT 55 Média web,"Accident tragique pour 5 adolescents, un jeune de 17 ans perd la vie à Drummondville",2021-06-12,68,https://vingt55.ca/accident-tragique-pour-5-adolescents-un-jeune-de-17-ans-perd-la-vie-a-drummondville/,2021-08-19 12:00:12,local
Drummondville,accident,10,VINGT 55 Média web,Quelques sorties de route dont un avec blessé sur le territoire de la MRC de Drummond,2021-07-24,26,https://vingt55.ca/quelques-sorties-de-route-dont-un-avec-blesse-sur-le-territoire-de-la-mrc-de-drummond/,2021-08-19 12:00:12,local
Drummondville,accident,11,Le Journal de Montréal,Sécurité routière: un premier accident lui avait déjà fait peur,2021-08-07,12,https://www.journaldemontreal.com/2021/08/07/securite-routiere-un-premier-accident-lui-avait-deja-fait-peur,2021-08-19 12:00:13,local
Drummondville,accident,12,VINGT 55 Média web,Cinq personnes blessées dans un face à face sur la 255 près de Drummondville,2021-06-29,51,https://vingt55.ca/cinq-personnes-blessees-dans-un-face-a-face-sur-la-255-pres-de-drummondville/,2021-08-19 12:00:13,local
