Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Laval,élection OR campagne,1,Courrier Laval,Parti Laval complète son équipe dans Chomedey,2021-08-18,1,https://courrierlaval.com/parti-laval-complete-son-equipe-dans-chomedey/,2021-08-19 13:54:12,mixte
Laval,élection OR campagne,2,Courrier Laval,Laval donne 20 000$ pour aider en Haïti,2021-08-19,0,https://courrierlaval.com/laval-donne-20-000-pour-aider-en-haiti/,2021-08-19 13:54:12,mixte
Laval,élection OR campagne,3,Courrier Laval,Pierre Anthian dévoile ses premiers candidats,2021-08-13,6,https://courrierlaval.com/pierre-anthian-devoile-ses-premiers-candidats/,2021-08-19 13:54:13,mixte
Laval,élection OR campagne,4,Journal Accès,Outils non-partisans pour suivre la campagne - Accès Laurentides,2021-08-17,2,https://www.journalacces.ca/outils-non-partisans-pour-suivre-la-campagne/,2021-08-19 13:54:13,mixte
Laval,élection OR campagne,5,Courrier Laval,Le Collège Montmorency accueille une clinique de vaccination mobile,2021-08-18,1,https://courrierlaval.com/le-college-montmorency-accueille-une-clinique-de-vaccination-mobile/,2021-08-19 13:54:13,mixte
Laval,élection OR campagne,6,Le Journal de Montréal,Élections fédérales: des chefs qui devront se démarquer,2021-08-14,5,https://www.journaldemontreal.com/2021/08/14/elections-federales-qui-sont-les-chefs,2021-08-19 13:54:13,mixte
Laval,élection OR campagne,7,Courrier Laval,Laval affiche le plus haut taux d'infection au Québec,2021-08-16,3,https://courrierlaval.com/laval-affiche-le-plus-haut-taux-dinfection-au-quebec/,2021-08-19 13:54:13,mixte
Laval,élection OR campagne,8,Le Devoir,La recharge des véhicules électriques dans la joute électorale,2021-08-19,0,https://www.ledevoir.com/societe/environnement/625863/elections-municipales-la-recharge-des-vehicules-electriques-dans-la-joute-electorale,2021-08-19 13:54:13,mixte
Laval,élection OR campagne,9,Radio-Canada.ca,436 nouveaux cas de COVID-19 et aucun nouveau décès au Québec | Coronavirus,2021-08-19,0,https://ici.radio-canada.ca/nouvelle/1817773/bilan-covid-quebec-19-aout-2021,2021-08-19 13:54:14,mixte
Laval,élection OR campagne,10,Le Journal de Québec,Environ 4000 spectateurs pour les matchs du Vert &amp; Or,2021-08-17,2,https://www.journaldequebec.com/2021/08/17/environ-4000-spectateurs-pour-les-matchs-du-vert--or-1,2021-08-19 13:54:14,mixte
Laval,élection OR campagne,11,La Presse,Vague de reconnaissance | La Presse - La Presse,2021-08-02,17,https://www.lapresse.ca/actualites/chroniques/2021-08-02/vague-de-reconnaissance.php,2021-08-19 13:54:14,mixte
Laval,élection OR campagne,12,Le Soleil - Groupe Capitales Médias,Retards dans les chirurgies: la Capitale-Nationale ne fait pas bonne figure,2021-08-19,0,https://www.lesoleil.com/actualite/retards-dans-les-chirurgies-la-capitale-nationale-ne-fait-pas-bonne-figure-c3493858f509ad1744f364ecc25d939b,2021-08-19 13:54:14,mixte
Laval,élection OR campagne,13,Canadiens.com,Jean-François Houle nommé entraîneur-chef du Rocket de Laval,2021-07-20,30,https://www.nhl.com/fr/canadiens/news/jean-francois-houle-nomme-entraineur-chef-du-rocket-de-laval/c-325699202,2021-08-19 13:54:14,mixte
Laval,élection OR campagne,14,Le Soleil - Groupe Capitales Médias,Nathanielle Morin: plus qu'une candidate trans | Élections fédérales | Actualités,2021-08-19,0,https://www.lesoleil.com/actualite/les-elections-federales/nathanielle-morin-plus-quune-candidate-trans-0711076475a7f78e4c7bb9629a82b297,2021-08-19 13:54:15,mixte
