Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Longueuil,accident,1,Le Journal de Québec,Longueuil: un accident de voiture force la fermeture de la route 132,2021-07-26,24,https://www.journaldequebec.com/2021/07/26/longueuil-un-accident-de-voiture-force-la-fermeture-de-la-route-132-1,2021-08-19 08:00:12,local
Longueuil,accident,2,Le Journal de Québec,Deux morts et un blessé dans un accident majeur à Saint-Gédéon,2021-08-16,3,https://www.journaldequebec.com/2021/08/16/trois-blesses-dans-un-accident-majeur-a-saint-gedeon-1,2021-08-19 08:00:13,local
Longueuil,accident,3,TVA Nouvelles,Opération nettoyage en cours après le déversement de 24 000 litres de soude caustique,2021-08-18,1,https://www.tvanouvelles.ca/2021/08/17/operation-nettoyage-en-cours-apres-le-deversement-de-24-000-litres-de-soude-caustique,2021-08-19 08:00:13,local
Longueuil,accident,4,Le Journal de Montréal,Au moins 31 morts en moto: été noir sur nos routes,2021-08-17,2,https://www.journaldemontreal.com/2021/08/17/au-moins-31-morts-en-moto-ete-noir-sur-nos-routes,2021-08-19 08:00:13,local
Longueuil,accident,5,Les 2 Rives,Un homme de 18 ans blessé grièvement après...,2021-08-05,14,https://www.les2rives.com/un-homme-de-18-ans-blesse-gravement-apres-une-collision-sur-le-boulevard-fiset/,2021-08-19 08:00:13,local
Longueuil,accident,6,Zone911,"24H - Plusieurs événements : Enfant retrouvé sur le trottoir, un autre inanimé dans une piscine, accidents, coups de feu.",2021-08-03,16,https://zone911.com/divers/31211-24h-plusieurs-evenements-enfant-retrouve-sur-le-trottoir-un-autre-inanime-dans-une-piscine-accidents-coups-de-feu,2021-08-19 08:00:14,local
Longueuil,accident,7,Le Soleil - Groupe Capitales Médias,Un Trifluvien dans un état critique loin de chez lui,2021-08-10,9,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/un-trifluvien-dans-un-etat-critique-loin-de-chez-lui-f346c0b0d7cc9ede1f7ad68669a2ac54,2021-08-19 08:00:14,local
Longueuil,accident,8,Le Journal de Montréal,Spectaculaire accident sur la route 132 en pleine heure de pointe,2021-06-18,62,https://www.journaldemontreal.com/2021/06/18/spectaculaire-accident-sur-la-route-132-en-pleine-heure-de-pointe,2021-08-19 08:00:14,local
Longueuil,accident,9,TVA Nouvelles,Un automobiliste de 22 ans perd la vie à Longueuil,2021-07-17,33,https://www.tvanouvelles.ca/2021/07/17/un-automobiliste-de-22-ans-perd-la-vie-a-longueuil-1,2021-08-19 08:00:15,local
Longueuil,accident,10,Le Journal de Montréal,Longueuil: l'homme roulant en sens inverse sur l'A-25 arrêté,2021-01-18,213,https://www.journaldemontreal.com/2021/01/17/pont-tunnel-louis-hippolyte-la-fontaine-ferme-en-raison-dun-accident-1,2021-08-19 08:00:15,local
Longueuil,accident,11,NecrologieCanada,DION Jean-François 1979 2021,2021-07-30,20,https://necrocanada.com/deces-2021/dion-jean-francois-1979-2021/,2021-08-19 08:00:15,local
Longueuil,accident,12,Le Journal de Montréal,Accident au centre-ville de Montréal: un motocycliste perd la vie,2021-05-12,99,https://www.journaldemontreal.com/2021/05/12/accident-au-centre-ville-de-montreal-un-motocycliste-dans-un-etat-tres-critique,2021-08-19 08:00:15,local
Longueuil,accident,13,Le Journal de Montréal,Longueuil : une femme d'une vingtaine d'années a frôlé la mort après avoir frappé un muret,2021-06-05,75,https://www.journaldemontreal.com/2021/06/05/longueuil--une-femme-dune-vingtaine-dannees-a-frole-la-mort-apres-avoir-frappe-un-muret,2021-08-19 08:00:15,local
Longueuil,accident,14,La Presse,Une femme happée sur le boulevard Taschereau à Longueuil,2021-05-11,100,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-11/une-femme-happee-sur-le-boulevard-taschereau-a-longueuil.php,2021-08-19 08:00:16,local
Longueuil,accident,15,Le Courrier du Sud,PHOTOS ET VIDÉOS – Un piéton gravement blessé dans une collision à Le Moyne,2021-04-13,128,https://www.lecourrierdusud.ca/photos-et-videos-un-pieton-gravement-blesse-dans-une-collision-a-le-moyne/,2021-08-19 08:00:16,local
Longueuil,accident,16,TVA Nouvelles,EN IMAGES | Un deuxième accident en moins de 24 heures à Boucherville,2021-06-05,75,https://www.tvanouvelles.ca/2021/06/05/en-images--un-deuxieme-accident-en-moins-de-24-heures-a-boucherville,2021-08-19 08:00:16,local
Longueuil,accident,17,La Presse,Montréal | Un homme blessé dans un accident sur l'autoroute 40,2021-02-14,186,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-02-14/montreal/un-homme-blesse-dans-un-accident-sur-l-autoroute-40.php,2021-08-19 08:00:16,local
Longueuil,accident,18,La Presse,Tunnel Louis-Hippolyte-La Fontaine | Un accident cause une importante congestion,2021-05-25,86,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-25/tunnel-louis-hippolyte-la-fontaine/un-accident-cause-une-importante-congestion.php,2021-08-19 08:00:16,local
Longueuil,accident,19,Le Journal de Montréal,Longueuil: un poids lourd chargé de neige se renverse,2021-01-18,213,https://www.journaldemontreal.com/2021/01/18/longueuil-un-poids-lourd-charge-de-neige-se-renverse,2021-08-19 08:00:16,local
Longueuil,accident,20,Zone911,Mort suspecte dans un parc de Longueuil - Actualités,2021-01-30,201,https://zone911.com/scenes-policieres/30370-mort-suspecte-dans-un-parc-de-longueuil,2021-08-19 08:00:17,local
Longueuil,accident,21,La Presse,Un couple périt dans un accident de moto à Boucherville,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-08-08/un-couple-perit-dans-un-accident-de-moto-a-boucherville.php,2021-08-19 08:00:17,local
Longueuil,accident,22,Le Journal de Montréal,Un motocycliste de 60 ans gravement blessé sur l'A-30,2021-05-02,109,https://www.journaldemontreal.com/2021/05/02/un-motocycliste-de-60-ans-gravement-blesse-sur-la-30,2021-08-19 08:00:17,local
