Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Mirabel,accident,1,La Tribune - Groupe Capitales Médias,Accident majeur à Mirabel: un conducteur est dans un état critique,2021-03-30,142,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/accident-majeur-a-mirabel-un-conducteur-est-dans-un-etat-critique-c46d9b8c2005d44c805b44157bc77964,2021-08-19 08:25:25,local
Mirabel,accident,2,iHeartRadio,Un jeune homme perd la vie dans un violent accident sur l'A15 à Mirabel,2020-12-30,232,https://www.iheartradio.ca/energie/energie-montreal/nouvelles/un-jeune-homme-perd-la-vie-dans-un-violent-accident-sur-l-a15-a-mirabel-1.14266704,2021-08-19 08:25:25,local
Mirabel,accident,3,Le Journal de Montréal,[IMAGES] Mirabel: un poids lourd percute un viaduc avec son chargement,2021-07-01,49,https://www.journaldemontreal.com/2021/07/01/images-mirabel-un-poids-lourd-percute-un-viaduc-avec-son-chargement,2021-08-19 08:25:25,local
Mirabel,accident,4,Le Journal de Montréal,Décès d'un motocycliste au circuit ICAR de Mirabel,2021-06-18,62,https://www.journaldemontreal.com/2021/06/18/deces-dun-motocycliste-au-circuit-icar-de-mirabel-1,2021-08-19 08:25:25,local
Mirabel,accident,5,Le Journal de Montréal,Un mort et 4 blessés lors d'une collision mortelle sur l'autoroute 50 à Mirabel,2020-10-02,321,https://www.journaldemontreal.com/2020/10/02/un-mort-et-4-blesses-lors-dune-collision-mortelle-sur-lautoroute-50-a-mirabel-1,2021-08-19 08:25:26,local
Mirabel,accident,6,Journal Le Nord,Sport Il termine 12e au Grand Prix de Trois-Rivières,2021-08-17,2,https://www.journallenord.com/il-termine-12e-au-grand-prix-de-trois-rivieres/,2021-08-19 08:25:26,local
Mirabel,accident,7,Zone911,Incendie majeur dans un immeuble à condos à Mirabel,2021-07-02,48,https://zone911.com/incendies/31075-incendie-majeur-dans-un-immeuble-a-condos-a-mirabel,2021-08-19 08:25:26,local
Mirabel,accident,8,Le Journal de Montréal,Mirabel: un automobiliste meurt dans une violente sortie de route,2021-05-13,98,https://www.journaldemontreal.com/2021/05/13/mirabel-un-automobiliste-meurt-dans-une-violente-sortie-de-route,2021-08-19 08:25:26,local
Mirabel,accident,9,TopoLocal,La route 158 fermée deux heures après un accident,,,https://www.topolocal.ca/2020/03/09/la-route-158-fermee-deux-heures-apres-un-accident/,2021-08-19 08:25:26,local
Mirabel,accident,10,Le Journal de Montréal,Mirabel: un violent accident de la route coûte la vie à un homme de 21 ans,,,https://www.journaldemontreal.com/2019/02/21/mirabel-un-mort-et-deux-blesses-dans-un-violent-accident-de-la-route,2021-08-19 08:25:27,local
Mirabel,accident,11,La Presse,Mirabel | Déversement de matière fécale sur l'A15,2020-11-10,282,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-11-10/mirabel/deversement-de-matiere-fecale-sur-l-a15.php,2021-08-19 08:25:27,local
Mirabel,accident,12,France Bleu,Drôme : un homme de 45 ans meurt dans un accident de voiture à Mirabel-aux-Baronnies,2020-08-29,355,https://www.francebleu.fr/infos/faits-divers-justice/drome-un-homme-de-45-ans-meurt-dans-un-accident-de-voiture-a-mirabel-aux-baronnies-1598678121,2021-08-19 08:25:27,local
Mirabel,accident,13,Zone911,Incendie majeur dans un immeuble à condos de Mirabel,2021-01-28,203,https://zone911.com/incendies/30364-incendie-majeur-dans-un-immeuble-a-condos-de-mirabel,2021-08-19 08:25:28,local
Mirabel,accident,14,TopoLocal,"Un véhicule de la police impliqué dans un accident, coin Labelle et Lajeunesse à Saint-Jérôme",2021-06-12,68,https://www.topolocal.ca/2021/06/12/un-vehicule-de-la-police-implique-dans-un-accident-coin-labelle-et-lajeunesse-a-saint-jerome/,2021-08-19 08:25:28,local
Mirabel,accident,15,Moto Journal,Le circuit ICAR ferme ses portes à la moto – Moto Journal,2021-06-21,59,https://www.motojournalweb.com/2021/06/21/le-circuit-icar-ferme-ses-portes-a-la-moto/,2021-08-19 08:25:28,local
Mirabel,accident,16,TVA Nouvelles,Un blessé grave dans un accident à Mirabel,,,https://www.tvanouvelles.ca/2017/05/26/un-blesse-grave-dans-un-accident-a-mirabel,2021-08-19 08:25:28,local
Mirabel,accident,17,Le Journal de Québec,Bilan routier: un des temps des Fêtes les moins meurtriers,2021-01-04,227,https://www.journaldequebec.com/2021/01/04/un-des-temps-des-fetes-les-moins-meurtriers,2021-08-19 08:25:29,local
Mirabel,accident,18,Journal Accès,Trottoir à Sainte-Adèle - Accès Laurentides,2021-06-28,52,https://www.journalacces.ca/trottoir-a-sainte-adele/,2021-08-19 08:25:29,local
Mirabel,accident,19,LaDepeche.fr,Lot : un jeune de 17 ans blessé à vélo,2021-06-21,59,https://www.ladepeche.fr/2021/06/21/lot-un-jeune-de-17-ans-a-scooter-grievement-blesse-9621318.php,2021-08-19 08:25:29,local
Mirabel,accident,20,Le Droit - Groupe Capitales Médias,Autre décès sur la 50: la thèse du geste volontaire étudiée,2020-12-28,234,https://www.ledroit.com/actualites/justice-et-faits-divers/autre-deces-sur-la-50-la-these-du-geste-volontaire-etudiee-8f1944e9f4e169cb1a6906ff4ee75672,2021-08-19 08:25:30,local
Mirabel,accident,21,TVA Nouvelles,Un automobiliste meurt dans une violente sortie de route à Mirabel,2021-05-13,98,https://www.tvanouvelles.ca/2021/05/13/un-automobiliste-meurt-dans-une-violente-sortie-de-route-a-mirabel,2021-08-19 08:25:30,local
Mirabel,accident,22,Le Soleil - Groupe Capitales Médias,Un homme perd la vie sur l'autoroute 15 à Mirabel,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-homme-perd-la-vie-sur-lautoroute-15-a-mirabel-aeb6989f12beffe3ee568b1a22600d1d,2021-08-19 08:25:30,local
Mirabel,accident,23,Zone911,Voici toutes les publications du 2 juillet sur ZONE911,2021-07-02,48,https://zone911.com/divers/31076-voici-toutes-les-publications-du-2-juillet-sur-zone911,2021-08-19 08:25:30,local
Mirabel,accident,24,ICI.Radio-Canada.ca,Accident sur l'autoroute 50 : deux personnes grièvement blessées,2020-10-03,320,https://ici.radio-canada.ca/nouvelle/1738441/autoroute-50-accident-blessures-graves-lochaber-outaouais,2021-08-19 08:25:31,local
Mirabel,accident,25,TVA Nouvelles,Près de 200 vaches périssent dans l'incendie d'une ferme,2021-07-19,31,https://www.tvanouvelles.ca/2021/07/19/pres-de-200-vaches-perissent-dans-lincendie-dune-ferme,2021-08-19 08:25:31,local
Mirabel,décès OR mort,1,Nord Info et Voix des Mille-Iles,Basses-Laurentides: le virus cible les 20-29 ans,2021-08-17,2,https://www.nordinfo.com/actualites/basses-laurentides-le-virus-cible-les-20-29-ans/,2021-08-19 08:26:09,local
Mirabel,décès OR mort,2,NecrologieCanada,"POULIN nee FAUTEUX Louise 19462021, avis décès, necrologie",2021-08-19,0,https://necrocanada.com/deces-2021/poulin-nee-fauteux-louise-19462021/,2021-08-19 08:26:09,local
Mirabel,décès OR mort,3,L'Éveil et La Concorde,Basses-Laurentides: le virus cible les 20-29 ans - Journal L'Éveil de Saint-Eustache,2021-08-18,1,https://www.leveil.com/actualites/basses-laurentides-le-virus-cible-les-20-29-ans,2021-08-19 08:26:09,local
Mirabel,décès OR mort,4,NecrologieCanada,Daniel Saint-Pierre 2021,2021-07-31,19,https://necrocanada.com/deces-2021/daniel-saint-pierre-2021/,2021-08-19 08:26:09,local
Mirabel,décès OR mort,5,Le Journal de Montréal,"LEMAY, Chantal",2021-07-21,29,https://www.journaldemontreal.com/2021/07/21/1d04be82a6/lemay-chantal,2021-08-19 08:26:09,local
Mirabel,décès OR mort,6,ladepeche.fr,Mirabel : le Souvenir français remet des récompenses,2021-08-18,1,https://www.ladepeche.fr/2021/08/18/le-souvenir-francais-remet-des-recompenses-9737623.php,2021-08-19 08:26:10,local
Mirabel,décès OR mort,7,NecrologieCanada,THERRIEN NeE DESORMEAUX Helene 19442021,2021-08-06,13,https://necrocanada.com/deces-2021/therrien-nee-desormeaux-helene-19442021/,2021-08-19 08:26:10,local
Mirabel,décès OR mort,8,NecrologieCanada,Boucher – Paradis Danyelle 2021,2021-08-05,14,https://necrocanada.com/deces-2021/boucher-paradis-danyelle-2021/,2021-08-19 08:26:10,local
