Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Montréal,accident,1,Le Journal de Montréal,Un homme perd la vie dans une collision à Saint-Paul,2021-08-10,9,https://www.journaldemontreal.com/2021/08/10/une-personne-entre-la-vie-et-la-mort-apres-une-collision-a-saint-paul-1,2021-08-19 16:30:08,local
Montréal,accident,2,La Presse,Agression à Laval | Le suspect maîtrisé dans un état critique,2021-08-18,1,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-08-18/agression-a-laval/le-suspect-maitrise-dans-un-etat-critique.php,2021-08-19 16:30:09,local
Montréal,accident,3,Le Journal de Montréal,Une épouvantable tragédie ferroviaire secouait Louiseville il y a 85 ans,2021-08-15,4,https://www.journaldemontreal.com/2021/08/15/une-epouvantable-tragedie-ferroviaire-secouait-louiseville-il-y-a-85-ans,2021-08-19 16:30:09,local
Montréal,accident,4,TVA Nouvelles,Un village en deuil après l'accident mortel survenu sur la route 132,2021-08-06,13,https://www.tvanouvelles.ca/2021/08/06/famille-decimee-au-bas-saint-laurent-lidentite-de-deux-des-victimes-confirmee-par-la-sq-1,2021-08-19 16:30:09,local
Montréal,accident,5,Le Journal de Québec,Collision avec un poids lourd: une famille décimée à Lac-au-Saumon,2021-08-05,14,https://www.journaldequebec.com/2021/08/05/lac-au-saumon-six-blesses-graves-dans-une-collision-avec-un-poids-lourd,2021-08-19 16:30:09,local
Montréal,accident,6,Le Journal de Québec,Il traverse à pied les voies de l'A-20 et se fait happer mortellement,2021-08-07,12,https://www.journaldequebec.com/2021/08/07/un-homme-traverse-plusieurs-voies-de-la-20-et-se-fait-happer-par-un-camion-1,2021-08-19 16:30:10,local
Montréal,accident,7,Le Journal de Montréal,Ontario: la police publie une vidéo d'une embardée spectaculaire à Durham,2021-07-29,21,https://www.journaldemontreal.com/2021/07/29/ontario-la-police-publie-une-video-dune-embardee-spectaculaire-a-durham,2021-08-19 16:30:10,local
Montréal,accident,8,Le Journal de Montréal,Sécurité routière: un premier accident lui avait déjà fait peur,2021-08-07,12,https://www.journaldemontreal.com/2021/08/07/securite-routiere-un-premier-accident-lui-avait-deja-fait-peur,2021-08-19 16:30:10,local
Montréal,accident,9,Le Journal de Montréal,"Happé par un chauffard ivre, un ado se réveille de son coma 10 jours plus tard",2021-08-02,17,https://www.journaldemontreal.com/2021/08/02/happe-par-un-chauffard-ivre-un-ado-se-reveille-de-son-coma-10-jours-plus-tard-1,2021-08-19 16:30:10,local
Montréal,accident,10,Le Devoir,Un vélo blanc pour un cycliste décédé en 2012 à Montréal,2021-07-24,26,https://www.ledevoir.com/societe/transports-urbanisme/620370/un-velo-blanc-pour-un-cycliste-decede-en-2012-a-montreal,2021-08-19 16:30:10,local
Montréal,accident,11,Le Journal de Montréal,RDC : 33 morts dans la collision d'un camion transportant du carburant et un autobus,2021-08-02,17,https://www.journaldemontreal.com/2021/08/02/rdc--33-morts-dans-la-collision-dun-camion-transportant-du-carburant-et-un-autobus,2021-08-19 16:30:11,local
Montréal,accident,12,La Presse,"Côte-des-Neiges | Un motocycliste grièvement blessé après une collision, le SPVM enquête",2021-07-20,30,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-20/cote-des-neiges/un-motocycliste-grievement-blesse-apres-une-collision-le-spvm-enquete.php,2021-08-19 16:30:11,local
Montréal,accident,13,Le Journal de Montréal,Bruits de criquets à Ottawa sur les origines de la COVID-19,2021-08-16,3,https://www.journaldemontreal.com/2021/08/16/bruits-de-criquets-a-ottawa-sur-les-origines-de-la-covid-19,2021-08-19 16:30:11,local
Montréal,accident,14,Le Journal de Montréal,Un enfant réfugié d'Afghanistan meurt en tombant par la fenêtre d'un hôtel au Royaume-Uni,2021-08-19,0,https://www.journaldemontreal.com/2021/08/19/un-enfant-refugie-dafghanistan-meurt-en-tombant-par-la-fenetre-dun-hotel-au-royaume-uni,2021-08-19 16:30:11,local
Montréal,accident,15,Le Journal de Montréal,Relâchement inquiétant du port de la ceinture en auto,2021-07-24,26,https://www.journaldemontreal.com/2021/07/24/relachement-inquietant-du-port-de-la-ceinture-en-auto,2021-08-19 16:30:12,local
Montréal,accident,16,Le Journal de Montréal,Accident au centre-ville de Montréal: un motocycliste perd la vie,2021-05-12,99,https://www.journaldemontreal.com/2021/05/12/accident-au-centre-ville-de-montreal-un-motocycliste-dans-un-etat-tres-critique,2021-08-19 16:30:12,local
Montréal,accident,17,Droit-Inc.com,Se blesser en jouant au ping-pong : un accident de travail?,2021-07-22,28,https://www.droit-inc.com/article29076-Se-blesser-en-jouant-au-ping-pong-un-accident-de-travail,2021-08-19 16:30:12,local
Montréal,accident,18,TVA Nouvelles,Rivière-des-Prairies: deux décès et plusieurs blessés après des coups de feu tirés,2021-08-02,17,https://www.tvanouvelles.ca/2021/08/02/plusieurs-coups-de-feu-tires-a-riviere-des-prairies,2021-08-19 16:30:12,local
Montréal,accident,19,Zone911,"24H - Plusieurs événements : Enfant retrouvé sur le trottoir, un autre inanimé dans une piscine, accidents, coups de feu.",2021-08-03,16,https://zone911.com/divers/31211-24h-plusieurs-evenements-enfant-retrouve-sur-le-trottoir-un-autre-inanime-dans-une-piscine-accidents-coups-de-feu,2021-08-19 16:30:12,local
Montréal,accident,20,Le Journal de Montréal,Collision sur l'A-40 à Montréal: une adolescente de 15 ans succombe à ses blessures,2021-03-20,152,https://www.journaldemontreal.com/2021/03/20/des-blesses-graves-dans-une-collision-sur-la-40-a-montreal-1,2021-08-19 16:30:13,local
Montréal,accident,21,Le Journal de Montréal,Deux motocyclistes gravement blessés en Abitibi | JDM,2021-08-17,2,https://www.journaldemontreal.com/2021/08/17/deux-motocyclistes-gravement-blesses-en-abitibi,2021-08-19 16:30:13,local
Montréal,accident,22,Le Journal de Montréal,Journée infernale sur les routes de Montréal,2021-05-25,86,https://www.journaldemontreal.com/2021/05/25/un-incident-force-la-fermeture-de-deux-voies-dans-le-tunnel-1,2021-08-19 16:30:13,local
Montréal,accident,23,TVA Nouvelles,Les développements sur le coronavirus du 17 août,2021-08-17,2,https://www.tvanouvelles.ca/2021/08/17/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-08-19 16:30:13,local
Montréal,accident,24,La Tribune - Groupe Capitales Médias,Un blessé dans un accident impliquant trois véhicules sur l'autoroute 40 à Montréal,2021-02-14,186,https://www.latribune.ca/actualites/justice-et-faits-divers/un-blesse-dans-un-accident-impliquant-trois-vehicules-sur-lautoroute-40-a-montreal-05cd30f9a09facc98679986c57258675,2021-08-19 16:30:13,local
Montréal,accident,25,TVA Nouvelles,Accident majeur sur le Plateau: un cycliste tué sur le coup et un conducteur entre la vie et la mort,2021-04-08,133,https://www.tvanouvelles.ca/2021/04/08/accident-majeur-sur-le-plateau-cycliste-tue-sur-le-coup-et-un-conducteur-entre-la-vie-et-la-mort-1,2021-08-19 16:30:13,local
Montréal,décès OR mort,1,TVA Nouvelles,Un homme de 22 ans tué par balle à Montréal,2021-08-09,10,https://www.tvanouvelles.ca/2021/08/09/un-homme-de-22-ans-tue-par-balle-a-montreal,2021-08-19 16:30:53,local
Montréal,décès OR mort,2,Le Journal de Montréal,Rive-Nord de Montréal: des automobilistes maîtrisent un homme en crise sur la 640,2021-08-18,1,https://www.journaldemontreal.com/2021/08/18/rive-nord-de-montreal-pres-dune-dizaine-de-citoyens-maitrisent-un-homme-en-crise,2021-08-19 16:30:53,local
Montréal,décès OR mort,3,Le Journal de Montréal,Un proche d'un chef de gang abattu à sa sortie d'un bar,2021-08-18,1,https://www.journaldemontreal.com/2021/08/17/laval-un-homme-decede-apres-un-echange-de-coups-de-feu,2021-08-19 16:30:53,local
Montréal,décès OR mort,4,Le Journal de Québec,COVID-19: 323 nouveaux cas et aucun décès supplémentaire au Québec,2021-08-17,2,https://www.journaldequebec.com/2021/08/17/covid-19-323-nouveaux-cas-et-aucun-deces-supplementaire-au-quebec,2021-08-19 16:30:53,local
