Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rawdon,accident,1,TVA Nouvelles,Lanaudière: Deux corps découverts dans un véhicule submergé,2021-05-05,106,https://www.tvanouvelles.ca/2021/05/05/deux-corps-decouverts-dans-un-vehicule-submerge-dans-lanaudiere,2021-08-19 09:02:30,local
Rawdon,accident,2,Le Journal de Montréal,Accident mortel impliquant une camionnette et un autobus scolaire à Rawdon,,,https://www.journaldemontreal.com/2020/01/20/grave-accident-impliquant-une-camionnette-et-un-autobus-scolaire-a-rawdon-1,2021-08-19 09:02:30,local
Rawdon,accident,3,La Presse,Un motocycliste meurt dans un accident à Rawdon,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-08-14/un-motocycliste-meurt-dans-un-accident-a-rawdon.php,2021-08-19 09:02:31,local
Rawdon,accident,4,Mon Joliette,Poursuite policière avortée à Rawdon : le suspect prend le large,2020-10-26,297,https://monjoliette.com/poursuite-policiere-avortee-a-rawdon-le-suspect-prend-le-large/,2021-08-19 09:02:31,local
Rawdon,accident,5,ICI.Radio-Canada.ca,Accident mortel de motoneige à Saint-Ferréol-les-Neiges,2021-03-06,166,https://ici.radio-canada.ca/nouvelle/1775444/embardee-motoneige-hors-piste-saint-ferreol-quebec,2021-08-19 09:02:31,local
Rawdon,accident,6,TVA Nouvelles,Happée mortellement par un avion en tondant la pelouse,2021-07-05,45,https://www.tvanouvelles.ca/2021/07/05/happee-par-un-avion-en-tondant-la-pelouse-dans-lanaudiere-1,2021-08-19 09:02:31,local
Rawdon,accident,7,Zone911,Incendie majeur dans une résidence pour personnes âgées : 160 personnes évacuées,2021-03-07,165,https://zone911.com/incendies/30525-incendie-majeur-dans-une-residence-pour-personnes-agees-160-personnes-evacuees,2021-08-19 09:02:31,local
Rawdon,accident,8,Le Journal de Montréal,Sortie de route mortelle dans Lanaudière | JDM,,,https://www.journaldemontreal.com/2020/04/29/sortie-de-route-mortelle-dans-lanaudiere,2021-08-19 09:02:32,local
Rawdon,accident,9,Mon Joliette,[ 14 juin 2021 ] Accident mortel à Saint-Jacques Accueil,2021-06-14,66,https://monjoliette.com/accident-mortel-a-saint-jacques/,2021-08-19 09:02:32,local
Rawdon,accident,10,Mon Joliette,Accident de VTT: Dan Bigras hospitalisé à Joliette,,,https://monjoliette.com/accident-de-vtt-dan-bigras-hospitalise-a-joliette/,2021-08-19 09:02:32,local
