Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rivière-du-Loup,accident,1,Info Dimanche,Accident avec délit de fuite sur l'autoroute 20 à Rivière-du-Loup | infodimanche.com,2021-08-18,1,https://www.infodimanche.com/actualites/faits-divers/434675/accident-avec-delit-de-fuite-sur-lautoroute-20-a-riviere-du-loup,2021-08-19 09:13:51,local
Rivière-du-Loup,accident,2,Info Dimanche,Accident mortel sur l'autoroute 85 à Rivière-du-Loup | infodimanche.com,2021-07-28,22,https://www.infodimanche.com/actualites/faits-divers/432931/accident-mortel-sur-lautoroute-85-a-riviere-du-loup,2021-08-19 09:13:52,local
Rivière-du-Loup,accident,3,TVA Nouvelles,Retrouvé blessé en bordure de route: la SQ cherche des témoins,2021-08-15,4,https://www.tvanouvelles.ca/2021/08/15/retrouve-blesse-en-bordure-de-route-la-sq-cherche-des-temoins,2021-08-19 09:13:52,local
Rivière-du-Loup,accident,4,ICI.Radio-Canada.ca,Trois morts et plusieurs blessés dans un accident à Lac-au-Saumon,2021-08-05,14,https://ici.radio-canada.ca/nouvelle/1814559/accident-132-lac-au-saumon-blesses-collision-camionnette,2021-08-19 09:13:52,local
Rivière-du-Loup,accident,5,Info Dimanche,Accident sur l'autoroute 20 à Rivière-du-Loup | infodimanche.com,2021-06-06,74,https://www.infodimanche.com/actualites/faits-divers/428381/accident-sur-lautoroute-20-a-riviere-du-loup,2021-08-19 09:13:53,local
Rivière-du-Loup,accident,6,Info Dimanche,Accident spectaculaire à Rivière-du-Loup | infodimanche.com,2021-05-10,101,https://www.infodimanche.com/actualites/faits-divers/425815/accident-spectaculaire-a-riviere-du-loup,2021-08-19 09:13:53,local
Rivière-du-Loup,accident,7,ICI.Radio-Canada.ca,Accident mortel à Saint-Clément,2021-07-18,32,https://ici.radio-canada.ca/nouvelle/1809859/accident-mortel-saint-hubert-riviere-loup-juillet-2021,2021-08-19 09:13:53,local
Rivière-du-Loup,accident,8,Info Dimanche,Accident de travail sur un chantier à Rivière-du-Loup | infodimanche.com,2021-05-11,100,https://www.infodimanche.com/actualites/faits-divers/425977/accident-de-travail-sur-un-chantier-a-riviere-du-loup,2021-08-19 09:13:53,local
Rivière-du-Loup,accident,9,Info Dimanche,Accident mortel sur le boulevard Industriel à Rivière-du-Loup | infodimanche.com,2020-12-16,246,https://www.infodimanche.com/actualites/faits-divers/413268/accident-mortel-sur-le-boulevard-industriel-a-riviere-du-loup,2021-08-19 09:13:53,local
Rivière-du-Loup,accident,10,Le Nouvelliste - Groupe Capitales Médias,Disparition de Mélissa Blais: de nouveaux éléments qui pourraient faire avancer l'enquête?,2021-07-23,27,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/disparition-de-melissa-blais-de-nouveaux-elements-qui-pourraient-faire-avancer-lenquete-1f9b8ddb53486b4af31554a187bd798e,2021-08-19 09:13:54,local
Rivière-du-Loup,accident,11,Info Dimanche,Collision frontale sur la rue Fraser à Rivière-du-Loup | infodimanche.com,2021-02-26,174,https://www.infodimanche.com/actualites/faits-divers/419007/collision-frontale-sur-la-rue-fraser-a-riviere-du-loup,2021-08-19 09:13:54,local
Rivière-du-Loup,accident,12,Zone911,Un homme a perdu la vie dans un accident à Rivière-du-Loup,2020-12-17,245,https://zone911.com/accidents/30191-un-homme-a-perdu-la-vie-dans-un-accident-a-riviere-du-loup,2021-08-19 09:13:54,local
Rivière-du-Loup,accident,13,Le Journal de Québec,Bas-Saint-Laurent: un adolescent dans un état critique après un accident de VTT,2021-06-05,75,https://www.journaldequebec.com/2021/06/05/bas-saint-laurent-un-adolescent-dans-un-etat-critique-apres-un-accident-de-vtt,2021-08-19 09:13:54,local
Rivière-du-Loup,accident,14,Info Dimanche,Perte de contrôle sur la rue St-Pierre à Rivière-du-Loup | infodimanche.com,2021-02-01,199,https://www.infodimanche.com/actualites/faits-divers/416721/perte-de-controle-sur-la-rue-st-pierre-a-riviere-du-loup,2021-08-19 09:13:54,local
Rivière-du-Loup,accident,15,CIMT-CHAU,Mise à jour : le jeune homme de Saint-Hubert-de-Rivière-du-Loup qui manquait à l'appel a été retrouvé sans vie,2021-07-17,33,https://cimtchau.ca/nouvelles/un-jeune-homme-de-riviere-du-loup-manque-a-lappel-2/,2021-08-19 09:13:54,local
Rivière-du-Loup,accident,16,Info Dimanche,Accident de travail: un homme dans un état critique | infodimanche.com,2021-04-21,120,https://www.infodimanche.com/actualites/faits-divers/423861/accident-de-travail-un-homme-dans-un-etat-critique,2021-08-19 09:13:55,local
Rivière-du-Loup,accident,17,Info Dimanche,Collision à Rivière-du-Loup | infodimanche.com,2021-03-24,148,https://www.infodimanche.com/actualites/faits-divers/421269/collision-a-riviere-du-loup,2021-08-19 09:13:55,local
Rivière-du-Loup,accident,18,Info Dimanche,Grave accident à Saint-Hubert-de-Rivière-du-Loup | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/398593/grave-accident-a-saint-hubert-de-riviere-du-loup,2021-08-19 09:13:55,local
Rivière-du-Loup,accident,19,Info Dimanche,Délit de fuite : une piétonne happée à Rivière-du-Loup | infodimanche.com,2020-12-01,261,https://www.infodimanche.com/actualites/faits-divers/411881/delit-de-fuite-une-pietonne-happee-a-riviere-du-loup,2021-08-19 09:13:55,local
Rivière-du-Loup,accident,20,Info Dimanche,Accident sur le boulevard Armand-Thériault à Rivière-du-Loup | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/402096/accident-sur-le-boulevard-armand-theriault-a-riviere-du-loup,2021-08-19 09:13:56,local
Rivière-du-Loup,accident,21,Info Dimanche,Accident sur l'autoroute 85 à Rivière-du-Loup | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/341977/accident-sur-lautoroute-85-a-riviere-du-loup,2021-08-19 09:13:56,local
Rivière-du-Loup,accident,22,Info Dimanche,Collision contre la structure du pont ferroviaire à Rivière-du-Loup | infodimanche.com,2020-12-01,261,https://www.infodimanche.com/actualites/faits-divers/411858/collision-contre-la-structure-du-pont-ferroviaire-a-riviere-du-loup,2021-08-19 09:13:56,local
Rivière-du-Loup,accident,23,Info Dimanche,Violent face-à-face sur l'autoroute 85 à Rivière-du-Loup | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/381158/violent-face-a-face-sur-lautoroute-85-a-riviere-du-loup,2021-08-19 09:13:56,local
Rivière-du-Loup,accident,24,Info Dimanche,Violente sortie de route sur la rue de l'Ancrage à Rivière-du-Loup | infodimanche.com,2021-06-14,66,https://www.infodimanche.com/actualites/faits-divers/429142/violente-sortie-de-route-sur-la-rue-de-lancrage-a-riviere-du-loup,2021-08-19 09:13:56,local
Rivière-du-Loup,accident,25,Info Dimanche,Accident à Rivière-du-Loup | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/348734/accident-a-riviere-du-loup,2021-08-19 09:13:57,local
