Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Eustache,accident,1,L'Éveil et La Concorde,Incident à la pharmacie Uniprix de Saint-Eustache: plus de peur que mal - Journal L'Éveil de Saint-Eustache,2021-07-29,21,https://www.leveil.com/actualites/incident-a-la-pharmacie-uniprix-de-saint-eustache-plus-de-peur-que-mal,2021-08-19 08:15:34,local
Saint-Eustache,accident,2,Le Journal de Montréal,Les urgences de Saint-Jérôme et de Saint-Eustache à éviter,2021-07-25,25,https://www.journaldemontreal.com/2021/07/25/les-urgences-de-saint-jerome-et-de-saint-eustache-a-eviter-1,2021-08-19 08:15:35,local
Saint-Eustache,accident,3,iHeartRadio,Accident sur l'autoroute 640 à St-Eustache,2020-12-02,260,https://www.iheartradio.ca/energie/energie-montreal/nouvelles/accident-sur-l-autoroute-640-a-st-eustache-1.14076543,2021-08-19 08:15:35,local
Saint-Eustache,accident,4,Pole-Position magazine,"Classe Légende Modifiée : Après un intermède spectaculaire au GP3R, retour sur l'ovale de Montmagny ce week-end",2021-08-17,2,https://www.poleposition.ca/actualite/2021/08/17/classe-legende-modifiee-apres-un-intermede-spectaculaire-au-gp3r-retour-sur-lovale-de-montmagny-ce-week-end/,2021-08-19 08:15:35,local
Saint-Eustache,accident,5,L'Éveil et La Concorde,Saint-Eustache: des explications à un accident de travail - Journal L'Éveil de Saint-Eustache,2021-05-20,91,https://www.leveil.com/actualites/saint-eustache-des-explications-a-un-accident-de-travail,2021-08-19 08:15:35,local
Saint-Eustache,accident,6,L'Éveil et La Concorde,Lancement de la campagne annuelle sur la sécurité routière de la Ville de Saint-Eustache. - Journal L'Éveil de Saint-Eustache,2021-07-12,38,https://www.leveil.com/actualites/lancement-de-la-campagne-annuelle-sur-la-securite-routiere-de-la-ville-de-saint-eustache,2021-08-19 08:15:36,local
Saint-Eustache,accident,7,L'Éveil et La Concorde,Un conducteur ivre blesse gravement deux adolescents à Deux-Montagnes - Journal L'Éveil de Saint-Eustache,2021-07-18,32,https://www.leveil.com/actualites/un-conducteur-ivre-blesse-gravement-deux-adolescents-a-deux-montagnes,2021-08-19 08:15:36,local
Saint-Eustache,accident,8,Le Journal de Montréal,Deux policiers et un conducteur blessés dans un accident,2020-11-14,278,https://www.journaldemontreal.com/2020/11/14/deux-policiers-et-un-conducteur-blesses-dans-un-accident,2021-08-19 08:15:36,local
Saint-Eustache,accident,9,Le Journal de Montréal,Écrasé par son chariot élévateur à Saint-Eustache,2020-09-18,335,https://www.journaldemontreal.com/2020/09/18/ecrase-par-son-chariot-elevateur-a-saint-eustache-1-1,2021-08-19 08:15:36,local
Saint-Eustache,accident,10,TVA Nouvelles,Une voiture sectionnée après un accident dans les Laurentides,,,https://www.tvanouvelles.ca/2019/10/19/une-voiture-sectionnee-apres-un-accident-dans-les-laurentides,2021-08-19 08:15:36,local
