Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Georges,accident,1,EnBeauce.com,Collision près de Walmart à Saint-Georges,2021-08-18,1,https://www.enbeauce.com/actualites/faits-divers/434695/collision-pres-de-walmart-a-saint-georges,2021-08-19 08:23:11,local
Saint-Georges,accident,2,Le Soleil - Groupe Capitales Médias,Accident de cyclomoteur à Saint-Georges en Beauce: un adolescent est gravement blessé,2021-07-23,27,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-de-cyclomoteur-a-saint-georges-en-beauce-un-adolescent-est-gravement-blesse-ca8a6b019d5bc78cfa410d15e63fe495,2021-08-19 08:23:12,local
Saint-Georges,accident,3,EnBeauce.com,Accident à Beauceville: un blessé mineur,2021-08-16,3,https://www.enbeauce.com/actualites/faits-divers/434498/accident-a-beauceville-un-blesse-mineur,2021-08-19 08:23:12,local
Saint-Georges,accident,4,Bien Public,Nuits-Saint-Georges | Un camping-car couché sur l'autoroute A31 après un accident,2021-08-16,3,https://www.bienpublic.com/faits-divers-justice/2021/08/16/l-autoroute-a31-coupee-apres-un-accident,2021-08-19 08:23:12,local
Saint-Georges,accident,5,EnBeauce.com,Chute en vélo à Beauceville,2021-08-10,9,https://www.enbeauce.com/actualites/faits-divers/433938/chute-en-velo-a-beauceville,2021-08-19 08:23:12,local
Saint-Georges,accident,6,Sud Ouest,Saint-Georges-de-Didonne : accident grave sur la rocade lundi 9 août,2021-08-09,10,https://www.sudouest.fr/charente-maritime/saint-georges-de-didonne/saint-georges-de-didonne-accident-grave-sur-la-rocade-lundi-9-aout-4569976.php,2021-08-19 08:23:13,local
Saint-Georges,accident,7,100% Radio,Accident à Labastide-St-Georges : Un quadragénaire tué,2021-08-13,6,http://www.centpourcent.com/les-infos-10/accident-a-labastide-st-georges-un-quadragenaire-tue-13978,2021-08-19 08:23:13,local
Saint-Georges,accident,8,Echo Républicain,Un Drouais meurt dans un accident entre Saint-Georges-Motel et Dreux,2021-07-25,25,https://www.lechorepublicain.fr/montreuil-28500/actualites/un-drouais-meurt-dans-un-accident-entre-saint-georges-motel-et-dreux_13989569/,2021-08-19 08:23:14,local
Saint-Georges,accident,9,Le Soleil - Groupe Capitales Médias,Un accident à l'origine de l'incendie mortel dans le Vieux-Lévis,2021-07-21,29,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-accident-a-lorigine-de-lincendie-mortel-dans-le-vieux-levis-2dfd59dc0ffd1d62e61fd421d727d3dc,2021-08-19 08:23:14,local
Saint-Georges,accident,10,EnBeauce.com,Deux véhicules entrent en collision sur le boulevard Dionne,2021-07-25,25,https://www.enbeauce.com/actualites/faits-divers/432691/deux-vehicules-entrent-en-collision-sur-le-boulevard-dionne,2021-08-19 08:23:14,local
Saint-Georges,accident,11,France Bleu,Le corps de la fillette disparue en mer retrouvé à Saint-Georges-de-Didonne près de Royan,2021-08-16,3,https://www.francebleu.fr/infos/faits-divers-justice/un-corps-retrouve-sur-la-plage-de-saint-georges-de-didonne-pres-de-royan-1629145985,2021-08-19 08:23:14,local
Saint-Georges,accident,12,Lyon Capitale,Accident mortel sur l'A6 près de Lyon : le bébé est sorti du coma,2021-07-22,28,https://www.lyoncapitale.fr/actualite/accident-mortel-sur-l-a6-pres-de-lyon-le-bebe-est-sorti-du-coma/,2021-08-19 08:23:15,local
Saint-Georges,accident,13,Ouest-France,Trois blessés dans un accident de la route près de Rennes,2021-07-28,22,https://www.ouest-france.fr/bretagne/rennes-35000/pres-de-rennes-trois-blesses-dans-un-accident-de-la-route-827172aa-efbc-11eb-8f8e-fe71c11b7838,2021-08-19 08:23:15,local
