Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Lin-Laurentides,accident,1,La Presse,Saint-Lin–Laurentides | Deux enfants grièvement blessés dans un accident,2020-12-12,250,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-12-12/saint-lin-laurentides/deux-enfants-grievement-blesses-dans-un-accident.php,2021-08-19 08:46:51,local
Saint-Lin-Laurentides,accident,2,Mon Joliette,Un homme de St-Lin-Laurentides perd la vie dans un accident à Saint-Zénon,2020-09-08,345,https://monjoliette.com/un-homme-de-st-lin-laurentides-perd-la-vie-dans-un-accident-a-saint-zenon/,2021-08-19 08:46:51,local
Saint-Lin-Laurentides,accident,3,Le Journal de Montréal,Accident mortel à Saint-Lin–Laurentides | JDM,,,https://www.journaldemontreal.com/2019/07/24/accident-mortel-a-saint-linlaurentides,2021-08-19 08:46:51,local
Saint-Lin-Laurentides,accident,4,L'Express Montcalm,Saint-Lin-Laurentides pleure le départ de Jérémy Plourde,2020-09-14,339,https://www.lexpressmontcalm.com/article/2020/09/14/saint-lin-laurentides-pleure-le-depart-de-jeremy-plourde,2021-08-19 08:46:51,local
Saint-Lin-Laurentides,accident,5,TVA Nouvelles,Un motocycliste meurt dans un accident de la route à Saint-Lin–Laurentides,,,https://www.tvanouvelles.ca/2018/06/15/un-motocycliste-grievement-blesse-a-saint-linlaurentides-1,2021-08-19 08:46:52,local
Saint-Lin-Laurentides,accident,6,Le Journal de Montréal,Saint-Lin: un homme arrêté dans une poursuite policière après un incendie suspect,2021-02-24,176,https://www.journaldemontreal.com/2021/02/24/saint-lin-un-homme-arrete-dans-une-poursuite-policiere-apres-un-incendie-suspect,2021-08-19 08:46:52,local
Saint-Lin-Laurentides,accident,7,L'Express Montcalm,Un piéton happé mortellement à Saint-Lin-Laurentides,,,https://www.lexpressmontcalm.com/article/2019/12/06/un-pieton-happe-mortellement-a-saint-lin-laurentides,2021-08-19 08:46:52,local
Saint-Lin-Laurentides,accident,8,L'Express Montcalm,Trois véhicules impliqués dans un accident à Saint-Lin-Laurentides,,,https://www.lexpressmontcalm.com/article/2018/05/30/trois-vehicules-impliques-dans-un-accident-a-saint-lin-laurentid,2021-08-19 08:46:52,local
Saint-Lin-Laurentides,accident,9,L'Express Montcalm,Collision fatale à Saint-Lin-Laurentides,,,https://www.lexpressmontcalm.com/article/2019/07/22/collision-fatale-a-saint-lin-laurentides,2021-08-19 08:46:53,local
Saint-Lin-Laurentides,accident,10,TVA Nouvelles,Une maison ravagée par un incendie à Saint-Lin–Laurentides,2020-09-11,342,https://www.tvanouvelles.ca/2020/09/11/une-maison-incendiee-a-saint-linlaurentides,2021-08-19 08:46:53,local
Saint-Lin-Laurentides,accident,11,L'Express Montcalm,07 juillet 2021 La communauté se mobilise pour la famille de Carolann Deschênes,2021-07-07,43,https://www.lexpressmontcalm.com/article/2021/07/07/la-communaute-se-mobilise-pour-la-famille-de-carolann-deschenes,2021-08-19 08:46:53,local
Saint-Lin-Laurentides,accident,12,L'Express Montcalm,Aucun blessé grave dans la collision à Saint-Calixte,2020-09-22,331,https://www.lexpressmontcalm.com/article/2020/09/22/aucun-blesse-grave-dans-la-collision-a-saint-calixte,2021-08-19 08:46:53,local
Saint-Lin-Laurentides,accident,13,L'Express Montcalm,Lanaudière déplore 10 décès liés au travail en 2020,2021-04-28,113,https://www.lexpressmontcalm.com/article/2021/04/28/lanaudiere-deplore-10-deces-lies-au-travail-en-2020,2021-08-19 08:46:54,local
Saint-Lin-Laurentides,accident,14,L'Express Montcalm,Les travaux sur la route 335 débutent cette semaine,2020-08-27,357,https://www.lexpressmontcalm.com/article/2020/08/27/les-travaux-sur-la-route-335-debutent-cette-semaine,2021-08-19 08:46:54,local
Saint-Lin-Laurentides,accident,15,L'Express Montcalm,St-Lin; arrestation pour conduite avec capacité affaiblie en VTT,,,https://www.lexpressmontcalm.com/article/2020/04/24/st-lin-arrestation-pour-conduite-avec-capacite-affaiblie-en-vtt,2021-08-19 08:46:54,local
Saint-Lin-Laurentides,accident,16,TVA Nouvelles,Un homme rénove sa maison avec des portes et fenêtres volées sur des chantiers,2020-12-04,258,https://www.tvanouvelles.ca/2020/12/04/un-homme-renove-sa-maison-avec-des-portes-et-fenetres-volees-sur-des-chantiers-1,2021-08-19 08:46:54,local
Saint-Lin-Laurentides,accident,17,L'Express Montcalm,Une conductrice d'un VUS gravement blessée,,,https://www.lexpressmontcalm.com/article/2020/08/14/une-conductrice-d-un-vus-gravement-blessee,2021-08-19 08:46:54,local
Saint-Lin-Laurentides,accident,18,L'Express Montcalm,Une voiture de la SQ impliquée dans une collision,,,https://www.lexpressmontcalm.com/article/2019/08/28/une-voiture-de-la-sq-impliquee-dans-une-collision,2021-08-19 08:46:55,local
Saint-Lin-Laurentides,accident,19,Le Journal de Montréal,La victime était un pompier modèle,,,https://www.journaldemontreal.com/2018/08/09/la-victime-etait-un-pompier-modele,2021-08-19 08:46:55,local
Saint-Lin-Laurentides,accident,20,Le Droit - Groupe Capitales Médias,Outaouais: perquisitions chez des proches des Hells | Justice et faits divers | Actualités,2021-04-07,134,https://www.ledroit.com/actualites/justice-et-faits-divers/outaouais-perquisitions-chez-des-proches-des-hells-68fd88ed18f49593e216f33b82f09975,2021-08-19 08:46:55,local
Saint-Lin-Laurentides,accident,21,L'Express Montcalm,La Sûreté du Québec procède à l'arrestation de quatre personnes,2020-10-30,293,https://www.lexpressmontcalm.com/article/2020/10/30/la-surete-du-quebec-procede-a-l-arrestation-de-quatre-personnes,2021-08-19 08:46:55,local
Saint-Lin-Laurentides,accident,22,La Presse,Dézonage agricole dans Lanaudière | Pactole à portée de main pour des propriétaires de terres agricoles,2020-10-20,303,https://www.lapresse.ca/actualites/2020-10-20/dezonage-agricole-dans-lanaudiere/pactole-a-portee-de-main-pour-des-proprietaires-de-terres-agricoles.php,2021-08-19 08:46:55,local
Saint-Lin-Laurentides,accident,23,Journal de Montréal,Accident Le «cœur à l'envers» pour Jimmy «,,,https://www.journaldemontreal.com/2012/06/20/le-coeur-a-lenversbrpour-jimmy,2021-08-19 08:46:55,local
Saint-Lin-Laurentides,accident,24,Journal de Montréal,Accident en allant à l'après-bal: la famille de la victime est complètement démolie,,,https://www.journaldemontreal.com/2014/06/27/accident-en-allant-a-lapres-bal-la-famille-de-la-victime-est-completement-demolie,2021-08-19 08:46:56,local
Saint-Lin-Laurentides,accident,25,L'Express Montcalm,19 janvier 2021 Dévoilement du bilan routier de la Sûreté du Québec,2021-01-19,212,https://www.lexpressmontcalm.com/article/2021/01/19/devoilement-du-bilan-routier-de-la-surete-du-quebec,2021-08-19 08:46:56,local
Saint-Lin-Laurentides,décès OR mort,1,NecrologieCanada,Larouche Martine 2021,2021-08-06,13,https://necrocanada.com/deces-2021/larouche-martine-2021/,2021-08-19 08:47:35,local
Saint-Lin-Laurentides,décès OR mort,2,NecrologieCanada,Cadorette Michel 2021,2021-07-21,29,https://necrocanada.com/deces-2021/cadorette-michel-2021/,2021-08-19 08:47:35,local
Saint-Lin-Laurentides,décès OR mort,3,NecrologieCanada,Sansoucy Jean-Daniel 1955-,2021-08-10,9,https://necrocanada.com/deces-2021/sansoucy-jean-daniel-1955/,2021-08-19 08:47:35,local
Saint-Lin-Laurentides,décès OR mort,4,NecrologieCanada,Tourangeau Lina 2021,2021-07-25,25,https://necrocanada.com/deces-2021/tourangeau-lina-2021/,2021-08-19 08:47:35,local
Saint-Lin-Laurentides,décès OR mort,5,NecrologieCanada,Carole Bisson 1949~,2021-07-27,23,https://necrocanada.com/deces-2021/carole-bisson-1949/,2021-08-19 08:47:36,local
Saint-Lin-Laurentides,décès OR mort,6,Mon Joliette,Un homme de St-Lin-Laurentides perd la vie dans un accident à Saint-Zénon,2020-09-08,345,https://monjoliette.com/un-homme-de-st-lin-laurentides-perd-la-vie-dans-un-accident-a-saint-zenon/,2021-08-19 08:47:36,local
Saint-Lin-Laurentides,décès OR mort,7,L'Express Montcalm,Saint-Lin-Laurentides pleure le départ de Jérémy Plourde,2020-09-14,339,https://www.lexpressmontcalm.com/article/2020/09/14/saint-lin-laurentides-pleure-le-depart-de-jeremy-plourde,2021-08-19 08:47:36,local
Saint-Lin-Laurentides,décès OR mort,8,NecrologieCanada,Blondin Gaston 2021,2021-07-12,38,https://necrocanada.com/deces-2021/blondin-gaston-2021/,2021-08-19 08:47:36,local
