Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,1,Québec Hebdo,Île d'Orléans: Le théâtre d'été est de retour,2021-06-01,79,https://www.quebechebdo.com/local/journal-lautre-voix/253937/ile-dorleans-le-theatre-dete-est-de-retour/,2021-08-19 09:47:22,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,2,Le Soleil - Groupe Capitales Médias,Le Panache Mobile déménage au Parc maritime de Saint-Laurent,2021-06-10,70,https://www.lesoleil.com/le-mag/restaurants/le-panache-mobile-demenage-au-parc-maritime-de-saint-laurent-86d8ce111843f17ff27a92245a66b440,2021-08-19 09:47:22,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,3,Le Journal de Québec,La population sera consultée pour baptiser le futur pont de l'Île-d'Orléans,2020-10-24,299,https://www.journaldequebec.com/2020/10/24/le-concept-du-futur-pont-de-lile-dorleans-devoile,2021-08-19 09:47:22,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,4,Le Soleil - Groupe Capitales Médias,Le chef de La Tanière lance une sauce à spag pour aider un ami à survivre,2021-02-18,182,https://www.lesoleil.com/le-mag/restaurants/le-chef-de-la-taniere-lance-une-sauce-a-spag-pour-aider-un-ami-a-survivre-588b1a835e36aaa6d971061743f149c7,2021-08-19 09:47:22,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,5,Le Droit - Groupe Capitales Médias,Une mineure blessée gravement après une collision en VTT,2021-05-23,88,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/une-mineure-blessee-gravement-apres-une-collision-en-vtt-1c577fa9756607209f84fef624d4197c,2021-08-19 09:47:23,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,6,Le Soleil - Groupe Capitales Médias,"Porcelaine, nouveau projet de Chez Rioux &amp; Pettigrew",2021-05-27,84,https://www.lesoleil.com/le-mag/restaurants/porcelaine-nouveau-projet-de-chez-rioux--pettigrew-dbd48c722f8996370d6c8936bdd791f3,2021-08-19 09:47:23,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,7,Le Soleil - Groupe Capitales Médias,Chéri coco: enivrant dépaysement | Restaurants | Le Mag,2021-06-26,54,https://www.lesoleil.com/le-mag/restaurants/cheri-coco-enivrant-depaysement-21fb6e2af316663f76a51a0422bcb48c,2021-08-19 09:47:23,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,8,Le Soleil - Groupe Capitales Médias,Le goût du Mexique à La Cantina | Restaurants | Le Mag,2021-04-14,127,https://www.lesoleil.com/le-mag/restaurants/le-gout-du-mexique-a-la-cantina-adaec43d29edc1ee18c59bb83374ac1c,2021-08-19 09:47:23,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,9,Le Soleil - Groupe Capitales Médias,S'éterniser sans culpabilité à L'Appart Anticafé à Lévis,2021-05-27,84,https://www.lesoleil.com/le-mag/restaurants/seterniser-sans-culpabilite-a-lappart-anticafe-a-levis-919b7daccdf282574fc9712f59bfb1d6,2021-08-19 09:47:23,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,10,Le Soleil - Groupe Capitales Médias,Restaurant Alentours: une mission de restauration durable | Restaurants | Le Mag,2021-01-30,201,https://www.lesoleil.com/le-mag/restaurants/restaurant-alentours-une-mission-de-restauration-durable-81f25b5631b33474791f70e7719211e4,2021-08-19 09:47:24,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,11,Le Soleil - Groupe Capitales Médias,Mini-serre chauffée pour souper étoilé à l'Auberge Saint-Antoine,2020-12-03,259,https://www.lesoleil.com/le-mag/restaurants/mini-serre-chauffee-pour-souper-etoile-a-lauberge-saint-antoine-5b08f64ac8a6126b784498f30518d97d,2021-08-19 09:47:24,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,12,Le Journal de Québec,Des retombées majeures sur l'économie de l'île,,,https://www.journaldequebec.com/2019/08/10/des-retombees-majeures-sur-leconomie-de-lile,2021-08-19 09:47:24,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,13,Le Soleil - Groupe Capitales Médias,Un camion-resto pour se délecter en octobre,2020-10-09,314,https://www.lesoleil.com/le-mag/restaurants/un-camion-resto-pour-se-delecter-en-octobre-5f36fdaaa74633cd6ea5195fad602a1a,2021-08-19 09:47:24,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,14,Le Soleil - Groupe Capitales Médias,L'île d'Orléans encore trop populaire? | Actualités,,,https://www.lesoleil.com/actualite/lile-dorleans-encore-trop-populaire-33ce48766d3bd8ddcf21e6185848a79e,2021-08-19 09:47:25,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,15,Le Soleil - Groupe Capitales Médias,Le Casse-croûte Pierrot de Limoilou déménage | Restaurants | Le Mag,2020-11-26,266,https://www.lesoleil.com/le-mag/restaurants/le-casse-croute-pierrot-de-limoilou-demenage-3bdc1156a2073856a38a2ba7b0b20583,2021-08-19 09:47:25,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,16,Le Soleil - Groupe Capitales Médias,Les Salons d'Edgar ferme ses portes «pour une durée indéterminée»,2020-10-27,296,https://www.lesoleil.com/le-mag/restaurants/les-salons-dedgar-ferme-ses-portes-pour-une-duree-indeterminee-6331e9dc87444f743d4bbfe006ac897d,2021-08-19 09:47:25,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,17,Le Soleil - Groupe Capitales Médias,"Pour emporter: Saint-Amour, festin festif | Restaurants | Le Mag",2020-12-19,243,https://www.lesoleil.com/le-mag/restaurants/pour-emporter-saint-amour-festin-festif-83aa8ce4ed392c27ccfdcccc384b2f03,2021-08-19 09:47:25,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,18,Le Soleil - Groupe Capitales Médias,"Le café Rincon Latino, une «mission latine» dans Limoilou",2020-11-12,280,https://www.lesoleil.com/le-mag/restaurants/le-cafe-rincon-latino-une-mission-latine-dans-limoilou-1fe00f8d43c241094f77106a8aac232b,2021-08-19 09:47:26,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,19,Le Soleil - Groupe Capitales Médias,"Pour emporter: Il Matto, du réconfort à l'italienne",2020-11-07,285,https://www.lesoleil.com/le-mag/restaurants/pour-emporter-il-matto-du-reconfort-a-litalienne-234701bbea3627e466897a439f1787c1,2021-08-19 09:47:26,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,20,Le Soleil - Groupe Capitales Médias,Un entrepôt de jeux de société prend la place du Tomas Tam,2020-09-26,327,https://www.lesoleil.com/le-mag/restaurants/un-entrepot-de-jeux-de-societe-prend-la-place-du-tomas-tam-39851410fbb0302535f52c21945b7087,2021-08-19 09:47:26,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,21,Le Soleil - Groupe Capitales Médias,Un nouveau resto vietnamien bientôt sur Saint-Jean,,,https://www.lesoleil.com/le-mag/restaurants/un-nouveau-resto-vietnamien-bientot-sur-saint-jean-01801c23e5fd5891b28910448f620a0f,2021-08-19 09:47:27,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,22,Le Soleil - Groupe Capitales Médias,Violent incendie d'un bâtiment agricole sur l'île d'Orléans,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/violent-incendie-dun-batiment-agricole-sur-lile-dorleans-6e8c85e9701615be9622aedc0af1f268,2021-08-19 09:47:27,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,23,Le Soleil - Groupe Capitales Médias,Nicky Sushi: à la pêche aux makis | Restaurants | Le Mag,2020-09-12,341,https://www.lesoleil.com/le-mag/restaurants/nicky-sushi-a-la-peche-aux-makis-0d08f9f073a4a9980d9f37ffc87937f8,2021-08-19 09:47:27,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,24,Le Soleil - Groupe Capitales Médias,Île d'Orléans: 20 M$ pour refaire le réseau électrique «à risque»,,,https://www.lesoleil.com/affaires/ile-dorleans-20-m-pour-refaire-le-reseau-electrique-a-risque-f031bb291e5239dabace2bb5d2c22c9d,2021-08-19 09:47:27,mixte
Saint-Pierre-de-l'Île-d'Orléans,élection OR campagne,25,Le Soleil - Groupe Capitales Médias,La Goéliche: menu de la mer au bord du fleuve,,,https://www.lesoleil.com/le-mag/restaurants/la-goeliche-menu-de-la-mer-au-bord-du-fleuve-99aa49ee923678eec18d7c9f621dc1b7,2021-08-19 09:47:28,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,1,Québec Hebdo,Île d'Orléans: Le théâtre d'été est de retour,2021-06-01,79,https://www.quebechebdo.com/local/journal-lautre-voix/253937/ile-dorleans-le-theatre-dete-est-de-retour/,2021-08-19 09:48:05,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,2,Le Soleil - Groupe Capitales Médias,L'île d'Orléans encore trop populaire? | Actualités,,,https://www.lesoleil.com/actualite/lile-dorleans-encore-trop-populaire-33ce48766d3bd8ddcf21e6185848a79e,2021-08-19 09:48:05,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,3,Le Journal de Québec,Un nouveau pont à l'Île d'Orléans d'ici 2024,,,https://www.journaldequebec.com/2015/12/10/pont-de-lile-dorleans,2021-08-19 09:48:05,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,4,Le Journal de Québec,[PHOTOS] Voici les 10 grands personnages de Lévis,,,https://www.journaldequebec.com/2019/09/29/photos-voici-les-10-grands-personnages-de-levis,2021-08-19 09:48:06,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,5,ICI.Radio-Canada.ca,Facebook distribue des subventions aux médias locaux du Québec,2020-10-17,306,https://ici.radio-canada.ca/nouvelle/1693107/facebook-subventions-medias-locaux-pandemie-covid19-quebec,2021-08-19 09:48:06,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,6,Le Journal de Québec,1988 - La mort d'un géant,,,https://www.journaldequebec.com/2017/03/25/1988---la-mort-dun-geant,2021-08-19 09:48:06,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,7,Québec Hebdo,Cidrerie Verger Bilodeau: Pionniers du cidre sur l'ile d'Orléans,,,https://www.quebechebdo.com/local/journal-lautre-voix/180730/cidrerie-verger-bilodeau-pionniers-du-cidre-sur-lile-dorleans/,2021-08-19 09:48:06,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,8,Le Journal de Québec,10 Unes marquantes,,,https://www.journaldequebec.com/2017/03/11/10-unes-marquantes,2021-08-19 09:48:06,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,9,Le Soleil - Groupe Capitales Médias,Un goût de Tunisie à Lévis | Restaurants | Le Mag,,,https://www.lesoleil.com/le-mag/restaurants/un-gout-de-tunisie-a-levis-027a14e8b113d60d58466da170c6fcb5,2021-08-19 09:48:07,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,10,Le Journal de Montréal,"Gaëtane Morin, la veuve de Félix Leclerc, s'éteint à l'âge de 78 ans",,,https://www.journaldemontreal.com/2018/04/21/la-veuve-de-felix-leclerc-seteint-a-lage-de-78-ans,2021-08-19 09:48:07,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,11,Québec Hebdo,Prévention : Activités policières locales,,,https://www.quebechebdo.com/local/journal-lautre-voix/160857/prevention-activites-policieres-locales/,2021-08-19 09:48:07,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,12,TVA Nouvelles,Combien gagnent vos élus?,,,https://www.tvanouvelles.ca/2019/09/14/combien-gagnent-vos-elus,2021-08-19 09:48:07,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,13,Le Journal de Montréal,5 endroits pour faire les vendanges au Québec,,,https://www.journaldemontreal.com/2015/09/23/5-endroits-pour-aller-faire-les-vendanges-au-quebec,2021-08-19 09:48:07,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,14,Le Journal de Montréal,Pour toi Félix...,,,https://www.journaldemontreal.com/2015/08/09/pour-toi-felix,2021-08-19 09:48:07,mixte
Saint-Pierre-de-l'Île-d'Orléans,député,15,Le Journal de Montréal,"Félix Leclerc, un géant toujours actuel | JDM",,,https://www.journaldemontreal.com/2018/08/07/un-geant-toujours-actuel,2021-08-19 09:48:08,mixte
Saint-Pierre-de-l'Île-d'Orléans,"""arme à feu""",1,TVA Nouvelles,Île-d'Orléans: une conductrice mineure blessée dans un accident de VTT,2021-05-22,89,https://www.tvanouvelles.ca/2021/05/22/ile-dorleans--une-conductrice-mineure-blessee-dans-un-accident-de-vtt-1,2021-08-19 09:48:15,mixte
Saint-Pierre-de-l'Île-d'Orléans,"""arme à feu""",2,Le Soleil - Groupe Capitales Médias,Une mineure blessée gravement après une collision en VTT,2021-05-23,88,https://www.lesoleil.com/actualite/justice-et-faits-divers/une-mineure-blessee-gravement-apres-une-collision-en-vtt-1c577fa9756607209f84fef624d4197c,2021-08-19 09:48:15,mixte
