Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Agathe-des-Monts,accident,1,TVA Nouvelles,Sainte-Agathe-des-Monts sous le choc au lendemain du décès d'un ado,,,https://www.tvanouvelles.ca/2019/09/13/sainte-agathe-des-monts-sous-le-choc-au-lendemain-du-deces-dun-ado,2021-08-19 09:08:48,local
Sainte-Agathe-des-Monts,accident,2,Le Journal de Montréal,Une jeune femme chanceuse d'être toujours en vie dénonce l'état du réseau routier,,,https://www.journaldemontreal.com/2020/08/17/une-jeune-femme-chanceuse-detre-toujours-en-vie-denonce-letat-du-reseau-routier,2021-08-19 09:08:49,local
Sainte-Agathe-des-Monts,accident,3,Courrier Laval,"Policiers blessés dans une poursuite entre Laval, Montréal et Rivière-Rouge",2021-03-04,168,https://courrierlaval.com/policiers-blesses-dans-une-poursuite-entre-laval-montreal-et-riviere-rouge/,2021-08-19 09:08:49,local
Sainte-Agathe-des-Monts,accident,4,Le Journal de Montréal,Accident d'escalade: un homme grièvement blessé,2020-09-06,347,https://www.journaldemontreal.com/2020/09/06/accident-descalade-un-homme-grievement-blesse,2021-08-19 09:08:49,local
Sainte-Agathe-des-Monts,accident,5,TVA Nouvelles,Une femme lutte pour sa vie après une violente collision frontale,,,https://www.tvanouvelles.ca/2017/06/25/plusieurs-blesses-dans-un-violent-face-a-face,2021-08-19 09:08:50,local
Sainte-Agathe-des-Monts,accident,6,Le Soleil - Groupe Capitales Médias,Collision frontale mortelle à Saint-Férréol-les-Neiges [VIDÉO],2021-04-07,134,https://www.lesoleil.com/actualite/justice-et-faits-divers/collision-frontale-mortelle-a-saint-ferreol-les-neiges-video-3c8e9ec770dda83b11025462dc5bb0de,2021-08-19 09:08:50,local
Sainte-Agathe-des-Monts,accident,7,Journal Accès,Trottoir à Sainte-Adèle - Accès Laurentides,2021-06-28,52,https://www.journalacces.ca/trottoir-a-sainte-adele/,2021-08-19 09:08:50,local
Sainte-Agathe-des-Monts,accident,8,Le Journal de Montréal,Rassemblements interdits: les chalets locatifs des Laurentides sont populaires,2021-03-10,162,https://www.journaldemontreal.com/2021/03/10/rassemblements-interdits-les-chalets-locatifs-des-laurentides-sont-populaires,2021-08-19 09:08:50,local
Sainte-Agathe-des-Monts,accident,9,Journal Accès,Incident impliquant un autobus scolaire à Sainte-Agathe-des-Monts - Accès Laurentides,2020-09-16,337,https://www.journalacces.ca/incident-impliquant-un-autobus-scolaire-a-sainte-agathe-des-monts/,2021-08-19 09:08:51,local
Sainte-Agathe-des-Monts,accident,10,Le Quotidien - Groupe Capitales Médias,Un corps d'homme inanimé en pleine rue à Alma,2021-04-17,124,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-corps-dhomme-inanime-en-pleine-rue-a-alma-f10a89838015e2692357ef8f5a1b9898,2021-08-19 09:08:51,local
Sainte-Agathe-des-Monts,accident,11,La Presse,Secte juive extrémiste | Des dirigeants de Lev Tahor accusés d'exploitation d'enfants,2021-04-19,122,https://www.lapresse.ca/actualites/2021-04-19/secte-juive-extremiste/des-dirigeants-de-lev-tahor-accuses-d-exploitation-d-enfants.php,2021-08-19 09:08:51,local
Sainte-Agathe-des-Monts,accident,12,Journal Accès,Meurtre à Sainte-Adèle : La victime Yoan Lauzon possédait un casier judiciaire - Accès Laurentides,2020-10-19,304,https://www.journalacces.ca/meurtre-a-sainte-adele-la-victime-yoan-lauzon-possedait-un-casier-judiciaire/,2021-08-19 09:08:51,local
Sainte-Agathe-des-Monts,accident,13,Journal Accès,Décès sur la piste cyclable : « Ce n'est pas un cas isolé finalement » - François Groleau - Accès Laurentides,,,https://www.journalacces.ca/deces-sur-la-piste-cyclable-%E2%80%89ce-nest-pas-un-cas-isole-finalement%E2%80%89-francois-groleau/,2021-08-19 09:08:51,local
Sainte-Agathe-des-Monts,accident,14,La Presse,Tournages : une année prometteuse pour les Laurentides,2021-07-06,44,https://www.lapresse.ca/cinema/2021-07-06/tournages-une-annee-prometteuse-pour-les-laurentides.php,2021-08-19 09:08:52,local
Sainte-Agathe-des-Monts,accident,15,Le Journal de Montréal,Val-David dit non à l'asphalte,,,https://www.journaldemontreal.com/2020/08/07/val-david-dit-non-a-lasphalte,2021-08-19 09:08:52,local
Sainte-Agathe-des-Monts,accident,16,Le Droit - Groupe Capitales Médias,Regard sur certaines des visites du prince Philip au Canada au fil des ans [PHOTOS],2021-04-09,132,https://www.ledroit.com/actualites/regard-sur-certaines-des-visites-du-prince-philip-au-canada-au-fil-des-ans-photos-528f85b467233aebbd3f33eaed5a3e0a,2021-08-19 09:08:52,local
Sainte-Agathe-des-Monts,accident,17,Le Journal de Montréal,Le sous-financement du système de santé dénoncé dans les Laurentides,2021-04-25,116,https://www.journaldemontreal.com/2021/04/25/le-sous-financement-du-systeme-de-sante-denonce-dans-les-laurentides,2021-08-19 09:08:52,local
Sainte-Agathe-des-Monts,accident,18,ICI.Radio-Canada.ca,Un appel à l'action aux automobilistes et aux élus pour protéger les piétons,2020-09-13,340,https://ici.radio-canada.ca/nouvelle/1733540/pietons-quebec-sensibilisation-campagne-amenagements-rues,2021-08-19 09:08:52,local
Sainte-Agathe-des-Monts,accident,19,Le Soleil - Groupe Capitales Médias,Deux personnes perdent la vie dans l'incendie d'une résidence du Vieux-Lévis,2021-07-17,33,https://www.lesoleil.com/actualite/justice-et-faits-divers/deux-personnes-perdent-la-vie-dans-lincendie-dune-residence-du-vieux-levis-90432cdb08bd313a89aae82e9b8326f5,2021-08-19 09:08:52,local
Sainte-Agathe-des-Monts,accident,20,Le Journal de Montréal,Drame à La Conception: «Il a tout tenté» pour les sauver,,,https://www.journaldemontreal.com/2020/08/08/drame-a-la-conception--lidentite-du-pere-devoilee,2021-08-19 09:08:53,local
Sainte-Agathe-des-Monts,accident,21,La Presse,Fête des Pères | Tout pour papa | La Presse,2021-06-12,68,https://www.lapresse.ca/societe/famille/2021-06-12/fete-des-peres/tout-pour-papa.php,2021-08-19 09:08:53,local
Sainte-Agathe-des-Monts,accident,22,ICI.Radio-Canada.ca,Accident mortel impliquant un cycliste à Mont-Tremblant,,,https://ici.radio-canada.ca/nouvelle/1045587/cycliste-accident-velo-tremblant-mont,2021-08-19 09:08:53,local
Sainte-Agathe-des-Monts,accident,23,Le Soleil - Groupe Capitales Médias,Un motoneigiste perd la vie dans une embardée à Saint-Ferréol-les-Neiges,2021-03-07,165,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-motoneigiste-perd-la-vie-dans-une-embardee-a-saint-ferreol-les-neiges-9fa3a6eacfadad2fe45ac1a91e99881e,2021-08-19 09:08:53,local
Sainte-Agathe-des-Monts,accident,24,Pole-Position magazine,10 juin : Brian Redman grièvement blessé lors d'un accident à bord d'une Can-Am au Mont-Tremblant en 1977,2021-06-10,70,https://www.poleposition.ca/actualite/2021/06/10/10-juin-brian-redman-grievement-blesse-lors-dun-accident-a-bord-dune-can-am-au-mont-tremblant-en-1977/,2021-08-19 09:08:53,local
Sainte-Agathe-des-Monts,accident,25,TVA Nouvelles,Embardée mortelle dans les Laurentides: le conducteur est arrêté,,,https://www.tvanouvelles.ca/2018/06/01/embardee-mortelle-dans-les-laurentides-le-conducteur-est-arrete-1,2021-08-19 09:08:54,local
Sainte-Agathe-des-Monts,décès OR mort,1,NecrologieCanada,GUeVIN GeRALD dit JERRY 1930 2021,2021-08-18,1,https://necrocanada.com/deces-2021/guevin-gerald-dit-jerry-1930-2021/,2021-08-19 09:09:33,local
Sainte-Agathe-des-Monts,décès OR mort,2,NecrologieCanada,BeLANGER Roland 19382021,2021-07-26,24,https://necrocanada.com/deces-2021/belanger-roland-19382021/,2021-08-19 09:09:33,local
Sainte-Agathe-des-Monts,décès OR mort,3,NecrologieCanada,Mme Annie Fortin 2021,2021-08-05,14,https://necrocanada.com/deces-2021/mme-annie-fortin-2021/,2021-08-19 09:09:33,local
Sainte-Agathe-des-Monts,décès OR mort,4,Le Journal de Montréal,Sainte-Agathe-des-Monts sous le choc au lendemain du décès d'un ado,,,https://www.journaldemontreal.com/2019/09/13/sainte-agathe-des-monts-sous-le-choc-au-lendemain-du-deces-dun-ado-1,2021-08-19 09:09:33,local
Sainte-Agathe-des-Monts,décès OR mort,5,Le Journal de Montréal,"Circé, Pierre",2021-02-10,190,https://www.journaldemontreal.com/2021/02/10/a25137568e/circe-pierre,2021-08-19 09:09:34,local
Sainte-Agathe-des-Monts,décès OR mort,6,Le Journal de Québec,Ste-Agathe-des-Monts: superbe plain-pied avec vue resplendissante sur le Lac des Sables,2021-06-30,50,https://www.journaldequebec.com/2021/06/30/ste-agathe-des-monts-superbe-plain-pied-avec-vue-resplendissante-sur-le-lac-des-sables,2021-08-19 09:09:34,local
Sainte-Agathe-des-Monts,décès OR mort,7,Le Journal de Québec,Sainte-Agathe-des-Monts: magnifique propriété avec vue exceptionnelle sur les montagnes,2021-04-30,111,https://www.journaldequebec.com/2021/04/30/sainte-agathe-des-monts-magnifique-propriete-avec-vue-exceptionnelle-sur-les-montagnes-et-une-superbe-terrasse,2021-08-19 09:09:34,local
Sainte-Agathe-des-Monts,décès OR mort,8,Le Journal de Montréal,Un producteur de pot d'ici voit grand,2021-07-12,38,https://www.journaldemontreal.com/2021/07/12/un-producteur-de-pot-dici-voit-grand,2021-08-19 09:09:34,local
Sainte-Agathe-des-Monts,décès OR mort,9,Le Journal de Montréal,"TOURANGEAU, André",2021-05-15,96,https://www.journaldemontreal.com/2021/05/15/cf47df725a/tourangeau-andre,2021-08-19 09:09:34,local
Sainte-Agathe-des-Monts,décès OR mort,10,NecrologieCanada,Michele Roger Nee Theberge 19462021,2021-05-19,92,https://necrocanada.com/deces-2021/michele-roger-nee-theberge-19462021/,2021-08-19 09:09:35,local
Sainte-Agathe-des-Monts,décès OR mort,11,Le Journal de Québec,Sainte-Agathe-des-Monts: maison style chalet suisse avec vues à couper le souffle,2021-06-15,65,https://www.journaldequebec.com/2021/06/15/ste-agathe-des-monts-maison-style-chalet-suisse-avec-vues-a-couper-le-souffle,2021-08-19 09:09:35,local
Sainte-Agathe-des-Monts,décès OR mort,12,Le Journal de Montréal,DESJARDINS née LEGAULT Thérèse,2021-07-17,33,https://www.journaldemontreal.com/2021/07/17/36986a663b/desjardins-nee-legault--therese,2021-08-19 09:09:35,local
Sainte-Agathe-des-Monts,décès OR mort,13,Le Journal de Québec,Walmart: les caissiers en voie de disparition,2021-06-18,62,https://www.journaldequebec.com/2021/06/18/walmart-les-caissiers-sur-le-chemin-de-la-sortie,2021-08-19 09:09:35,local
Sainte-Agathe-des-Monts,décès OR mort,14,Le Journal de Québec,M. «élections clés en main» est décédé,2021-03-13,159,https://www.journaldequebec.com/2021/03/13/melections-cles-en-main-est-decede,2021-08-19 09:09:36,local
Sainte-Agathe-des-Monts,décès OR mort,15,Radio-Canada.ca,Des parents créent une publicité dans l'espoir de trouver une place en garderie,2021-05-06,105,https://ici.radio-canada.ca/nouvelle/1790889/parents-publicite-journal-place-garderie-cv-bebe,2021-08-19 09:09:36,local
Sainte-Agathe-des-Monts,décès OR mort,16,Le Journal de Montréal,Drame à La Conception: «Il a tout tenté» pour les sauver,,,https://www.journaldemontreal.com/2020/08/08/drame-a-la-conception--lidentite-du-pere-devoilee,2021-08-19 09:09:36,local
