Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Thetford Mines,"""premier ministre""",1,La Nouvelle Union,Luc Berthold lance sa troisième campagne électorale dans Mégantic-L'Érable,2021-08-16,3,https://www.lanouvelle.net/2021/08/16/luc-berthold-lance-sa-troisieme-campagne-electorale-dans-megantic-lerable/,2021-08-19 14:13:25,national
Thetford Mines,"""premier ministre""",2,Courrier Frontenac,André Lamontagne devient ministre responsable de la région de la Chaudière-Appalaches,2021-05-06,105,https://www.courrierfrontenac.qc.ca/2021/05/06/andre-lamontagne-devient-ministre-responsable-de-la-region-de-la-chaudiere-appalaches/,2021-08-19 14:13:26,national
Thetford Mines,"""premier ministre""",3,Courrier Frontenac,La Chaudière-Appalaches retourne en rouge,2021-03-31,141,https://www.courrierfrontenac.qc.ca/2021/03/31/la-chaudiere-appalaches-retourne-en-rouge/,2021-08-19 14:13:26,national
Thetford Mines,"""premier ministre""",4,Courrier Frontenac,Chaudière-Appalaches basculera en zone orange dès le 8 mars,2021-03-03,169,https://www.courrierfrontenac.qc.ca/2021/03/03/chaudiere-appalaches-basculera-en-zone-orange-des-le-8-mars/,2021-08-19 14:13:26,national
Thetford Mines,"""premier ministre""",5,Courrier Frontenac,La MRC des Appalaches de retour en zone orange dès lundi,2021-05-25,86,https://www.courrierfrontenac.qc.ca/2021/05/25/la-mrc-des-appalaches-de-retour-en-zone-orange-des-lundi/,2021-08-19 14:13:26,national
Thetford Mines,"""premier ministre""",6,Courrier Frontenac,Les mesures spéciales d'urgence étendues à la MRC des Appalaches,2021-04-13,128,https://www.courrierfrontenac.qc.ca/2021/04/13/les-mesures-speciales-durgence-etendues-a-la-mrc-des-appalaches/,2021-08-19 14:13:27,national
Thetford Mines,"""premier ministre""",7,Courrier Frontenac,Thetford souhaite que les efforts de ses citoyens soient mieux reconnus,2021-04-28,113,https://www.courrierfrontenac.qc.ca/2021/04/28/thetford-souhaite-que-les-efforts-de-ses-citoyens-soient-mieux-reconnus/,2021-08-19 14:13:27,national
Thetford Mines,"""premier ministre""",8,Courrier Frontenac,Le premier ministre François Legault de passage à Thetford ce jeudi,2020-08-25,359,https://www.courrierfrontenac.qc.ca/2020/08/25/le-premier-ministre-francois-legault-de-passage-a-thetford-ce-jeudi/,2021-08-19 14:13:27,national
Thetford Mines,"""premier ministre""",9,Courrier Frontenac,Les mesures spéciales d'urgence de nouveau prolongées,2021-04-27,114,https://www.courrierfrontenac.qc.ca/2021/04/27/les-mesures-speciales-durgence-de-nouveau-prolongees/,2021-08-19 14:13:27,national
Thetford Mines,"""premier ministre""",10,Courrier Frontenac,Des budgets attendus pour la gestion de l'amiante et des résidus miniers,2021-03-25,147,https://www.courrierfrontenac.qc.ca/2021/03/25/des-budgets-attendus-pour-la-gestion-de-lamiante-et-des-residus-miniers/,2021-08-19 14:13:27,national
Thetford Mines,"""premier ministre""",11,Le Journal de Québec,[VIDÉO] Une femme de Thetford Mines et ses chiens épatent à «America's Got Talent»,2021-07-01,49,https://www.journaldequebec.com/2021/07/01/video-une-femme-de-thetford-mines-et-ses-chiens-epatent-a-americas-got-talent,2021-08-19 14:13:27,national
Thetford Mines,"""premier ministre""",12,Le Journal de Québec,Une nouvelle accusation d'agression sexuelle contre le collectionneur de voitures de Thetford Mines,2021-06-09,71,https://www.journaldequebec.com/2021/06/09/une-nouvelle-accusation-dagression-sexuelle-contre-le-collectionneur-de-voitures-de-thetford-mines,2021-08-19 14:13:28,national
Thetford Mines,"""premier ministre""",13,Courrier Frontenac,Publicité sur l'amiante : Luc Berthold dénonce une campagne de peur,2021-06-11,69,https://www.courrierfrontenac.qc.ca/2021/06/11/publicite-sur-lamiante-luc-berthold-denonce-une-campagne-de-peur/,2021-08-19 14:13:28,national
Thetford Mines,"""premier ministre""",14,Courrier Frontenac,Autres resserrements en zone rouge,2021-04-06,135,https://www.courrierfrontenac.qc.ca/2021/04/06/autres-resserrements-en-zone-rouge/,2021-08-19 14:13:28,national
