Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Ville-Marie,élection OR campagne,1,La Presse,Élections municipales | La course vers l'élection s'accélère à Montréal,2021-08-12,7,https://www.lapresse.ca/actualites/grand-montreal/2021-08-12/elections-municipales/la-course-vers-l-election-s-accelere-a-montreal.php,2021-08-19 13:48:58,mixte
Ville-Marie,élection OR campagne,2,Journal Métro,Élections: Sophie Thiébaut passe de la Ville de Montréal au NPD,2021-08-09,10,https://journalmetro.com/local/sud-ouest/2678347/elections-sophie-thiebaut-passe-de-la-ville-de-montreal-au-npd/,2021-08-19 13:48:59,mixte
Ville-Marie,élection OR campagne,3,Le Devoir,Montréal présente un plan de 885 millions pour accélérer l'électrification des transports,2021-08-17,2,https://www.ledevoir.com/economie/625434/transports-un-electrochoc-de-885-millions-pour-accelerer-l-electrification-a-montreal,2021-08-19 13:48:59,mixte
Ville-Marie,élection OR campagne,4,Le Nouvelliste - Groupe Capitales Médias,Campagne fédérale: les candidats prêts à en découdre dans la région,2021-08-17,2,https://www.lenouvelliste.ca/actualites/campagne-federale-les-candidats-prets-a-en-decoudre-dans-la-region-4a524e1826e145f4c76be4da3169d4c4,2021-08-19 13:48:59,mixte
Ville-Marie,élection OR campagne,5,Le Journal de Québec,Mairie de Québec: Marchand déjà dans le «dernier droit»,2021-08-17,2,https://www.journaldequebec.com/2021/08/17/mairie-de-quebec-marchand-deja-dans-le-dernier-droit,2021-08-19 13:49:00,mixte
Ville-Marie,élection OR campagne,6,ONFR+,Élections fédérales : l'Ontario va-t-il faire pencher la balance ?,2021-08-16,3,https://onfr.tfo.org/elections-federales-lontario-va-t-il-faire-pencher-la-balance/,2021-08-19 13:49:00,mixte
Ville-Marie,élection OR campagne,7,Journal Métro,Christine Black: trouver l'équilibre entre maternité et mairie,2021-08-02,17,https://journalmetro.com/local/montreal-nord/2674936/christine-black-trouver-lequilibre-entre-maternite-et-mairie/,2021-08-19 13:49:01,mixte
Ville-Marie,élection OR campagne,8,Journal Métro,Élections fédérales: des luttes à surveiller dans l'Est,2021-08-13,6,https://journalmetro.com/local/pointe-aux-trembles-montreal-est/2681360/elections-federales-des-luttes-a-surveiller-dans-lest/,2021-08-19 13:49:01,mixte
Ville-Marie,élection OR campagne,9,La Releve,"Les affiches électorales apparaissent, puis disparaissent à Longueuil",2021-08-17,2,https://www.lareleve.qc.ca/2021/08/17/les-affiches-electorales-apparaissent-puis-disparaissent-a-longueuil/,2021-08-19 13:49:01,mixte
Ville-Marie,élection OR campagne,10,Radio-Canada.ca,Une fondation pour les itinérants utilisée pour un mouvement complotiste,2021-07-26,24,https://ici.radio-canada.ca/recit-numerique/2709/fondation--itinerants-mouvement-complotiste,2021-08-19 13:49:02,mixte
Ville-Marie,élection OR campagne,11,Le Citoyen Val-d'Or - Amos,La région passe à cinq cas actifs de Covid-19,2021-07-27,23,https://www.lecitoyenvaldoramos.com/article/2021/07/27/la-region-passe-a-cinq-cas-actifs-de-covid-19,2021-08-19 13:49:02,mixte
