Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Baie-Saint-Paul,accident,1,TVA Nouvelles,Un motocycliste dans un état grave à Baie-Saint-Paul,2021-08-28,0,https://www.tvanouvelles.ca/2021/08/28/un-motocycliste-dans-un-etat-grave-a-baie-saint-paul,2021-08-28 16:18:26,local
Baie-Saint-Paul,accident,2,Zone911,Quatre blessés dans une collision frontale dans Charlevoix - Actualités,2021-07-02,57,https://zone911.com/accidents/31074-quatre-blesses-dans-une-collision-frontale-dans-charlevoix,2021-08-28 16:18:26,local
Baie-Saint-Paul,accident,3,LaDepeche.fr,Alpes-Maritimes : une cinquantaine de bateaux rassemblés pour une free party dans la baie de Cannes,2021-08-23,5,https://www.ladepeche.fr/2021/08/23/alpes-maritimes-une-cinquantaine-de-bateaux-rassembles-pour-une-free-party-dans-la-baie-de-cannes-9746527.php,2021-08-28 16:18:27,local
Baie-Saint-Paul,accident,4,La Presse,Un homme perd la vie dans un accident de travail à Baie-Comeau,2021-07-19,40,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-19/un-homme-perd-la-vie-dans-un-accident-de-travail-a-baie-comeau.php,2021-08-28 16:18:27,local
Baie-Saint-Paul,accident,5,Le Soleil - Groupe Capitales Médias,La chienne du jeune homme mort noyé à Baie-des-Rochers recherchée,2021-07-09,50,https://www.lesoleil.com/actualite/justice-et-faits-divers/la-chienne-du-jeune-homme-mort-noye-a-baie-des-rochers-recherchee-eebc849ff5998c599e53dea54bbfe8a3,2021-08-28 16:18:27,local
Baie-Saint-Paul,accident,6,Le Soleil - Groupe Capitales Médias,Un grave accident fait un mort à Lévis,2021-07-16,43,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-grave-accident-fait-un-mort-a-levis-a7dd01783f48a16cda8f4ba4712e6d13,2021-08-28 16:18:27,local
Baie-Saint-Paul,accident,7,CIMT-CHAU,Mise à jour : Un possible accident nautique fait un mort à Saint-Siméon,2021-07-07,52,https://cimtchau.ca/nouvelles/mise-a-jour-un-possible-accident-nautique-fait-un-mort-a-saint-simeon/,2021-08-28 16:18:27,local
Baie-Saint-Paul,accident,8,CIMT-CHAU,Deux morts et un blessé grave dans un accident à Caplan,2021-06-28,61,https://cimtchau.ca/nouvelles/deux-morts-et-un-blesse-grave-dans-un-accident-a-caplan/,2021-08-28 16:18:28,local
Baie-Saint-Paul,accident,9,CIMT-CHAU,Accident sur la route 185 près de Saint-Antonin qui ralenti la circulation routière,2021-07-19,40,https://cimtchau.ca/nouvelles/accident-sur-la-route-185-pres-de-saint-antonin-qui-ralenti-la-circulation-routiere/,2021-08-28 16:18:28,local
Baie-Saint-Paul,accident,10,CIMT-CHAU,MISE À JOUR | Accident mortel de kitesurf à L'Isle-aux-Coudres,2021-07-04,55,https://cimtchau.ca/nouvelles/grave-accident-de-kitesurf-a-lisle-aux-coudres/,2021-08-28 16:18:28,local
Baie-Saint-Paul,accident,11,La Voix de l'est - Groupe Capitales Médias,Un jeune parapentiste perd la vie au mont Yamaska,2021-06-11,78,https://www.lavoixdelest.ca/actualites/un-jeune-parapentiste-perd-la-vie-au-mont-yamaska-6550d131c79b27a19a64aa5b431453f2,2021-08-28 16:18:28,local
Baie-Saint-Paul,accident,12,Le Soleil - Groupe Capitales Médias,Accident de kitesurf à L'Isle-aux-Coudres: l'homme de 48 ans perd la vie,2021-07-05,54,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-de-kitesurf-a-lisle-aux-coudres-lhomme-de-48-ans-perd-la-vie-74b1f64c75bfec8e3cb04e87bc4ec383,2021-08-28 16:18:28,local
Baie-Saint-Paul,accident,13,Le Soleil - Groupe Capitales Médias,Quatre ados et un jeune conducteur blessés dans un accident à Honfleur,2021-07-11,48,https://www.lesoleil.com/actualite/justice-et-faits-divers/quatre-ados-et-un-jeune-conducteur-blesses-dans-un-accident-a-honfleur-793748908c06945157799deb8fa20022,2021-08-28 16:18:29,local
Baie-Saint-Paul,accident,14,Le Soleil - Groupe Capitales Médias,Arrestation pour meurtre dans Charlevoix: 9e féminicide au Québec,2021-04-13,137,https://www.lesoleil.com/actualite/justice-et-faits-divers/arrestation-pour-meurtre-dans-charlevoix-9e-feminicide-au-quebec-0925b3a6d9e29736e35f823131b3a8b3,2021-08-28 16:18:29,local
Baie-Saint-Paul,accident,15,Le Soleil - Groupe Capitales Médias,Grave accident à Honfleur: des témoins recherchés | Justice et faits divers | Actualités,2021-07-15,44,https://www.lesoleil.com/actualite/justice-et-faits-divers/grave-accident-a-honfleur-des-temoins-recherches-e7183f2c6b4e2764c1144b5cc7779507,2021-08-28 16:18:29,local
Baie-Saint-Paul,accident,16,Le Soleil - Groupe Capitales Médias,Grave accident de véhicule côte-à-côte en Gaspésie,2021-07-19,40,https://www.lesoleil.com/actualite/justice-et-faits-divers/grave-accident-de-vehicule-cote-a-cote-en-gaspesie-9905d0bddcd86a374fe1493cb10736ea,2021-08-28 16:18:30,local
Baie-Saint-Paul,accident,17,CIMT-CHAU,Décès du travailleur impliqué dans un accident de sciage au Kamouraska,2021-04-02,148,https://cimtchau.ca/nouvelles/deces-du-travailleur-implique-dans-un-accident-de-sciage-au-kamouraska/,2021-08-28 16:18:30,local
Baie-Saint-Paul,accident,18,Le Soleil - Groupe Capitales Médias,Délit de fuite mortel dans Charlevoix: le cauchemar quotidien d'une mère,,,https://www.lesoleil.com/actualite/delit-de-fuite-mortel-dans-charlevoix-le-cauchemar-quotidien-dune-mere-67a71d8b3c7789704e788caf62569a8d,2021-08-28 16:18:30,local
Baie-Saint-Paul,accident,19,CIMT-CHAU,Une explosion provoque un blessé à Petite-Rivière-Saint-François,2021-06-29,60,https://cimtchau.ca/nouvelles/une-explosion-provoque-un-blesse-a-petite-riviere-saint-francois/,2021-08-28 16:18:30,local
Baie-Saint-Paul,accident,20,Le Soleil - Groupe Capitales Médias,Accident de VTT mortel à Sainte-Anne-de-Beaupré,2021-04-28,122,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-de-vtt-mortel-a-sainte-anne-de-beaupre-25b7228724be8231033281d87880bed5,2021-08-28 16:18:30,local
Baie-Saint-Paul,accident,21,Le Quotidien - Groupe Capitales Médias,Carambolage à Saint-Félicien et accident à Saint-Gédéon | Justice et faits divers | Actualités,2021-03-04,177,https://www.lequotidien.com/actualites/justice-et-faits-divers/carambolage-a-saint-felicien-et-accident-a-saint-gedeon-333d4ec53df6d8b868bc0368ef3849d4,2021-08-28 16:18:31,local
Baie-Saint-Paul,accident,22,CIMT-CHAU,Accident entre deux camions semi-remorque à Maria,2021-06-28,61,https://cimtchau.ca/nouvelles/accident-entre-deux-camions-semi-remorque-a-maria/,2021-08-28 16:18:31,local
Baie-Saint-Paul,accident,23,Le Soleil - Groupe Capitales Médias,Accident de cyclomoteur à Saint-Georges en Beauce: un adolescent est gravement blessé,2021-07-23,36,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-de-cyclomoteur-a-saint-georges-en-beauce-un-adolescent-est-gravement-blesse-ca8a6b019d5bc78cfa410d15e63fe495,2021-08-28 16:18:31,local
Baie-Saint-Paul,accident,24,Le Soleil - Groupe Capitales Médias,L'éditeur Michel Brûlé meurt dans un accident de vélo au Brésil,2021-06-01,88,https://www.lesoleil.com/actualite/lediteur-michel-brule-meurt-dans-un-accident-de-velo-au-bresil-69807d645ff23c142a8f5f5ee74157d5,2021-08-28 16:18:31,local
Baie-Saint-Paul,accident,25,CIMT-CHAU,Accident à Saint-Siméon-de-Bonaventure - TVA CIMT CHAU,2021-06-12,77,https://cimtchau.ca/nouvelles/accident-a-saint-simeon-de-bonaventure/,2021-08-28 16:18:32,local
Baie-Saint-Paul,décès OR mort,1,NecrologieCanada,Lavoie Rita 2021,2021-08-10,18,https://necrocanada.com/deces-2021/lavoierita-2021/,2021-08-28 16:19:07,local
Baie-Saint-Paul,décès OR mort,2,NecrologieCanada,Tremblay Suzanne 2021,2021-08-04,24,https://necrocanada.com/deces-2021/tremblaysuzanne-2021/,2021-08-28 16:19:07,local
