Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Carleton-sur-Mer,élection OR campagne,1,L'Avant-Poste,Louis-Éric Savoie défendra les couleurs du Parti libéral dans Avignon-La Mitis-Matane-Matapédia,2021-08-23,5,https://www.lavantposte.ca/article/2021/08/23/louis-eric-savoie-defendra-les-couleurs-du-parti-liberal-dans-avignon-la-mitis-matane-matapedia,2021-08-28 17:30:33,mixte
Carleton-sur-Mer,élection OR campagne,2,Le Soleil - Groupe Capitales Médias,"Cinq questions à Jacques Bujold, concepteur et administrateur du Festival des cerfs-volants de Carleton-sur-Mer",2021-08-18,10,https://www.lesoleil.com/actualite/en-region/cinq-questions-a-jacques-bujold-concepteur-et-administrateur-du-festival-des-cerfs-volants-de-carleton-sur-mer-c2f37e1d9fb7d1d3f0b0620e3b20e72f,2021-08-28 17:30:34,mixte
Carleton-sur-Mer,élection OR campagne,3,Gaspésie Nouvelles,"Fonds régions et ruralité : 16 projets se partagent 4,1 M$",2021-08-23,5,https://www.gaspesienouvelles.com/article/2021/08/23/fonds-regions-et-ruralite-16-projets-se-partagent-4-1-m,2021-08-28 17:30:34,mixte
Carleton-sur-Mer,élection OR campagne,4,Radio Gaspésie C J R G - FM,Le chef du PQ en Gaspésie,2021-07-30,29,https://www.radiogaspesie.ca/nouvelles/actualite/le-chef-du-pq-en-gaspesie/,2021-08-28 17:30:34,mixte
Carleton-sur-Mer,élection OR campagne,5,Radio Gaspésie C J R G - FM,Cliniques de vaccination pour la rentrée des cégépiens,2021-08-18,10,https://www.radiogaspesie.ca/nouvelles/actualite/cliniques-de-vaccinations-pour-la-rentree-des-cegepiens/,2021-08-28 17:30:34,mixte
Carleton-sur-Mer,élection OR campagne,6,ICI.Radio-Canada.ca,Incendie sur le mont Saint-Joseph : la direction du parc en mode prévention,2021-07-20,39,https://ici.radio-canada.ca/nouvelle/1810239/incendie-motorise-mont-st-joseph-signalisation-parc-regional-sensibilisation,2021-08-28 17:30:34,mixte
Carleton-sur-Mer,élection OR campagne,7,ICI.Radio-Canada.ca,Le chef du Parti québécois en tournée dans l'Est-du-Québec,2021-07-29,30,https://ici.radio-canada.ca/nouvelle/1812583/tournee-paul-st-pierre-plamondon-est-quebec-gaspesie-bas-st-laurent-iles-madeleine,2021-08-28 17:30:35,mixte
Carleton-sur-Mer,élection OR campagne,8,ICI.Radio-Canada.ca,Objets recherchés pour créer une œuvre d'art publique à Carleton-sur-Mer,2021-07-25,34,https://ici.radio-canada.ca/nouvelle/1811389/oeuvre-art-publique-louis-couturier-louis-lafargue-carleton-sur-mer-collecte-objets,2021-08-28 17:30:35,mixte
Carleton-sur-Mer,élection OR campagne,9,CIMT-CHAU,Réfection de la route 132 : Carleton-sur-mer s'impatiente,2021-04-29,121,https://cimtchau.ca/nouvelles/refection-de-la-route-132-carleton-sur-mer-simpatiente/,2021-08-28 17:30:35,mixte
Carleton-sur-Mer,élection OR campagne,10,ICI.Radio-Canada.ca,Une corvée pour restaurer le Karaboudga,2021-05-09,111,https://ici.radio-canada.ca/nouvelle/1791571/karaboudga-restauration-ecomusee-tracadieche-carleron-sur-mer-histoire-peche-morue-chalut,2021-08-28 17:30:35,mixte
