Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Chambly,"""premier ministre""",1,La Presse,Notre bilan de la semaine | La Presse,2021-08-28,0,https://www.lapresse.ca/elections-federales/2021-08-28/notre-bilan-de-la-semaine.php,2021-08-28 18:10:14,national
Chambly,"""premier ministre""",2,Chambly Matin,"Fabrice Gélinas Larrain est candidat pour le parti vert dans la circonscription de Beloeil-Chambly - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-08-26,2,https://www.chamblymatin.com/politique/nouvelles/politique/parti-vert-fsbrice-gelinas-larrain-circonscription-de-beloeil-chambly-elections-federales.html,2021-08-28 18:10:14,national
Chambly,"""premier ministre""",3,Chambly Matin,"COVID-19 : la vaccination obligatoire pour le personnel de la santé - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-08-18,10,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/covid-19-vaccination-oubligatoire-personnel-de-la-sante-francois-legault-premier-ministre-du-quebec.html,2021-08-28 18:10:15,national
Chambly,"""premier ministre""",4,L'Oeil Régional,Le journal de la Vallée du Richelieu,2021-08-18,10,https://www.oeilregional.com/yves-francois-blanchet-determinea-conserver-beloeil-chambly/,2021-08-28 18:10:15,national
Chambly,"""premier ministre""",5,La Presse,Transferts en santé | Blanchet réclame une « conversation » avec les provinces,2021-08-19,9,https://www.lapresse.ca/elections-federales/2021-08-19/transferts-en-sante/blanchet-reclame-une-conversation-avec-les-provinces.php,2021-08-28 18:10:15,national
Chambly,"""premier ministre""",6,Le Journal de Chambly,Rentrée 2021: moins de mesures qu'en 2020 - Le journal de Chambly,2021-08-11,17,https://www.journaldechambly.com/rentree-2021-moins-de-mesures-quen-2020/,2021-08-28 18:10:15,national
Chambly,"""premier ministre""",7,Le Journal de Chambly,Passeport vaccinal : confirmation du 1er septembre - Le journal de Chambly,2021-08-10,18,https://www.journaldechambly.com/passeport-vaccinal-confirmation-du-1er-septembre/,2021-08-28 18:10:16,national
Chambly,"""premier ministre""",8,Le Journal de Chambly,Élections fédérales : rendez-vous aux urnes le 20 septembre - Le journal de Chambly,2021-08-13,15,https://www.journaldechambly.com/elections-federales-rendez-vous-aux-urnes-le-20-septembre/,2021-08-28 18:10:16,national
Chambly,"""premier ministre""",9,Coup d'Oeil,Christine Normandin parle des gains importants du Bloc,2021-08-03,25,https://www.coupdoeil.info/2021/08/03/christine-normandin-parle-des-gains-importants-du-bloc/,2021-08-28 18:10:16,national
Chambly,"""premier ministre""",10,Chambly Matin,"Le couvre-feu demeurera à 21 h 30 en Montérégie - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-04-08,142,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/covid-19-couvre-feu-monteregie-montreal-laval-mesures-sanitaire-premier-ministre-du-quebec-francois-legault.html,2021-08-28 18:10:16,national
Chambly,"""premier ministre""",11,Chambly Matin,"COVID-19 : tout le Québec passera au palier vert dès le 28 juin - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-06-23,66,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/quebec-covid-19-palier-vert-premier-ministre-du-quebec-francois-legault.html,2021-08-28 18:10:17,national
Chambly,"""premier ministre""",12,Chambly Matin,"COVID-19 : assouplissement progressif des mesures pour tous, à partir du 28 mai - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-05-19,101,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/covid-19-deconfinement-assouplissement-progressif-francois-legault-premier-ministre-du-quebec.html,2021-08-28 18:10:17,national
Chambly,"""premier ministre""",13,Chambly Matin,"Des investissements de 45 000$ pour soutenir les infrastructures jeunesse dans la circonscription de Chambly - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-06-22,67,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/jean-francois-roberge-investissements-infrastructures-jeunesse-circonscription-se-chambly-depute-de-chambly.html,2021-08-28 18:10:17,national
Chambly,"""premier ministre""",14,Le Journal de Chambly,Le Québec résiste pour l'instant à la troisième vague - Le journal de Chambly,2021-03-23,158,https://www.journaldechambly.com/le-quebec-resiste-pour-linstant-a-la-troisieme-vague/,2021-08-28 18:10:18,national
Chambly,"""premier ministre""",15,Le Journal de Chambly,Des maux qui résonnent - Le journal de Chambly,2021-02-08,201,https://www.journaldechambly.com/des-maux-qui-resonnent/,2021-08-28 18:10:18,national
Chambly,"""premier ministre""",16,Chambly Matin,"COVID-19 : le grand Montréal reste en zone rouge - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-03-04,177,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/covid-19-francois-legault-zone-rouge-grand-montreal-monteregie-vaccin-gouvernement-du-quebec.html,2021-08-28 18:10:18,national
Chambly,"""premier ministre""",17,Chambly Matin,"COVID-19 : la Montérégie pourrait passer en zone orange bientôt - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-05-12,108,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/covid-19-monteregie-passera-bientot-en-zone-orange-premier-ministre-du-quebec-francois-legault.html,2021-08-28 18:10:18,national
Chambly,"""premier ministre""",18,La Presse,Chambly | La tutelle prendra fin le 19 juin,2021-06-09,80,https://www.lapresse.ca/actualites/politique/2021-06-09/chambly/la-tutelle-prendra-fin-le-19-juin.php,2021-08-28 18:10:18,national
Chambly,"""premier ministre""",19,Le Journal de Chambly,COVID-19 : dernière ligne droite avant la semaine verte - Le journal de Chambly,2021-06-22,67,https://www.journaldechambly.com/covid-18-derniere-ligne-droit-avant-la-semaine-verte/,2021-08-28 18:10:19,national
Chambly,"""premier ministre""",20,Le Journal de Chambly,Le député de Chambly décédait il y a cinq décennies - Le journal de Chambly,2020-10-16,316,https://www.journaldechambly.com/le-depute-de-chambly-decedait-il-y-a-cinq-decennies/,2021-08-28 18:10:19,national
Chambly,"""premier ministre""",21,Le Journal de Chambly,Yves-François Blanchet ne fait pas d'excuses au ministre des Transports Omar Alghabra - Le journal de Chambly,2021-01-26,214,https://www.journaldechambly.com/yves-francois-blanchet-ne-fait-pas-dexcuses-au-ministre-des-transports-omar-alghabra/,2021-08-28 18:10:19,national
Chambly,"""premier ministre""",22,Le Journal de Chambly,Le couvre-feu passe à 21 h 30 mercredi soir - Le journal de Chambly,2021-03-16,165,https://www.journaldechambly.com/le-couvre-feu-passe-a-21-h-30-mercredi-soir/,2021-08-28 18:10:19,national
