Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Dolbeau-Mistassini,accident,1,Le Quotidien - Groupe Capitales Médias,L'affaire Jimmy Bouchard ravive de douloureux souvenirs,2021-08-04,24,https://www.lequotidien.com/actualites/laffaire-jimmy-bouchard-ravive-de-douloureux-souvenirs-d20559c6cc68b40c9d4c6b999c21eb57,2021-08-28 17:08:32,local
Dolbeau-Mistassini,accident,2,Le Quotidien - Groupe Capitales Médias,Incendie mortel à Dolbeau-Mistassini | Justice et faits divers | Actualités,2021-05-10,110,https://www.lequotidien.com/actualites/justice-et-faits-divers/incendie-mortel-a-dolbeau-mistassini-5896904d88e00ab5dfdb3b2d2e65cbd7,2021-08-28 17:08:32,local
Dolbeau-Mistassini,accident,3,Le Quotidien - Groupe Capitales Médias,Sauvetage in extremis dans la rivière Mistassini | Justice et faits divers | Actualités,2021-07-09,50,https://www.lequotidien.com/actualites/justice-et-faits-divers/sauvetage-in-extremis-dans-la-riviere-mistassini-9a0b15a44a32a0c548a553ddab1e2d92,2021-08-28 17:08:32,local
Dolbeau-Mistassini,accident,4,Le Quotidien - Groupe Capitales Médias,La Croix de bravoure pour un policier de Dolbeau-Mistassini,2021-04-22,128,https://www.lequotidien.com/actualites/la-croix-de-bravoure-pour-un-policier-de-dolbeau-mistassini-5b369ba91d1bbcc28ab0997ebfb55da9,2021-08-28 17:08:32,local
Dolbeau-Mistassini,accident,5,ICI.Radio-Canada.ca,Un homme porté disparu dans la rivière Mistassini,2021-04-19,131,https://ici.radio-canada.ca/nouvelle/1785910/sauvetage-homme-vtt-operation-sq,2021-08-28 17:08:32,local
Dolbeau-Mistassini,accident,6,Journal Nouvelles Hebdo,Incendie à Saint-Augustin,2021-07-22,37,https://www.nouvelleshebdo.com/faitsdivers/incendie-a-saint-augustin/,2021-08-28 17:08:33,local
Dolbeau-Mistassini,accident,7,Journal Nouvelles Hebdo,Accident de travail à la scierie de Mistassini,2021-04-13,137,https://www.nouvelleshebdo.com/faitsdivers/accident-de-travail-a-la-scierie-de-mistassini/,2021-08-28 17:08:33,local
Dolbeau-Mistassini,accident,8,Le Quotidien - Groupe Capitales Médias,Opération policière à Dolbeau-Mistassini: l'homme se rend,2020-12-31,240,https://www.lequotidien.com/actualites/operation-policiere-a-dolbeau-mistassini-lhomme-se-rend-2c16c70bb3a1cef71fe9ab948567e0c7,2021-08-28 17:08:33,local
Dolbeau-Mistassini,accident,9,Le Quotidien - Groupe Capitales Médias,Carambolage à Saint-Félicien et accident à Saint-Gédéon | Justice et faits divers | Actualités,2021-03-04,177,https://www.lequotidien.com/actualites/justice-et-faits-divers/carambolage-a-saint-felicien-et-accident-a-saint-gedeon-333d4ec53df6d8b868bc0368ef3849d4,2021-08-28 17:08:33,local
Dolbeau-Mistassini,accident,10,ICI.Radio-Canada.ca,Un employé de la ville de Dolbeau-Mistassini meurt dans des circonstances nébuleuses,2020-10-05,327,https://ici.radio-canada.ca/nouvelle/1738449/deces-employe-dolbeau-arena,2021-08-28 17:08:33,local
Dolbeau-Mistassini,accident,11,ICI.Radio-Canada.ca,Une adolescente blessée gravement à Hébertville,2021-04-20,130,https://ici.radio-canada.ca/nouvelle/1786272/accident-herbertville-adolescente-blessee-grave,2021-08-28 17:08:34,local
