Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Joliette,élection OR campagne,1,Le Journal de Joliette,Gabriel Ste-Marie débute sa campagne électorale dans Rawdon,2021-08-27,1,https://www.lejournaldejoliette.ca/actualites/elections/435547/gabriel-ste-marie-debute-sa-campagne-electorale-dans-rawdon,2021-08-28 14:12:08,mixte
Joliette,élection OR campagne,2,L'Action,Michel Bourgeois est candidat libéral dans Joliette,2021-08-20,8,https://www.laction.com/article/2021/08/20/michel-bourgeois-est-candidat-liberal-dans-joliette,2021-08-28 14:12:08,mixte
Joliette,élection OR campagne,3,LanauWeb,Gabriel Ste-Marie débute sa campagne électorale Info Lanaudière,2021-08-25,3,https://lanauweb.info/gabriel-ste-marie-debute-sa-campagne-electorale/,2021-08-28 14:12:09,mixte
Joliette,élection OR campagne,4,Le Journal de Montréal,Fédérales 2021: tout le Québec en élections | JDM,2021-08-15,13,https://www.journaldemontreal.com/2021/08/15/federales-2021-tout-le-quebec-en-elections,2021-08-28 14:12:09,mixte
Joliette,élection OR campagne,5,Le Journal de Joliette,Yvelie Kernizan devient la candidate dans Repentigny pour le PLC,2021-08-28,0,https://www.lejournaldejoliette.ca/actualites/elections/435649/yvelie-kernizan-devient-la-candidate-dans-repentigny-pour-le-plc,2021-08-28 14:12:09,mixte
Joliette,élection OR campagne,6,LanauWeb,"Michel Bourgeois, candidat libéral dans Joliette Info Lanaudière",2021-08-18,10,https://lanauweb.info/michel-bourgeois-candidat-liberal-dans-joliette/,2021-08-28 14:12:09,mixte
Joliette,élection OR campagne,7,L'Action,La Prairiquoise Érica Poirier sera de nouveau candidate à Joliette,2021-08-18,10,https://www.laction.com/article/2021/08/20/la-prairiquoise-erica-poirier-sera-de-nouveau-candidate-a-joliette,2021-08-28 14:12:10,mixte
Joliette,élection OR campagne,8,Le Journal de Joliette,Des concours pour se faire vacciner dans Lanaudière,2021-08-08,20,https://www.lejournaldejoliette.ca/actualites/actualites/433776/des-concours-pour-se-faire-vacciner-dans-lanaudiere,2021-08-28 14:12:10,mixte
Joliette,élection OR campagne,9,Le Journal de Joliette,Se vacciner avant la rentrée dans Lanaudière,2021-08-21,7,https://www.lejournaldejoliette.ca/actualites/actualites/434868/se-vacciner-avant-la-rentree-dans-lanaudiere,2021-08-28 14:12:10,mixte
Joliette,élection OR campagne,10,Le Journal de Joliette,Osez le transport collectif à la rentrée,2021-08-21,7,https://www.lejournaldejoliette.ca/actualites/actualites/434902/osez-le-transport-collectif-a-la-rentree,2021-08-28 14:12:11,mixte
Joliette,élection OR campagne,11,L'Action,Gabriel Ste-Marie dépose officiellement sa candidature,2021-08-18,10,https://www.laction.com/article/2021/08/18/gabriel-ste-marie-depose-officiellement-sa-candidature,2021-08-28 14:12:11,mixte
Joliette,élection OR campagne,12,Le Journal de Joliette,Gabriel Ste-Marie dépose officiellement sa candidature pour les élections fédérales,2021-08-17,11,https://www.lejournaldejoliette.ca/actualites/politique/434531/gabriel-ste-marie-depose-officiellement-sa-candidature-pour-les-elections-federales,2021-08-28 14:12:11,mixte
Joliette,élection OR campagne,13,L'Action,Les MRC du nord de Lanaudière s'unissent pour faire la promotion du transport collectif,2021-08-21,7,https://www.laction.com/article/2021/08/21/les-mrc-du-nord-de-lanaudiere-s-unissent-pour-faire-la-promotion-du-transport-collectif,2021-08-28 14:12:12,mixte
Joliette,élection OR campagne,14,Mon Joliette,Yves Perron veut poursuivre le travail dans Berthier-Maskinongé,2021-08-23,5,https://monjoliette.com/yves-perron-veut-poursuivre-le-travail-dans-berthier-maskinonge/,2021-08-28 14:12:12,mixte
Joliette,élection OR campagne,15,Mon Joliette,Sûreté du Québec : Lancement de la campagne Alcool Zéro,2021-07-30,29,https://monjoliette.com/surete-du-quebec-lancement-de-la-campagne-alcool-zero/,2021-08-28 14:12:12,mixte
Joliette,élection OR campagne,16,Mon Joliette,Retour de la vente de paniers de légumes au profit de la Fondation pour la Santé du Nord de Lanaudière,2021-08-06,22,https://monjoliette.com/retour-de-la-vente-de-paniers-de-legumes-au-profit-de-la-fondation-pour-la-sante-du-nord-de-lanaudiere/,2021-08-28 14:12:12,mixte
Joliette,élection OR campagne,17,L'Action,Élections fédérales 2021 - Joliette,2021-08-15,13,https://www.laction.com/article/2021/08/15/elections-federales-2021,2021-08-28 14:12:13,mixte
