Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lachute,"""premier ministre""",1,Le Journal de Montréal,Premier ministre à temps partiel,2021-08-25,3,https://www.journaldemontreal.com/2021/08/25/premier-ministre-a-temps-partiel,2021-08-28 15:30:12,national
Lachute,"""premier ministre""",2,Le Journal de Montréal,Afghanistan: fin du pont aérien français jeudi si les États-Unis se retirent le 31 août,2021-08-24,4,https://www.journaldemontreal.com/2021/08/24/afghanistan-fin-du-pont-aerien-francais-jeudi-si-les-etats-unis-se-retirent-le-31-aout,2021-08-28 15:30:12,national
Lachute,"""premier ministre""",3,TVA Nouvelles,"Les talibans arrivés tout près de Kaboul, les Occidentaux évacuent",2021-08-13,15,https://www.tvanouvelles.ca/2021/08/13/les-talibans-arrives-tout-pres-de-kaboul,2021-08-28 15:30:13,national
Lachute,"""premier ministre""",4,Le Devoir,"La chute de Kaboul, un scénario-catastrophe pour les Afghanes",2021-08-17,11,https://www.ledevoir.com/monde/asie/625443/la-chute-de-kaboul,2021-08-28 15:30:13,national
Lachute,"""premier ministre""",5,Le Monde,"Afghanistan : trois jours après la chute de Kaboul, un gigantesque pont aérien à partir de l'aéroport encerclé par les talibans",2021-08-18,10,https://www.lemonde.fr/international/article/2021/08/18/afghanistan-le-gouvernement-britannique-veut-accueillir-20-000-refugies_6091688_3210.html,2021-08-28 15:30:13,national
Lachute,"""premier ministre""",6,TV5MONDE Info,"DIRECT - Afghanistan : les talibans essaient de donner une image rassurante, les pays occidentaux continuent à évacuer",2021-08-18,10,https://information.tv5monde.com/info/direct-afghanistan-les-talibans-essaient-de-donner-une-image-rassurante-les-pays-occidentaux,2021-08-28 15:30:13,national
Lachute,"""premier ministre""",7,TVA Nouvelles,Les événements en Afghanistan depuis la chute de Kaboul,2021-08-21,7,https://www.tvanouvelles.ca/2021/08/21/les-evenements-en-afghanistan-depuis-la-chute-de-kaboul,2021-08-28 15:30:14,national
Lachute,"""premier ministre""",8,Le Journal de Montréal,Attaque à Kaboul: Biden promet des représailles et confirme le retrait le 31 août,2021-08-26,2,https://www.journaldemontreal.com/2021/08/26/joe-biden-promet-de-pourchasser-les-auteurs-de-lattentat-de-kaboul,2021-08-28 15:30:14,national
Lachute,"""premier ministre""",9,DW (Français),Soumeylou Boubèye Maïga sous mandat de dépôt,2021-08-26,2,https://www.dw.com/fr/mali-soumeylou-boub%C3%A8ye-ma%C3%AFga/a-58995870,2021-08-28 15:30:14,national
Lachute,"""premier ministre""",10,Le Journal de Montréal,"Onze jours après le séisme, Haïti enterre encore ses morts",2021-08-25,3,https://www.journaldemontreal.com/2021/08/25/onze-jours-apres-le-seisme-haiti-enterre-encore-ses-morts-1,2021-08-28 15:30:14,national
Lachute,"""premier ministre""",11,TVA Nouvelles,Les évacuations se poursuivent à l'aéroport de Kaboul,2021-08-18,10,https://www.tvanouvelles.ca/2021/08/18/les-evacuations-se-poursuivent-a-laeroport-de-kaboul-1,2021-08-28 15:30:15,national
Lachute,"""premier ministre""",12,Le Devoir,Le G7 appelle les talibans à respecter les droits des femmes,2021-08-25,3,https://www.ledevoir.com/societe/627258/afghanistan-le-g7-appelle-les-talibans-a-respecter-les-droits-des-femmes,2021-08-28 15:30:15,national
Lachute,"""premier ministre""",13,Le Journal de Montréal,Kamala Harris promet un «engagement pérenne» des États-Unis en Asie,2021-08-23,5,https://www.journaldemontreal.com/2021/08/23/kamala-harris-promet-un-engagement-perenne-des-etats-unis-en-asie,2021-08-28 15:30:15,national
Lachute,"""premier ministre""",14,Le Journal de Montréal,"Incendies maîtrisés en Grèce, l'Europe du Sud reste en alerte",2021-08-13,15,https://www.journaldemontreal.com/2021/08/13/les-incendies-de-grece-maitrises-selon-les-pompiers,2021-08-28 15:30:15,national
Lachute,"""premier ministre""",15,Le Monde,Macron à Bagdad pour une « conférence des voisins » pour la stabilité de l'Irak et de la région,2021-08-27,1,https://www.lemonde.fr/international/article/2021/08/27/a-badgad-une-conference-des-voisins-pour-la-stabilite-de-l-irak-et-de-la-region_6092518_3210.html,2021-08-28 15:30:15,national
Lachute,"""premier ministre""",16,Jeune Afrique,Algérie : Ramtane Lamamra en première ligne – Jeune Afrique,2021-08-27,1,https://www.jeuneafrique.com/1218850/politique/algerie-ramtane-lamamra-en-premiere-ligne/,2021-08-28 15:30:16,national
Lachute,"""premier ministre""",17,World Socialist Web Site,Les réfugiés afghans confrontés à des murs frontaliers en acier et des barbelés de la part des puissances européennes,2021-08-26,2,https://www.wsws.org/fr/articles/2021/08/26/uera-a26.html,2021-08-28 15:30:16,national
Lachute,"""premier ministre""",18,Libération,Afghanistan : la France prévoit de stopper ses évacuations dès jeudi si les Etats-Unis se retirent le 31 août,2021-08-24,4,https://www.liberation.fr/international/afghanistan-la-france-prevoit-de-stopper-ses-evacuations-des-jeudi-si-les-etats-unis-se-retirent-le-31-aout-20210824_RT6DBI5EWZFSXPZKKRWWVTX4WA/,2021-08-28 15:30:16,national
Lachute,"""premier ministre""",19,Les Échos,Le parti historique UMNO revient au pouvoir en Malaisie,2021-08-20,8,https://www.lesechos.fr/monde/asie-pacifique/le-parti-historique-umno-revient-aux-manettes-en-malaisie-1340032,2021-08-28 15:30:17,national
Lachute,"""premier ministre""",20,Le Monde,"Edith Cresson, la chute d'une pionnière",2021-08-21,7,https://www.lemonde.fr/series-d-ete/article/2021/08/21/edith-cresson-la-chute-d-une-pionniere_6091977_3451060.html,2021-08-28 15:30:17,national
Lachute,"""premier ministre""",21,Commerce Monde,Canada : jeu électoral extrême jusqu'au 20 septembre; le gagnant ira à Glasgow en novembre,2021-08-24,4,https://commercemonde.com/2021/08/canada-jeu-electoral-extreme-jusquau-20-septembre-le-gagnant-ira-a-glasgow-en-novembre/,2021-08-28 15:30:17,national
Lachute,"""premier ministre""",22,Anadolu Agency,Israël : Bennett est prêt à une nouvelle guerre contre Gaza,2021-08-25,3,https://www.aa.com.tr/fr/monde/isra%C3%ABl-bennett-est-pr%C3%AAt-%C3%A0-une-nouvelle-guerre-contre-gaza/2345520,2021-08-28 15:30:18,national
Lachute,"""premier ministre""",23,Franceinfo,Covid-19 : quatre questions sur la chute spectaculaire du nombre de nouveaux cas au Royaume-Uni,2021-08-02,26,https://www.francetvinfo.fr/sante/maladie/coronavirus/variants-du-coronavirus/covid-19-quatre-questions-sur-la-chute-spectaculaire-du-nombre-de-nouveaux-cas-au-royaume-uni_4723881.html,2021-08-28 15:30:18,national
Lachute,"""premier ministre""",24,L'Echo,De Croo appelle l'Europe à tirer les leçons de la débâcle afghane,2021-08-26,2,https://www.lecho.be/economie-politique/international/asie/de-croo-appelle-l-europe-a-tirer-les-lecons-de-la-debacle-afghane/10328270.html,2021-08-28 15:30:18,national
Lachute,"""premier ministre""",25,La Presse,Kaboul | La situation est « chaotique » autour de l'aéroport,2021-08-21,7,https://www.lapresse.ca/international/moyen-orient/2021-08-21/kaboul/la-situation-est-chaotique-autour-de-l-aeroport.php,2021-08-28 15:30:18,national
Lachute,climat,1,L'Obs,L’ONU prévoit jusqu’à 500 000 réfugiés afghans supplémentaires à cause de la chute de Kaboul,2021-08-27,1,https://www.nouvelobs.com/afghanistan/20210827.OBS47961/l-onu-prevoit-jusqu-a-500-000-refugies-afghans-supplementaires-a-cause-de-la-chute-de-kaboul.html,2021-08-28 15:30:54,national
Lachute,climat,2,National Geographic France,"Changement climatique, pandémie, une autre histoire du déclin de l’Empire romain",2021-08-17,11,https://www.nationalgeographic.fr/histoire/2021/08/changement-climatique-et-pandemie-une-autre-histoire-du-declin-de-lempire-romain,2021-08-28 15:30:54,national
Lachute,climat,3,Le Journal de Montréal,La chute de Kaboul oblige la civilisation occidentale à se remettre en question,2021-08-22,6,https://www.journaldemontreal.com/2021/08/22/la-chute-de-kaboul-oblige-la-civilisation-occidentale-a-se-remettre-en-question,2021-08-28 15:30:54,national
Lachute,climat,4,Sud Ouest,"Rapport du GIEC : dans un climat plus chaud, pas d’indices sur l’aggravation du risque tempête",2021-08-10,18,https://www.sudouest.fr/environnement/foret/rapport-du-giec-dans-un-climat-plus-chaud-pas-d-indices-sur-l-aggravation-du-risque-tempete-4566801.php,2021-08-28 15:30:55,national
Lachute,climat,5,Politis,Climat : Doit-on attendre un sursaut de la finance ?,2021-08-25,3,http://www.politis.fr/articles/2021/08/climat-doit-on-attendre-un-sursaut-de-la-finance-43475/,2021-08-28 15:30:55,national
Lachute,climat,6,La Presse,Cours du pétrole : hausse hebdomadaire record pour 2021,2021-08-27,1,https://www.lapresse.ca/affaires/marches/2021-08-27/cours-du-petrole-hausse-hebdomadaire-record-pour-2021.php,2021-08-28 15:30:55,national
Lachute,climat,7,L'Express,"Canicules, incendies, inondations... Le changement climatique, c'est maintenant",2021-08-01,27,https://www.lexpress.fr/actualite/societe/environnement/canicules-incendies-inondations-le-changement-climatique-c-est-maintenant_2155816.html,2021-08-28 15:30:56,national
Lachute,climat,8,Le Journal de Montréal,"Incendies maîtrisés en Grèce, l'Europe du Sud reste en alerte",2021-08-13,15,https://www.journaldemontreal.com/2021/08/13/les-incendies-de-grece-maitrises-selon-les-pompiers,2021-08-28 15:30:56,national
