Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Marieville,accident,1,Chambly Matin,"Une rétrocaveuse entre en collision avec un poteau électrique à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-07-29,30,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-service-incendie-de-marieville-collision-faits-divers-urgence-hydro-quebec-accident.html,2021-08-28 08:25:57,local
Marieville,accident,2,Chambly Matin,"Collision entre deux véhicules à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-08-23,5,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-faits-divers-collision-service-de-securite-incendie-de-marieville-accident-route-112.html,2021-08-28 08:25:57,local
Marieville,accident,3,TVA Nouvelles,Une cycliste perd la vie à Marieville,2021-06-08,81,https://www.tvanouvelles.ca/2021/06/08/collision-frontale-entre-une-cycliste-et-un-vus-a-marieville,2021-08-28 08:25:57,local
Marieville,accident,4,La Tribune - Groupe Capitales Médias,Deux blessés à la suite d'un accident sur l'autoroute 10,2021-07-08,51,https://www.latribune.ca/actualites/justice-et-faits-divers/deux-blesses-a-la-suite-dun-accident-sur-lautoroute-10-bfb5d0fa60a6d5602231c829ca73b3aa,2021-08-28 08:25:57,local
Marieville,accident,5,Chambly Matin,"Un camion semi-remorque fait une sortie de route vendredi à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-05-03,117,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-accident-service-incendie-de-marieville-faits-divers.html,2021-08-28 08:25:58,local
Marieville,accident,6,La Voix de l'est - Groupe Capitales Médias,Un motocycliste subit d'importantes blessures dans une collision,2021-06-10,79,https://www.lavoixdelest.ca/actualites/un-motocycliste-subit-dimportantes-blessures-dans-une-collision-2515fc91995f8adcca167d9a5e44e370,2021-08-28 08:25:58,local
Marieville,accident,7,La Voix de l'est - Groupe Capitales Médias,Sortie de route mortelle à Marieville | Actualités,,,https://www.lavoixdelest.ca/actualites/sortie-de-route-mortelle-a-marieville-dbb985c5c37c8c2c9a773afbd73bfab3,2021-08-28 08:25:58,local
Marieville,accident,8,iHeartRadio,Un homme perd la vie à Marieville en Montérégie,,,https://www.iheartradio.ca/boom/boom-1041/nouvelles/un-homme-perd-la-vie-a-marieville-en-monteregie-1.9440679,2021-08-28 08:25:58,local
Marieville,accident,9,Le Journal de Chambly,Importants accidents sur l'autoroute 10 entre Marieville et Richelieu - Le journal de Chambly,,,https://www.journaldechambly.com/autoroute-10-fermee-entre-marieville-et-richelieu/,2021-08-28 08:25:58,local
Marieville,accident,10,La Tribune - Groupe Capitales Médias,Accident impliquant un motorisé et une moto sur Portland,2021-06-11,78,https://www.latribune.ca/actualites/justice-et-faits-divers/accident-impliquant-un-motorise-et-une-moto-sur-portland-b9892821a84632a0e444c7fe4e51e2bf,2021-08-28 08:25:58,local
Marieville,accident,11,Le Journal de Chambly,Les conclusions du coroner - Le journal de Chambly,2021-06-02,87,https://www.journaldechambly.com/les-conclusions-du-coroner/,2021-08-28 08:25:59,local
