Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Nicolet,accident,1,Le Nouvelliste - Groupe Capitales Médias,Sur les sentiers de la campagne: le portrait dans Bécancour-Nicolet-Saurel,2021-08-28,0,https://www.lenouvelliste.ca/ma-region/sur-les-sentiers-de-la-campagne-le-portrait-dans-becancour-nicolet-saurel-0fd98aa3d91cf5ea1666424255b5cbd0,2021-08-28 09:02:22,local
Nicolet,accident,2,Le Nouvelliste - Groupe Capitales Médias,Tragique accident de motomarine à Nicolet: de l'aide pour les pompiers,,,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/tragique-accident-de-motomarine-a-nicolet-de-laide-pour-les-pompiers-97a67f7bd42005f0506727d1593b9e3b,2021-08-28 09:02:22,local
Nicolet,accident,3,ICI.Radio-Canada.ca,Des élus se questionnent sur la dangerosité de l'autoroute 30 à Bécancour,2021-03-24,157,https://ici.radio-canada.ca/nouvelle/1779678/autoroute-30-becancour-accidents-mtq,2021-08-28 09:02:22,local
Nicolet,accident,4,Le Nouvelliste - Groupe Capitales Médias,Incendie à Nicolet : «Les gens sont généreux» [VIDÉO],2021-02-22,187,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/incendie-a-nicolet--les-gens-sont-genereux-video-8257e2205c1d360eb80a758322e9dd44,2021-08-28 09:02:22,local
Nicolet,accident,5,Endurance-Info,Matthieu Lahaye : un accident qui ralentit sa progression en Endurance !,2021-08-10,18,https://www.endurance-info.com/auto/article/98178-matthieu-lahaye-un-accident-qui-ralentit-sa-progression-en-endurance,2021-08-28 09:02:23,local
Nicolet,accident,6,Le Nouvelliste - Groupe Capitales Médias,Autoroute 30: Donald Martel demande l'avis du MTQ,2021-03-25,156,https://www.lenouvelliste.ca/actualites/autoroute-30-donald-martel-demande-lavis-du-mtq-fd67bc8bf6dd98c85a722b4b3711547f,2021-08-28 09:02:23,local
Nicolet,accident,7,ICI.Radio-Canada.ca,Un accident fait trois blessés graves près de Saint-Sylvère au Centre-du-Québec,2021-06-05,84,https://ici.radio-canada.ca/nouvelle/1799048/accident-grave-centre-du-quebec-fermeture-route-261-saint-sylvere,2021-08-28 09:02:23,local
Nicolet,accident,8,Le Nouvelliste - Groupe Capitales Médias,Accident de moto mortel à Nicolet: l'identité de la victime dévoilée,,,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-de-moto-mortel-a-nicolet-lidentite-de-la-victime-devoilee-49ab0395b30761a48d07f571c593f673,2021-08-28 09:02:24,local
Nicolet,accident,9,Le Journal de Montréal,Accident de travail à Nicolet: Un éboueur entre la vie et la mort,2020-10-02,330,https://www.journaldemontreal.com/2020/10/02/accident-de-travail-a-nicolet-un-eboueur-entre-la-vie-et-la-mort-1,2021-08-28 09:02:24,local
Nicolet,accident,10,ICI.Radio-Canada.ca,Sortie de route avec blessée grave à Grand Saint-Esprit,2020-12-30,241,https://ici.radio-canada.ca/nouvelle/1760048/sortie-route-blessee-grave-grand-saint-esprit-vie-danger,2021-08-28 09:02:24,local
Nicolet,accident,11,ICI.Radio-Canada.ca,Investissement de 155 M$ pour le réseau routier au Centre-du-Québec,2021-04-14,136,https://ici.radio-canada.ca/nouvelle/1784808/doublement-55-accident-autoroute-30-etudes-becancour,2021-08-28 09:02:24,local
Nicolet,accident,12,ICI.Radio-Canada.ca,Grave accident de motocyclette à Sainte-Ursule,2021-06-28,61,https://ici.radio-canada.ca/nouvelle/1804918/moto-conducteur-inexperience-mauricie-police-hopital-route-348,2021-08-28 09:02:24,local
Nicolet,accident,13,ICI.Radio-Canada.ca,Accident mortel sur l'autoroute 40 à Trois-Rivières,2020-10-14,318,https://ici.radio-canada.ca/nouvelle/1740958/sortie-des-prairies-accident-circulation-voies-fermees-homme-blesse,2021-08-28 09:02:25,local
Nicolet,accident,14,Le Journal de Montréal,Le Hells «Ti-Paul» Magnan se tue dans un accident de moto en Mauricie,2021-04-15,135,https://www.journaldemontreal.com/2021/04/15/le-hells-ti-paul-magnan-se-tue-dans-un-accident-de-moto-en-mauricie,2021-08-28 09:02:25,local
Nicolet,accident,15,ICI.Radio-Canada.ca,Un motocycliste perd la vie dans un accident à Nicolet,,,https://ici.radio-canada.ca/nouvelle/1712100/collision-rang-grand-saint-esprit-moto,2021-08-28 09:02:25,local
Nicolet,accident,16,ICI.Radio-Canada.ca,Accident mortel au Centre-du-Québec,2021-01-08,232,https://ici.radio-canada.ca/nouvelle/1761769/accident-55-ste-eulalie-collision-voiture-camion-sq-hopital,2021-08-28 09:02:25,local
Nicolet,accident,17,iHeartRadio,Grave accident à l'Hippodrome de Trois-Rivières,2021-06-07,82,https://www.iheartradio.ca/energie/energie-mauricie/nouvelles/grave-accident-a-l-hippodrome-de-trois-rivieres-1.15371120,2021-08-28 09:02:25,local
Nicolet,accident,18,ICI.Radio-Canada.ca,"Il y a 15 ans, la tragédie des anges",,,https://ici.radio-canada.ca/nouvelle/711525/accident-route-huit-enfants-morts-saint-jean-baptiste-de-nicolet-tragedie-anges-15-ans,2021-08-28 09:02:26,local
Nicolet,accident,19,Le Nouvelliste - Groupe Capitales Médias,Des résidents se mobilisent après un accident impliquant un enfant à vélo: ralentissez!,2021-05-17,103,https://www.lenouvelliste.ca/ma-region/des-residents-se-mobilisent-apres-un-accident-impliquant-un-enfant-a-velo-ralentissez-dce7a2dfd436c83fd84117374c2ae3b5,2021-08-28 09:02:26,local
Nicolet,accident,20,Le Nouvelliste - Groupe Capitales Médias,Accident mortel dans Lanaudière: un Trifluvien de 26 ans perd la vie,2020-11-10,291,https://www.lenouvelliste.ca/actualites/accident-mortel-dans-lanaudiere-un-trifluvien-de-26-ans-perd-la-vie-810986af5188914db81cb91ab3221ffd,2021-08-28 09:02:26,local
Nicolet,accident,21,ICI.Radio-Canada.ca,Il se retrouve sans domicile au Nouveau-Brunswick après un accident de la route,2021-01-23,217,https://ici.radio-canada.ca/nouvelle/1765425/sans-domicile-nouveau-brunswick-accident-route-camion-benoit-paille,2021-08-28 09:02:26,local
Nicolet,accident,22,iHeartRadio,Accident sur le pont Marc-Trudel à Shawinigan,2021-05-11,109,https://www.iheartradio.ca/energie/energie-mauricie/nouvelles/accident-sur-le-pont-marc-trudel-a-shawinigan-1.15171762,2021-08-28 09:02:27,local
Nicolet,accident,23,Le Nouvelliste - Groupe Capitales Médias,Accident mortel à Bécancour: l'intersection à la sortie de l'autoroute 55 sera réaménagée,2020-10-22,310,https://www.lenouvelliste.ca/actualites/accident-mortel-a-becancour-lintersection-a-la-sortie-de-lautoroute-55-sera-reamenagee-6b9a82e40ef3d37c0b0a8ee7c7126f7c,2021-08-28 09:02:27,local
Nicolet,accident,24,Le Nouvelliste - Groupe Capitales Médias,Accident de moto mortel à Saint-Lambert-de-Lauzon,2021-06-27,62,https://www.lenouvelliste.ca/actualites/accident-de-moto-mortel-a-saint-lambert-de-lauzon-80929dcc7e0a0115b9a1749cda231f87,2021-08-28 09:02:27,local
Nicolet,accident,25,ICI.Radio-Canada.ca,Les circonstances du décès d'un camionneur en juillet 2019 à Trois-Rivières révélées,2021-05-06,114,https://ici.radio-canada.ca/nouvelle/1791006/commission-normes-securite-csst-camion-benne-accident-travail-voie-ferree,2021-08-28 09:02:27,local
Nicolet,décès OR mort,1,NecrologieCanada,Montambeault Therese 19362021,2021-08-26,2,https://necrocanada.com/deces-2021/montambeault-therese-19362021/,2021-08-28 09:03:20,local
Nicolet,décès OR mort,2,NecrologieCanada,Jeanne Paquin 30 juillet 2021,2021-08-02,26,https://necrocanada.com/deces-2021/jeanne-paquin-30-juillet-2021/,2021-08-28 09:03:21,local
Nicolet,décès OR mort,3,La Nouvelle Union,Sylvie Beaudet expose à Victo,2021-08-04,24,https://www.lanouvelle.net/2021/08/04/sylvie-beaudet-expose-a-victo/,2021-08-28 09:03:21,local
Nicolet,décès OR mort,4,Le Courrier Sud,Nicolet vend le CITAN à une entreprise locale,2021-08-09,19,https://www.lecourriersud.com/nicolet-vend-le-citan-a-une-entreprise-locale/,2021-08-28 09:03:21,local
