Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rawdon,"""premier ministre""",1,Le Devoir,La ministre Nadine Girault envers et contre tous,2021-01-15,225,https://www.ledevoir.com/politique/quebec/593363/nadine-girault-envers-et-contre-tous,2021-08-28 11:41:11,national
Rawdon,"""premier ministre""",2,L'Action,Une annonce qui réjouit le maire de Rawdon,2020-09-28,334,https://www.laction.com/article/2020/09/28/une-annonce-qui-rejouit-le-maire-de-rawdon,2021-08-28 11:41:11,national
Rawdon,"""premier ministre""",3,Le Journal de Québec,"L'accès aux lacs du Québec, un vrai problème",2021-07-06,53,https://www.journaldequebec.com/2021/07/06/lacces-aux-lacs-du-quebec-un-vrai-probleme,2021-08-28 11:41:12,national
Rawdon,"""premier ministre""",4,Radio-Canada.ca,"D'ici deux ans, Québec souhaite offrir une école sur deux en bon état",2021-06-06,83,https://ici.radio-canada.ca/nouvelle/1797814/quebec-ecole-vetuste-etat,2021-08-28 11:41:12,national
Rawdon,"""premier ministre""",5,Mon Joliette,Crise du logement : Action-Logement Lanaudière installe des tentes devant le bureau de François Legault,2021-05-13,107,https://monjoliette.com/crise-du-logement-action-logement-lanaudiere-installe-des-tentes-devant-le-bureau-de-francois-legault/,2021-08-28 11:41:13,national
Rawdon,"""premier ministre""",6,Le Journal de Montréal,Ceux qui ont eu la COVID-19 près de chez vous,,,https://www.journaldemontreal.com/2020/06/10/ceux-qui-ont-eu-la-covid-19-pres-de-chez-vous,2021-08-28 11:41:13,national
Rawdon,"""premier ministre""",7,L'Action,"Toute la pression est sur les épaules de Trudeau, soulignent Perron et Ste-Marie",2021-06-15,74,https://www.laction.com/article/2021/06/15/toute-la-pression-est-sur-les-epaules-de-trudeau-soulignent-perron-et-ste-marie,2021-08-28 11:41:13,national
Rawdon,"""premier ministre""",8,ICI.Radio-Canada.ca,Les cascades de Rawdon fermées en réaction aux foules trop importantes | Coronavirus,,,https://ici.radio-canada.ca/nouvelle/1714526/cascades-rawdon-fermeture-foule-coronavirus,2021-08-28 11:41:13,national
Rawdon,"""premier ministre""",9,La Presse,"COVID-19 : 17 décès, 929 nouveaux cas et une région de plus en rouge",2020-10-28,304,https://www.lapresse.ca/covid-19/2020-10-28/covid-19-17-deces-929-nouveaux-cas-et-une-region-de-plus-en-rouge.php,2021-08-28 11:41:13,national
Rawdon,"""premier ministre""",10,La Presse,"Lendemain de veille pénible à Rawdon, le maire passe à l'action",,,https://www.lapresse.ca/actualites/regional/2020-06-22/lendemain-de-veille-penible-a-rawdon-le-maire-passe-a-l-action,2021-08-28 11:41:13,national
Rawdon,"""premier ministre""",11,L’actualité,Le palmarès des villes où il fait bon vivre au Québec,,,https://lactualite.com/societe/le-palmares-des-villes-2019/,2021-08-28 11:41:14,national
Rawdon,"""premier ministre""",12,ICI.Radio-Canada.ca,Tourisme au Québec : ce qu'il est encore possible de faire | Coronavirus,2020-10-02,330,https://ici.radio-canada.ca/nouvelle/1738287/tourisme-quebec-zones-rouges-deplacements-regions,2021-08-28 11:41:14,national
Rawdon,"""premier ministre""",13,ICI.Radio-Canada.ca,Des barrages routiers limitent l'accès à huit régions du Québec | Coronavirus,,,https://ici.radio-canada.ca/nouvelle/1689260/coronavirus-quebec-bilan-morts-montreal-etat-urgence,2021-08-28 11:41:14,national
Rawdon,"""premier ministre""",14,La Presse,Désillusion chez les nouveaux préposés | La Presse,2020-10-13,319,https://www.lapresse.ca/covid-19/2020-10-13/desillusion-chez-les-nouveaux-preposes.php,2021-08-28 11:41:14,national
