Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Repentigny,"""premier ministre""",1,Anadolu Agency,Canada/Homme noir tué par la police à Repentigny : colère et consternation,2021-08-03,25,https://www.aa.com.tr/fr/monde/canada-homme-noir-tu%C3%A9-par-la-police-%C3%A0-repentigny-col%C3%A8re-et-consternation/2322607,2021-08-28 11:44:13,national
Repentigny,"""premier ministre""",2,Hebdo Rive Nord,Plus de 270 000 $ pour la mission du Carrefour jeunesse-emploi L'Assomption,2021-08-16,12,https://www.hebdorivenord.com/article/2021/08/16/plus-de-270%E2%80%89000-pour-la-mission-du-carrefour-jeunesse-emploi-l-assomption,2021-08-28 11:44:14,national
Repentigny,"""premier ministre""",3,TVA Nouvelles,Ce qu'il faut retenir de la 1re journée de campagne,2021-08-15,13,https://www.tvanouvelles.ca/2021/08/15/ce-quil-faut-retenir-de-la-1re-journee-de-campagne,2021-08-28 11:44:14,national
Repentigny,"""premier ministre""",4,L'Action,Élections fédérales 2021 - Joliette,2021-08-15,13,https://www.laction.com/article/2021/08/15/elections-federales-2021,2021-08-28 11:44:14,national
Repentigny,"""premier ministre""",5,La Presse,Le danger du 911 | La Presse,2021-08-07,21,https://www.lapresse.ca/debats/opinions/2021-08-07/le-danger-du-911.php,2021-08-28 11:44:14,national
Repentigny,"""premier ministre""",6,Hebdo Rive Nord,Lanaudière fait partie des régions surveillées de près,2021-04-08,142,https://www.hebdorivenord.com/article/2021/04/08/lanaudiere-fait-partie-des-regions-surveillees-de-pres,2021-08-28 11:44:14,national
Repentigny,"""premier ministre""",7,Le Devoir,Le point sur la pandémie de COVID-19 au Québec | Jeudi 8 avril,2021-04-08,142,https://www.ledevoir.com/videos/598442/le-point-sur-la-pandemie-de-covid-19-au-quebec-mercredi-7-avril,2021-08-28 11:44:15,national
Repentigny,"""premier ministre""",8,Le Devoir,Le gouvernement Legault prend le contrôle du projet de tramway à Québec,2021-02-19,190,https://www.ledevoir.com/politique/ville-de-quebec/595452/le-gouvernement-legault-prend-le-controle-du-projet-de-tramway-a-quebec,2021-08-28 11:44:15,national
Repentigny,"""premier ministre""",9,Hebdo Rive Nord,Un investissement de 75 000$,2021-06-25,64,https://www.hebdorivenord.com/article/2021/06/25/un-investissement-de-75-000,2021-08-28 11:44:15,national
Repentigny,"""premier ministre""",10,Radio-Canada.ca,"Les régions du Québec passeront en zone orange, à l'exception du Grand Montréal | Coronavirus",2021-03-04,177,https://ici.radio-canada.ca/nouvelle/1774732/changements-paliers-alerte-rouge-cmm,2021-08-28 11:44:15,national
Repentigny,"""premier ministre""",11,La Presse,Prestation de 1000 $ pour voyageurs | Ottawa sommé de « rectifier » la situation,2021-01-02,238,https://www.lapresse.ca/actualites/2021-01-02/prestation-de-1000-pour-voyageurs/ottawa-somme-de-rectifier-la-situation.php,2021-08-28 11:44:16,national
Repentigny,"""premier ministre""",12,Le Devoir,Quoi surveiller en ce 18 mai 2021?,2021-05-18,102,https://www.ledevoir.com/societe/602288/pour-votre-info-quoi-surveiller-aujourd-hui,2021-08-28 11:44:16,national
Repentigny,"""premier ministre""",13,Radio-Canada.ca,Le couvre-feu sera levé sur l'ensemble du Québec dès le 28 mai | Coronavirus,2021-05-18,102,https://ici.radio-canada.ca/nouvelle/1794024/couvre-feu-quebec-plan-deconfinement-legault,2021-08-28 11:44:16,national
Repentigny,"""premier ministre""",14,Hebdo Rive Nord,Lanaudière passe à l'orange le 31 mai,2021-05-25,95,https://www.hebdorivenord.com/article/2021/05/25/lanaudiere-passe-a-l-orange-le-31-mai,2021-08-28 11:44:16,national
Repentigny,"""premier ministre""",15,Le Devoir,La barge d'alcool qui a ébranlé le gouvernement de Mackenzie King,2021-04-10,140,https://www.ledevoir.com/societe/le-devoir-de-philo-histoire/598549/la-barge-d-alcool-qui-a-ebranle-le-gouvernement-de-mackenzie-king,2021-08-28 11:44:17,national
