Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rimouski,"""premier ministre""",1,journal le soir,Le ministre Lacombe jure de régler une fois pour toutes le manque de places en garderies,2021-08-26,2,https://journallesoir.ca/2021/08/26/le-ministre-lacombe-jure-de-regler-une-fois-pour-toutes-le-manque-de-places-en-garderies/,2021-08-28 11:47:18,national
Rimouski,"""premier ministre""",2,L'Avantage Rimouski,Le Parti conservateur dévoile sa candidate dans Rimouski-Neigette‒Témiscouata‒Les Basques,2021-08-10,18,https://www.lavantage.qc.ca/article/2021/08/10/le-parti-conservateur-devoile-sa-candidate-dans-rimouski-neigette%E2%80%92temiscouata%E2%80%92les-basques,2021-08-28 11:47:18,national
Rimouski,"""premier ministre""",3,iHeartRadio,Un premier état des forces dans l'Est du Québec,2021-08-16,12,https://www.iheartradio.ca/rouge-fm/rouge-fm-rimouski/nouvelles/un-premier-etat-des-forces-dans-l-est-du-quebec-1.15866225,2021-08-28 11:47:18,national
Rimouski,"""premier ministre""",4,journal le soir,La cession du port de Rimouski au provincial semble mal engagée,2021-08-16,12,https://journallesoir.ca/2021/08/16/la-cession-du-port-de-rimouski-au-provincial-semble-mal-engagee/,2021-08-28 11:47:18,national
Rimouski,"""premier ministre""",5,Info Dimanche,France Gagnon est la candidate du Parti conservateur du Canada dans Rimouski - Neigette - Témiscouata - Les Basques | infodimanche.com,2021-08-10,18,https://www.infodimanche.com/actualites/elections-federales-2021/433974/france-gagnon-est-la-candidate-du-parti-conservateur-du-canada-dans-rimouski-neigette-temiscouata-les-basques,2021-08-28 11:47:19,national
Rimouski,"""premier ministre""",6,L'Horizon,Maxime Blanchette-Joncas réclame 50 semaines d'assurance-emploi pour les malades,2021-08-27,1,http://www.journalhorizon.com/maxime-blanchette-joncas-reclame-50-semaines-dassurance-emploi-pour-les-malades/,2021-08-28 11:47:19,national
Rimouski,"""premier ministre""",7,Info Dimanche,Dernier droit pour la vaccination contre la COVID-19 au Bas-Saint-Laurent | infodimanche.com,2021-08-06,22,https://www.infodimanche.com/actualites/covid-19/433679/dernier-droit-pour-la-vaccination-contre-la-covid-19-au-bas-saint-laurent,2021-08-28 11:47:19,national
Rimouski,"""premier ministre""",8,Info Dimanche,Justin Trudeau et lutte aux changements climatiques : une catastrophe annoncée d'après le Bloc Québécois | infodimanche.com,2021-08-22,6,https://www.infodimanche.com/actualites/elections-federales-2021/434928/justin-trudeau-et-lutte-aux-changements-climatiques-une-catastrophe-annoncee-dapres-le-bloc-quebecois,2021-08-28 11:47:19,national
Rimouski,"""premier ministre""",9,Info Dimanche,Transferts en santé : le Bloc Québécois demande aux chefs de s'engager | infodimanche.com,2021-08-19,9,https://www.infodimanche.com/actualites/elections-federales-2021/434815/transferts-en-sante-le-bloc-quebecois-demande-aux-chefs-de-sengager,2021-08-28 11:47:19,national
Rimouski,"""premier ministre""",10,Le Devoir,Série «Routes mythiques»: l'interminable autoroute 20,2021-08-13,15,https://www.ledevoir.com/societe/transports-urbanisme/624633/routes-mythiques-l-interminable-autoroute-20,2021-08-28 11:47:20,national
Rimouski,"""premier ministre""",11,ICI.Radio-Canada.ca,Vaccination des travailleurs de la santé : la notion de contrainte préoccupe dans l'Est | Coronavirus,2021-08-18,10,https://ici.radio-canada.ca/nouvelle/1817501/vaccination-obligatoire-syndicats-sante-est-quebec-bas-saint-laurent-gaspesie-cote-nord,2021-08-28 11:47:20,national
Rimouski,"""premier ministre""",12,ICI.Radio-Canada.ca,Passeport vaccinal : entre réticence et satisfaction dans l'Est-du-Québec,2021-08-06,22,https://ici.radio-canada.ca/nouvelle/1814641/passeport-vaccinal-legault-preuve-vaccin-reaction-police,2021-08-28 11:47:20,national
Rimouski,"""premier ministre""",13,CIMT-CHAU,Des élections fédérales le 20 septembre - TVA CIMT CHAU,2021-08-15,13,https://cimtchau.ca/nouvelles/des-elections-federales-le-20-septembre/,2021-08-28 11:47:21,national
Rimouski,"""premier ministre""",14,TVA Nouvelles,Les développements sur le coronavirus du 16 août,2021-08-16,12,https://www.tvanouvelles.ca/2021/08/16/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-08-28 11:47:21,national
Rimouski,"""premier ministre""",15,journal le soir,Profil de candidat : Éric Barnabé brise la glace,2021-08-23,5,https://journallesoir.ca/2021/08/23/profil-de-candidat-eric-barnabe-brise-la-glace/,2021-08-28 11:47:21,national
Rimouski,"""premier ministre""",16,Le Devoir,"Une troisième dose éthiquement discutable, selon l'OMS",2021-08-24,4,https://www.ledevoir.com/monde/626955/coronavirus-une-troisieme-dose-ethiquement-discutable-selon-l-oms,2021-08-28 11:47:21,national
Rimouski,"""premier ministre""",17,Radio-Canada.ca,COVID-19 : Québec assouplit les règles en Outaouais et dans Rimouski-Neigette | Coronavirus,2021-05-11,109,https://ici.radio-canada.ca/nouvelle/1792160/ministre-christian-dube-adresse-jeunes-quebecois,2021-08-28 11:47:22,national
Rimouski,"""premier ministre""",18,L'Avantage Rimouski,Une partie du Bas-Saint-Laurent en zone orange dès lundi,2021-05-25,95,https://www.lavantage.qc.ca/article/2021/05/25/une-partie-du-bas-saint-laurent-en-zone-orange-des-lundi,2021-08-28 11:47:22,national
Rimouski,"""premier ministre""",19,ICI.Radio-Canada.ca,Le gouvernement Legault confirme le retour de l'A-20 au PQI avant la fin de son mandat,2021-05-12,108,https://ici.radio-canada.ca/nouvelle/1792603/autoroute-20-pqi-fin-mandat-promesse-legault-prolongement,2021-08-28 11:47:22,national
Rimouski,"""premier ministre""",20,L'Avantage Rimouski,Des premiers répondants rendront hommage aux travailleurs de la santé à Rimouski,2021-02-25,184,https://www.lavantage.qc.ca/article/2021/02/25/des-premiers-repondants-rendront-hommage-aux-travailleurs-de-la-sante-a-rimouski,2021-08-28 11:47:23,national
Rimouski,"""premier ministre""",21,Radio-Canada.ca,Comme Churchill en 1945?,2021-05-03,117,https://ici.radio-canada.ca/nouvelle/1789774/auger-michelc-analyse-legault-crise-logement,2021-08-28 11:47:23,national
Rimouski,"""premier ministre""",22,ICI.Radio-Canada.ca,"Pandémie, départ et enjeux locaux pour Pascal Bérubé",2021-06-18,71,https://ici.radio-canada.ca/nouvelle/1802779/pascal-berube-bilan-session-parlementaire-2021-parti-quebecois,2021-08-28 11:47:23,national
Rimouski,"""premier ministre""",23,ICI.Radio-Canada.ca,L'est du Bas-Saint-Laurent passera au jaune et l'ouest au orange dès lundi prochain,2021-06-01,88,https://ici.radio-canada.ca/nouvelle/1797813/changement-palier-bas-saint-laurent-est-ouest,2021-08-28 11:47:23,national
Rimouski,"""premier ministre""",24,Le Journal de Québec,"COVID-19: encourageant à Rimouski, inquiétant à Rivière-du-Loup",2021-05-11,109,https://www.journaldequebec.com/2021/05/11/covid-19-mesures-durgence-levees-des-lundi-a-rimouski,2021-08-28 11:47:24,national
Rimouski,"""premier ministre""",25,L'Avantage Rimouski,Caroline Proulx devient la nouvelle ministre responsable du Bas-Saint-Laurent,2021-05-06,114,https://www.lavantage.qc.ca/article/2021/05/06/caroline-proulx-devient-la-nouvelle-ministre-responsable-du-bas-saint-laurent,2021-08-28 11:47:24,national
Rimouski,climat,1,L'Avantage Rimouski,Un citoyen de Rimouski produit un plan d'action pour lutter contre les changements climatiques,2021-08-03,25,https://www.lavantage.qc.ca/article/2021/08/03/un-citoyen-de-rimouski-produit-un-plan-d-action-pour-lutter-contre-les-changements-climatiques,2021-08-28 11:48:14,national
Rimouski,climat,2,Info Dimanche,Justin Trudeau et lutte aux changements climatiques : une catastrophe annoncée d'après le Bloc Québécois | infodimanche.com,2021-08-22,6,https://www.infodimanche.com/actualites/elections-federales-2021/434928/justin-trudeau-et-lutte-aux-changements-climatiques-une-catastrophe-annoncee-dapres-le-bloc-quebecois,2021-08-28 11:48:15,national
Rimouski,climat,3,ICI.Radio-Canada.ca,Une station de recherche unique dans le parc de la Gaspésie,2021-08-27,1,https://ici.radio-canada.ca/nouvelle/1819355/recherche-parc-gaspesie-environnement-sepaq-uqar-biodiversite-changements-climatiques,2021-08-28 11:48:15,national
Rimouski,climat,4,L'Horizon,Le Bloc dénonce l'inaction du gouvernement dans la lutte aux changements climatiques,2021-08-20,8,http://www.journalhorizon.com/le-bloc-denonce-linaction-du-gouvernement-dans-la-lutte-aux-changements-climatiques/,2021-08-28 11:48:15,national
Rimouski,climat,5,journal le soir,Quatre projections en plein air gratuites sur le thème de la transition écologique,2021-08-12,16,https://journallesoir.ca/2021/08/12/quatre-projections-en-plein-air-gratuites-sur-le-theme-de-la-transition-ecologique/,2021-08-28 11:48:16,national
Rimouski,climat,6,ICI.Radio-Canada.ca,Des citoyens demandent un plan formel sur l'urgence climatique à la Ville de Rimouski,2020-12-15,256,https://ici.radio-canada.ca/nouvelle/1757140/ville-rimouski-conseil-municipal-environnement-climat-actions,2021-08-28 11:48:16,national
Rimouski,climat,7,TVA Nouvelles,Réchauffement climatique: une mine d'or pour les vendeurs de thermopompes,2021-06-24,65,https://www.tvanouvelles.ca/2021/06/24/rechauffement-climatique-une-mine-dor-pour-les-vendeurs-de-thermopompes,2021-08-28 11:48:16,national
Rimouski,climat,8,Le Soleil - Groupe Capitales Médias,Climat «toxique» au conseil municipal de Stoneham | Actualités,2021-07-16,43,https://www.lesoleil.com/actualite/climat-toxique-au-conseil-municipal-de-stoneham-7064750aefeacfe66cb9d390f2d33e6c,2021-08-28 11:48:16,national
Rimouski,climat,9,L'Avantage Rimouski,Le statut du Conseil climat de la MRC Rimouski-Neigette sera officialisé,2020-09-14,348,https://www.lavantage.qc.ca/article/2020/09/14/le-statut-du-conseil-climat-de-la-mrc-rimouski-neigette-sera-officialise,2021-08-28 11:48:16,national
Rimouski,climat,10,ICI.Radio-Canada.ca,Du homard jusqu'au Bas-Saint-Laurent dans les eaux du fleuve,2020-11-01,300,https://ici.radio-canada.ca/nouvelle/1745588/rimouski-sainte-luce-homard-changement-climatique-peche-fleuve,2021-08-28 11:48:17,national
Rimouski,climat,11,journal le soir,Virginie Proulx donnera une formation sur la transparence en politique municipale,2021-08-02,26,https://journallesoir.ca/2021/08/02/virginie-proulx-donnera-une-formation-sur-la-transparence-en-politique-municipale/,2021-08-28 11:48:17,national
Rimouski,climat,12,Le Devoir,Le Bas-Saint-Laurent s'adapte à la sécheresse,2021-06-26,63,https://www.ledevoir.com/societe/environnement/612666/le-bas-saint-laurent-s-adapte-a-la-secheresse,2021-08-28 11:48:17,national
Rimouski,climat,13,La Presse,Un hiver sans glace dans le golfe du Saint-Laurent,2021-03-20,161,https://www.lapresse.ca/actualites/environnement/2021-03-20/un-hiver-sans-glace-dans-le-golfe-du-saint-laurent.php,2021-08-28 11:48:17,national
Rimouski,climat,14,L’Avantage gaspésien,L'école Saint-Victor remporte l'or aux Grands Prix du design,2021-08-10,18,https://www.lavantagegaspesien.com/article/2021/08/10/l-ecole-saint-victor-remporte-l-or-aux-grands-prix-du-design,2021-08-28 11:48:17,national
