Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Jean-sur-Richelieu,accident,1,Le Canada Français,Une ambulance s'enflamme sur l'autoroute 35,2021-08-27,1,https://www.canadafrancais.com/2021/08/27/une-ambulance-en-feu-sur-lautoroute-35/,2021-08-28 08:52:32,local
Saint-Jean-sur-Richelieu,accident,2,TVA Nouvelles,Accident mortel à Saint-Blaise-sur-Richelieu,2021-08-22,6,https://www.tvanouvelles.ca/2021/08/21/impressionnant-carambolage-a-saint-blaise-sur-richelieu,2021-08-28 08:52:33,local
Saint-Jean-sur-Richelieu,accident,3,iHeartRadio,SAINT-JEAN: La 35 nord rouverte après un déversement de purin,2021-08-06,22,https://www.iheartradio.ca/boom/boom-1041/nouvelles/saint-jean-la-35-nord-rouverte-apres-un-deversement-de-purin-1.15787869,2021-08-28 08:52:33,local
Saint-Jean-sur-Richelieu,accident,4,L’actualité,Un motocycliste lutte pour sa vie après une embardée en Montérégie,2021-08-12,16,https://lactualite.com/actualites/un-motocycliste-lutte-pour-sa-vie-apres-une-embardee-en-monteregie/,2021-08-28 08:52:33,local
Saint-Jean-sur-Richelieu,accident,5,Le Canada Français,Pannes de courant et circulation difficile au centre-ville,2021-08-03,25,https://www.canadafrancais.com/2021/08/03/pannes-de-courant-et-circulation-difficile-au-centre-ville/,2021-08-28 08:52:33,local
Saint-Jean-sur-Richelieu,accident,6,iHeartRadio,Grave accident près du Cégep Saint-Jean-sur-Richelieeu,2021-06-14,75,https://www.iheartradio.ca/boom/boom-1041/nouvelles/grave-accident-pres-du-cegep-saint-jean-sur-richelieeu-1.15418658,2021-08-28 08:52:33,local
Saint-Jean-sur-Richelieu,accident,7,Le Soleil - Groupe Capitales Médias,"Le décès d'un skieur à Bromont était un accident, conclut la coroner",2021-08-13,15,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/le-deces-dun-skieur-a-bromont-etait-un-accident-conclut-la-coroner-ff6ef08eb9aacb8fb1270ef46b830378,2021-08-28 08:52:34,local
Saint-Jean-sur-Richelieu,accident,8,Le Canada Français,Accident à Saint-Blaise-sur-Richelieu,2021-07-19,40,https://www.canadafrancais.com/2021/07/19/accident-a-saint-blaise-sur-richelieu-2/,2021-08-28 08:52:34,local
Saint-Jean-sur-Richelieu,accident,9,Le Canada Français,Levée de l'avis d'ébullition sur la rue Vanier,2021-08-12,16,https://www.canadafrancais.com/2021/08/12/levee-de-lavis-debullition-sur-la-rue-vanier/,2021-08-28 08:52:34,local
Saint-Jean-sur-Richelieu,accident,10,iHeartRadio,Grave sortie de route sur l'autoroute 35 Sud à Saint-Jean-sur-Richelieu,2020-12-11,260,https://www.iheartradio.ca/boom/boom-1041/nouvelles/grave-sortie-de-route-sur-l-autoroute-35-sud-a-saint-jean-sur-richelieu-1.14145322,2021-08-28 08:52:34,local
