Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Jean-sur-Richelieu,"""premier ministre""",1,Le Journal de Montréal,L'homme armé qui a menacé le ministre Dubé remis en liberté,2021-08-27,1,https://www.journaldemontreal.com/2021/08/27/lhomme-arme-qui-a-menace-le-ministre-dube-remis-en-liberte,2021-08-28 11:19:51,national
Saint-Jean-sur-Richelieu,"""premier ministre""",2,iHeartRadio,Élections fédérales: Jean Rioux de nouveau candidat dans Saint-Jean,2021-08-24,4,https://www.iheartradio.ca/boom/boom-1041/nouvelles/elections-federales-jean-rioux-de-nouveau-candidat-dans-saint-jean-1.15932659,2021-08-28 11:19:52,national
Saint-Jean-sur-Richelieu,"""premier ministre""",3,Le Journal de Québec,"Menaces de mort: «C'est malheureux», dit Christian Dubé",2021-08-13,15,https://www.journaldequebec.com/2021/08/13/menaces-de-mort-cest-malheureux-dit-dube-1,2021-08-28 11:19:52,national
Saint-Jean-sur-Richelieu,"""premier ministre""",4,Radio-Canada.ca,« Je me bats contre un ennemi invisible » : le major-général Dany Fortin inculpé,2021-08-19,9,https://ici.radio-canada.ca/nouvelle/1817494/major-general-fortin-chef-accusation-crime-inconduite-sexuelle-cour,2021-08-28 11:19:52,national
Saint-Jean-sur-Richelieu,"""premier ministre""",5,Le Journal de Québec,Une passionnée du communautaire,2021-08-02,26,https://www.journaldequebec.com/2021/08/02/une-passionnee-du-communautaire,2021-08-28 11:19:52,national
Saint-Jean-sur-Richelieu,"""premier ministre""",6,Coup d'Oeil,Christine Normandin parle des gains importants du Bloc,2021-08-03,25,https://www.coupdoeil.info/2021/08/03/christine-normandin-parle-des-gains-importants-du-bloc/,2021-08-28 11:19:52,national
Saint-Jean-sur-Richelieu,"""premier ministre""",7,iHeartRadio,Le pont Gouin à Saint-Jean-sur-Richelieu conservera son nom,2021-03-23,158,https://www.iheartradio.ca/boom/boom-1041/nouvelles/le-pont-gouin-a-saint-jean-sur-richelieu-conservera-son-nom-1.14831950,2021-08-28 11:19:53,national
Saint-Jean-sur-Richelieu,"""premier ministre""",8,Le Canada Français,Justin Trudeau témoignerait mercredi matin,2021-03-15,166,https://www.canadafrancais.com/2021/03/15/justin-trudeau-temoignerait-mercredi-matin/,2021-08-28 11:19:53,national
Saint-Jean-sur-Richelieu,"""premier ministre""",9,La Presse,Hausse soudaine des cas à Saint-Jean-sur-Richelieu | La Montérégie resserre les mailles du filet,2021-02-03,206,https://www.lapresse.ca/covid-19/2021-02-03/hausse-soudaine-des-cas-a-saint-jean-sur-richelieu/la-monteregie-resserre-les-mailles-du-filet.php,2021-08-28 11:19:53,national
Saint-Jean-sur-Richelieu,"""premier ministre""",10,ICI.Radio-Canada.ca,"Félix-Gabriel Marchand, le dernier premier ministre-écrivain",2020-12-08,263,https://ici.radio-canada.ca/ohdio/premiere/emissions/le-15-18/segments/chronique/212983/histoire-politique-quebec-litterature,2021-08-28 11:19:53,national
Saint-Jean-sur-Richelieu,"""premier ministre""",11,Le Canada Français,Retour sur les inondations historiques de 2011,2021-04-15,135,https://www.canadafrancais.com/2021/04/15/retour-sur-les-inondations-historiques-de-2011/,2021-08-28 11:19:53,national
