Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Tite,accident,1,Le Nouvelliste - Groupe Capitales Médias,Week-end mortel à moto | Justice et faits divers | Actualités,2021-08-16,12,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/week-end-mortel-a-moto-f14a3b09575be6305cb58ef1ff076f7d,2021-08-28 09:23:53,local
Saint-Tite,accident,2,Le Nouvelliste - Groupe Capitales Médias,Accident à Saint-Tite: cellule de crise à Paul-Le Jeune,2021-06-15,74,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-a-saint-tite-cellule-de-crise-a-paul-le-jeune-c5a144c91f699d720de2a7b77d131bf5,2021-08-28 09:23:53,local
Saint-Tite,accident,3,Le Nouvelliste - Groupe Capitales Médias,Sortie de route à Saint-Tite: un adolescent de 17 ans perd la vie,2021-06-14,75,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/sortie-de-route-a-saint-tite-un-adolescent-de-17-ans-perd-la-vie-777e21d809aa7fff5daffd7c2610a6c1,2021-08-28 09:23:53,local
Saint-Tite,accident,4,ICI.Radio-Canada.ca,Un adolescent meurt dans un accident de voiture à Saint-Tite,2021-06-15,74,https://ici.radio-canada.ca/nouvelle/1801465/accident-mortel-mauricie-adolescent-voiture,2021-08-28 09:23:54,local
Saint-Tite,accident,5,Le Nouvelliste - Groupe Capitales Médias,Un motocycliste perd la vie à Saint-Tite,2021-07-03,56,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/un-motocycliste-perd-la-vie-a-saint-tite-ec28ba60ed253a57d158d36dd7418526,2021-08-28 09:23:54,local
Saint-Tite,accident,6,Le Nouvelliste - Groupe Capitales Médias,Accident mortel sur l'autoroute 55: l'identité de la victime dévoilée,2021-06-12,77,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-mortel-sur-lautoroute-55-lidentite-de-la-victime-devoilee-b5c9bfa092799691509d5f6999e4ba59,2021-08-28 09:23:54,local
Saint-Tite,accident,7,Le Nouvelliste - Groupe Capitales Médias,Incendie chez Xylo Carbone de Saint-Tite | Justice et faits divers | Actualités,2021-01-04,236,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/incendie-chez-xylo-carbone-de-saint-tite-765a1765ef948a89f25d6517ef23893d,2021-08-28 09:23:54,local
Saint-Tite,accident,8,Le Nouvelliste - Groupe Capitales Médias,Accident route 153: un blessé mineur | Justice et faits divers | Actualités,2020-11-27,274,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-route-153-un-blesse-mineur-d2dbf40fd0c4086b88202a40cdd2fa94,2021-08-28 09:23:55,local
Saint-Tite,accident,9,Le Nouvelliste - Groupe Capitales Médias,Un motocycliste perd la vie dans un accident sur le boulevard Thibeau,2021-06-26,63,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/un-motocycliste-perd-la-vie-dans-un-accident-sur-le-boulevard-thibeau-4666ad1fc62ee4c1065e57f7a6eeebe9,2021-08-28 09:23:55,local
Saint-Tite,accident,10,iHeartRadio,Embardée mortelle sur la route 159 à Sainte-Tite,2021-06-15,74,https://www.iheartradio.ca/energie/energie-mauricie/nouvelles/embardee-mortelle-sur-la-route-159-a-sainte-tite-1.15419916,2021-08-28 09:23:55,local
Saint-Tite,accident,11,Le Nouvelliste - Groupe Capitales Médias,Accident de Bécancour : la victime est un citoyen de Québec,2021-04-26,124,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-de-becancour--la-victime-est-un-citoyen-de-quebec-af26a03c973c142f9bd5213b3ff6389f,2021-08-28 09:23:55,local
Saint-Tite,accident,12,Le Nouvelliste - Groupe Capitales Médias,Un travailleur étranger périt sous un véhicule à Saint-Patrice-de-Beaurivage,2021-07-19,40,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/un-travailleur-etranger-perit-sous-un-vehicule-a-saint-patrice-de-beaurivage-82230bd525c2653cf5d5b6b0cf39b46f,2021-08-28 09:23:55,local
Saint-Tite,accident,13,La Presse,Une femme grièvement blessée après une collision avec un tracteur à Saint-Tite,2020-09-03,359,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-09-03/une-femme-grievement-blessee-apres-une-collision-avec-un-tracteur-a-saint-tite.php,2021-08-28 09:23:56,local
Saint-Tite,accident,14,Le Nouvelliste - Groupe Capitales Médias,Accident à Bécancour: deux automobilistes perdent la vie,2021-03-23,158,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-a-becancour-deux-automobilistes-perdent-la-vie-976706d0c4f903fc20d98f1875773284,2021-08-28 09:23:56,local
Saint-Tite,accident,15,Le Nouvelliste - Groupe Capitales Médias,Deux personnes perdent la vie dans un accident à Tingwick,2021-05-20,100,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/deux-personnes-perdent-la-vie-dans-un-accident-a-tingwick-fdf3996e915fee8fcd945dfd7afb8797,2021-08-28 09:23:56,local
Saint-Tite,accident,16,Le Nouvelliste - Groupe Capitales Médias,Accident mortel à Saint-Stanislas: la victime est le Hells Paul Magnan,2021-04-15,135,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-mortel-a-saint-stanislas-la-victime-est-le-hells-paul-magnan-6fd18eea3fd5d2de0192d207d90879eb,2021-08-28 09:23:56,local
Saint-Tite,accident,17,Le Journal de Québec,Un homme lutte pour sa vie après un accident de kitesurf,2021-07-03,56,https://www.journaldequebec.com/2021/07/03/un-homme-lutte-pour-sa-vie-apres-un-accident-de-kitesurf,2021-08-28 09:23:56,local
