Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Shawinigan,"""premier ministre""",1,TVA Nouvelles,Justin Trudeau redit non à l'impôt unique,2021-08-26,2,https://www.tvanouvelles.ca/2021/08/26/justin-trudeau-redit-non-a-limpot-unique-1,2021-08-28 14:47:51,national
Shawinigan,"""premier ministre""",2,Le Nouvelliste - Groupe Capitales Médias,"Mairie de Shawinigan: Angers livre son bilan, en attendant le programme",2021-08-27,1,https://www.lenouvelliste.ca/actualites/mairie-de-shawinigan-angers-livre-son-bilan-en-attendant-le-programme-358fe15e3c86c0d18b31315e6a719317,2021-08-28 14:47:52,national
Shawinigan,"""premier ministre""",3,L'Hebdo du Saint-Maurice,La bloquiste Jacynthe Bruneau veut rétablir les faits,2021-08-26,2,https://www.lhebdodustmaurice.com/la-bloquiste-jacynthe-bruneau-veut-retablir-les-faits/,2021-08-28 14:47:52,national
Shawinigan,"""premier ministre""",4,L'Hebdo du Saint-Maurice,Les électeurs ont rendez-vous le 20 septembre,2021-08-16,12,https://www.lhebdodustmaurice.com/les-electeurs-ont-rendez-vous-le-20-septembre/,2021-08-28 14:47:52,national
Shawinigan,"""premier ministre""",5,Le Nouvelliste - Groupe Capitales Médias,Rapport d'impôt unique: les conservateurs favorables si les emplois en régions sont maintenus,2021-08-27,1,https://www.lenouvelliste.ca/actualites/elections-federales/rapport-dimpot-unique-les-conservateurs-favorables-si-les-emplois-en-regions-sont-maintenus-a8eef77f9722881ac56a4b67047fe63a,2021-08-28 14:47:53,national
Shawinigan,"""premier ministre""",6,Le Journal de Québec,Opération séduction pour le chef conservateur à Québec,2021-08-18,10,https://www.journaldequebec.com/2021/08/18/otoole-propose-un-contrat-de-100-jours-aux-quebecois,2021-08-28 14:47:53,national
Shawinigan,"""premier ministre""",7,La Presse,"Sortie publique d'une trentaine de militants | Le Bloc applique les règles, réplique Blanchet",2021-08-08,20,https://www.lapresse.ca/actualites/politique/2021-08-08/sortie-publique-d-une-trentaine-de-militants/le-bloc-applique-les-regles-replique-blanchet.php,2021-08-28 14:47:53,national
Shawinigan,"""premier ministre""",8,Le Nouvelliste - Groupe Capitales Médias,Des seins nus qui dérangent | Actualités,2021-08-26,2,https://www.lenouvelliste.ca/actualites/des-seins-nus-qui-derangent-08e8eba100c665eb38ff858c9011940d,2021-08-28 14:47:53,national
Shawinigan,"""premier ministre""",9,Le Devoir,La chronique de Michel David: les limites de l'insignifiance,2021-08-24,4,https://www.ledevoir.com/opinion/chroniques/627018/les-limites-de-l-insignifiance,2021-08-28 14:47:54,national
Shawinigan,"""premier ministre""",10,Le Soleil - Groupe Capitales Médias,Le Bloc québécois compte sur l'effet Blanchet pour maintenir son élan,2021-08-22,6,https://www.lesoleil.com/actualite/les-elections-federales/le-bloc-quebecois-compte-sur-leffet-blanchet-pour-maintenir-son-elan-aa5b502a2e7332b07c8d0054dea15e46,2021-08-28 14:47:54,national
Shawinigan,"""premier ministre""",11,Le Peuple Lotbinière,Jacques Gourde soutient l'importance du troisième lien,2021-08-20,8,https://www.lepeuplelotbiniere.ca/1067/Politique_.html?id=93619,2021-08-28 14:47:54,national
Shawinigan,"""premier ministre""",12,ICI.Radio-Canada.ca,137 M$ pour le nouveau centre fiscal à Shawinigan,2021-07-23,36,https://ici.radio-canada.ca/nouvelle/1811399/137-m-pour-le-nouveau-centre-fiscal-a-shawinigan,2021-08-28 14:47:54,national
Shawinigan,"""premier ministre""",13,Le Nouvelliste - Groupe Capitales Médias,François Legault répond aux questions d'une élève de Shawinigan [VIDÉO],2021-01-28,212,https://www.lenouvelliste.ca/actualites/francois-legault-repond-aux-questions-dune-eleve-de-shawinigan-video-95b7f71334c5082fb81ea7de089530d5,2021-08-28 14:47:54,national
Shawinigan,"""premier ministre""",14,L'Hebdo du Saint-Maurice,"«La manifestation n'est pas contre Québec, mais pour Shawinigan!»",2021-06-24,65,https://www.lhebdodustmaurice.com/la-manifestation-nest-pas-contre-quebec-mais-pour-shawinigan/,2021-08-28 14:47:55,national
Shawinigan,"""premier ministre""",15,ICI.Radio-Canada.ca,"Nemaska Lithium : « Le site de Shawinigan n'avait aucun mérite », affirme Pierre Fitzgibbon",2021-06-04,85,https://ici.radio-canada.ca/nouvelle/1798117/developpement-economique-shawinigan-nemaska-lithium-electrification-transport,2021-08-28 14:47:55,national
Shawinigan,"""premier ministre""",16,Le Nouvelliste - Groupe Capitales Médias,Une voiture volée repêchée lors d'une corvée de nettoyage à Shawinigan [ARTICLE AUDIO],2021-07-20,39,https://www.lenouvelliste.ca/actualites/une-voiture-volee-repechee-lors-dune-corvee-de-nettoyage-a-shawinigan-article-audio-e880d11988d9dbd60f643960795eabab,2021-08-28 14:47:55,national
Shawinigan,"""premier ministre""",17,Le Nouvelliste - Groupe Capitales Médias,La Maison Gilles-Carle de Shawinigan enfin prête à offrir du répit aux proches aidants [VIDÉO + ARTICLE AUDIO],2021-04-30,120,https://www.lenouvelliste.ca/actualites/la-maison-gilles-carle-de-shawinigan-enfin-prete-a-offrir-du-repit-aux-proches-aidants-video--article-audio-ef6d83b142d1e80fa6313188ff255f21,2021-08-28 14:47:55,national
Shawinigan,"""premier ministre""",18,Le Nouvelliste - Groupe Capitales Médias,La Mauricie et le Centre-du-Québec données en exemple par le premier ministre,2021-04-01,149,https://www.lenouvelliste.ca/actualites/covid-19/la-mauricie-et-le-centre-du-quebec-donnees-en-exemple-par-le-premier-ministre-caf0d5b0ae9dc142963d171fb05e0ab1,2021-08-28 14:47:55,national
Shawinigan,"""premier ministre""",19,Le Nouvelliste - Groupe Capitales Médias,Un centre pour la refonte de rebuts d'aluminium voit le jour à Shawinigan,2021-07-07,52,https://www.lenouvelliste.ca/affaires/un-centre-pour-la-refonte-de-rebuts-daluminium-voit-le-jour-a-shawinigan-4b24427309e4eac974f2eaeb38b06fba,2021-08-28 14:47:56,national
Shawinigan,"""premier ministre""",20,Le Nouvelliste - Groupe Capitales Médias,Maskicom : Branchez-nous interpelle le premier ministre | Actualités,2021-07-19,40,https://www.lenouvelliste.ca/actualites/maskicom--branchez-nous-interpelle-le-premier-ministre-191b65cdebb7451d0393885baefbf69e,2021-08-28 14:47:56,national
Shawinigan,"""premier ministre""",21,TVA Nouvelles,L'Auberge Gouverneur de Shawinigan lourdement endommagée,2021-06-22,67,https://www.tvanouvelles.ca/2021/06/22/lauberge-gouverneur-de-shawinigan-lourdement-endommagee,2021-08-28 14:47:56,national
Shawinigan,"""premier ministre""",22,Le Nouvelliste - Groupe Capitales Médias,Il y a de l'électricité dans l'air à Shawinigan,2021-06-19,70,https://www.lenouvelliste.ca/affaires/il-y-a-de-lelectricite-dans-lair-a-shawinigan-22dbf53415e7fa7d07ccf70736a097da,2021-08-28 14:47:56,national
