Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Témiscouata-sur-le-Lac,"""premier ministre""",1,iHeartRadio,Un premier état des forces dans l'Est du Québec,2021-08-16,12,https://www.iheartradio.ca/rouge-fm/rouge-fm-rimouski/nouvelles/un-premier-etat-des-forces-dans-l-est-du-quebec-1.15866225,2021-08-28 14:59:56,national
Témiscouata-sur-le-Lac,"""premier ministre""",2,TVA Nouvelles,Les développements sur le coronavirus du 9 août 2021,2021-08-09,19,https://www.tvanouvelles.ca/2021/08/09/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-08-28 14:59:56,national
Témiscouata-sur-le-Lac,"""premier ministre""",3,Info Dimanche,Près de 868 000 $ pour améliorer la couverture ambulancière à Cabano | infodimanche.com,2021-04-30,120,https://www.infodimanche.com/actualites/actualite/424694/pres-de-868-000-$-pour-ameliorer-la-couverture-ambulanciere-a-cabano,2021-08-28 14:59:57,national
Témiscouata-sur-le-Lac,"""premier ministre""",4,Radio-Canada.ca,Assouplissements en vue à la frontière du Nouveau-Brunswick,2021-05-28,92,https://ici.radio-canada.ca/nouvelle/1796650/deconfinement-nouveau-brunswick-plan-avignon-temiscouata-iles-madeleine,2021-08-28 14:59:57,national
Témiscouata-sur-le-Lac,"""premier ministre""",5,ICI.Radio-Canada.ca,Le retour du Corégone attendu pour la saison estivale 2021,2021-01-13,227,https://ici.radio-canada.ca/nouvelle/1762829/coregone-retour-ete-2021-traversier-lac-temiscouata-covid-19,2021-08-28 14:59:57,national
Témiscouata-sur-le-Lac,"""premier ministre""",6,ICI.Radio-Canada.ca,Des horaires à l'heure pour les ambulanciers du secteur Cabano,2021-04-29,121,https://ici.radio-canada.ca/nouvelle/1789089/cabano-ambulanciers-horaire-heure-faction,2021-08-28 14:59:58,national
Témiscouata-sur-le-Lac,"""premier ministre""",7,Info Dimanche,Le traversier Le Corégone devrait faire des navettes en 2021 | infodimanche.com,2021-01-12,228,https://www.infodimanche.com/actualites/actualite/414806/le-traversier-le-coregone-devrait-faire-des-navettes-en-2021,2021-08-28 14:59:58,national
Témiscouata-sur-le-Lac,"""premier ministre""",8,Info Dimanche,Internet haute vitesse : 5300 nouveaux foyers seront branchés au KRTB | infodimanche.com,2021-07-10,49,https://www.infodimanche.com/actualites/actualite/431394/internet-haute-vitesse-5300-nouveaux-foyers-seront-branches-au-krtb,2021-08-28 14:59:58,national
Témiscouata-sur-le-Lac,"""premier ministre""",9,Le Soleil - Groupe Capitales Médias,Fin des régions rouges lundi [VIDÉO] | COVID-19 | Actualités,2021-06-01,88,https://www.lesoleil.com/actualite/covid-19/fin-des-regions-rouges-lundi-video-0b3dac2083123c96b2e756a60cbe44a4,2021-08-28 14:59:58,national
Témiscouata-sur-le-Lac,"""premier ministre""",10,Le Droit - Groupe Capitales Médias,Un party coûteux pour des jeunes du Témiscouata,2021-05-12,108,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/un-party-couteux-pour-des-jeunes-du-temiscouata-e0f6f1a7a4f2bfee4628fb4c5d10aeb3,2021-08-28 14:59:59,national
