Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Vaudreuil-Dorion,accident,1,La Presse,Vaudreuil-Dorion | Un jeune homme arrêté pour conduite avec facultés affaiblies après un accident,2021-05-01,119,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-01/vaudreuil-dorion/un-jeune-homme-arrete-pour-conduite-avec-facultes-affaiblies-apres-un-accident.php,2021-08-28 13:23:21,local
Vaudreuil-Dorion,accident,2,Néomédia,Lancement de la programmation du Festival de musique Artefact | Vaudreuil-Soulanges - Néomedia,2021-08-18,10,https://www.neomedia.com/vaudreuil-soulanges/actualites/culturel/434671/lancement-de-la-programmation-du-festival-de-musique-artefact,2021-08-28 13:23:22,local
Vaudreuil-Dorion,accident,3,Le Journal de Montréal,Un motocycliste se heurte à un chevreuil à Vaudreuil-Dorion,2020-10-23,309,https://www.journaldemontreal.com/2020/10/23/un-motocycliste-se-heurte-a-un-chevreuil-a-vaudreuil-dorion,2021-08-28 13:23:22,local
Vaudreuil-Dorion,accident,4,Le Journal de Montréal,Le pont de l'Île-aux-Tourtes fermé d'urgence,2021-05-20,100,https://www.journaldemontreal.com/2021/05/20/le-pont-de-lile-aux-tourtes-ferme-durgence-1,2021-08-28 13:23:22,local
Vaudreuil-Dorion,accident,5,Le Journal de Montréal,Journée infernale sur les routes de Montréal,2021-05-25,95,https://www.journaldemontreal.com/2021/05/25/un-incident-force-la-fermeture-de-deux-voies-dans-le-tunnel-1,2021-08-28 13:23:22,local
Vaudreuil-Dorion,accident,6,Le Journal de Montréal,Après des heures de fermeture en direction est: l'A-40 complètement rouverte dans l'ouest de l'île,2021-06-04,85,https://www.journaldemontreal.com/2021/06/04/lautoroute-40-est-fermee-pour-une-duree-indeterminee,2021-08-28 13:23:23,local
Vaudreuil-Dorion,accident,7,TVA Nouvelles,Gravement blessée dans un accident sur la 40,,,https://www.tvanouvelles.ca/2020/07/09/gravement-blessee-dans-un-accident-sur-la-40,2021-08-28 13:23:23,local
Vaudreuil-Dorion,accident,8,La Presse,Fermeture du pont de l'Île-aux-Tourtes | Des résidants envahis par la congestion à Vaudreuil,2021-05-22,98,https://www.lapresse.ca/actualites/grand-montreal/2021-05-22/fermeture-du-pont-de-l-ile-aux-tourtes/des-residants-envahis-par-la-congestion-a-vaudreuil.php,2021-08-28 13:23:23,local
Vaudreuil-Dorion,accident,9,TVA Nouvelles,Structure percutée par un camion: l'autoroute 40 Est fermée plusieurs heures,2021-06-04,85,https://www.tvanouvelles.ca/2021/06/04/fermeture-de-la40-un-camion-percute-une-structure-metallique,2021-08-28 13:23:23,local
Vaudreuil-Dorion,accident,10,VIVA média,Sortie de route mortelle à Coteau-du-Lac | VIVA MÉDIA,2021-01-07,233,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/faits-divers-vs/accidents-vs/sortie-de-route-mortelle-a-coteau-du-lac/,2021-08-28 13:23:24,local
Vaudreuil-Dorion,accident,11,Le Journal de Montréal,Sainte-Julienne: un véhicule avec six occupants heurte un arbre et une maison,2021-06-12,77,https://www.journaldemontreal.com/2021/06/12/sainte-julienne-un-vehicule-avec-six-occupants-frappe-un-arbre-et-une-maison,2021-08-28 13:23:24,local
Vaudreuil-Dorion,accident,12,ICI.Radio-Canada.ca,Un semi-remorque se renverse à Vaudreuil-Dorion,,,https://ici.radio-canada.ca/nouvelle/796840/accident-vaudreuil-dorion-bretelle,2021-08-28 13:23:24,local
Vaudreuil-Dorion,accident,13,VIVA média,Incendie dans le stationnement du Costco | VIVA MÉDIA,2021-02-10,199,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/faits-divers-vs/incendie-vs/incendie-dans-le-stationnement-du-costco/,2021-08-28 13:23:24,local
Vaudreuil-Dorion,accident,14,TVA Nouvelles,Vaudreuil-Dorion: une motocycliste blessée dans une collision,,,https://www.tvanouvelles.ca/2020/06/21/vaudreuil-dorion-une-motocycliste-blessee-dans-une-collision-1,2021-08-28 13:23:24,local
Vaudreuil-Dorion,accident,15,Droit-Inc.com,Se blesser en jouant au ping-pong : un accident de travail?,2021-07-22,37,https://www.droit-inc.com/article29076-Se-blesser-en-jouant-au-ping-pong-un-accident-de-travail,2021-08-28 13:23:25,local
Vaudreuil-Dorion,accident,16,Le Journal de Québec,Plongeon dans une piscine: un homme dans un état critique à Québec,2021-06-25,64,https://www.journaldequebec.com/2021/06/25/plongeon-dans-une-piscine-un-homme-dans-un-etat-critique-a-quebec,2021-08-28 13:23:25,local
Vaudreuil-Dorion,accident,17,Néomédia,"Dure rentrée ce matin à Vaudreuil-Dorion, grave accident sur l'autoroute 40 | Vaudreuil-Soulanges - Néomedia",,,https://www.neomedia.com/vaudreuil-soulanges/actualites/faits-divers/257668/dure-rentree-ce-matin-a-vaudreuil-dorion-grave-accident-sur-lautoroute-40,2021-08-28 13:23:25,local
Vaudreuil-Dorion,accident,18,Le Journal de Montréal,Un motocycliste de 61 ans perd la vie à Val-d'Or,2021-07-02,57,https://www.journaldemontreal.com/2021/07/02/un-motocycliste-de-61-ans-perd-la-vie-a-val-dor,2021-08-28 13:23:25,local
Vaudreuil-Dorion,accident,19,Le Journal Saint-François,COVID-19: nombre de cas par ville,2021-04-21,129,https://www.journalsaint-francois.ca/covid-19-nombre-de-cas-par-ville-20/,2021-08-28 13:23:26,local
Vaudreuil-Dorion,accident,20,LaPresse.ca,Collision entre trois autobus scolaires à Vaudreuil-Dorion,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/faits-divers/201709/11/01-5132283-collision-entre-trois-autobus-scolaires-a-vaudreuil-dorion.php,2021-08-28 13:23:26,local
Vaudreuil-Dorion,accident,21,TVA Nouvelles,Un influenceur arrêté à Vaudreuil-Dorion,2021-06-03,86,https://www.tvanouvelles.ca/2021/06/03/un-influenceur-arrete-a-vaudreuil-dorion,2021-08-28 13:23:26,local
Vaudreuil-Dorion,accident,22,LaPresse.ca,Fuite de diesel: l'autoroute 40 Est fermée à Vaudreuil-Dorion,,,https://www.lapresse.ca/actualites/grand-montreal/201712/19/01-5147730-fuite-de-diesel-lautoroute-40-est-fermee-a-vaudreuil-dorion.php,2021-08-28 13:23:26,local
Vaudreuil-Dorion,accident,23,TVA Nouvelles,L'autoroute 40 fermée de longues heures à cause d'un accident,,,https://www.tvanouvelles.ca/2018/06/29/fermeture-de-lautoroute-40-a-deux-endroits,2021-08-28 13:23:27,local
Vaudreuil-Dorion,accident,24,LaPresse.ca,Le casse-tête ferroviaire de Terrasse-Vaudreuil,,,https://www.lapresse.ca/actualites/grand-montreal/201804/20/01-5161803-le-casse-tete-ferroviaire-de-terrasse-vaudreuil.php,2021-08-28 13:23:27,local
Vaudreuil-Dorion,accident,25,TVA Nouvelles,Des souvenirs douloureux même 50 ans plus tard,,,https://www.tvanouvelles.ca/2016/10/07/des-souvenirs-douloureux-meme-50-ans-plus-tard,2021-08-28 13:23:27,local
Vaudreuil-Dorion,décès OR mort,1,Le Journal de Montréal,Vaudreuil-Dorion: un octogénaire retrouvé inconscient au fond d'une piscine,2021-08-18,10,https://www.journaldemontreal.com/2021/08/18/vaudreuil-dorion-un-octogenaire-retrouve-inconscient-au-fond-dune-piscine,2021-08-28 13:24:21,local
Vaudreuil-Dorion,décès OR mort,2,NecrologieCanada,Louisiane Denault nee Guevremont 1920 2021 (100 ans),2021-08-23,5,https://necrocanada.com/deces-2021/louisiane-denault-nee-guevremont-1920-2021-100-ans/,2021-08-28 13:24:21,local
Vaudreuil-Dorion,décès OR mort,3,NecrologieCanada,Anne-Marie Lauzon 1972 2021 (48 ans),2021-08-16,12,https://necrocanada.com/deces-2021/anne-marie-lauzon-1972-2021-48-ans/,2021-08-28 13:24:21,local
Vaudreuil-Dorion,décès OR mort,4,NecrologieCanada,Jeannine Noel 1941 2021 (79 ans),2021-08-25,3,https://necrocanada.com/deces-2021/jeannine-noel-1941-2021-79-ans/,2021-08-28 13:24:21,local
Vaudreuil-Dorion,décès OR mort,5,NecrologieCanada,CHARBONNEAU Gilles 1939-,2021-08-24,4,https://necrocanada.com/deces-2021/charbonneau-gilles-1939/,2021-08-28 13:24:22,local
Vaudreuil-Dorion,décès OR mort,6,Néomédia,Parrainer 221 enfants en cette rentrée scolaire dans Vaudreuil-Soulanges | Vaudreuil-Soulanges - Néomedia,2021-08-23,5,https://www.neomedia.com/vaudreuil-soulanges/actualites/jeunesse-et-famille/435085/parrainer-221-enfants-en-cette-rentree-scolaire-dans-vaudreuil-soulanges,2021-08-28 13:24:22,local
Vaudreuil-Dorion,décès OR mort,7,NecrologieCanada,GAUTHIER Yves « Fritz’s 1932-,2021-08-16,12,https://necrocanada.com/deces-2021/gauthier-yves-fritzs-1932/,2021-08-28 13:24:22,local
Vaudreuil-Dorion,décès OR mort,8,NecrologieCanada,Gisele Brunet 1931 2021 (90 ans),2021-08-06,22,https://necrocanada.com/deces-2021/gisele-brunet-1931-2021-90-ans/,2021-08-28 13:24:22,local
Vaudreuil-Dorion,décès OR mort,9,NecrologieCanada,Michel Lafrance 1956 2021 (65 ans),2021-08-04,24,https://necrocanada.com/deces-2021/michel-lafrance-1956-2021-65-ans/,2021-08-28 13:24:23,local
Vaudreuil-Dorion,décès OR mort,10,NecrologieCanada,Raymond Prevost 1938 2021 (83 ans),2021-08-19,9,https://necrocanada.com/deces-2021/raymond-prevost-1938-2021-83-ans/,2021-08-28 13:24:23,local
Vaudreuil-Dorion,décès OR mort,11,NecrologieCanada,Marielle Legault nee Rousseau 1931 2021 (90 ans),2021-08-20,8,https://necrocanada.com/deces-2021/marielle-legault-nee-rousseau-1931-2021-90-ans/,2021-08-28 13:24:23,local
Vaudreuil-Dorion,décès OR mort,12,NecrologieCanada,Pierre Vinet April 13 1949 August 6 2021,2021-08-10,18,https://necrocanada.com/deces-2021/pierre-vinet-april-13-1949-august-6-2021/,2021-08-28 13:24:23,local
Vaudreuil-Dorion,décès OR mort,13,NecrologieCanada,PILON MAJOR Jeannine 1930-,2021-08-07,21,https://necrocanada.com/deces-2021/pilon-major-jeannine-1930/,2021-08-28 13:24:23,local
Vaudreuil-Dorion,décès OR mort,14,NecrologieCanada,Lionel Lavoie 1938 2021 (82 ans),2021-08-02,26,https://necrocanada.com/deces-2021/lionel-lavoie-1938-2021-82-ans/,2021-08-28 13:24:24,local
Vaudreuil-Dorion,décès OR mort,15,NecrologieCanada,Lise Turbide 1943 2021 (77 ans),2021-07-31,28,https://necrocanada.com/deces-2021/lise-turbide-1943-2021-77-ans/,2021-08-28 13:24:24,local
Vaudreuil-Dorion,décès OR mort,16,NecrologieCanada,Claude Daoust 1951 2020 (68 ans),2021-08-20,8,https://necrocanada.com/deces-2021/claude-daoust-1951-2020-68-ans/,2021-08-28 13:24:24,local
Vaudreuil-Dorion,décès OR mort,17,NecrologieCanada,Jacqueline Piche 1945 2021 (75 ans),2021-08-13,15,https://necrocanada.com/deces-2021/jacqueline-piche-1945-2021-75-ans/,2021-08-28 13:24:24,local
Vaudreuil-Dorion,décès OR mort,18,NecrologieCanada,Gisele Charbonneau nee Ranger 1930 2021 (90 ans),2021-08-04,24,https://necrocanada.com/deces-2021/gisele-charbonneau-nee-ranger-1930-2021-90-ans/,2021-08-28 13:24:24,local
Vaudreuil-Dorion,décès OR mort,19,NecrologieCanada,Michel Chalifour 2021,2021-08-19,9,https://necrocanada.com/deces-2021/michel-chalifour-2021/,2021-08-28 13:24:25,local
Vaudreuil-Dorion,décès OR mort,20,NecrologieCanada,Leonard Doiron 19272021,2021-08-16,12,https://necrocanada.com/deces-2021/leonard-doiron-19272021/,2021-08-28 13:24:25,local
Vaudreuil-Dorion,décès OR mort,21,Néomédia,Lancement de la programmation du Festival de musique Artefact | Vaudreuil-Soulanges - Néomedia,2021-08-18,10,https://www.neomedia.com/vaudreuil-soulanges/actualites/culturel/434671/lancement-de-la-programmation-du-festival-de-musique-artefact,2021-08-28 13:24:25,local
Vaudreuil-Dorion,décès OR mort,22,NecrologieCanada,Avis deces pour la province Vaudreuil-Dorion,2021-01-03,237,https://necrocanada.com/deces-2021/necrologie/quebec/vaudreuil-dorion/,2021-08-28 13:24:25,local
Vaudreuil-Dorion,décès OR mort,23,Le Journal Saint-François,COVID-19: nombre de cas par ville,2021-04-21,129,https://www.journalsaint-francois.ca/covid-19-nombre-de-cas-par-ville-20/,2021-08-28 13:24:26,local
Vaudreuil-Dorion,décès OR mort,24,La Presse,Vaudreuil-Dorion | Un jeune homme arrêté pour conduite avec facultés affaiblies après un accident,2021-05-01,119,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-01/vaudreuil-dorion/un-jeune-homme-arrete-pour-conduite-avec-facultes-affaiblies-apres-un-accident.php,2021-08-28 13:24:26,local
Vaudreuil-Dorion,décès OR mort,25,La Presse,Vaudreuil-Dorion | Le nouvel hôpital pourrait être plus grand que prévu,2021-06-14,75,https://www.lapresse.ca/actualites/sante/2021-06-14/vaudreuil-dorion/le-nouvel-hopital-pourrait-etre-plus-grand-que-prevu.php,2021-08-28 13:24:26,local
Vaudreuil-Dorion,incendie,1,Néomédia,Incendie dans une résidence de Vaudreuil-Dorion | Vaudreuil-Soulanges - Néomedia,2021-08-25,3,https://www.neomedia.com/vaudreuil-soulanges/actualites/faits-divers/435363/incendie-dans-une-residence-de-vaudreuil-dorion,2021-08-28 13:24:43,local
Vaudreuil-Dorion,incendie,2,Néomédia,Démolition de l'ancienne caserne incendie de Vaudreuil-Dorion | Vaudreuil-Soulanges - Néomedia,2021-08-18,10,https://www.neomedia.com/vaudreuil-soulanges/actualites/societe/434686/demolition-de-lancienne-caserne-incendie-de-vaudreuil-dorion,2021-08-28 13:24:43,local
Vaudreuil-Dorion,incendie,3,Le Journal Saint-François,Un véhicule récréatif est la proie des flammes sur l'autoroute 30,2021-08-16,12,https://www.journalsaint-francois.ca/Un-vehicule-recreatif-est-la-proie-des-flammes-sur-lautoroute-30/,2021-08-28 13:24:43,local
Vaudreuil-Dorion,incendie,4,Le Journal Saint-François,Perte totale dans Saint-Timothée,2021-08-11,17,https://www.journalsaint-francois.ca/Perte-totale-dans-Saint-Timothee/,2021-08-28 13:24:44,local
Vaudreuil-Dorion,incendie,5,INFOSuroit.com,Vaudreuil-Dorion rappelle l'interdiction de feux d'artifice,2021-07-29,30,https://www.infosuroit.com/vaudreuil-dorion-rappelle-linterdiction-de-feux-dartifice/,2021-08-28 13:24:44,local
