Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Victoriaville,accident,1,La Nouvelle Union,Accident mortel : victime identifiée,2021-08-08,20,https://www.lanouvelle.net/2021/08/08/accident-mortel-victime-identifiee-8/,2021-08-28 13:29:15,local
Victoriaville,accident,2,Le Journal de Québec,Il traverse à pied les voies de l'A-20 et se fait happer mortellement,2021-08-07,21,https://www.journaldequebec.com/2021/08/07/un-homme-traverse-plusieurs-voies-de-la-20-et-se-fait-happer-par-un-camion-1,2021-08-28 13:29:16,local
Victoriaville,accident,3,La Presse,Centre-du-Québec | Un homme happé sur l'A-20 succombe à ses blessures,2021-08-08,20,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-08-08/centre-du-quebec/un-homme-happe-sur-l-a-20-succombe-a-ses-blessures.php,2021-08-28 13:29:16,local
Victoriaville,accident,4,iHeartRadio,Un Victoriavillois happé par camion de manière nébuleuse,2021-08-09,19,https://www.iheartradio.ca/energie/energie-drummondville/nouvelles/un-victoriavillois-happe-par-camion-de-maniere-nebuleuse-1.15808311,2021-08-28 13:29:16,local
Victoriaville,accident,5,Mon Victo,Un Victoriavillois frappé mortellement par un semi-remorque sur l'autoroute 20,2021-08-09,19,https://monvicto.com/un-victoriavillois-frappe-mortellement-par-un-semi-remorque-sur-lautoroute-20/,2021-08-28 13:29:16,local
Victoriaville,accident,6,La Nouvelle Union,Accident impliquant un cycliste et un poids lourd,2021-08-19,9,https://www.lanouvelle.net/2021/08/19/accident-impliquant-un-cycliste-et-un-poids-lourd/,2021-08-28 13:29:17,local
Victoriaville,accident,7,La Nouvelle Union,Collision avec blessé sur la 116,2021-08-28,0,https://www.lanouvelle.net/2021/08/27/collision-avec-blesse-sur-la-116/,2021-08-28 13:29:17,local
Victoriaville,accident,8,La Nouvelle Union,Spectaculaire accident : l'alcool serait en cause,2021-08-06,22,https://www.lanouvelle.net/2021/08/06/spectaculaire-accident-lalcool-serait-en-cause/,2021-08-28 13:29:17,local
Victoriaville,accident,9,La Nouvelle Union,Embardée : encore l'alcool?,2021-08-07,21,https://www.lanouvelle.net/2021/08/07/embardee-encore-lalcool/,2021-08-28 13:29:17,local
Victoriaville,accident,10,La Nouvelle Union,L'alcool en cause dans une embardée?,2021-08-26,2,https://www.lanouvelle.net/2021/08/26/lalcool-en-cause-dans-une-embardee-2/,2021-08-28 13:29:18,local
Victoriaville,accident,11,La Nouvelle Union,Un chauffard ivre rattrapé par la police,2021-08-01,27,https://www.lanouvelle.net/2021/08/01/un-chauffard-ivre-rattrape-par-la-police/,2021-08-28 13:29:18,local
Victoriaville,accident,12,La Nouvelle Union,Capotage à Saint-Ferdinand,2021-08-08,20,https://www.lanouvelle.net/2021/08/08/capotage-a-saint-ferdinand/,2021-08-28 13:29:18,local
Victoriaville,accident,13,La Nouvelle Union,Les policiers plus présents dans les quartiers,2021-08-25,3,https://www.lanouvelle.net/2021/08/25/les-policiers-plus-presents-dans-les-quartiers/,2021-08-28 13:29:18,local
Victoriaville,accident,14,La Nouvelle Union,Accident mortel à Tingwick,2021-05-19,101,https://www.lanouvelle.net/2021/05/19/accident-mortel-a-tingwick/,2021-08-28 13:29:18,local
Victoriaville,accident,15,La Tribune - Groupe Capitales Médias,Accident sur l'autoroute 20 est à la hauteur de Drummondville,2021-06-20,69,https://www.latribune.ca/actualites/justice-et-faits-divers/accident-sur-lautoroute-20-est-a-la-hauteur-de-drummondville-33b8d1078dd9392cb6a14c975541105c,2021-08-28 13:29:19,local
Victoriaville,accident,16,La Nouvelle Union,Accident : un adolescent blessé,2021-07-18,41,https://www.lanouvelle.net/2021/07/18/accident-un-adolescent-blesse/,2021-08-28 13:29:19,local
Victoriaville,accident,17,La Nouvelle Union,Piéton happé par un véhicule,2021-05-25,95,https://www.lanouvelle.net/2021/05/25/pieton-happe-par-un-vehicule-6/,2021-08-28 13:29:19,local
Victoriaville,accident,18,Le Journal de Montréal,[PHOTOS] Collision mortelle entre une moto et une auto près de Victoriaville,,,https://www.journaldemontreal.com/2019/06/09/accident-de-moto-pres-de-victoriaville-deux-blesses-graves-dont-un-dans-un-etat-critique,2021-08-28 13:29:19,local
Victoriaville,accident,19,La Nouvelle Union,Autre accident impliquant un scooter,2021-07-25,34,https://www.lanouvelle.net/2021/07/25/autre-accident-impliquant-un-scooter/,2021-08-28 13:29:20,local
Victoriaville,accident,20,La Nouvelle Union,Collision à Victo,2021-03-25,156,https://www.lanouvelle.net/2021/03/25/collision-a-victo-3/,2021-08-28 13:29:20,local
Victoriaville,accident,21,Les 2 Rives,Un homme de Victoriaville perd la vie à Sainte-Anne-de-Sorel,2021-07-12,47,https://www.les2rives.com/un-homme-de-victoriaville-perd-la-vie-a-sainte-anne-de-sorel/,2021-08-28 13:29:20,local
Victoriaville,accident,22,La Nouvelle Union,Accident de scooter : une jeune fille blessée,2021-07-24,35,https://www.lanouvelle.net/2021/07/24/accident-de-scooter-une-jeune-fille-blessee/,2021-08-28 13:29:20,local
Victoriaville,accident,23,La Nouvelle Union,Spectaculaire collision à Victoriaville,2021-05-02,118,https://www.lanouvelle.net/2021/05/02/spectaculaire-collision-a-victoriaville-2/,2021-08-28 13:29:20,local
Victoriaville,accident,24,Le Journal de Québec,Accident mortel à Saint-Ferdinand: les proches de la victime sous le choc,2021-06-25,64,https://www.journaldequebec.com/2021/06/25/accident-mortel-a-saint-ferdinand-les-proches-de-la-victime-sous-le-choc-1,2021-08-28 13:29:21,local
Victoriaville,accident,25,iHeartRadio,Accident mortel sur l'autoroute 20 près de St-Cyrille-de-Wendover,2021-04-08,142,https://www.iheartradio.ca/energie/energie-drummondville/nouvelles/accident-mortel-sur-l-autoroute-20-pres-de-st-cyrille-de-wendover-1.14944282,2021-08-28 13:29:21,local
Victoriaville,décès OR mort,1,La Nouvelle Union,Accident mortel : victime identifiée,2021-08-08,20,https://www.lanouvelle.net/2021/08/08/accident-mortel-victime-identifiee-8/,2021-08-28 13:30:11,local
Victoriaville,décès OR mort,2,NecrologieCanada,VILLENEUVE Magella 1941 2021,2021-08-24,4,https://necrocanada.com/deces-2021/villeneuve-magella-1941-2021/,2021-08-28 13:30:11,local
Victoriaville,décès OR mort,3,NecrologieCanada,Gaetan Hebert 7 août 2021,2021-08-09,19,https://necrocanada.com/deces-2021/gaetan-hebert-7-aout-2021/,2021-08-28 13:30:11,local
Victoriaville,décès OR mort,4,La Nouvelle Union,Il recouvre sa maison dans un état insalubre,2021-08-25,3,https://www.lanouvelle.net/2021/08/25/il-recouvre-sa-maison-dans-un-etat-insalubre/,2021-08-28 13:30:12,local
Victoriaville,décès OR mort,5,NecrologieCanada,Sylvie Crête 28 juillet 2021,2021-07-30,29,https://necrocanada.com/deces-2021/sylvie-crete-28-juillet-2021/,2021-08-28 13:30:12,local
Victoriaville,décès OR mort,6,La Nouvelle Union,Décès d'un bâtisseur de Victoriaville,2021-06-23,66,https://www.lanouvelle.net/2021/06/23/deces-dun-batisseur-de-victoriaville/,2021-08-28 13:30:12,local
Victoriaville,décès OR mort,7,La Nouvelle Union,Décès d'un ancien DG de la Ville de Victoriaville,2021-07-26,33,https://www.lanouvelle.net/2021/07/26/deces-dun-ancien-dg-de-la-ville-de-victoriaville/,2021-08-28 13:30:12,local
Victoriaville,décès OR mort,8,Les 2 Rives,Un homme de Victoriaville perd la vie à Sainte-Anne-de-Sorel,2021-07-12,47,https://www.les2rives.com/un-homme-de-victoriaville-perd-la-vie-a-sainte-anne-de-sorel/,2021-08-28 13:30:12,local
Victoriaville,décès OR mort,9,La Nouvelle Union,Décès de Robert Carrier : Victoriaville perd une figure emblématique,2020-12-17,254,https://www.lanouvelle.net/2020/12/17/deces-de-robert-carrier-victoriaville-perd-une-figure-emblematique/,2021-08-28 13:30:13,local
Victoriaville,décès OR mort,10,La Nouvelle Union,Accidents routiers : 9 décès en 2020 dans Arthabaska-Érable,2021-05-13,107,https://www.lanouvelle.net/2021/05/13/accidents-routiers-9-deces-en-2020-dans-arthabaska-erable/,2021-08-28 13:30:13,local
Victoriaville,décès OR mort,11,La Nouvelle Union,Harold Poisson sollicitera un nouveau mandat à Saint-Rosaire,2021-07-30,29,https://www.lanouvelle.net/2021/07/30/harold-poisson-sollicitera-un-nouveau-mandat-a-saint-rosaire/,2021-08-28 13:30:13,local
Victoriaville,décès OR mort,12,La Nouvelle Union,L'incendie à Victoriaville a fait un mort,,,https://www.lanouvelle.net/2020/08/30/lincendie-a-victoriaville-a-fait-un-mort/,2021-08-28 13:30:13,local
Victoriaville,décès OR mort,13,NecrologieCanada,Gilles Houle 10 juillet 2021,2021-07-11,48,https://necrocanada.com/deces-2021/gilles-houle-10-juillet-2021/,2021-08-28 13:30:14,local
Victoriaville,décès OR mort,14,NecrologieCanada,Avis deces pour la province Victoriaville,2021-01-07,233,https://necrocanada.com/deces-2021/necrologie/quebec/victoriaville/,2021-08-28 13:30:14,local
Victoriaville,décès OR mort,15,NecrologieCanada,Jacques Canin 27 juin 2021,2021-07-01,58,https://necrocanada.com/deces-2021/jacques-canin-27-juin-2021/,2021-08-28 13:30:14,local
Victoriaville,décès OR mort,16,Le Nouvelliste - Groupe Capitales Médias,COVID-19: 74 nouveaux cas et six décès dans la région,2020-12-01,270,https://www.lenouvelliste.ca/actualites/covid-19-74-nouveaux-cas-et-six-deces-dans-la-region-ed34aeaf999545ebcd610331792c467f,2021-08-28 13:30:14,local
Victoriaville,décès OR mort,17,La Nouvelle Union,Un couple durement frappé par la COVID-19,2021-07-28,31,https://www.lanouvelle.net/2021/07/28/un-couple-durement-frappe-par-la-covid-19/,2021-08-28 13:30:14,local
Victoriaville,décès OR mort,18,NecrologieCanada,Claude Boissonneault 30 mars 2021,2021-04-05,145,https://necrocanada.com/deces-2021/claude-boissonneault-30-mars-2021/,2021-08-28 13:30:15,local
Victoriaville,décès OR mort,19,Le Journal de Québec,Accident mortel à Saint-Ferdinand: les proches de la victime sous le choc,2021-06-25,64,https://www.journaldequebec.com/2021/06/25/accident-mortel-a-saint-ferdinand-les-proches-de-la-victime-sous-le-choc-1,2021-08-28 13:30:15,local
Victoriaville,décès OR mort,20,Le Nouvelliste - Groupe Capitales Médias,COVID-19: 74 nouveaux cas en trois jours | COVID-19 | Actualités,2021-08-23,5,https://www.lenouvelliste.ca/actualites/covid-19/covid-19-74-nouveaux-cas-en-trois-jours-5e25f88b86ba1edc2c9eaeb7e3b8c1df,2021-08-28 13:30:15,local
Victoriaville,décès OR mort,21,NecrologieCanada,Henri Normand 12 juillet 2021,2021-07-14,45,https://necrocanada.com/deces-2021/henri-normand-12-juillet-2021/,2021-08-28 13:30:15,local
Victoriaville,décès OR mort,22,NecrologieCanada,Carmen Ouellet Girouard 24 mai 2021,2021-05-29,91,https://necrocanada.com/deces-2021/carmen-ouellet-girouard-24-mai-2021/,2021-08-28 13:30:15,local
Victoriaville,décès OR mort,23,NecrologieCanada,Azele Gouin 12 juin 2021,2021-06-13,76,https://necrocanada.com/deces-2021/azele-gouin-12-juin-2021/,2021-08-28 13:30:16,local
Victoriaville,décès OR mort,24,NecrologieCanada,Yvan Demers 26 juin 2021,2021-07-02,57,https://necrocanada.com/deces-2021/yvan-demers-26-juin-2021/,2021-08-28 13:30:16,local
Victoriaville,décès OR mort,25,NecrologieCanada,Richard Gilbert 2 mai 2021,2021-05-03,117,https://necrocanada.com/deces-2021/richard-gilbert-2-mai-2021/,2021-08-28 13:30:16,local
Victoriaville,incendie,1,La Nouvelle Union,Un incendie détruit une résidence,2021-08-08,20,https://www.lanouvelle.net/2021/08/08/un-incendie-detruit-une-residence-3/,2021-08-28 13:30:33,local
Victoriaville,incendie,2,La Nouvelle Union,Une charrette à foin prend feu,2021-08-27,1,https://www.lanouvelle.net/2021/08/27/une-charrette-a-foin-prend-feu/,2021-08-28 13:30:33,local
Victoriaville,incendie,3,La Nouvelle Union,Les pompiers interviennent chez Sani Marc,2021-08-19,9,https://www.lanouvelle.net/2021/08/19/les-pompiers-interviennent-chez-sani-marc-2/,2021-08-28 13:30:34,local
Victoriaville,incendie,4,La Nouvelle Union,Le feu s'éteint par lui-même,2021-08-26,2,https://www.lanouvelle.net/2021/08/26/le-feu-seteint-par-lui-meme/,2021-08-28 13:30:34,local
Victoriaville,incendie,5,La Nouvelle Union,Un BBQ prend feu,2021-08-12,16,https://www.lanouvelle.net/2021/08/12/un-bbq-prend-feu-2/,2021-08-28 13:30:34,local
Victoriaville,incendie,6,La Nouvelle Union,Le feu détruit un VTT,2021-08-14,14,https://www.lanouvelle.net/2021/08/14/le-feu-detruit-un-vtt/,2021-08-28 13:30:34,local
Victoriaville,incendie,7,La Nouvelle Union,Le paillis s'enflamme,2021-08-23,5,https://www.lanouvelle.net/2021/08/23/le-paillis-senflamme-2/,2021-08-28 13:30:34,local
Victoriaville,incendie,8,La Nouvelle Union,Intervention en pleine nuit au centre-ville,2021-08-07,21,https://www.lanouvelle.net/2021/08/07/intervention-en-pleine-nuit-au-centre-ville/,2021-08-28 13:30:35,local
Victoriaville,incendie,9,La Nouvelle Union,Incendie chez Victoriaville &amp; Co : des dommages évalués à 250 000 $,2021-05-16,104,https://www.lanouvelle.net/2021/05/16/incendie-chez-victoriaville-co-des-dommages-evalues-a-250-000/,2021-08-28 13:30:35,local
Victoriaville,incendie,10,La Nouvelle Union,"Effectifs réduits : rien d'alarmant, soutient la direction",2021-07-30,29,https://www.lanouvelle.net/2021/07/30/effectifs-reduits-rien-dalarmant-soutient-la-direction/,2021-08-28 13:30:35,local
Victoriaville,incendie,11,La Nouvelle Union,Important incendie à Victoriaville,2021-02-16,193,https://www.lanouvelle.net/2021/02/16/important-incendie-a-victoriaville-2/,2021-08-28 13:30:35,local
Victoriaville,incendie,12,La Nouvelle Union,Feu suspect de débris,2021-05-18,102,https://www.lanouvelle.net/2021/05/18/feu-suspect-de-debris/,2021-08-28 13:30:35,local
Victoriaville,incendie,13,La Nouvelle Union,Incendie : couple réveillé par les pompiers,2021-02-24,185,https://www.lanouvelle.net/2021/02/24/incendie-couple-reveille-par-les-pompiers/,2021-08-28 13:30:36,local
Victoriaville,incendie,14,Mon Victo,Son pick-up prend feu sur la rue. La MRC demande de payer la facture des pompiers.,2021-08-12,16,https://monvicto.com/son-pick-up-prend-feu-sur-la-rue-la-mrc-demande-de-payer-la-facture-des-pompiers/,2021-08-28 13:30:36,local
Victoriaville,incendie,15,La Nouvelle Union,Incendie accidentel d'une scierie à Saint-Valère,2021-05-18,102,https://www.lanouvelle.net/2021/05/18/incendie-accidentel-dune-scierie-a-saint-valere/,2021-08-28 13:30:36,local
Victoriaville,incendie,16,La Nouvelle Union,Tentatives d'incendies : un Victoriavillois arrêté,2021-03-08,173,https://www.lanouvelle.net/2021/03/08/tentatives-dincendies-un-victoriavillois-arrete/,2021-08-28 13:30:36,local
Victoriaville,incendie,17,La Nouvelle Union,Un chauffard ivre rattrapé par la police,2021-08-01,27,https://www.lanouvelle.net/2021/08/01/un-chauffard-ivre-rattrape-par-la-police/,2021-08-28 13:30:37,local
Victoriaville,incendie,18,La Nouvelle Union,Victoriaville &amp; Co : des dommages de quelques milliers de dollars,2021-05-15,105,https://www.lanouvelle.net/2021/05/15/victoriaville-co-des-dommages-de-quelques-milliers-de-dollars/,2021-08-28 13:30:37,local
Victoriaville,incendie,19,La Nouvelle Union,Résidence lourdement endommagée par le feu,2021-05-02,118,https://www.lanouvelle.net/2021/05/02/residence-lourdement-endommagee-par-le-feu-2/,2021-08-28 13:30:37,local
Victoriaville,incendie,20,La Nouvelle Union,Deux foyers d'incendie vraisemblablement d'origine criminelle à Victo,2021-02-25,184,https://www.lanouvelle.net/2021/02/25/deux-foyers-dincendie-vraisemblablement-dorigine-criminelle-a-victo/,2021-08-28 13:30:37,local
Victoriaville,incendie,21,La Nouvelle Union,Début d'incendie à la Vélogare,2021-06-08,81,https://www.lanouvelle.net/2021/06/08/debut-dincendie-a-la-velogare/,2021-08-28 13:30:37,local
Victoriaville,incendie,22,La Tribune - Groupe Capitales Médias,Incendie à Victoriaville : une personne retrouvée sous les décombres,,,https://www.latribune.ca/actualites/justice-et-faits-divers/incendie-a-victoriaville--une-personne-retrouvee-sous-les-decombres-10612df4e78340244270c6ac164e0072,2021-08-28 13:30:38,local
Victoriaville,incendie,23,La Nouvelle Union,Le feu ravage une camionnette,2021-05-31,89,https://www.lanouvelle.net/2021/05/31/le-feu-ravage-une-camionnette/,2021-08-28 13:30:38,local
Victoriaville,incendie,24,La Nouvelle Union,Feu de véhicules dans la cour d'un garage,2021-04-21,129,https://www.lanouvelle.net/2021/04/21/feu-de-vehicules-dans-la-cour-dun-garage/,2021-08-28 13:30:38,local
Victoriaville,incendie,25,La Nouvelle Union,Un incendie éclate dans un sous-sol,2021-03-26,155,https://www.lanouvelle.net/2021/03/26/un-incendie-eclate-dans-un-sous-sol/,2021-08-28 13:30:38,local
Victoriaville,police OR Sûreté,1,La Nouvelle Union,Sûreté du Québec : les postes sont comblés,2021-08-24,4,https://www.lanouvelle.net/2021/08/24/surete-du-quebec-les-postes-sont-combles/,2021-08-28 13:30:53,local
Victoriaville,police OR Sûreté,2,TVA Nouvelles,Allégations d'agression sexuelle: les deux joueurs des Tigres sont au camp,2021-08-25,3,https://www.tvanouvelles.ca/2021/08/25/allegations-dagression-sexuelle-les-deux-joueurs-des-tigres-sont-au-camp,2021-08-28 13:30:54,local
