Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Acton Vale,"""premier ministre""",1,iHeartRadio,Annulation du Show de la Rentrée Desjardins d'Acton Vale,2021-05-19,122,https://www.iheartradio.ca/energie/energie-drummondville/nouvelles/annulation-du-show-de-la-rentree-desjardins-d-acton-vale-1.15231547,2021-09-18 17:39:02,national
Acton Vale,"""premier ministre""",2,La Releve,Début de la vaccination dans la région à partir du 11 mars,2021-02-26,204,https://www.lareleve.qc.ca/2021/02/26/debut-de-la-vaccination-dans-la-region-a-partir-du-11-mars/,2021-09-18 17:39:02,national
Acton Vale,"""premier ministre""",3,La Voix de l'est - Groupe Capitales Médias,Séisme en Haïti: le premier ministre Justin Trudeau offre son aide,2021-08-14,35,https://www.lavoixdelest.ca/actualites/seisme-en-haiti-le-premier-ministre-justin-trudeau-offre-son-aide-a52979365a57920ebc4ec03dbcfaa6c5,2021-09-18 17:39:03,national
Acton Vale,"""premier ministre""",4,La Voix de l'est - Groupe Capitales Médias,"L'Estrie passe au orange, la Montérégie reste en rouge [CARTE]",2021-03-04,198,https://www.lavoixdelest.ca/actualites/covid-19/lestrie-passe-au-orange-la-monteregie-reste-en-rouge-carte-1e4f2c6f41eee2e72e5c68275f6b3cac,2021-09-18 17:39:03,national
Acton Vale,"""premier ministre""",5,La Presse,Couvre-feu à 21 h 30 en zone rouge,2021-03-16,186,https://www.lapresse.ca/covid-19/2021-03-16/couvre-feu-a-21-h-30-en-zone-rouge.php,2021-09-18 17:39:03,national
Acton Vale,"""premier ministre""",6,Le Journal de Montréal,Importante éclosion au CHSLD d'Acton Vale,2020-11-04,318,https://www.journaldemontreal.com/2020/11/04/importante-eclosion-au-chsld-dacton-vale-1,2021-09-18 17:39:03,national
Acton Vale,"""premier ministre""",7,La Voix de l'est - Groupe Capitales Médias,Le déconfinement accueilli avec soulagement en Montérégie | COVID-19 | Actualités,2021-05-18,123,https://www.lavoixdelest.ca/actualites/covid-19/le-deconfinement-accueilli-avec-soulagement-en-monteregie-f25502ea8c8a1ccf738b5cb722b566e6,2021-09-18 17:39:03,national
Acton Vale,"""premier ministre""",8,Le Journal de Québec,Comme les pyramides d'Égypte : l'immense ancienne voûte d'une Caisse Desjardins déplacée à Saint-Fulgence,2021-05-25,116,https://www.journaldequebec.com/2021/05/25/comme-les-pyramides-degypte--limmense-ancienne-voute-dune-caisse-desjardins-deplacee-a-saint-fulgence,2021-09-18 17:39:04,national
Acton Vale,"""premier ministre""",9,Le Soleil - Groupe Capitales Médias,COVID-19 : l'ex-ministre Benoit Pelletier hospitalisé depuis plusieurs mois,2021-04-22,149,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/covid-19--lex-ministre-benoit-pelletier-hospitalise-depuis-plusieurs-mois-a6a0f28bd3a9886f2571c34b132b11bf,2021-09-18 17:39:04,national
Acton Vale,"""premier ministre""",10,L’actualité,La vaccination des 85 ans et plus va débuter le 11 mars en Montérégie,2021-02-24,206,https://lactualite.com/actualites/la-vaccination-des-85-ans-et-plus-va-debuter-le-11-mars-en-monteregie/,2021-09-18 17:39:04,national
Acton Vale,"""premier ministre""",11,Le Journal de Montréal,Ceux qui ont eu la COVID-19 près de chez vous,,,https://www.journaldemontreal.com/2020/06/10/ceux-qui-ont-eu-la-covid-19-pres-de-chez-vous,2021-09-18 17:39:04,national
Acton Vale,"""premier ministre""",12,La Voix de l'est - Groupe Capitales Médias,Une unité mobile de dépistage s'installe à Acton Vale pour une troisième fois,2020-10-29,324,https://www.lavoixdelest.ca/actualites/une-unite-mobile-de-depistage-sinstalle-a-acton-vale-pour-une-troisieme-fois-914fd056c2b5589a992a1ce93435218d,2021-09-18 17:39:04,national
Acton Vale,"""premier ministre""",13,Le Journal de Montréal,La météo malmène les producteurs agricoles | JDM,2021-05-31,110,https://www.journaldemontreal.com/2021/05/31/la-meteo-malmene-les-producteurs-agricoles,2021-09-18 17:39:05,national
Acton Vale,"""premier ministre""",14,Le Soleil - Groupe Capitales Médias,Quel est le secret de François Legault ? | Le fil des régions | Actualités,2021-03-07,195,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/quel-est-le-secret-de-francois-legault--d15960eeec36a3a9755101c5c58cf42f,2021-09-18 17:39:05,national
Acton Vale,"""premier ministre""",15,Le Journal de Montréal,[EN DIRECT 4 NOVEMBRE 2020] Tous les développements de la pandémie de COVID-19,2020-11-04,318,https://www.journaldemontreal.com/2020/11/04/en-direct-4-novembre-2020-tous-les-developpements-de-la-pandemie-de-covid-19,2021-09-18 17:39:05,national
Acton Vale,"""premier ministre""",16,La Voix de l'est - Groupe Capitales Médias,"Pas de courses à l'Autodrome avant la fin juin, au mieux",2021-04-21,150,https://www.lavoixdelest.ca/sports/pas-de-courses-a-lautodrome-avant-la-fin-juin-au-mieux-8cbc311f12d57ee5aee30f17a2a9509d,2021-09-18 17:39:05,national
Acton Vale,"""premier ministre""",17,La Voix de l'est - Groupe Capitales Médias,La vaccination chez les 55 ans et plus se poursuit,2021-04-14,157,https://www.lavoixdelest.ca/actualites/la-vaccination-chez-les-55-ans-et-plus-se-poursuit-5ea40627f7af112428ad3417122d1f5b,2021-09-18 17:39:05,national
Acton Vale,"""premier ministre""",18,La Voix de l'est - Groupe Capitales Médias,"Martine Moïse, veuve du président haïtien assassiné, veut poursuivre la «bataille» de son mari",2021-07-10,70,https://www.lavoixdelest.ca/actualites/martine-moise-veuve-du-president-haitien-assassine-veut-poursuivre-la-bataille-de-son-mari-468265ec7d3c46492e8620cfc1cdd436,2021-09-18 17:39:05,national
Acton Vale,"""premier ministre""",19,La Voix de l'est - Groupe Capitales Médias,Québec élargit la vaccination aux 70 ans et plus,2021-03-13,189,https://www.lavoixdelest.ca/actualites/covid-19/quebec-elargit-la-vaccination-aux-70-ans-et-plus-95116bb2b890a7c4959f8dd3e68bf8a3,2021-09-18 17:39:06,national
Acton Vale,"""premier ministre""",20,La Tribune - Groupe Capitales Médias,"«Même si les Leafs n'ont pas gagné, je t'aime quand même, François», déclare Ford [VIDÉO]",2021-06-01,109,https://www.latribune.ca/sports/meme-si-les-leafs-nont-pas-gagne-je-taime-quand-meme-francois-declare-ford-video-defe14487b6936110f53b21c47424479,2021-09-18 17:39:06,national
Acton Vale,"""premier ministre""",21,Le Journal de Montréal,[EN DIRECT 17 NOVEMBRE 2020] Tous les développements de la pandémie de COVID-19,2020-11-17,305,https://www.journaldemontreal.com/2020/11/17/en-direct-17-novembre-2020-tous-les-developpements-de-la-pandemie-de-covid-19,2021-09-18 17:39:06,national
Acton Vale,"""premier ministre""",22,La Voix de l'est - Groupe Capitales Médias,Les candidats dans Saint-Hyacinthe—Bagot | Actualités,2021-08-16,33,https://www.lavoixdelest.ca/actualites/la-campagne-electorale-est-lancee-dans-la-region-50bc19f153def5faf2a37fea18006480actualites/les-candidats-dans-saint-hyacinthebagot-0ab802ae305edcf431aa63fa9baf18d2,2021-09-18 17:39:06,national
Acton Vale,"""premier ministre""",23,Le Soleil - Groupe Capitales Médias,Un Shawiniganais se fait tatouer le visage de François Legault après un «t'es pas game» [ARTICLE AUDIO],2021-04-09,162,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/un-shawiniganais-se-fait-tatouer-le-visage-de-francois-legault-apres-un-tes-pas-game-article-audio-89b1f15537729a0681bb9d485543dbe5,2021-09-18 17:39:07,national
Acton Vale,"""premier ministre""",24,Le Droit - Groupe Capitales Médias,La fête du Canada fêtée timidement après la découverte de sépultures anonymes,2021-07-01,79,https://www.ledroit.com/actualites/la-fete-du-canada-fetee-timidement-apres-la-decouverte-de-sepultures-anonymes-46914fa3c45e890930eef44c0fd9f2d8,2021-09-18 17:39:07,national
