Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Blainville,élection OR campagne,1,Nord Info et Voix des Mille-Iles,Les policiers de la Régie de police Thérèse-De Blainville lancent la campagne #Valorisation,2021-09-14,4,https://www.nordinfo.com/actualites/les-policiers-de-la-regie-de-police-therese-de-blainville-lancent-la-campagne-valorisation/,2021-09-18 17:17:57,mixte
Blainville,élection OR campagne,2,Nord Info et Voix des Mille-Iles,Vincent Aubé défendra les couleurs du PPC,2021-08-30,19,https://www.nordinfo.com/actualites/vincent-aube-defendra-les-couleurs-du-ppc/,2021-09-18 17:17:57,mixte
Blainville,élection OR campagne,3,La Presse,Le Bloc rêve toujours de 40 sièges | La Presse,2021-09-18,0,https://www.lapresse.ca/elections-federales/2021-09-17/le-bloc-reve-toujours-de-40-sieges.php,2021-09-18 17:17:57,mixte
Blainville,élection OR campagne,4,Le Journal de Montréal,La guerre des couronnes de Montréal,2021-08-31,18,https://www.journaldemontreal.com/2021/08/31/la-guerre-des-couronnes-de-montreal,2021-09-18 17:17:58,mixte
Blainville,élection OR campagne,5,Nord Info et Voix des Mille-Iles,"« Pour une voix forte à Ottawa, votez Bloc Québécois » – Louise Chabot",2021-09-17,1,https://www.nordinfo.com/actualites/pour-une-voix-forte-a-ottawa-votez-bloc-quebecois-louise-chabot/,2021-09-18 17:17:58,mixte
Blainville,élection OR campagne,6,Nord Info et Voix des Mille-Iles,Justin Trudeau et son équipe de passage dans les Laurentides,2021-09-17,1,https://www.nordinfo.com/actualites/justin-trudeau-et-son-equipe-de-passage-dans-les-laurentides/,2021-09-18 17:17:58,mixte
Blainville,élection OR campagne,7,Nord Info et Voix des Mille-Iles,Guylaine Beaudoin joint l'équipe de Florent Gravel,2021-08-20,29,https://www.nordinfo.com/actualites/guylaine-beaudoin-joint-lequipe-de-florent-gravel/,2021-09-18 17:17:58,mixte
Blainville,élection OR campagne,8,La Presse,Trudeau multiplie les arrêts au Québec | La Presse,2021-09-17,1,https://www.lapresse.ca/elections-federales/2021-09-17/trudeau-multiplie-les-arrets-au-quebec.php,2021-09-18 17:17:58,mixte
Blainville,élection OR campagne,9,Le Journal de Québec,[SONDAGE] Élections fédérales: des luttes à trois se dessinent au Québec,2021-09-02,16,https://www.journaldequebec.com/2021/09/02/les-courses-se-corsent-au-quebec,2021-09-18 17:17:59,mixte
Blainville,élection OR campagne,10,L'Éveil et La Concorde,Il s'agit d'avancer ensemble - Journal L'Éveil de Saint-Eustache,2021-09-15,3,https://www.leveil.com/actualites/les-liberaux-dressent-un-bilan-positif-de-leur-campagne,2021-09-18 17:17:59,mixte
Blainville,élection OR campagne,11,Le Soleil - Groupe Capitales Médias,"Troisième lien: petite provocation, dit Blanchet | Élections fédérales | Actualités",2021-09-06,12,https://www.lesoleil.com/actualite/les-elections-federales/troisieme-lien-petite-provocation-dit-blanchet-1cb1f21494559b9f14cb48525ce242c4,2021-09-18 17:17:59,mixte
Blainville,élection OR campagne,12,Nord Info et Voix des Mille-Iles,"Conseiller à Blainville de 2005 à 2017, Alain Portelance est décédé",2021-09-01,17,https://www.nordinfo.com/actualites/conseiller-a-blainville-de-2005-a-2017-alain-portelance-est-decede/,2021-09-18 17:17:59,mixte
Blainville,élection OR campagne,13,L'Éveil et La Concorde,Yves-François Blanchet dans les Basses-Laurentides - Journal L'Éveil de Saint-Eustache,2021-09-16,2,https://www.leveil.com/actualites/yves-francois-blanchet-dans-les-basses-laurentides,2021-09-18 17:17:59,mixte
Blainville,élection OR campagne,14,Nord Info et Voix des Mille-Iles,Florent Gravel présente trois nouveaux candidats,2021-09-10,8,https://www.nordinfo.com/actualites/florent-gravel-presente-trois-nouveaux-candidats/,2021-09-18 17:17:59,mixte
Blainville,élection OR campagne,15,Nord Info et Voix des Mille-Iles,D'autres candidats se manifestent,2021-09-16,2,https://www.nordinfo.com/actualites/dautres-candidats-se-manifestent/,2021-09-18 17:18:00,mixte
Blainville,élection OR campagne,16,Nord Info et Voix des Mille-Iles,Le dernier blitz avant le vote,2021-09-16,2,https://www.nordinfo.com/ici-chez-vous/le-dernier-blitz-avant-le-vote/,2021-09-18 17:18:00,mixte
Blainville,élection OR campagne,17,La Presse,Élections fédérales | Ce qu'il faut retenir de la première semaine de campagne,2021-08-21,28,https://www.lapresse.ca/elections-federales/2021-08-21/elections-federales/ce-qu-il-faut-retenir-de-la-premiere-semaine-de-campagne.php,2021-09-18 17:18:00,mixte
