Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Blanc-Sablon,accident,1,Ma Côte-Nord,La tempête complique les déplacements: pas de traversier et fermeture de la 138 à plusieurs endroits,2021-03-02,200,https://macotenord.com/la-tempete-complique-les-deplacements-pas-de-traversier-et-fermeture-de-la-138-a-plusieurs-endroits/,2021-09-18 16:28:34,local
Blanc-Sablon,accident,2,ICI.Radio-Canada.ca,Naufrage mortel à l'ouest de Blanc-Sablon,,,https://ici.radio-canada.ca/nouvelle/1047649/naufrage-bateau-cote-nord-blanc-sablon,2021-09-18 16:28:34,local
Blanc-Sablon,accident,3,Le Journal de Québec,Les cellulaires sonnent enfin sur la Basse-Côte-Nord,2020-12-10,282,https://www.journaldequebec.com/2020/12/10/les-cellulaires-sonnent-enfin-sur-la-basse-cote-nord,2021-09-18 16:28:34,local
Blanc-Sablon,accident,4,Le Journal de Montréal,Accès difficile à internet : un réseau internet fragile sur la Côte-Nord,2021-02-23,207,https://www.journaldemontreal.com/2021/02/23/acces-difficile-a-internet--un-reseau-internet-fragile-sur-la-cote-nord,2021-09-18 16:28:34,local
Blanc-Sablon,accident,5,ICI.Radio-Canada.ca,Une expédition vers une vieille épave de la marine britannique près de Blanc-Sablon,,,https://ici.radio-canada.ca/nouvelle/1252082/une-expedition-vers-une-vieille-epave-de-la-marine-britannique-pres-de-blanc-sablon,2021-09-18 16:28:34,local
Blanc-Sablon,accident,6,Le Soleil - Groupe Capitales Médias,Un autre tronçon de la 138 en Basse-Côte-Nord à construire cet été,2021-06-10,100,https://www.lesoleil.com/actualite/en-region/un-autre-troncon-de-la-138-en-basse-cote-nord-a-construire-cet-ete-0aabe4d45a84c1b54316fe1c1774ae25,2021-09-18 16:28:34,local
Blanc-Sablon,accident,7,Le Journal de Montréal,Trop de morts dans les eaux du Québec,,,https://www.journaldemontreal.com/2020/07/26/trop-de-morts-dans-les-eaux-du-quebec,2021-09-18 16:28:35,local
Blanc-Sablon,accident,8,Ma Côte-Nord,Ottawa investit 9M$ dans des ports de pêche de la Côte-Nord,2021-07-20,60,https://macotenord.com/ottawa-investit-9m-dans-des-ports-de-peche-de-la-cote-nord/,2021-09-18 16:28:35,local
Blanc-Sablon,accident,9,Radio-Canada.ca,Tempête hivernale : les conditions routières s'améliorent dans l'Est-du-Québec,2021-02-03,227,https://ici.radio-canada.ca/nouvelle/1768007/tempete-neige-hiver-panne-route-ecole-fermees-vent-pannes-3-fevrier-2021,2021-09-18 16:28:35,local
Blanc-Sablon,accident,10,Ma Côte-Nord,"L'inexpérience du capitaine de l'Apollo, une cause d'accident",,,https://macotenord.com/linexperience-du-capitaine-de-lapollo-une-cause-daccident/,2021-09-18 16:28:35,local
Blanc-Sablon,accident,11,Zone911,La tempête de neige est confirmée pour demain: Voici les dernières prévisions d'Environnement Canada,2021-02-01,229,https://zone911.com/divers/30379-la-tempete-de-neige-est-confirmee-pour-demain-voici-les-dernieres-previsions-d-environnement-canada,2021-09-18 16:28:35,local
Blanc-Sablon,accident,12,Le Devoir,"Le long de la route 117, la nature d'une région",2021-08-06,43,https://www.ledevoir.com/societe/transports-urbanisme/623055/routes-mythiques-le-long-de-la-route-117-la-nature-d-une-region,2021-09-18 16:28:36,local
Blanc-Sablon,accident,13,Zone911,"Alerte météorologique : Précipitations de pluie, de la neige et une tempête de neige",2021-03-28,174,https://zone911.com/divers/30599-alerte-meteorologique-precipitations-de-pluie-de-la-neige-et-une-tempete-de-neige,2021-09-18 16:28:36,local
Blanc-Sablon,accident,14,Le Journal de Québec,Dans nos archives: un écrasement coûtait la vie à 6 personnes dans Charlevoix,,,https://www.journaldequebec.com/2019/08/04/un-ecrasement-coutait-la-vie-a-6-personnes-dans-charlevoix,2021-09-18 16:28:36,local
Blanc-Sablon,accident,15,La Presse,Blanc-Sablon coupé du reste du Québec | La Presse,,,https://www.lapresse.ca/actualites/regional/2019-06-24/blanc-sablon-coupe-du-reste-du-quebec,2021-09-18 16:28:36,local
Blanc-Sablon,accident,16,Journal Le Manic,Motoneige : deux victimes en quatre jours sur la Côte-Nord,,,https://www.lemanic.ca/2019/01/01/motoneige-deux-victimes-en-quatre-jours-sur-la-cote-nord/,2021-09-18 16:28:36,local
Blanc-Sablon,accident,17,Le Soleil - Groupe Capitales Médias,Vague d'investissements fédéraux pour les infrastructures de pêche gaspésiennes,2021-07-20,60,https://www.lesoleil.com/actualite/en-region/vague-dinvestissements-federaux-pour-les-infrastructures-de-peche-gaspesiennes-389296ecf0ee21275e2c119d747e9788,2021-09-18 16:28:36,local
