Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Chambly,accident,1,TVA Nouvelles,Accident sur l'autoroute 10: un motocycliste succombe à ses blessures,2021-09-02,16,https://www.tvanouvelles.ca/2021/09/02/accident-sur-lautoroute-10-un-motocycliste-succombe-a-ses-blessures-1,2021-09-18 16:38:13,local
Chambly,accident,2,TVA Nouvelles,Une semaine funeste à moto,2021-09-05,13,https://www.tvanouvelles.ca/2021/09/05/une-semaine-funeste-a-moto,2021-09-18 16:38:14,local
Chambly,accident,3,TVA Nouvelles,Un motocycliste repose dans un état critique,2021-09-01,17,https://www.tvanouvelles.ca/2021/09/01/un-motocycliste-repose-dans-un-etat-critique-1,2021-09-18 16:38:14,local
Chambly,accident,4,Chambly Matin,"Collision entre deux véhicules à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-08-23,26,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-faits-divers-collision-service-de-securite-incendie-de-marieville-accident-route-112.html,2021-09-18 16:38:14,local
Chambly,accident,5,actu.fr,"[MIS À JOUR] Grave accident à Chambly, une voiture chute de plusieurs mètres",2021-05-13,128,https://actu.fr/hauts-de-france/chambly_60139/chambly-grave-accident-de-la-route-a-cote-du-stade_41829685.html,2021-09-18 16:38:14,local
Chambly,accident,6,Le Journal de Chambly,Accident sur le boulevard de Périgny - Le journal de Chambly,2021-03-02,200,https://www.journaldechambly.com/accident-sur-le-boulevard-de-perigny-2/,2021-09-18 16:38:15,local
Chambly,accident,7,Courrier Picard,Neuilly-en-Thelle: une femme de 51 ans meurt dans un accident de la route,2021-01-14,247,https://www.courrier-picard.fr/id156393/article/2021-01-14/neuilly-en-thelle-une-femme-de-51-ans-meurt-dans-un-accident-de-la-route,2021-09-18 16:38:15,local
Chambly,accident,8,actu.fr,Chambly : un accident de la route fait cinq blessés sur la D1001,2021-03-14,188,https://actu.fr/hauts-de-france/chambly_60139/chambly-un-accident-de-la-route-fait-cinq-blesses-sur-la-d1001_40209797.html,2021-09-18 16:38:15,local
Chambly,accident,9,Le Courrier picard,Une mère de famille perd la vie dans un accident de la route à Puits-la-Vallée,2021-07-19,61,https://www.courrier-picard.fr/id214336/article/2021-07-19/une-mere-de-famille-perd-la-vie-dans-un-accident-de-la-route-puits-la-vallee,2021-09-18 16:38:16,local
Chambly,accident,10,Oise Hebdo,Une personne désincarcérée après un accident entre trois voitures près de Méru,2021-02-16,214,https://www.oisehebdo.fr/2021/02/16/une-personne-desincarceree-apres-un-accident-entre-trois-voitures-pres-de-meru/,2021-09-18 16:38:16,local
Chambly,accident,11,actu.fr,Oise : six blessés dans un accident entre deux voitures près de Méru,2021-04-13,158,https://actu.fr/hauts-de-france/andeville_60012/oise-six-blesses-dans-un-accident-entre-deux-voitures-pres-de-meru_41010846.html,2021-09-18 16:38:16,local
Chambly,accident,12,Le Courrier picard,"Un carambolage fait un mort sur l’A1 dans l’Oise, la circulation très perturbée",2021-06-02,108,https://www.courrier-picard.fr/id198740/article/2021-06-02/lautoroute-a1-coupee-au-niveau-de-ressons-sur-matz-suite-un-grave-accident,2021-09-18 16:38:17,local
Chambly,accident,13,Chambly Matin,"Un véhicule a fait une sortie de route sur l'autoroute 10 à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-07-08,72,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/faits-divers-accident-sortie-de-route-marieville-surete-du-quebec.html,2021-09-18 16:38:17,local
Chambly,accident,14,Courrier Picard,Oise: une passagère de 38 ans décède dans un accident à Anserville,2021-02-13,217,https://www.courrier-picard.fr/id165204/article/2021-02-13/oise-circulation-interrompue-sur-la-d1001-hauteur-de-sainte-genevieve,2021-09-18 16:38:17,local
Chambly,accident,15,Chambly Matin,"Une rétrocaveuse entre en collision avec un poteau électrique à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-07-29,51,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-service-incendie-de-marieville-collision-faits-divers-urgence-hydro-quebec-accident.html,2021-09-18 16:38:17,local
Chambly,accident,16,Chambly Matin,"Accident mortel impliquant un cycliste à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-06-09,101,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-faits-divers-accident-mortel-cycliste-surete-du-quebec.html,2021-09-18 16:38:18,local
Chambly,accident,17,Chambly Matin,"Un motocycliste perd la vie dans un accident à Saint-Césaire - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-08-03,46,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-st-cesaire-fait-divers-accident-de-moto-surete-du-quebec-motocycliste.html,2021-09-18 16:38:18,local
Chambly,accident,18,Le Courrier picard,Oise: un motard perd la vie après un accident à Auteuil,2021-06-07,103,https://www.courrier-picard.fr/id200247/article/2021-06-07/un-mort-dans-un-accident-de-moto-auteuil,2021-09-18 16:38:18,local
Chambly,accident,19,La Nouvelle Union,Spectaculaire accident : l'alcool serait en cause,2021-08-06,43,https://www.lanouvelle.net/2021/08/06/spectaculaire-accident-lalcool-serait-en-cause/,2021-09-18 16:38:18,local
Chambly,accident,20,Info Dimanche,Accident mortel sur l'autoroute 85 à Rivière-du-Loup | infodimanche.com,2021-07-28,52,https://www.infodimanche.com/actualites/faits-divers/432931/accident-mortel-sur-lautoroute-85-a-riviere-du-loup,2021-09-18 16:38:19,local
Chambly,accident,21,Info Dimanche,Accident sur l'autoroute 20 à Rivière-du-Loup | infodimanche.com,2021-06-06,104,https://www.infodimanche.com/actualites/faits-divers/428381/accident-sur-lautoroute-20-a-riviere-du-loup,2021-09-18 16:38:19,local
Chambly,accident,22,Le Courrier picard,Accident entre un camion et une voiture près de Warluis,2021-06-01,109,https://www.courrier-picard.fr/id198544/article/2021-06-01/accident-entre-un-camion-et-une-voiture-pres-de-warluis,2021-09-18 16:38:19,local
Chambly,accident,23,Chambly Matin,"Un camion semi-remorque fait une sortie de route vendredi à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-05-03,138,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-accident-service-incendie-de-marieville-faits-divers.html,2021-09-18 16:38:19,local
Chambly,accident,24,actu.fr,Belle-Eglise : une personne désincarcérée par les pompiers après un accident de la route,2021-05-04,137,https://actu.fr/hauts-de-france/belle-eglise_60060/belle-eglise-une-personne-desincarceree-par-les-pompiers-apres-un-accident-de-la-route_41564914.html,2021-09-18 16:38:20,local
Chambly,accident,25,Le Courrier picard,Une femme grièvement blessée après un accident à Francastel,2021-07-26,54,https://www.courrier-picard.fr/id216531/article/2021-07-26/une-femme-grievement-blessee-apres-un-accident-francastel,2021-09-18 16:38:20,local
Chambly,décès OR mort,1,TVA Nouvelles,Une semaine funeste à moto,2021-09-05,13,https://www.tvanouvelles.ca/2021/09/05/une-semaine-funeste-a-moto,2021-09-18 16:38:55,local
Chambly,décès OR mort,2,NecrologieCanada,LARIVIeRE RAINVILLE GEORGETTE 2021,2021-09-16,2,https://necrocanada.com/deces-2021/lariviere-rainville-georgette-2021/,2021-09-18 16:38:55,local
Chambly,décès OR mort,3,NecrologieCanada,SYLVESTRE BERNARD 2021,2021-09-16,2,https://necrocanada.com/deces-2021/sylvestre-bernard-2021/,2021-09-18 16:38:55,local
Chambly,décès OR mort,4,NecrologieCanada,GEOFFROY CLAUDE 2021,2021-09-15,3,https://necrocanada.com/deces-2021/geoffroy-claude-2021/,2021-09-18 16:38:56,local
Chambly,décès OR mort,5,NecrologieCanada,Helene Trudel-Lavoie 2021,2021-09-16,2,https://necrocanada.com/deces-2021/helene-trudel-lavoie-2021/,2021-09-18 16:38:56,local
