Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Châteauguay,accident,1,Le Soleil de Châteauguay,Capotage sur l'autoroute 30,2021-09-08,10,https://www.cybersoleil.com/capotage-sur-l-autoroute-30/,2021-09-18 16:44:15,local
Châteauguay,accident,2,Le Soleil de Châteauguay,Véhicule en flammes et collisions à répétition sur l'A30,2021-09-16,2,https://www.cybersoleil.com/Vehicule-en-flammes-et-collisions-a-reptition-sur-l-A30/,2021-09-18 16:44:15,local
Châteauguay,accident,3,Le Journal de Montréal,"Accident à Châteauguay: un homme en état critique, une arrestation",2021-03-31,171,https://www.journaldemontreal.com/2021/03/31/accident-a-chateauguay-un-homme-en-etat-critique-une-arrestation,2021-09-18 16:44:15,local
Châteauguay,accident,4,Le Soleil de Châteauguay,Accident impliquant une moto à Châteauguay,2021-06-28,82,https://www.cybersoleil.com/accident-moto-chateauguay-27-juin/,2021-09-18 16:44:16,local
Châteauguay,accident,5,TVA Nouvelles,Accident à Châteauguay: un motocycliste succombe à ses blessures,2021-03-31,171,https://www.tvanouvelles.ca/2021/03/31/accident-a-chateauguay-un-homme-en-etat-critique-une-arrestation-1,2021-09-18 16:44:16,local
Châteauguay,accident,6,Le Soleil de Châteauguay,Face-à-face causé par la fatigue sur le chemin Saint-Bernard,2021-03-23,179,https://www.cybersoleil.com/face-a-face-cause-par-la-fatigue-sur-le-chemin-saint-bernard/,2021-09-18 16:44:16,local
Châteauguay,accident,7,Le Soleil de Châteauguay,Billet d'humeur : Un certain 11 septembre,2021-09-11,7,https://www.cybersoleil.com/billet-humeur-un-certain-11-septembre/,2021-09-18 16:44:16,local
Châteauguay,accident,8,TVA Nouvelles,Un chauffard ivre aurait tué un bon papa,2021-04-03,168,https://www.tvanouvelles.ca/2021/04/03/un-chauffard-ivre-aurait-tue-un-bon-papa,2021-09-18 16:44:16,local
Châteauguay,accident,9,Le Soleil de Châteauguay,Quatre véhicules impliqués dans un accident à Mercier,2021-05-13,128,https://www.cybersoleil.com/quatre-vehicules-impliques-dans-un-accident-a-mercier/,2021-09-18 16:44:16,local
Châteauguay,accident,10,Le Soleil de Châteauguay,Accident impliquant un camion benne à Mercier,2021-06-01,109,https://www.cybersoleil.com/collision-a-mercier-1juin/,2021-09-18 16:44:17,local
Châteauguay,accident,11,Le Soleil de Châteauguay,Frappés par un objet sur l'autoroute : chanceux d'être en vie,2021-06-03,107,https://www.cybersoleil.com/frappes-par-un-objet-sur-la-30-chanceux-detre-en-vie/,2021-09-18 16:44:17,local
Châteauguay,accident,12,Le Soleil de Châteauguay,Collision sur la route 132 à Léry,2021-08-13,36,https://www.cybersoleil.com/collision-sur-la-route-132-a-lery/,2021-09-18 16:44:17,local
Châteauguay,accident,13,Le Soleil de Châteauguay,Motocycliste dans un état critique,2021-05-16,125,https://www.cybersoleil.com/motocycliste-dans-un-etat-critique/,2021-09-18 16:44:17,local
Châteauguay,accident,14,Le Soleil de Châteauguay,Un tronçon de la route 132 fermé en raison d'un accident à Beauharnois,2021-04-01,170,https://www.cybersoleil.com/un-troncon-de-la-route-132-ferme-en-raison-dun-accident-a-beauharnois/,2021-09-18 16:44:17,local
Châteauguay,accident,15,Le Soleil de Châteauguay,Capotage et voitures percutées causées par l'alcool,2021-08-16,33,https://www.cybersoleil.com/capotage-et-voitures-percutees-causees-par-l-alcool/,2021-09-18 16:44:17,local
Châteauguay,accident,16,Le Soleil de Châteauguay,Un homme blessé après être tombé dans un trou au Centre Régional,2021-08-19,30,https://www.cybersoleil.com/un-homme-blesse-apres-etre-tombe-dans-un-trou-au-centre-regional/,2021-09-18 16:44:18,local
Châteauguay,accident,17,Le Soleil de Châteauguay,La Ville de Châteauguay fait le point sur un incident au camp Activ'Été,2021-07-28,52,https://www.cybersoleil.com/la-ville-de-chateauguay-fait-le-point-sur-un-incident-au-camp-activ-ete/,2021-09-18 16:44:18,local
