Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Cookshire-Eaton,accident,1,La Tribune - Groupe Capitales Médias,L'identité de la victime de Cookshire-Eaton dévoilée,,,https://www.latribune.ca/actualites/lidentite-de-la-victime-de-cookshire-eaton-devoilee-6deab00d8d17f8874bfef4916902de56,2021-09-18 16:55:52,local
Cookshire-Eaton,accident,2,iHeartRadio,Accident mortel sur la route 108 à Cookshire-Eaton,,,https://www.iheartradio.ca/energie/energie-estrie/nouvelles/accident-mortel-sur-la-route-108-a-cookshire-eaton-1.13371589,2021-09-18 16:55:52,local
Cookshire-Eaton,accident,3,La Tribune - Groupe Capitales Médias,Dépassement et collision entre deux véhicules à Johnville,2020-10-18,335,https://www.latribune.ca/actualites/justice-et-faits-divers/depassement-et-collision-entre-deux-vehicules-a-johnville-a5fe55e7180e98df24d407d4aad0bdcb,2021-09-18 16:55:52,local
Cookshire-Eaton,accident,4,La Tribune - Groupe Capitales Médias,Accident sur la 108: la SQ dévoile l'identité des victimes [VIDÉO],,,https://www.latribune.ca/actualites/estrie-et-regions/accident-sur-la-108-la-sq-devoile-lidentite-des-victimes-video-e938e3e7c45c8636cfec6285879162f6,2021-09-18 16:55:52,local
Cookshire-Eaton,accident,5,TVA Nouvelles,Un jeune de 20 ans perd la vie dans un accident de motocross en Estrie,2021-06-19,91,https://www.tvanouvelles.ca/2021/06/19/un-jeune-de-20-ans-perd-la-vie-dans-un-accident-de-motocross-en-estrie-1,2021-09-18 16:55:52,local
Cookshire-Eaton,accident,6,Le Journal de Montréal,Accident mortel en Estrie: elle apprend le décès de son conjoint en appelant à son travail,,,https://www.journaldemontreal.com/2020/01/20/deux-morts-dans-un-accident-de-la-route-en-estrie,2021-09-18 16:55:53,local
Cookshire-Eaton,accident,7,La Tribune - Groupe Capitales Médias,Une projection audiovisuelle pour revisiter l'histoire à Cookshire-Eaton,2021-07-27,53,https://www.latribune.ca/ma-region/une-projection-audiovisuelle-pour-revisiter-lhistoire-a-cookshire-eaton-a854daaf60ada4907ce76b40778c9173,2021-09-18 16:55:53,local
Cookshire-Eaton,accident,8,La Tribune - Groupe Capitales Médias,Violent incendie d'une résidence à Westbury | Justice et faits divers | Actualités,2021-03-26,176,https://www.latribune.ca/actualites/justice-et-faits-divers/violent-incendie-dune-residence-a-westbury-dbfd82f5a4eb62ae252531efdc0733a4,2021-09-18 16:55:53,local
Cookshire-Eaton,accident,9,La Tribune - Groupe Capitales Médias,Déontologie: la mairesse de Cookshire-Eaton entend se défendre,2021-07-07,73,https://www.latribune.ca/actualites/politique/deontologie-la-mairesse-de-cookshire-eaton-entend-se-defendre-2c3f4d3515b7bc695e715e6a3cd5957a,2021-09-18 16:55:53,local
Cookshire-Eaton,accident,10,La Tribune - Groupe Capitales Médias,Autoroute 410: Lennoxville se désengorge et Cookshire-Eaton se rapproche,2020-12-18,274,https://www.latribune.ca/ma-region/autoroute-410-lennoxville-se-desengorge-et-cookshire-eaton-se-rapproche-e02fa214b0aaa82deb9c1598dc4414df,2021-09-18 16:55:53,local
Cookshire-Eaton,accident,11,La Tribune - Groupe Capitales Médias,Une femme blessée dans un incendie à Cookshire-Eaton,,,https://www.latribune.ca/actualites/justice-et-faits-divers/une-femme-blessee-dans-un-incendie-a-cookshire-eaton-a64dbfdf01d3dc03240b713c269ddd29,2021-09-18 16:55:54,local
