Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
La Pocatière,"""premier ministre""",1,Le Placoteux,Bas-Saint-Laurent : le passeport vaccinal a eu un effet sur les premières doses - Journal Le Placoteux,2021-09-03,15,https://leplacoteux.com/bas-saint-laurent-le-passeport-vaccinal-a-eu-un-effet-sur-les-premieres-doses/,2021-09-18 14:21:20,national
La Pocatière,"""premier ministre""",2,ICI.Radio-Canada.ca,Un nouvel espoir pour l'usine de La Pocatière,2021-05-11,130,https://ici.radio-canada.ca/nouvelle/1792271/tramway-toronto-hamilton-usines-alstom-lapocatiere-thunderbay,2021-09-18 14:21:20,national
La Pocatière,"""premier ministre""",3,Le Devoir,​Politique et éducation: la rentrée (scolaire et parlementaire) des élus québécois,2021-09-14,4,https://www.ledevoir.com/politique/quebec/632001/politique-et-education-la-rentree-scolaire-et-parlementaire-des-elus-quebecois,2021-09-18 14:21:20,national
La Pocatière,"""premier ministre""",4,Radio-Canada.ca,Québec accorde un prêt de 56 M$ à l'usine Alstom de La Pocatière,2021-03-09,193,https://ici.radio-canada.ca/nouvelle/1775905/alstom-bombardier-usine-pocatiere-argent-quebec,2021-09-18 14:21:21,national
La Pocatière,"""premier ministre""",5,Le Soleil - Groupe Capitales Médias,Le siège social de l'ITAQ doit être à La Pocatière,2021-06-08,102,https://www.lesoleil.com/opinions/point-de-vue/le-siege-social-de-litaq-doit-etre-a-la-pocatiere-8fc6840ff6b6f737f22b5a18056998fb,2021-09-18 14:21:21,national
La Pocatière,"""premier ministre""",6,Le Journal de Montréal,Alstom confirme des retombées pour La Pocatière,2021-06-02,108,https://www.journaldemontreal.com/2021/06/02/alstom-confirme-des-retombees-pour-la-pocatiere,2021-09-18 14:21:21,national
La Pocatière,"""premier ministre""",7,Le Placoteux,Placotons... Quand Saint-Hyacinthe tire la couverte… - Journal Le Placoteux,2021-05-31,110,https://leplacoteux.com/placotons-quand-saint-hyacinthe-tire-la-couverte/,2021-09-18 14:21:21,national
La Pocatière,"""premier ministre""",8,Le Journal de Québec,La gérante d'un Canadian Tire frappée par un anti-masque à La Pocatière,2021-07-10,70,https://www.journaldequebec.com/2021/07/10/la-gerante-dun-canadian-tire-frappee-par-un-anti-masque-a-la-pocatiere-1,2021-09-18 14:21:22,national
La Pocatière,"""premier ministre""",9,Le Journal de Québec,L'avenir de Bombardier à La Pocatière est incertain,2020-10-27,326,https://www.journaldequebec.com/2020/10/27/lavenir-de-bombardier-a-la-pocatiere-est-incertain,2021-09-18 14:21:22,national
La Pocatière,"""premier ministre""",10,iHeartRadio,Nouveau contrat pour Alstom de La Pocatière,2021-06-04,106,https://www.iheartradio.ca/rouge-fm/rouge-fm-rimouski/nouvelles/nouveau-contrat-pour-alstom-de-la-pocatiere-1.15353098,2021-09-18 14:21:22,national
La Pocatière,"""premier ministre""",11,Le Soleil - Groupe Capitales Médias,Marie-Eve Proulx perd des dossiers | Politique | Actualités,2021-02-24,206,https://www.lesoleil.com/actualite/politique/marie-eve-proulx-perd-des-dossiers-3f0c51c8d23cbb8ba36ed09e9815bb6e,2021-09-18 14:21:23,national
La Pocatière,"""premier ministre""",12,Le Journal de Québec,Confinement généralisé: des régions veulent recommencer à vivre,2021-01-25,236,https://www.journaldequebec.com/2021/01/25/des-regions-veulent-recommencer-a-vivre,2021-09-18 14:21:23,national
