Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lac-Etchemin,élection OR campagne,1,La Voix du Sud,Sept candidats officiellement en lice dans Bellechasse-Etchemins,2021-08-31,18,https://www.lavoixdusud.com/2021/08/31/sept-candidats-officiellement-en-lice-dans-bellechasse-etchemins/,2021-09-18 13:43:56,mixte
Lac-Etchemin,élection OR campagne,2,La Voix du Sud,Élections fédérales : débat sous le signe du respect à Passion-FM,2021-09-15,3,https://www.lavoixdusud.com/2021/09/15/elections-federales-debat-sous-le-signe-du-respect-a-passion-fm/,2021-09-18 13:43:56,mixte
Lac-Etchemin,élection OR campagne,3,Le journal de Lévis,Pénurie de main-d'oeuvre : Richard présente ses engagements,2021-09-06,12,https://www.journaldelevis.com/1067/Politique_.html?id=81498,2021-09-18 13:43:56,mixte
Lac-Etchemin,élection OR campagne,4,Le journal de Lévis,Un candidat indépendant pour Bellechasse-Les Etchemins-Lévis,2021-09-14,4,https://www.journaldelevis.com/1067/Politique_.html?id=81559,2021-09-18 13:43:57,mixte
Lac-Etchemin,élection OR campagne,5,Le Journal de Québec,Musée Marius-Barbeau,2021-08-28,21,https://www.journaldequebec.com/2021/08/28/musee-marius-barbeau,2021-09-18 13:43:57,mixte
Lac-Etchemin,élection OR campagne,6,Le journal de Lévis,Débat anglophone : un tournant dans la campagne selon Lamarche,2021-09-13,5,https://www.journaldelevis.com/1067/Politique_.html?id=81555,2021-09-18 13:43:57,mixte
Lac-Etchemin,élection OR campagne,7,Le journal de Lévis,Repensons Lévis présente son équipe et sa vision,2021-09-12,6,https://www.journaldelevis.com/1067/Politique_.html?id=81545,2021-09-18 13:43:57,mixte
Lac-Etchemin,élection OR campagne,8,Le journal de Lévis,Lehouillier réplique à Diarra,2021-09-13,5,https://www.journaldelevis.com/1067/Politique_.html?id=81554,2021-09-18 13:43:58,mixte
Lac-Etchemin,élection OR campagne,9,Le journal de Lévis,Une candidate du Parti libre du Canada dans Lévis-Lotbinière,2021-09-10,8,https://www.journaldelevis.com/1067/Politique_.html?id=81535,2021-09-18 13:43:58,mixte
Lac-Etchemin,élection OR campagne,10,Le journal de Lévis,RL : une candidate bien connue du parti dans Notre-Dame,2021-08-27,22,https://www.journaldelevis.com/1067/Politique_.html?id=81432,2021-09-18 13:43:58,mixte
