Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lac-Mégantic,élection OR campagne,1,La Nouvelle Union,Les candidats de Mégantic-L'Érable débattent sur différents enjeux,2021-09-10,8,https://www.lanouvelle.net/2021/09/10/les-candidats-de-megantic-lerable-debattent-sur-differents-enjeux/,2021-09-18 13:45:42,mixte
Lac-Mégantic,élection OR campagne,2,ICI.Radio-Canada.ca,Les candidates de Sherbrooke vues d'un autre œil | Élections Canada 2021,2021-09-12,6,https://ici.radio-canada.ca/nouvelle/1822726/candidats-sherbrooke-elections-canada-questions,2021-09-18 13:45:42,mixte
Lac-Mégantic,élection OR campagne,3,L'Avenir et des Rivières - Farnham,"Brome-Missisquoi : environnement, emploi et transport ferroviaire au menu d'un débat",2021-09-17,1,https://www.laveniretdesrivieres.com/2021/09/17/brome-missisquoi-environnement-emploi-et-transport-ferroviaire-au-menu-dun-debat/,2021-09-18 13:45:42,mixte
Lac-Mégantic,élection OR campagne,4,La Tribune - Groupe Capitales Médias,Le Bloc dévoile ses enjeux régionaux | Élections fédérales | Actualités,2021-09-14,4,https://www.latribune.ca/actualites/elections-federales/le-bloc-devoile-ses-enjeux-regionaux-0c8e1662ab0197bf5331eb5aca252318,2021-09-18 13:45:43,mixte
Lac-Mégantic,élection OR campagne,5,Le Reflet du Lac,"Le relance économique et l'environnement doivent être complémentaires, selon les libéraux",2021-09-16,2,https://www.lerefletdulac.com/2021/09/16/le-relance-economique-et-lenvironnement-doivent-etre-complementaires-selon-les-liberaux/,2021-09-18 13:45:43,mixte
Lac-Mégantic,député,1,La Nouvelle Union,"Dans Mégantic-L'Érable, Adam Lukofsky entend être un député présent et actif",2021-08-23,26,https://www.lanouvelle.net/2021/08/23/dans-megantic-lerable-adam-lukofsky-entend-etre-un-depute-present-et-actif/,2021-09-18 13:46:23,mixte
Lac-Mégantic,député,2,La Nouvelle Union,Les candidats de Mégantic-L'Érable débattent sur différents enjeux,2021-09-10,8,https://www.lanouvelle.net/2021/09/10/les-candidats-de-megantic-lerable-debattent-sur-differents-enjeux/,2021-09-18 13:46:23,mixte
Lac-Mégantic,député,3,La Nouvelle Union,"Éric Labonté s'engage à offrir des résultats, de l'éthique et de la créativité",2021-09-13,5,https://www.lanouvelle.net/2021/09/13/eric-labonte-sengage-a-offrir-des-resultats-de-lethique-et-de-la-creativite/,2021-09-18 13:46:23,mixte
Lac-Mégantic,député,4,La Nouvelle Union,Luc Berthold : son contrat avec les citoyens de Mégantic-L'Érable,2021-08-20,29,https://www.lanouvelle.net/2021/08/20/luc-berthold-son-contrat-avec-les-citoyens-de-megantic-lerable/,2021-09-18 13:46:24,mixte
Lac-Mégantic,député,5,La Nouvelle Union,Plusieurs dossiers prioritaires pour le bloquiste Éric Labonté,2021-09-03,15,https://www.lanouvelle.net/2021/09/03/plusieurs-dossiers-prioritaires-pour-le-bloquiste-eric-labonte/,2021-09-18 13:46:24,mixte
Lac-Mégantic,député,6,ICI.Radio-Canada.ca,Les candidates de Sherbrooke vues d'un autre œil | Élections Canada 2021,2021-09-12,6,https://ici.radio-canada.ca/nouvelle/1822726/candidats-sherbrooke-elections-canada-questions,2021-09-18 13:46:24,mixte
Lac-Mégantic,député,7,L'Avenir et des Rivières - Farnham,"Brome-Missisquoi : environnement, emploi et transport ferroviaire au menu d'un débat",2021-09-17,1,https://www.laveniretdesrivieres.com/2021/09/17/brome-missisquoi-environnement-emploi-et-transport-ferroviaire-au-menu-dun-debat/,2021-09-18 13:46:24,mixte
Lac-Mégantic,député,8,La Tribune - Groupe Capitales Médias,Début des travaux de la maison des aînés de Magog,2021-09-13,5,https://www.latribune.ca/actualites/estrie-et-regions/debut-des-travaux-de-la-maison-des-aines-de-magog-cfc7cb98de844cf001445ffe45ce8474,2021-09-18 13:46:25,mixte
Lac-Mégantic,député,9,L'Avenir et des Rivières - Farnham,Transport ferroviaire: la candidate libérale réplique aux conservateurs,2021-09-09,9,https://www.laveniretdesrivieres.com/2021/09/09/transport-ferroviaire-la-candidate-liberale-replique-aux-conservateurs/,2021-09-18 13:46:25,mixte
Lac-Mégantic,député,10,La Tribune - Groupe Capitales Médias,"Trois circonscriptions, une foule d'enjeux | Élections fédérales | Actualités",2021-09-18,0,https://www.latribune.ca/actualites/elections-federales/trois-circonscriptions-une-foule-denjeux-f67aa2d18c182d4ad9e8bd55b8353516,2021-09-18 13:46:25,mixte
Lac-Mégantic,député,11,Courrier Frontenac,Luc Berthold présente son contrat avec les citoyens et citoyennes,2021-08-25,24,https://www.courrierfrontenac.qc.ca/2021/08/25/luc-berthold-presente-son-contrat-avec-les-citoyens-et-citoyennes/,2021-09-18 13:46:25,mixte
Lac-Mégantic,député,12,L'Avenir et des Rivières - Farnham,Les conservateurs s'engagent à appuyer le projet de lien ferroviaire,2021-09-08,10,https://www.laveniretdesrivieres.com/2021/09/08/les-conservateurs-sengagent-a-appuyer-le-projet-de-lien-ferroviaire/,2021-09-18 13:46:26,mixte
Lac-Mégantic,député,13,La Tribune - Groupe Capitales Médias,Élections fédérales | Toutes les candidatures sur le territoire de La Tribune,2021-09-02,16,https://www.latribune.ca/ma-region/campagne-federale-2021--cest-parti-7f0db8edd30da8019466da6d749ee0c9ma-region/elections-federales--toutes-les-candidatures-sur-le-territoire-de-la-tribune-fc8f10c81be55c592cc4040b9e18e0d4,2021-09-18 13:46:26,mixte
Lac-Mégantic,député,14,Le Reflet du Lac,Un caucus libéral estrien pour mieux défendre les dossiers régionaux,2021-09-14,4,https://www.lerefletdulac.com/2021/09/14/un-caucus-liberal-estrien-pour-mieux-defendre-les-dossiers-regionaux/,2021-09-18 13:46:26,mixte
Lac-Mégantic,député,15,Le Journal de Montréal,Le député de Mégantic en conflit d'intérêts?,2021-01-28,233,https://www.journaldemontreal.com/2021/01/28/le-depute-de-megantic-en-conflit-dinterets,2021-09-18 13:46:26,mixte
Lac-Mégantic,député,16,Le Reflet du Lac,La campagne en bref dans Brome-Missisquoi et Compton-Stanstead,2021-08-25,24,https://www.lerefletdulac.com/2021/08/25/la-campagne-en-bref-dans-brome-missisquoi/,2021-09-18 13:46:26,mixte
