Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lachute,accident,1,Le Journal de Québec,Bolivie: au moins 23 morts dans un accident d'autocar,2021-09-07,11,https://www.journaldequebec.com/2021/09/07/bolivie-au-moins-23-morts-dans-un-accident-dautocar,2021-09-18 12:57:52,local
Lachute,accident,2,Le Soleil - Groupe Capitales Médias,Accident mortel dans Beauport: le chauffard déjà condamné pour ivresse au volant,2021-09-03,15,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-mortel-dans-beauport-le-chauffard-deja-condamne-pour-ivresse-au-volant-98dd27155cb611cf9b1aa37d72a8267d,2021-09-18 12:57:52,local
Lachute,accident,3,Le Journal de Montréal,Une collision fait un blessé grave à Lachute,2021-08-18,31,https://www.journaldemontreal.com/2021/08/18/une-collision-fait-un-blesse-grave-a-lachute,2021-09-18 12:57:52,local
Lachute,accident,4,Le Journal de Montréal,Une femme gravement blessée dans un accident de moto à Lachute,2021-08-03,46,https://www.journaldemontreal.com/2021/08/03/une-femme-gravement-blessee-dans-un-accident-de-moto-a-la-tuque,2021-09-18 12:57:53,local
Lachute,accident,5,Le Mag Sport Auto,"Direct. Grave accident en Moto3, G.P de Saint Marin de MotoGP 2021",2021-09-18,0,https://lemagsportauto.ouest-france.fr/direct-grave-accident-en-moto3-g-p-de-saint-marin-de-motogp-2021/62389/,2021-09-18 12:57:53,local
Lachute,accident,6,LaDepeche.fr,Lot-et-Garonne : un enfant de trois ans héliporté après un accident,2021-09-17,1,https://www.ladepeche.fr/2021/09/17/lot-et-garonne-un-enfant-de-trois-ans-heliporte-apres-un-accident-9795658.php,2021-09-18 12:57:53,local
Lachute,accident,7,France Bleu,Un accident du travail à Ustaritz jugé devant le tribunal de Bayonne,2021-09-17,1,https://www.francebleu.fr/infos/faits-divers-justice/un-accident-du-travail-a-ustaritz-juge-devant-le-tribunal-de-bayonne-1631861945,2021-09-18 12:57:54,local
Lachute,accident,8,i24NEWS en Français,"Enlèvement Présumé De L'enfant Rescapé De L'accident De Téléphérique: ""Je Ne L'ai Pas Enlevé, Je L'ai Sauvé"" - I24NEWS",2021-09-18,0,https://www.i24news.tv/fr/actu/international/1631952731-enlevement-presume-de-l-enfant-rescape-de-l-accident-de-telepherique-je-ne-l-ai-pas-enleve-je-l-ai-sauve,2021-09-18 12:57:55,local
Lachute,accident,9,France Bleu,Pyrénées : un randonneur meurt dans une chute de 300 mètres autour du Pic de Royo,2021-09-12,6,https://www.francebleu.fr/infos/faits-divers-justice/pyrenees-un-randonneur-meurt-dans-une-chute-de-300-metres-autour-du-pic-de-royo-1631478888,2021-09-18 12:57:55,local
Lachute,accident,10,La République du Centre,Une voiture percute un poteau électrique : deux blessées graves à Ormes,2021-09-16,2,https://www.larep.fr/ormes-45140/actualites/une-voiture-percute-un-poteau-electrique-deux-blessees-graves-a-ormes_14013192/,2021-09-18 12:57:55,local
