Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lachute,élection OR campagne,1,Radio-Canada.ca,Une majorité est-elle encore à portée de main des partis?,2021-09-12,6,https://ici.radio-canada.ca/info/2021/elections-federales/gouvernement-majoritaire-minoritaire-mode-scrutin-vote-coalition/,2021-09-18 13:47:37,mixte
Lachute,élection OR campagne,2,L’actualité,Quand l'international s'invite dans la campagne,2021-09-16,2,https://lactualite.com/politique/quand-linternational-sinvite-dans-la-campagne/,2021-09-18 13:47:37,mixte
Lachute,élection OR campagne,3,Le Journal de Québec,Celui qui pourrait sauver des vies,2021-09-18,0,https://www.journaldequebec.com/2021/09/18/celui-qui-pourrait-sauver-des-vies,2021-09-18 13:47:37,mixte
Lachute,élection OR campagne,4,ICI.Radio-Canada.ca,Analyse | Une élection bien orchestrée en Russie : une opposition réduite à néant,2021-09-17,1,https://ici.radio-canada.ca/nouvelle/1824772/russie-election-poutine-opposant-douma,2021-09-18 13:47:37,mixte
Lachute,élection OR campagne,5,Le Journal de Montréal,Premier ministre à temps partiel,2021-08-25,24,https://www.journaldemontreal.com/2021/08/25/premier-ministre-a-temps-partiel,2021-09-18 13:47:37,mixte
Lachute,élection OR campagne,6,La Presse,La colère de l'électeur ? | La Presse,2021-09-18,0,https://www.lapresse.ca/debats/opinions/2021-09-18/la-colere-de-l-electeur.php,2021-09-18 13:47:38,mixte
Lachute,élection OR campagne,7,Le Journal de Montréal,Les Russes aux urnes après l'élimination de l'opposition,2021-09-13,5,https://www.journaldemontreal.com/2021/09/13/les-russes-aux-urnes-apres-lelimination-de-lopposition,2021-09-18 13:47:38,mixte
Lachute,élection OR campagne,8,EstriePlus.com,Les bonnes consciences - CHRONIQUEURS - L'Agora - Estrieplus.com - Le journal Internet,2021-09-15,3,http://m.estrieplus.com/contenu-les_bonnes_consciences_election_federale_2021_vote_campagne_electorale-1844-50073.html,2021-09-18 13:47:38,mixte
Lachute,élection OR campagne,9,TVA Nouvelles,Des arbres millénaires s'invitent dans la campagne électorale,2021-09-04,14,https://www.tvanouvelles.ca/2021/09/04/des-arbres-millenaires-sinvitent-dans-la-campagne-electorale,2021-09-18 13:47:38,mixte
Lachute,élection OR campagne,10,Le Devoir,La France se souvient du Québec: la chute de Québec,2021-09-13,5,https://www.ledevoir.com/societe/631794/la-france-se-souvient-du-quebec-la-chute-de-quebec,2021-09-18 13:47:39,mixte
Lachute,élection OR campagne,11,La Presse,Le tour du propriétaire | Trois pignons et un jardin à Hudson,2021-09-14,4,https://www.lapresse.ca/maison/immobilier/2021-09-14/le-tour-du-proprietaire/trois-pignons-et-un-jardin-a-hudson.php,2021-09-18 13:47:39,mixte
Lachute,élection OR campagne,12,BasketUSA,Bogdan Bogdanovic va attaquer la saison à 100% de ses moyens,2021-09-18,0,https://www.basketusa.com/news/638600/bogdan-bogdanovic-va-attaquer-la-saison-a-100-de-ses-moyens/,2021-09-18 13:47:39,mixte
Lachute,élection OR campagne,13,L'Obs,"Le ""candidat menotté"": un opposant au Kremlin en campagne depuis sa prison",2021-09-16,2,https://www.nouvelobs.com/monde/20210916.AFP2604/le-candidat-menotte-un-opposant-au-kremlin-en-campagne-depuis-sa-prison.html,2021-09-18 13:47:40,mixte
Lachute,élection OR campagne,14,BBC Afrique,Élections législatives 2021 au Maroc: comment le roi a porté un coup à l'islam politique,2021-09-16,2,https://www.bbc.com/afrique/region-58548594,2021-09-18 13:47:40,mixte
Lachute,élection OR campagne,15,Le Figaro,Italie: la chute du tourisme a pesé sur le PIB en 2020,2021-09-14,4,https://www.lefigaro.fr/flash-eco/italie-la-chute-du-tourisme-a-pese-sur-le-pib-en-2020-20210914,2021-09-18 13:47:41,mixte
Lachute,élection OR campagne,16,La Presse,Élections fédérales 2021 | Quels remèdes pour la francophonie canadienne ?,2021-09-03,15,https://www.lapresse.ca/debats/opinions/2021-09-03/elections-federales-2021/quels-remedes-pour-la-francophonie-canadienne.php,2021-09-18 13:47:41,mixte
Lachute,élection OR campagne,17,La Presse,Élections fédérales 2021 | Les Canadiens demandent une politique étrangère pour un monde sans leader,2021-09-04,14,https://www.lapresse.ca/debats/opinions/2021-09-04/elections-federales-2021/les-canadiens-demandent-une-politique-etrangere-pour-un-monde-sans-leader.php,2021-09-18 13:47:41,mixte
Lachute,élection OR campagne,18,FRANCE 24,"Après l'Afghanistan, Joe Biden, fragilisé, doit réussir un sans-faute économique et sanitaire",2021-08-31,18,https://www.france24.com/fr/info-en-continu/20210831-apr%C3%A8s-l-afghanistan-joe-biden-fragilis%C3%A9-doit-r%C3%A9ussir-un-sans-faute-%C3%A9conomique-et-sanitaire,2021-09-18 13:47:41,mixte
Lachute,élection OR campagne,19,l-express.ca,Reprise économique : entre optimisme et vigilance,2021-09-17,1,https://l-express.ca/reprise-economique-martin-coiteux-inflation-relance/,2021-09-18 13:47:42,mixte
Lachute,élection OR campagne,20,La Presse,Les cent plaies afghanes | La Presse,2021-09-14,4,https://www.lapresse.ca/international/chroniques/2021-09-14/les-cent-plaies-afghanes.php,2021-09-18 13:47:42,mixte
Lachute,élection OR campagne,21,L’actualité,"Mélanie Joly, coprésidente de campagne du PLC et en processus de fécondation in vitro",2021-08-21,28,https://lactualite.com/actualites/melanie-joly-copresidente-de-campagne-du-plc-et-en-processus-de-fecondation-in-vitro/,2021-09-18 13:47:42,mixte
Lachute,élection OR campagne,22,L'Express,"Ça reste entre nous : Le nom du parti d'Edouard Philippe, quand Macron manipule Sarkozy...",2021-09-16,2,https://www.lexpress.fr/actualite/politique/ca-reste-entre-nous-le-nom-du-parti-d-edouard-philippe-quand-macron-manipule-sarkozy_2158562.html,2021-09-18 13:47:43,mixte
