Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Louiseville,"""premier ministre""",1,TVA Nouvelles,Une épouvantable tragédie ferroviaire secouait Louiseville il y a 85 ans,2021-08-15,34,https://www.tvanouvelles.ca/2021/08/15/une-epouvantable-tragedie-ferroviaire-secouait-louiseville-il-y-a-85-ans-1,2021-09-18 09:56:39,national
Louiseville,"""premier ministre""",2,Le Nouvelliste - Groupe Capitales Médias,Maskicom : Branchez-nous interpelle le premier ministre | Actualités,2021-07-19,61,https://www.lenouvelliste.ca/actualites/maskicom--branchez-nous-interpelle-le-premier-ministre-191b65cdebb7451d0393885baefbf69e,2021-09-18 09:56:39,national
Louiseville,"""premier ministre""",3,Le Journal de Montréal,Mauricie: une femme agressée dans son domicile à Louiseville,2021-07-13,67,https://www.journaldemontreal.com/2021/07/13/mauricie-une-femme-agressee-dans-son-domicile-a-louiseville,2021-09-18 09:56:39,national
Louiseville,"""premier ministre""",4,Le Journal de Montréal,Louiseville: de nouveaux éléments dans l'enquête sur la disparition de Mélissa Blais,2021-07-23,57,https://www.journaldemontreal.com/2021/07/23/louiseville-de-nouveaux-elements-dans-lenquete-sur-la-disparition-de-melissa-blais,2021-09-18 09:56:39,national
Louiseville,"""premier ministre""",5,Radio-Canada.ca,Des masques de Chine choisis au détriment de ceux d'une entreprise de Louiseville,2021-03-05,197,https://ici.radio-canada.ca/nouvelle/1774653/covid-19-masque-fenetre-transparent-louiseville-premont-magog-mepsusp,2021-09-18 09:56:40,national
Louiseville,"""premier ministre""",6,Le Journal de Montréal,[EN DIRECT 3 MARS] Tous les développements de la pandémie,2021-03-03,199,https://www.journaldemontreal.com/2021/03/03/en-direct-3-mars-tous-les-developpements-de-la-pandemie,2021-09-18 09:56:40,national
Louiseville,"""premier ministre""",7,Le Nouvelliste - Groupe Capitales Médias,Plan B recherché pour la vaccination à Louiseville,2021-05-14,127,https://www.lenouvelliste.ca/actualites/covid-19/plan-b-recherche-pour-la-vaccination-a-louiseville-28cb688878d86c156f6a821b9616ba9b,2021-09-18 09:56:40,national
Louiseville,"""premier ministre""",8,Le Nouvelliste - Groupe Capitales Médias,Coupable d'avoir «lancé des couteaux» en direction du premier ministre Legault,2021-05-04,137,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/coupable-davoir-lance-des-couteaux-en-direction-du-premier-ministre-legault-0f00230c2d025e9d9edf353271abbe76,2021-09-18 09:56:40,national
Louiseville,"""premier ministre""",9,Le Nouvelliste - Groupe Capitales Médias,Symposium des arts visuels de Louiseville: des lauréats à l'Escale [ARTICLE AUDIO],2021-06-04,106,https://www.lenouvelliste.ca/arts/symposium-des-arts-visuels-de-louiseville-des-laureats-a-lescale-article-audio-12c0ace61da691d07f017e4e784451fe,2021-09-18 09:56:40,national
Louiseville,"""premier ministre""",10,L'Hebdo du Saint-Maurice,La Mauricie en zone orange dès le 8 mars,2021-03-03,199,https://www.lhebdodustmaurice.com/la-mauricie-en-zone-orange-des-le-8-mars/,2021-09-18 09:56:41,national
Louiseville,"""premier ministre""",11,Le Nouvelliste - Groupe Capitales Médias,Louiseville fête la Saint-Jean avec du cinéma,2021-06-14,96,https://www.lenouvelliste.ca/arts/louiseville-fete-la-saint-jean-avec-du-cinema-3d571d9567f005b0c55ae513ee344c94,2021-09-18 09:56:41,national
Louiseville,"""premier ministre""",12,Le Nouvelliste - Groupe Capitales Médias,Un engouement très timide à Louiseville pour la vaccination sans rendez-vous,2021-04-12,159,https://www.lenouvelliste.ca/actualites/covid-19/un-engouement-tres-timide-a-louiseville-pour-la-vaccination-sans-rendez-vous-921f9438f34fe873ad6d91fc74fd4ed0,2021-09-18 09:56:41,national
Louiseville,"""premier ministre""",13,Le Nouvelliste - Groupe Capitales Médias,Un nouveau parcours lumineux au centre-ville de Louiseville,2021-08-12,37,https://www.lenouvelliste.ca/arts/un-nouveau-parcours-lumineux-au-centre-ville-de-louiseville-7117624057f125d2e16ddba9410e7644,2021-09-18 09:56:41,national
Louiseville,"""premier ministre""",14,Le Nouvelliste - Groupe Capitales Médias,La région reste en zone rouge | Actualités,2021-02-03,227,https://www.lenouvelliste.ca/actualites/la-region-reste-en-zone-rouge-e89fd55a8a5e5ad5fcc38273d68b0a4e,2021-09-18 09:56:41,national
Louiseville,"""premier ministre""",15,Le Nouvelliste - Groupe Capitales Médias,Louiseville veut s'améliorer! | Actualités,2021-02-08,222,https://www.lenouvelliste.ca/actualites/louiseville-veut-sameliorer-eec461469ff2674bc8919fd24ed310ea,2021-09-18 09:56:42,national
Louiseville,"""premier ministre""",16,Le Nouvelliste - Groupe Capitales Médias,Trudeau et Legault annoncent plus de 826 M$ pour l'Internet haute vitesse,2021-03-22,180,https://www.lenouvelliste.ca/actualites/trudeau-et-legault-annoncent-plus-de-826-m-pour-linternet-haute-vitesse-77141dbe410308b4356fc524ac802a69,2021-09-18 09:56:42,national
Louiseville,"""premier ministre""",17,Le Journal de Montréal,La Mauricie–Centre-du-Québec reste en zone rouge,2021-02-16,214,https://www.journaldemontreal.com/2021/02/16/la-mauriciecentre-du-quebec-reste-en-zone-rouge,2021-09-18 09:56:43,national
Louiseville,"""premier ministre""",18,Le Journal de Montréal,Le ministre Dubé fait face à son plus grand défi,2021-06-30,80,https://www.journaldemontreal.com/2021/06/30/le-ministre-dube-fait-face-a-son-plus-grand-defi,2021-09-18 09:56:43,national
Louiseville,"""premier ministre""",19,Le Nouvelliste - Groupe Capitales Médias,Une salle de spectacle au complexe de Louiseville | Actualités,2020-11-24,298,https://www.lenouvelliste.ca/actualites/une-salle-de-spectacle-au-complexe-de-louiseville-67e9200d22950aa5248c1d2e2c22c9a9,2021-09-18 09:56:43,national
Louiseville,"""premier ministre""",20,Le Nouvelliste - Groupe Capitales Médias,Yves Perron sera sur les rangs dans Berthier-Maskinongé,2021-03-15,187,https://www.lenouvelliste.ca/actualites/politique/yves-perron-sera-sur-les-rangs-dans-berthier-maskinonge-8734dbfa88246842498b6bfdc06d1048,2021-09-18 09:56:43,national
Louiseville,"""premier ministre""",21,Le Nouvelliste - Groupe Capitales Médias,La radio Country Pop 103.1 s'installe à Louiseville,2021-04-27,144,https://www.lenouvelliste.ca/arts/la-radio-country-pop-1031-sinstalle-a-louiseville-d634008d2f83461d36d07f79e237fe4f,2021-09-18 09:56:43,national
Louiseville,"""premier ministre""",22,Le Nouvelliste - Groupe Capitales Médias,Meilleur achalandage pour la vaccination sans rendez-vous à Louiseville,2021-04-13,158,https://www.lenouvelliste.ca/actualites/covid-19/meilleur-achalandage-pour-la-vaccination-sans-rendez-vous-a-louiseville-1fecb2fabda982172b3a84556efa4127,2021-09-18 09:56:43,national
Louiseville,"""premier ministre""",23,Le Nouvelliste - Groupe Capitales Médias,Deux autres cliniques de vaccination inaugurées à Nicolet et Louiseville [VIDÉOS],2021-03-26,176,https://www.lenouvelliste.ca/actualites/covid-19/deux-autres-cliniques-de-vaccination-inaugurees-a-nicolet-et-louiseville-videos-b71c5678a612f42cadebf2753f665cb2,2021-09-18 09:56:44,national
Louiseville,"""premier ministre""",24,Le Journal de Montréal,L'arrestation d'un complotiste lourdement armé sème l'émoi à Louiseville,2021-01-22,239,https://www.journaldemontreal.com/2021/01/22/larrestation-dun-complotiste-lourdement-arme-seme-lemoi-a-louiseville,2021-09-18 09:56:44,national
