Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Magog,accident,1,La Tribune - Groupe Capitales Médias,L'identité de la victime de l'accident de Magog révélée,2021-05-14,127,https://www.latribune.ca/actualites/lidentite-de-la-victime-de-laccident-de-magog-revelee-289bd846f30466b75e78a2b50a990991,2021-09-18 08:07:25,local
Magog,accident,2,Le Reflet du Lac,Accident sur le chemin d'Ayer's Cliff à Magog: le motocyliste est décédé,2021-05-13,128,https://www.lerefletdulac.com/2021/05/13/accident-sur-le-chemin-dayers-cliff-a-magog-le-motocyliste-est-decede/,2021-09-18 08:07:26,local
Magog,accident,3,Le Journal de Montréal,Un motocycliste perd la vie dans un accident à Magog,2021-05-14,127,https://www.journaldemontreal.com/2021/05/14/un-motocycliste-perd-la-vie-dans-un-accident-a-magog,2021-09-18 08:07:26,local
Magog,accident,4,EstriePlus.com,Accident sur la route 141 : un motocycliste perd la vie - MEMPHRÉMAGOG - Actualité - Estrieplus.com - Le journal Internet,2021-05-14,127,http://m.estrieplus.com/contenu-accident_sur_la_route_141_un_motocycliste_perd_la_vie-1977-49607.html,2021-09-18 08:07:26,local
Magog,accident,5,iHeartRadio,La RPM dévoile l'identité du motocycliste mort à Magog,2021-05-14,127,https://www.iheartradio.ca/energie/energie-estrie/nouvelles/la-rpm-devoile-l-identite-du-motocycliste-mort-a-magog-1.15191977,2021-09-18 08:07:26,local
Magog,accident,6,Zone911,Conduite dangereuse sur l'autoroute 10: Camionnette localisée - Actualités,2021-09-02,16,https://zone911.com/scenes-policieres/31373-conduite-dangereuse-sur-l-autoroute-10-camionnette-localisee,2021-09-18 08:07:26,local
Magog,accident,7,La Tribune - Groupe Capitales Médias,L'entreprise Magotteaux victime des flammes | Justice et faits divers | Actualités,2021-08-26,23,https://www.latribune.ca/actualites/justice-et-faits-divers/lentreprise-magotteaux-victime-des-flammes-da84cac9631920c7543b4faaaff95805,2021-09-18 08:07:27,local
Magog,accident,8,Le Reflet du Lac,Violente sortie de route à Magog,2020-11-08,314,https://www.lerefletdulac.com/2020/11/08/violente-sortie-de-route-a-magog/,2021-09-18 08:07:27,local
Magog,accident,9,La Tribune - Groupe Capitales Médias,Accident mortel sur la 10 | Actualités,2021-07-15,65,https://www.latribune.ca/actualites/accident-mortel-sur-la-10-36841f9a12caccee6ac1b7ec330c819d,2021-09-18 08:07:27,local
Magog,accident,10,La Tribune - Groupe Capitales Médias,Accident sur la 10: l'enfant de dix ans succombe à ses blessures,2021-01-18,243,https://www.latribune.ca/actualites/accident-sur-la-10-lenfant-de-dix-ans-succombe-a-ses-blessures-4d2eec269a67fd4000bf7fb85ae23de6,2021-09-18 08:07:27,local
Magog,accident,11,Le Reflet du Lac,Magog: un deuxième accident auto vs piéton en 24 h,2020-12-03,289,https://www.lerefletdulac.com/2020/12/03/magog-un-deuxieme-accident-auto-vs-pieton-en-24-h/,2021-09-18 08:07:27,local
