Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Mansfield,"""premier ministre""",1,L'illustré,Il était une fois Genève… au centre du monde,2021-08-20,29,https://www.illustre.ch/photos/il-etait-une-fois-geneve-au-centre-du-monde,2021-09-18 10:03:07,national
Mansfield,"""premier ministre""",2,Le Journal de Québec,Une belle façon de redonner l'eau aux citoyens,2021-07-05,75,https://www.journaldequebec.com/2021/07/05/une-belle-facon-de-redonner-leau-aux-citoyens,2021-09-18 10:03:08,national
Mansfield,"""premier ministre""",3,Le Journal de Montréal,Road trips au Québec et en Ontario: rouler au bout de la rivière des Outaouais du côté québécois,2021-08-14,35,https://www.journaldemontreal.com/2021/08/14/road-trips-au-quebec-et-en-ontario-rouler-au-bout-de-la-riviere-des-outaouais-du-cote-quebecois,2021-09-18 10:03:08,national
Mansfield,"""premier ministre""",4,Le Journal de Montréal,De violents orages causent des dégâts en Outaouais,2021-07-14,66,https://www.journaldemontreal.com/2021/07/14/de-violents-orages-causent-des-degats-en-outaouais-1,2021-09-18 10:03:08,national
Mansfield,"""premier ministre""",5,Le Journal de Montréal,Un petit avion s'écrase dans un secteur boisé en Outaouais,2021-07-24,56,https://www.journaldemontreal.com/2021/07/24/un-petit-avion-secrase-dans-un-secteur-boise-en-outaouais-1,2021-09-18 10:03:09,national
Mansfield,"""premier ministre""",6,Le Journal de Montréal,Montréal et Québec : 6 hôtels où «partir en voyage» près de chez soi,2020-10-21,332,https://www.journaldemontreal.com/2020/10/21/montreal-et-quebec--6-hotels-ou-partir-en-voyage-pres-de-chez-soi,2021-09-18 10:03:09,national
Mansfield,"""premier ministre""",7,Le Journal de Montréal,Montréal: des entraves à la circulation durant le week-end,2021-03-19,183,https://www.journaldemontreal.com/2021/03/19/montreal-des-entraves-a-la-circulation-durant-le-week-end,2021-09-18 10:03:10,national
Mansfield,"""premier ministre""",8,Le Journal de Montréal,Une femme est retrouvée inanimée dans une rivière en Outaouais,,,https://www.journaldemontreal.com/2020/08/08/encore-une-possible-noyade-en-outaouais,2021-09-18 10:03:10,national
Mansfield,"""premier ministre""",9,Contrepoints,"Damadian, Lauterbur et Mansfield inventent l'IRM – Les Héros du progrès (47)",2020-12-13,279,https://www.contrepoints.org/2020/12/13/386482-damadian-lauterbur-et-mansfield-inventent-lirm-les-heros-du-progres-47,2021-09-18 10:03:10,national
Mansfield,"""premier ministre""",10,Le Droit - Groupe Capitales Médias,Vaccination : le mystère du Pontiac | COVID-19 | Actualités,2021-08-07,42,https://www.ledroit.com/actualites/covid-19/vaccination--le-mystere-du-pontiac-24d9378a34e2567167d884bf72c66b04,2021-09-18 10:03:11,national
