Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Mirabel,élection OR campagne,1,L'Éveil et La Concorde,Catherine Lefebvre veut faciliter la vie des citoyens - Journal L'Éveil de Saint-Eustache,2021-09-17,1,https://www.leveil.com/actualites/catherine-lefebvre-veut-faciliter-la-vie-des-citoyens,2021-09-18 09:27:42,mixte
Mirabel,élection OR campagne,2,Nord Info et Voix des Mille-Iles,Jean-Denis Garon accueille son chef pour faire le point,2021-08-27,22,https://www.nordinfo.com/actualites/jean-denis-garon-accueille-son-chef-pour-faire-le-point/,2021-09-18 09:27:43,mixte
Mirabel,élection OR campagne,3,La Presse,Élections fédérales | Ce qu'il faut retenir de la première semaine de campagne,2021-08-21,28,https://www.lapresse.ca/elections-federales/2021-08-21/elections-federales/ce-qu-il-faut-retenir-de-la-premiere-semaine-de-campagne.php,2021-09-18 09:27:43,mixte
Mirabel,élection OR campagne,4,Nord Info et Voix des Mille-Iles,Jean-Denis Garon veut faire respecter les droits du Québec,2021-09-10,8,https://www.nordinfo.com/actualites/jean-denis-garon-veut-faire-respecter-les-droits-du-quebec/,2021-09-18 09:27:43,mixte
Mirabel,élection OR campagne,5,L'Éveil et La Concorde,La santé comme priorité pour les Conservateurs de la région - Journal L'Éveil de Saint-Eustache,2021-08-24,25,https://www.leveil.com/actualites/la-sante-comme-priorite-pour-les-conservateurs-de-la-region,2021-09-18 09:27:43,mixte
Mirabel,élection OR campagne,6,Nord Info et Voix des Mille-Iles,Catherine Lefebvre veut compter sur l'appui local,2021-08-27,22,https://www.nordinfo.com/actualites/catherine-lefebvre-veut-compter-sur-lappui-local/,2021-09-18 09:27:43,mixte
Mirabel,élection OR campagne,7,La Presse,Élections fédérales 2021 | Promesses électorales : qui paiera la facture ?,2021-09-11,7,https://www.lapresse.ca/affaires/economie/2021-09-11/elections-federales-2021/promesses-electorales-qui-paiera-la-facture.php,2021-09-18 09:27:44,mixte
Mirabel,élection OR campagne,8,Nord Info et Voix des Mille-Iles,Dévoilement de la plateforme du Bloc québécois,2021-08-24,25,https://www.nordinfo.com/actualites/devoilement-de-la-plateforme-du-bloc-quebecois/,2021-09-18 09:27:44,mixte
Mirabel,élection OR campagne,9,L'Éveil et La Concorde,Le dernier blitz avant le vote - Journal L'Éveil de Saint-Eustache,2021-09-16,2,https://www.leveil.com/ici-chez-vous/le-dernier-blitz-avant-le-vote,2021-09-18 09:27:44,mixte
Mirabel,élection OR campagne,10,Le Droit - Groupe Capitales Médias,Un duel dans Argenteuil- La Petite-Nation ? | Élections 2021,2021-09-04,14,https://www.ledroit.com/elections-2021/un-duel-dans-argenteuil-la-petite-nation--96d67a9a171452959075e1081f0c3f23,2021-09-18 09:27:44,mixte
Mirabel,élection OR campagne,11,Nord Info et Voix des Mille-Iles,D'autres candidats se manifestent,2021-09-16,2,https://www.nordinfo.com/actualites/dautres-candidats-se-manifestent/,2021-09-18 09:27:44,mixte
Mirabel,élection OR campagne,12,Le Journal de Montréal,La PCRE domine le débat sur l'économie,2021-09-15,3,https://www.journaldemontreal.com/2021/09/15/la-pcre-domine-le-debat-sur-leconomie,2021-09-18 09:27:45,mixte
Mirabel,élection OR campagne,13,Le Soleil - Groupe Capitales Médias,Le Bloc québécois compte sur l'effet Blanchet pour maintenir son élan,2021-08-22,27,https://www.lesoleil.com/actualite/les-elections-federales/le-bloc-quebecois-compte-sur-leffet-blanchet-pour-maintenir-son-elan-aa5b502a2e7332b07c8d0054dea15e46,2021-09-18 09:27:45,mixte
Mirabel,élection OR campagne,14,Nord Info et Voix des Mille-Iles,Bloc québécois: du soutien pour les arts et la culture,2021-08-30,19,https://www.nordinfo.com/actualites/bloc-quebecois-du-soutien-pour-les-arts-et-la-culture/,2021-09-18 09:27:45,mixte
Mirabel,élection OR campagne,15,Nord Info et Voix des Mille-Iles,Agenda d'ici - Semaine du 18 août 2021,2021-08-18,31,https://www.nordinfo.com/societe/agenda-dici-semaine-du-18-aout-2021/,2021-09-18 09:27:45,mixte
Mirabel,élection OR campagne,16,LaDepeche.fr,Mirabel. Au cœur d’une récolte de fruits d’été du Tarn-et-Garonne,2021-08-30,19,https://www.ladepeche.fr/2021/08/30/au-coeur-dune-recolte-de-fruits-dete-9758396.php,2021-09-18 09:27:46,mixte
Mirabel,élection OR campagne,17,L'Éveil et La Concorde,Mirabel: Patrick Charbonneau se prépare pour la campagne électorale - Journal L'Éveil de Saint-Eustache,2021-07-17,63,https://www.leveil.com/actualites/mirabel-patrick-charbonneau-se-prepare-pour-la-campagne-electorale,2021-09-18 09:27:46,mixte
Mirabel,élection OR campagne,18,Le Droit - Groupe Capitales Médias,Relance d'une liaison ferroviaire pour voyageurs entre Gatineau et Montréal,2021-08-27,22,https://www.ledroit.com/actualites/relance-dune-liaison-ferroviaire-pour-voyageurs-entre-gatineau-et-montreal-59eac1bef20e342a0660c3dea24bff65,2021-09-18 09:27:46,mixte
Mirabel,élection OR campagne,19,LaDepeche.fr,Mirabel. VIDEO. Envolez-vous à bord d’une montgolfière et survolez le Tarn-et-Garonne,2021-08-26,23,https://www.ladepeche.fr/2021/08/26/envolez-vous-a-bord-dune-montgolfiere-9751430.php,2021-09-18 09:27:47,mixte
Mirabel,élection OR campagne,20,L'Éveil et La Concorde,Élections municipales 2021: Action Mirabel présente trois nouveaux candidats - Journal L'Éveil de Saint-Eustache,2021-08-05,44,https://www.leveil.com/actualites/elections-municipales-2021-action-mirabel-presente-trois-nouveaux-candidats,2021-09-18 09:27:47,mixte
Mirabel,élection OR campagne,21,LeLézard.com,Élections fédérales 2021 - La mobilité : Le chantier prioritaire pour les municipalités de la Couronne Nord,2021-08-31,18,https://www.lelezard.com/communique-19976251.html,2021-09-18 09:27:48,mixte
Mirabel,élection OR campagne,22,TVA Nouvelles,"«L'Académie du Guide de l'Auto»: en voiture, avec des plexiglas",2021-09-09,9,https://www.tvanouvelles.ca/2021/09/09/lacademie-du-guide-de-lauto-en-voiture-avec-des-plexiglas,2021-09-18 09:27:48,mixte
Mirabel,élection OR campagne,23,TopoLocal,Jean Bouchard ne sera pas de retour comme maire de Mirabel,2021-05-14,127,https://www.topolocal.ca/2021/05/14/jean-bouchard-ne-sera-pas-de-retour-comme-maire-de-mirabel/,2021-09-18 09:27:48,mixte
Mirabel,élection OR campagne,24,Transport Routier,"Le Groupe Robert, DRAKKAR et FedEx Express partenaires de la campagne de vaccination d'Airbus à Mirabel",2021-05-31,110,https://www.transportroutier.ca/nouvelles/le-groupe-robert-drakkar-et-fedex-express-partenaires-de-la-campagne-de-vaccination-dairbus-a-mirabel/,2021-09-18 09:27:48,mixte
Mirabel,élection OR campagne,25,Nord Info et Voix des Mille-Iles,Jean-Denis Garon sera candidat pour le Bloc québécois dans Mirabel,2021-03-04,198,https://www.nordinfo.com/actualites/jean-denis-garon-sera-candidat-pour-le-bloc-quebecois-dans-mirabel/,2021-09-18 09:27:48,mixte
Mirabel,député,1,Plume Libre Montcalm,Les candidats conservateurs des régions des Laurentides et de Lanaudière agiront en santé,2021-08-25,24,https://plumelibre.ca/music/les-candidats-conservateurs-des-r%C3%A9gions-des-laurentides-et-de-lanaudi%C3%A8re-agiront-en-sant%C3%A9,2021-09-18 09:28:28,mixte
