Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Montréal,"""premier ministre""",1,Le Journal de Montréal,Lettre à mon premier ministre,2021-09-13,5,https://www.journaldemontreal.com/2021/09/13/lettre-a-mon-premier-ministre,2021-09-18 16:35:37,national
Montréal,"""premier ministre""",2,Le Journal de Québec,Legault n'a pas à rougir de la comparaison,2021-09-18,0,https://www.journaldequebec.com/2021/09/18/legault-na-pas-a-rougir-de-la-comparaison,2021-09-18 16:35:37,national
Montréal,"""premier ministre""",3,Le Journal de Montréal,Dans les coulisses de la campagne de vaccination: caché au cabinet du ministre Christian Dubé,2021-09-18,0,https://www.journaldemontreal.com/2021/09/18/cache-au-cabinet-du-ministre,2021-09-18 16:35:38,national
Montréal,"""premier ministre""",4,Le Journal de Montréal,Premier ministre à temps partiel,2021-08-25,24,https://www.journaldemontreal.com/2021/08/25/premier-ministre-a-temps-partiel,2021-09-18 16:35:38,national
Montréal,"""premier ministre""",5,Le Journal de Montréal,Trudeau a déjà perdu,2021-09-17,1,https://www.journaldemontreal.com/2021/09/17/trudeau-a-deja-perdu,2021-09-18 16:35:38,national
Montréal,"""premier ministre""",6,Le Journal de Montréal,Assassinat du président haïtien: le premier ministre limoge le procureur qui le menaçait d'inculpation,2021-09-14,4,https://www.journaldemontreal.com/2021/09/14/assassinat-du-president-haitien-le-procureur-requiert-linculpation-du-premier-ministre,2021-09-18 16:35:38,national
Montréal,"""premier ministre""",7,Le Journal de Montréal,Face-à-Face: qui veut devenir le premier ministre du Canada?,2021-09-03,15,https://www.journaldemontreal.com/2021/09/03/face-a-face-qui-veut-devenir-le-premier-ministre-du-canada,2021-09-18 16:35:39,national
Montréal,"""premier ministre""",8,Le Journal de Montréal,Garderies: lisez la lettre qu'Erin O'Toole a envoyée à François Legault,2021-09-14,4,https://www.journaldemontreal.com/2021/09/14/lettre-derin-otoole-a-francois-legault,2021-09-18 16:35:39,national
Montréal,"""premier ministre""",9,Le Journal de Montréal,Le «HEILLE» du premier ministre,2021-08-27,22,https://www.journaldemontreal.com/2021/08/27/le-heille-du-premier-ministre,2021-09-18 16:35:39,national
Montréal,"""premier ministre""",10,Le Journal de Montréal,"Brève visite du premier ministre israélien en Égypte, la première en 10 ans",2021-09-13,5,https://www.journaldemontreal.com/2021/09/13/le-premier-ministre-israelien-en-egypte-une-premiere-depuis-2011,2021-09-18 16:35:39,national
Montréal,"""premier ministre""",11,ICI.Radio-Canada.ca,"Archives | Le 18 septembre 1956 décédait Adélard Godbout, précurseur de la Révolution tranquille",2021-09-17,1,https://ici.radio-canada.ca/nouvelle/1824778/godbout-politique-histoire-quebec-archives,2021-09-18 16:35:39,national
Montréal,"""premier ministre""",12,Le Journal de Montréal,Brian Mulroney revient au devant de la scène pour appuyer O'Toole,2021-09-15,3,https://www.journaldemontreal.com/2021/09/15/erin-otoole-un-homme-de-principes-selon-brian-mulroney,2021-09-18 16:35:40,national
Montréal,"""premier ministre""",13,Le Devoir,Près de 8000 travailleurs de la santé toujours non vaccinés à Montréal,2021-09-15,3,https://www.ledevoir.com/societe/sante/632634/covid-19-pres-de-8000-travailleurs-de-la-sante-toujours-non-vaccines-a-montreal,2021-09-18 16:35:40,national
Montréal,"""premier ministre""",14,La Presse,Justin Trudeau à la rencontre des électeurs sur la Rive-Sud de Montréal,2021-09-11,7,https://www.lapresse.ca/elections-federales/2021-09-11/justin-trudeau-a-la-rencontre-des-electeurs-sur-la-rive-sud-de-montreal.php,2021-09-18 16:35:40,national
Montréal,"""premier ministre""",15,Le Journal de Montréal,Afghanistan: le vice-premier ministre taliban dément des rumeurs qui le disaient mort,2021-09-13,5,https://www.journaldemontreal.com/2021/09/13/afghanistan-le-vice-premier-ministre-taliban-dement-des-rumeurs-sur-sa-mort,2021-09-18 16:35:40,national
Montréal,"""premier ministre""",16,Le Journal de Québec,Le bulletin des chefs: Justin Trudeau risque gros lundi,2021-09-18,0,https://www.journaldequebec.com/2021/09/18/le-bulletin-des-chefs-justin-trudeau-risque-gros-lundi,2021-09-18 16:35:40,national
Montréal,"""premier ministre""",17,TVA Nouvelles,Grande confusion autour du passeport vaccinal au travail,2021-08-26,23,https://www.tvanouvelles.ca/2021/08/26/grande-confusion-autour-du-passeport-vaccinal-au-travail-1,2021-09-18 16:35:40,national
Montréal,"""premier ministre""",18,Le Devoir,La chronique de Konrad Yakabusi: «Le verdict»,2021-09-18,0,https://www.ledevoir.com/opinion/chroniques/633342/le-verdict,2021-09-18 16:35:41,national
Montréal,"""premier ministre""",19,ICI.Radio-Canada.ca,Le système de santé « craque de partout » au Canada | Coronavirus,2021-09-18,0,https://ici.radio-canada.ca/nouvelle/1825241/covid-pandemie-canada-sante-hopitaux-association-medicale,2021-09-18 16:35:41,national
Montréal,"""premier ministre""",20,Le Journal de Québec,Preuve vaccinale du PM piratée,2021-08-27,22,https://www.journaldequebec.com/2021/08/27/preuve-vaccinale-du-pm-piratee,2021-09-18 16:35:41,national
Montréal,"""premier ministre""",21,La Presse,"Hydroélectricité | Terre-Neuve n'a pas à craindre le Québec, dit le premier ministre Andrew Furey",2021-08-30,19,https://www.lapresse.ca/affaires/2021-08-30/hydroelectricite/terre-neuve-n-a-pas-a-craindre-le-quebec-dit-le-premier-ministre-andrew-furey.php,2021-09-18 16:35:41,national
Montréal,"""premier ministre""",22,Le Journal de Montréal,Les lectures du Premier ministre vues par les cégépiens,2021-09-02,16,https://www.journaldemontreal.com/2021/09/02/les-lectures-du-premier-ministre-vues-par-les-cegepiens,2021-09-18 16:35:41,national
Montréal,"""premier ministre""",23,Le Journal de Montréal,John Horgan est le nouveau président du Conseil de la fédération,2021-09-16,2,https://www.journaldemontreal.com/2021/09/16/john-horgan-est-le-nouveau-president-du-conseil-de-la-federation-1,2021-09-18 16:35:42,national
