Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Notre-Dame-du-Mont-Carmel,accident,1,Le Nouvelliste - Groupe Capitales Médias,Deux capotages à Notre-Dame-du-Mont-Carmel,2021-04-01,170,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/deux-capotages-a-notre-dame-du-mont-carmel-0c7a187c210094e3309b99398a32b5a9,2021-09-18 08:46:01,local
Notre-Dame-du-Mont-Carmel,accident,2,Le Nouvelliste - Groupe Capitales Médias,Le 11 septembre d'Anne-Marie | Isabelle Légaré | Chroniques,2021-09-11,7,https://www.lenouvelliste.ca/chroniques/isabelle-legare/le-11-septembre-danne-marie-46790192acc0dfd513446cc7ffd02474,2021-09-18 08:46:02,local
Notre-Dame-du-Mont-Carmel,accident,3,ICI.Radio-Canada.ca,Nos archives : le terrible et spectaculaire accident de Notre-Dame-du-Mont-Carmel,2020-12-29,263,https://ici.radio-canada.ca/nouvelle/1755977/accident-avion-tour-notre-dame-mont-carmel-pilote-mort-westower-archives,2021-09-18 08:46:02,local
Notre-Dame-du-Mont-Carmel,accident,4,Le Nouvelliste - Groupe Capitales Médias,Sortie de route et capotage à Notre-Dame-du-Mont-Carmel,2021-02-12,218,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/sortie-de-route-et-capotage-a-notre-dame-du-mont-carmel-f278358b14a4f3094165cecbab7094e8,2021-09-18 08:46:02,local
Notre-Dame-du-Mont-Carmel,accident,5,L'Hebdo du Saint-Maurice,Accident à Notre-Dame-du-Mont-Carmel,2020-11-10,312,https://www.lhebdodustmaurice.com/accident-a-mont-carmel/,2021-09-18 08:46:02,local
Notre-Dame-du-Mont-Carmel,accident,6,Le Nouvelliste - Groupe Capitales Médias,Une trombe terrestre à Notre-Dame-du-Mont-Carmel?,2021-05-16,125,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/une-trombe-terrestre-a-notre-dame-du-mont-carmel-f622ec0d2250f109cb61cf45050e0928,2021-09-18 08:46:03,local
Notre-Dame-du-Mont-Carmel,accident,7,Le Nouvelliste - Groupe Capitales Médias,Incendie à Notre-Dame-du-Mont-Carmel | Justice et faits divers | Actualités,2021-01-23,238,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/incendie-a-notre-dame-du-mont-carmel-6c89832d5b5b49a32f1deea4a5e9aaed,2021-09-18 08:46:03,local
Notre-Dame-du-Mont-Carmel,accident,8,Le Nouvelliste - Groupe Capitales Médias,Important incendie près du Sanctuaire Notre-Dame-du-Cap,2021-05-01,140,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/important-incendie-pres-du-sanctuaire-notre-dame-du-cap-2087dc8f3f6f3cdf5abcd189fac901bb,2021-09-18 08:46:03,local
Notre-Dame-du-Mont-Carmel,accident,9,Le Nouvelliste - Groupe Capitales Médias,Notre-Dame-du-Mont-Carmel aura son véloparc,2021-03-24,178,https://www.lenouvelliste.ca/actualites/notre-dame-du-mont-carmel-aura-son-veloparc-2a6b2e23e74f580abfba7a06828dbfc2,2021-09-18 08:46:03,local
Notre-Dame-du-Mont-Carmel,accident,10,Le Nouvelliste - Groupe Capitales Médias,Accident de moto mortel à Saint-Lambert-de-Lauzon,2021-06-27,83,https://www.lenouvelliste.ca/actualites/accident-de-moto-mortel-a-saint-lambert-de-lauzon-80929dcc7e0a0115b9a1749cda231f87,2021-09-18 08:46:04,local
