Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Repentigny,accident,1,TVA Nouvelles,EN IMAGES | Immense bouchon de circulation après une collision sur l'A-40 ouest à Charlemagne,2021-09-17,1,https://www.tvanouvelles.ca/2021/09/17/immense-bouchon-de-circulation-apres-une-collision-sur-la-40-ouest-a-charlemagne-1,2021-09-18 09:03:40,local
Repentigny,accident,2,TVA Nouvelles,Encore une explosion chez General Dynamics,2021-09-14,4,https://www.tvanouvelles.ca/2021/09/14/encore-une-explosion-chez-general-dynamics,2021-09-18 09:03:40,local
Repentigny,accident,3,Le Journal de Montréal,[IMAGES] Toujours les mêmes carambolages sur la 40,2021-02-05,225,https://www.journaldemontreal.com/2021/02/05/important-carambolage-sur-lautoroute-40-pres-de-repentigny,2021-09-18 09:03:40,local
Repentigny,accident,4,La Presse,Repentigny | Un homme perd la vie après une sortie de route sur l'A40,2021-03-14,188,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-03-14/repentigny/un-homme-perd-la-vie-apres-une-sortie-de-route-sur-l-a40.php,2021-09-18 09:03:41,local
Repentigny,accident,5,TVA Nouvelles,Un homme perd la vie dans une collision à Saint-Paul,2021-08-10,39,https://www.tvanouvelles.ca/2021/08/10/une-personne-entre-la-vie-et-la-mort-apres-une-collision-a-saint-paul,2021-09-18 09:03:41,local
Repentigny,accident,6,Hebdo Rive Nord,Un accident à Charlemagne cause un bouchon monstre,2021-05-06,135,https://www.hebdorivenord.com/article/2021/05/06/un-accident-a-charlemagne-cause-un-bouchon-monstre,2021-09-18 09:03:41,local
Repentigny,accident,7,La Presse,"Terrebonne | Un homme meurt dans un accident, un autre conducteur arrêté",2021-08-18,31,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-08-18/terrebonne/un-homme-meurt-dans-un-accident-un-autre-conducteur-arrete.php,2021-09-18 09:03:41,local
Repentigny,accident,8,TVA Nouvelles,Une explosion fait un mort à Repentigny,2021-02-10,220,https://www.tvanouvelles.ca/2021/02/10/une-explosion-fait-un-mort-a-repentigny-1,2021-09-18 09:03:41,local
Repentigny,accident,9,TVA Nouvelles,Un homme abattu par la police en pleine rue à Repentigny,2021-08-01,48,https://www.tvanouvelles.ca/2021/08/01/homme-atteint-par-balle-operation-policiere-en-cours,2021-09-18 09:03:42,local
Repentigny,accident,10,Hebdo Rive Nord,Une levée de fonds pour soutenir la famille de Philippe Cusson,2021-02-12,218,https://www.hebdorivenord.com/article/2021/02/12/une-levee-de-fonds-pour-soutenir-la-famille-de-philippe-cusson,2021-09-18 09:03:42,local
Repentigny,accident,11,Le Soleil - Groupe Capitales Médias,Homme noir abattu par les policiers à Repentigny: sa famille sous le choc,2021-08-02,47,https://www.lesoleil.com/actualite/justice-et-faits-divers/homme-noir-abattu-par-les-policiers-a-repentigny-sa-famille-sous-le-choc-60c01b3a05fba6c817becab0d0569493,2021-09-18 09:03:42,local
Repentigny,accident,12,La Presse,Côte-Nord | Une adolescente perd la vie dans un accident de VTT,2021-08-07,42,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-08-07/cote-nord/une-adolescente-perd-la-vie-dans-un-accident-de-vtt.php,2021-09-18 09:03:42,local
Repentigny,accident,13,LaPresse.ca,Accident à Repentigny: l'A40 Est fermée pour plusieurs heures,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/faits-divers/201806/29/01-5187677-accident-a-repentigny-la40-est-fermee-pour-plusieurs-heures.php,2021-09-18 09:03:43,local
Repentigny,accident,14,La Presse,Montréal | Un homme blessé dans un accident sur l'autoroute 40,2021-02-14,216,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-02-14/montreal/un-homme-blesse-dans-un-accident-sur-l-autoroute-40.php,2021-09-18 09:03:43,local
Repentigny,accident,15,La Presse,Délit de fuite à pied sur l'autoroute 10,2021-05-30,111,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-30/delit-de-fuite-a-pied-sur-l-autoroute-10.php,2021-09-18 09:03:43,local
Repentigny,accident,16,La Presse,Deux travailleurs blessés dans un accident à L'Islet,2021-07-07,73,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-07/deux-travailleurs-blesses-dans-un-accident-a-l-islet.php,2021-09-18 09:03:44,local
Repentigny,accident,17,TVA Nouvelles,Plus de 30 ans d'attente pour un mur anti-bruit,2021-08-04,45,https://www.tvanouvelles.ca/2021/08/04/plus-de-30-ans-dattente-pour-un-mur-anti-bruit-1,2021-09-18 09:03:44,local
