Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-André-Avellin,"""premier ministre""",1,Le Droit - Groupe Capitales Médias,"Fermeture partielle de l'urgence de Gatineau: «ça va faire», lance André Fortin",2021-09-16,2,https://www.ledroit.com/actualites/sante/fermeture-partielle-de-lurgence-de-gatineau-ca-va-faire-lance-andre-fortin-dfd5eb6a1f921f8f8997e4f236a54b23,2021-09-18 09:34:52,national
Saint-André-Avellin,"""premier ministre""",2,Le Droit - Groupe Capitales Médias,Décès de l'ancien premier ministre ontarien Bill Davis,2021-08-09,40,https://www.ledroit.com/actualites/deces-de-lancien-premier-ministre-ontarien-bill-davis-a33f3a9b11475209c5536b769f794993,2021-09-18 09:34:52,national
Saint-André-Avellin,"""premier ministre""",3,Le Droit - Groupe Capitales Médias,Séisme en Haïti: le premier ministre Justin Trudeau offre son aide,2021-08-14,35,https://www.ledroit.com/actualites/seisme-en-haiti-le-premier-ministre-justin-trudeau-offre-son-aide-a52979365a57920ebc4ec03dbcfaa6c5,2021-09-18 09:34:53,national
Saint-André-Avellin,"""premier ministre""",4,Le Droit - Groupe Capitales Médias,"Jonathan Roy, Matt Lang, Patrick Norman au Festival western de Saint-André-Avellin",2021-06-08,102,https://www.ledroit.com/arts/jonathan-roy-matt-lang-patrick-norman-au-festival-western-de-saint-andre-avellin-16657083922161a829f2e4b897b1d7db,2021-09-18 09:34:53,national
Saint-André-Avellin,"""premier ministre""",5,CNW Telbec,Opération haute vitesse - Près de 87 M$ pour donner accès à Internet haute vitesse à 10 640 foyers en Outaouais d'ici septembre 2022,2021-04-16,155,https://www.newswire.ca/fr/news-releases/operation-haute-vitesse-pres-de-87-m-pour-donner-acces-a-internet-haute-vitesse-a-10-640-foyers-en-outaouais-d-ici-septembre-2022-894054516.html,2021-09-18 09:34:53,national
Saint-André-Avellin,"""premier ministre""",6,Le Journal de Québec,Une belle façon de redonner l'eau aux citoyens,2021-07-05,75,https://www.journaldequebec.com/2021/07/05/une-belle-facon-de-redonner-leau-aux-citoyens,2021-09-18 09:34:53,national
Saint-André-Avellin,"""premier ministre""",7,Le Droit - Groupe Capitales Médias,Drame de London: Trudeau dénonce une «attaque lâche et islamophobe»,2021-06-08,102,https://www.ledroit.com/actualites/drame-de-london-trudeau-denonce-une-attaque-lache-et-islamophobe-995cfeb6a711730b1aefcca05a7848c7,2021-09-18 09:34:54,national
Saint-André-Avellin,"""premier ministre""",8,Le Droit - Groupe Capitales Médias,"Martine Moïse, veuve du président haïtien assassiné, veut poursuivre la «bataille» de son mari",2021-07-10,70,https://www.ledroit.com/actualites/martine-moise-veuve-du-president-haitien-assassine-veut-poursuivre-la-bataille-de-son-mari-468265ec7d3c46492e8620cfc1cdd436,2021-09-18 09:34:54,national
Saint-André-Avellin,"""premier ministre""",9,Le Droit - Groupe Capitales Médias,Nouvelle gouverneure générale : une nomination qui chicote les francos,2021-07-06,74,https://www.ledroit.com/actualites/nouvelle-gouverneure-generale--une-nomination-qui-chicote-les-francos-6e598f6eba4a181651e273c77c527225,2021-09-18 09:34:54,national
Saint-André-Avellin,"""premier ministre""",10,La Presse,Le barrage qui divise Lac-Simon | La Presse,2021-06-26,84,https://www.lapresse.ca/actualites/2021-06-26/le-barrage-qui-divise-lac-simon.php,2021-09-18 09:34:54,national
Saint-André-Avellin,"""premier ministre""",11,CNW Telbec,Investissement de près de 87 millions de dollars pour donner accès à Internet haute vitesse à plus de 10 640 foyers en Outaouais d'ici septembre 2022,2021-04-16,155,https://www.newswire.ca/fr/news-releases/investissement-de-pres-de-87-millions-de-dollars-pour-donner-acces-a-internet-haute-vitesse-a-plus-de-10-640-foyers-en-outaouais-d-ici-septembre-2022-895797285.html,2021-09-18 09:34:55,national
Saint-André-Avellin,"""premier ministre""",12,Le Droit - Groupe Capitales Médias,Un collectif québécois réclame un accès équitable aux plans d'eau publics,2021-07-25,55,https://www.ledroit.com/actualites/un-collectif-quebecois-reclame-un-acces-equitable-aux-plans-deau-publics-0892f42c506a34986512ab3250de581e,2021-09-18 09:34:55,national
Saint-André-Avellin,"""premier ministre""",13,Le Droit - Groupe Capitales Médias,Famille royale: Trudeau refuse de se prononcer sur les allégations de racisme,2021-03-10,192,https://www.ledroit.com/actualites/famille-royale-trudeau-refuse-de-se-prononcer-sur-les-allegations-de-racisme-7ac2d3d94afed321e42b500b680b70f1,2021-09-18 09:34:55,national
Saint-André-Avellin,"""premier ministre""",14,Le Droit - Groupe Capitales Médias,COVID-19: situation «critique» au CHSLD La Petite-Nation,2021-01-06,255,https://www.ledroit.com/actualites/covid-19/covid-19-situation-critique-au-chsld-la-petite-nation-250b89838b85b0db80126a9693dd3050,2021-09-18 09:34:55,national
Saint-André-Avellin,"""premier ministre""",15,Le Droit - Groupe Capitales Médias,Internet haute vitesse: Xplornet et Cogeco s'entendent avec Ottawa et Québec,2021-05-04,137,https://www.ledroit.com/actualites/petite-nation/internet-haute-vitesse-xplornet-et-cogeco-sentendent-avec-ottawa-et-quebec-353edeeadb9062852a122b5e262cbea6,2021-09-18 09:34:55,national
Saint-André-Avellin,"""premier ministre""",16,Le Droit - Groupe Capitales Médias,"Alors que les esprits s'échauffent, François Legault fait un appel au calme",2021-01-23,238,https://www.ledroit.com/actualites/alors-que-les-esprits-sechauffent-francois-legault-fait-un-appel-au-calme-1277aa46db9ca019e4fae513b9fb47c3,2021-09-18 09:34:55,national
Saint-André-Avellin,"""premier ministre""",17,Le Droit - Groupe Capitales Médias,Le mystère de la bonne de Saint-André-Avellin [PHOTOS],,,https://www.ledroit.com/chroniques/le-mystere-de-la-bonne-de-saint-andre-avellin-photos-68313692c05f27aab2485cafb4f41cd2,2021-09-18 09:34:56,national
Saint-André-Avellin,"""premier ministre""",18,Le Droit - Groupe Capitales Médias,Manifestation à Montréal pour réclamer davantage de logements sociaux,2021-05-08,133,https://www.ledroit.com/actualites/manifestation-a-montreal-pour-reclamer-davantage-de-logements-sociaux-df048d8c79cf0e3a5e18afc20b116d8d,2021-09-18 09:34:56,national
Saint-André-Avellin,"""premier ministre""",19,Le Droit - Groupe Capitales Médias,Vaccination: déjà plus de 3000 rendez-vous donnés en Outaouais,2021-02-25,205,https://www.ledroit.com/actualites/covid-19/vaccination-deja-plus-de-3000-rendez-vous-donnes-en-outaouais-c864f62d9beecb0df792b87d30f5f1de,2021-09-18 09:34:56,national
Saint-André-Avellin,"""premier ministre""",20,Le Droit - Groupe Capitales Médias,Deux nouvelles cours d'école pour la rentrée à Saint-André-Avellin,,,https://www.ledroit.com/actualites/education/deux-nouvelles-cours-decole-pour-la-rentree-a-saint-andre-avellin-90fb7632caeff8b577e761b6ce1d80fb,2021-09-18 09:34:56,national
Saint-André-Avellin,"""premier ministre""",21,Le Droit - Groupe Capitales Médias,"Le mystère de la bonne de Saint-André Avellin, partie 2",,,https://www.ledroit.com/chroniques/denis-gratton/le-mystere-de-la-bonne-de-saint-andre-avellin-partie-2-a3df4f961543546cc9023665ce453523,2021-09-18 09:34:56,national
Saint-André-Avellin,"""premier ministre""",22,Le Droit - Groupe Capitales Médias,"Des dizaines de morts subites à Vancouver, en pleine canicule",2021-06-29,81,https://www.ledroit.com/actualites/des-dizaines-de-morts-subites-a-vancouver-en-pleine-canicule-03037f646c9dc46aa74c35961bbdd914,2021-09-18 09:34:57,national
Saint-André-Avellin,"""premier ministre""",23,Le Droit - Groupe Capitales Médias,Drapeaux en berne pour les 215 enfants de l'ancien pensionnat autochtone,2021-05-31,110,https://www.ledroit.com/actualites/drapeaux-en-berne-pour-les-215-enfants-de-lancien-pensionnat-autochtone-54e937cc72b45e32b29b374f875538a8,2021-09-18 09:34:57,national
Saint-André-Avellin,"""premier ministre""",24,Le Droit - Groupe Capitales Médias,COVID-19: Papineau et la Vallée-de-la-Gatineau passent en zone rouge,2020-12-14,278,https://www.ledroit.com/actualites/covid-19/covid-19-papineau-et-la-vallee-de-la-gatineau-passent-en-zone-rouge-005c903536d1a0abc708c757bc352256,2021-09-18 09:34:57,national
Saint-André-Avellin,"""premier ministre""",25,Le Droit - Groupe Capitales Médias,COVID-19 : les hospitalisations doublent en Outaouais | COVID-19 | Actualités,2021-02-03,227,https://www.ledroit.com/actualites/covid-19/covid-19--les-hospitalisations-doublent-en-outaouais-e360fd83a7649601b4bcf9ccd267c4d9,2021-09-18 09:34:57,national
Saint-André-Avellin,climat,1,Le Droit - Groupe Capitales Médias,Un duel dans Argenteuil- La Petite-Nation ? | Petite-Nation | Actualités,2021-09-04,14,https://www.ledroit.com/actualites/petite-nation/un-duel-dans-argenteuil-la-petite-nation--96d67a9a171452959075e1081f0c3f23,2021-09-18 09:35:36,national
Saint-André-Avellin,climat,2,La Presse,Agriculture régénératrice | La nature est dans la ferme,2021-03-28,174,https://www.lapresse.ca/actualites/2021-03-28/agriculture-regeneratrice/la-nature-est-dans-la-ferme.php,2021-09-18 09:35:36,national
Saint-André-Avellin,climat,3,ICI.Radio-Canada.ca,Les inondations printanières augurent-elles des crues plus importantes à l'avenir? | Crue printanière 2019,,,https://ici.radio-canada.ca/nouvelle/1166868/crues-printanieres-changements-climatiques-ouranos-predictions,2021-09-18 09:35:36,national
Saint-André-Avellin,climat,4,Le Droit - Groupe Capitales Médias,Une porcherie de 6000 têtes à Fassett | Petite-Nation | Actualités,2021-07-27,53,https://www.ledroit.com/actualites/petite-nation/une-porcherie-de-6000-tetes-a-fassett-d9a8ac372ee137d06c9b06d7a00dfc59,2021-09-18 09:35:36,national
Saint-André-Avellin,climat,5,ICI.Radio-Canada.ca,25 maisons touchées par les inondations seront détruites à Saint-André-Avellin | Crue printanière 2019,,,https://ici.radio-canada.ca/nouvelle/1378724/maisons-demolitions-inondations-printemps-saint-andre-avellin-taxes-pont,2021-09-18 09:35:37,national
Saint-André-Avellin,climat,6,Le Droit - Groupe Capitales Médias,Le territoire Mashkiki sera intégré au réseau des aires protégées du Québec,2021-06-10,100,https://www.ledroit.com/actualites/petite-nation/le-territoire-mashkiki-sera-integre-au-reseau-des-aires-protegees-du-quebec-1508a7f747cd0942a60c5970a695c765,2021-09-18 09:35:37,national
Saint-André-Avellin,climat,7,Le Droit - Groupe Capitales Médias,Une course à deux se dessine à la mairie de la Municipalité de Lac-Simon,2021-06-17,93,https://www.ledroit.com/actualites/petite-nation/une-course-a-deux-se-dessine-a-la-mairie-de-la-municipalite-de-lac-simon-6d703ea0ab13d81803c1bacf759cbd9a,2021-09-18 09:35:37,national
Saint-André-Avellin,climat,8,Le Droit - Groupe Capitales Médias,Un barrage qui divise à Lac-Simon | Actualités,2021-06-08,102,https://www.ledroit.com/actualites/un-barrage-qui-divise-a-lac-simon-eb05aeef60e34af36b8476476cd26375,2021-09-18 09:35:37,national
Saint-André-Avellin,climat,9,Le Droit - Groupe Capitales Médias,La région d'Ottawa-Gatineau reçoit sa plus grosse bordée depuis le début de l'hiver,2021-01-16,245,https://www.ledroit.com/actualites/la-region-dottawa-gatineau-recoit-sa-plus-grosse-bordee-depuis-le-debut-de-lhiver-003418d48bd33ce9cac2687f5b93876f,2021-09-18 09:35:37,national
Saint-André-Avellin,climat,10,Le Droit - Groupe Capitales Médias,Le mystère de la bonne de Saint-André-Avellin [PHOTOS],,,https://www.ledroit.com/chroniques/le-mystere-de-la-bonne-de-saint-andre-avellin-photos-68313692c05f27aab2485cafb4f41cd2,2021-09-18 09:35:38,national
Saint-André-Avellin,climat,11,Le Journal de Montréal,[EN IMAGES] Grande marche pour le climat: «il faut qu'on se mobilise et ça presse»,,,https://www.journaldemontreal.com/2019/03/15/grande-marche-pour-le-climat-ce-vendredi,2021-09-18 09:35:38,national
Saint-André-Avellin,climat,12,ICI.Radio-Canada.ca,Saint-André devient Saint-André-de-Kamouraska pour éviter les pertes de temps,2020-10-02,351,https://ici.radio-canada.ca/nouvelle/1737917/toponymie-saint-andre-kamouraska-taxes-paiement-internet,2021-09-18 09:35:38,national
