Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Georges,"""premier ministre""",1,CNW Telbec,Services pour les jeunes de 12 à 25 ans - Une Aire ouverte s'établira à St-Georges en Beauce,2021-09-16,2,https://www.newswire.ca/fr/news-releases/services-pour-les-jeunes-de-12-a-25-ans-une-aire-ouverte-s-etablira-a-st-georges-en-beauce-807411963.html,2021-09-18 09:43:24,national
Saint-Georges,"""premier ministre""",2,ICI.Radio-Canada.ca,Vers une première première ministre au Manitoba,2021-09-17,1,https://ici.radio-canada.ca/nouvelle/1824721/candidats-officiels-course-chefferie-pc,2021-09-18 09:43:25,national
Saint-Georges,"""premier ministre""",3,L'Éclaireur Progrès,Samuel Poulin misera sur la consolidation des grands chantiers,2021-09-15,3,https://www.leclaireurprogres.ca/samuel-poulin-misera-sur-la-consolidation-des-grands-chantiers/,2021-09-18 09:43:25,national
Saint-Georges,"""premier ministre""",4,Cool Fm,Bilan COVID-19 dans les écoles de la Beauce-Etchemin,2021-09-07,11,http://www.coolfm.biz/nouvelle/6396-bilan-covid-19-dans-les-ecoles-de-la-beauce-etchemin,2021-09-18 09:43:25,national
Saint-Georges,"""premier ministre""",5,Le Journal de Montréal,Attentats du 11 septembre: «Une journée qu'on ne veut pas revivre» - Jean Chrétien,2021-09-11,7,https://www.journaldemontreal.com/2021/09/10/resultat-des-elections-jean-chretien-ne-veut-pas-se-mouiller-1,2021-09-18 09:43:25,national
Saint-Georges,"""premier ministre""",6,La Presse,"Jean Bélanger, patron de Premier Tech | « Le Kazakhstan a choisi Vinokourov » ﻿",2021-09-13,5,https://www.lapresse.ca/sports/cyclisme/2021-09-13/jean-belanger-patron-de-premier-tech/le-kazakhstan-a-choisi-vinokourov.php,2021-09-18 09:43:26,national
Saint-Georges,"""premier ministre""",7,Le Journal de Montréal,Visages de notre histoire: portrait de Carrie Derick,2021-09-12,6,https://www.journaldemontreal.com/2021/09/12/visages-de-notre-histoire-portrait-de-carrie-derick,2021-09-18 09:43:26,national
Saint-Georges,"""premier ministre""",8,Le journal de Lévis,O'Toole présente son «contrat» avec la Chaudière-Appalaches,2021-09-11,7,https://www.journaldelevis.com/1298/%C3%80_la_une_aujourd_hui.html?id=81540,2021-09-18 09:43:26,national
Saint-Georges,"""premier ministre""",9,Cool Fm,La SQ enquête sur des graffitis en Beauce qui menacent des politiciens d'un attentat suicide,2021-09-02,16,http://www.coolfm.biz/nouvelle/6375-la-sq-enquete-sur-des-graffitis-en-beauce-qui-menacent-des-politiciens-d-un-attentat-suicide,2021-09-18 09:43:26,national
Saint-Georges,"""premier ministre""",10,Le Peuple Lotbinière,COVID-19 : 43 nouveaux cas confirmés dans la région,2021-09-15,3,https://www.lepeuplelotbiniere.ca/1120/Soci%C3%A9t%C3%A9_.html?id=103701,2021-09-18 09:43:26,national
