Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Henri,accident,1,La Voix du Sud,Sortie de route à Saint-Anselme et accident à Saint-Henri,2021-08-16,33,https://www.lavoixdusud.com/2021/08/16/sortie-de-route-a-saint-anselme-4/,2021-09-18 08:24:59,local
Saint-Henri,accident,2,Radio-Canada.ca,Une décision fatale pour les six motoneigistes morts au Lac-Saint-Jean,2021-08-28,21,https://ici.radio-canada.ca/nouvelle/1819780/tragedie-grande-decharge-hiver-touristes,2021-09-18 08:24:59,local
Saint-Henri,accident,3,Le Quotidien - Groupe Capitales Médias,Accident à Saint-Henri-de-Taillon: l'identité de la victime dévoilée,2021-08-09,40,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-a-saint-henri-de-taillon-lidentite-de-la-victime-devoilee-c868a103a2907d5335dd6faba931b3bc,2021-09-18 08:24:59,local
Saint-Henri,accident,4,Info Dimanche,Un véhicule percute un garage après une poursuite à Rivière-du-Loup | infodimanche.com,2021-08-26,23,https://www.infodimanche.com/actualites/faits-divers/435416/un-vehicule-percute-un-garage-apres-une-poursuite-a-riviere-du-loup,2021-09-18 08:24:59,local
Saint-Henri,accident,5,La Voix du Sud,Collision à Saint-Henri,2021-01-06,255,https://www.lavoixdusud.com/2021/01/06/collision-a-saint-henri-2/,2021-09-18 08:25:00,local
Saint-Henri,accident,6,Le Soleil - Groupe Capitales Médias,Saint-Henri: un homme perd la vie dans un accident de tracteur,2020-11-08,314,https://www.lesoleil.com/actualite/justice-et-faits-divers/saint-henri-un-homme-perd-la-vie-dans-un-accident-de-tracteur-5226ea7f2d44d149618ecf3ed013367d,2021-09-18 08:25:00,local
Saint-Henri,accident,7,Le Quotidien - Groupe Capitales Médias,Accident mortel à Saint-Henri-de-Taillon | Justice et faits divers | Actualités,2021-08-09,40,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-mortel-a-saint-henri-de-taillon-e1d298f66b1419a2941a85d28faf2f4b,2021-09-18 08:25:00,local
Saint-Henri,accident,8,Cool Fm,La SQ a été occupée ces derniers jours en Beauce,2021-09-08,10,http://www.coolfm.biz/nouvelle/6408-la-sq-a-ete-occupee-ces-derniers-jours-en-beauce,2021-09-18 08:25:00,local
Saint-Henri,accident,9,TVA Sports,Affaire Zacarias Zapata: Adonis Stevenson commente,2021-08-31,18,https://www.tvasports.ca/2021/08/31/affaire-zacarias-zapata-adonis-stevenson-commente,2021-09-18 08:25:00,local
Saint-Henri,accident,10,Le Quotidien - Groupe Capitales Médias,Une maison prend feu à Saint-Henri-de-Taillon,2021-05-21,120,https://www.lequotidien.com/actualites/justice-et-faits-divers/une-maison-prend-feu-a-saint-henri-de-taillon-fc6e90bfca3107d92662ea2442127484,2021-09-18 08:25:01,local
