Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Jérôme,"""premier ministre""",1,L’actualité,Chrétien au PLC et Mulroney au PCC: le Bloc n'aura pas recours à Bouchard,2021-09-16,2,https://lactualite.com/actualites/le-bloc-demande-au-federal-de-negocier-des-exemptions-au-buy-american-act/,2021-09-18 09:54:13,national
Saint-Jérôme,"""premier ministre""",2,La Presse,Le Bloc ne fera pas appel à Lucien Bouchard pour qu'il manifeste son appui,2021-09-16,2,https://www.lapresse.ca/elections-federales/2021-09-16/le-bloc-ne-fera-pas-appel-a-lucien-bouchard-pour-qu-il-manifeste-son-appui.php,2021-09-18 09:54:13,national
Saint-Jérôme,"""premier ministre""",3,ICI.Radio-Canada.ca,"Résidences pour aînés : « Québec devrait exiger un chèque d'Ottawa », dit Blanchet | Élections Canada 2021",2021-09-17,1,https://ici.radio-canada.ca/nouvelle/1824797/soins-aines-federal-aide-provinces-juridiction-pandemie,2021-09-18 09:54:13,national
Saint-Jérôme,"""premier ministre""",4,Journal Le Nord,Le CISSS des Laurentides fait bonne figure,2021-08-24,25,https://www.journallenord.com/le-cisss-des-laurentides-fait-bonne-figure/,2021-09-18 09:54:14,national
Saint-Jérôme,"""premier ministre""",5,Mon Matane,Éphémérides du 7 septembre : première pelletée de terre pour l'usine de pâte de la Donohue à Matane en 1988,2021-09-07,11,https://monmatane.com/ephemerides-du-7-septembre-premiere-pelletee-de-terre-pour-lusine-de-pate-de-la-donohue-a-matane-en-1988/,2021-09-18 09:54:14,national
Saint-Jérôme,"""premier ministre""",6,Mon Matane,Éphémérides du 8 septembre : les premiers élèves arrivent à la Polyvalente de Matane en 1969,2021-09-08,10,https://monmatane.com/ephemerides-du-8-septembre-les-premiers-eleves-arrivent-a-la-polyvalente-de-matane-en-1969/,2021-09-18 09:54:14,national
Saint-Jérôme,"""premier ministre""",7,iHeartRadio,Élections fédérales: Jean Rioux de nouveau candidat dans Saint-Jean,2021-08-25,24,https://www.iheartradio.ca/boom/boom-1041/nouvelles/elections-federales-jean-rioux-de-nouveau-candidat-dans-saint-jean-1.15932659,2021-09-18 09:54:14,national
Saint-Jérôme,"""premier ministre""",8,Mon Matane,Éphémérides du 9 septembre : Claude Carrier vend en 2002 son supermarché au à Provigo qui en fera un MAXI,2021-09-09,9,https://monmatane.com/ephemerides-du-9-septembre-claude-carrier-vend-en-2002-son-supermarche-au-a-provigo-qui-en-fera-un-maxi/,2021-09-18 09:54:15,national
Saint-Jérôme,"""premier ministre""",9,L'Express,"INFOGRAPHIES. Régions, âge... Radiographie des 50 millions de Français vaccinés",2021-09-17,1,https://www.lexpress.fr/actualite/societe/sante/infographies-regions-age-radiographie-des-50-millions-de-francais-vaccines_2158213.html,2021-09-18 09:54:15,national
Saint-Jérôme,"""premier ministre""",10,Mon Matane,Éphémérides du 1er septembre : la municipalité de Matane cesse d'exister en 1847,2021-09-01,17,https://monmatane.com/ephemerides-du-1er-septembre-la-municipalite-de-matane-cesse-dexister-en-1847/,2021-09-18 09:54:15,national
Saint-Jérôme,"""premier ministre""",11,Le Journal de Montréal,L'ex-ministre Barrette visé dans une poursuite de 20 M$,2021-06-14,96,https://www.journaldemontreal.com/2021/06/14/lex-ministre-barrette-vise-dans-une-poursuite-de-20m,2021-09-18 09:54:16,national
Saint-Jérôme,"""premier ministre""",12,ICI.Radio-Canada.ca,76 patients sont morts après avoir contracté la COVID-19 à l'hôpital de Saint-Jérôme | Coronavirus,2020-11-23,299,https://ici.radio-canada.ca/nouvelle/1751862/laurentides-hopital-saint-jerome-76-morts-covid-19,2021-09-18 09:54:16,national
