Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Raymond,élection OR campagne,1,Le Quotidien - Groupe Capitales Médias,Campagne électorale: les candidats du NPD satisfaits | Actualités,2021-09-18,0,https://www.lequotidien.com/actualites/campagne-electorale-les-candidats-du-npd-satisfaits-3c0c1329316488ee82601c7afeb9167c,2021-09-18 09:16:56,mixte
Saint-Raymond,élection OR campagne,2,ICI.Radio-Canada.ca,La liste des candidats du Bas-Saint-Laurent aux élections fédérales officialisée mercredi | Élections Canada 2021,2021-08-31,18,https://ici.radio-canada.ca/nouvelle/1820703/liste-election-federal-candidat-est-du-quebec-bas-saint-laurent-gaspesie-cote-nord-iles-de-la-madeleine,2021-09-18 09:16:56,mixte
Saint-Raymond,élection OR campagne,3,Monsaintsauveur,"Élections fédérales 2021 : Karine Simard, Parti libre du Canada | POLITIQUE",2021-09-10,8,https://monsaintsauveur.com/2021/elections-federales-2021-karine-simard-parti-libre-du-canada/,2021-09-18 09:16:57,mixte
Saint-Raymond,élection OR campagne,4,Le Quotidien - Groupe Capitales Médias,Chiots Nordiques: 4500 chiens adoptés et 4000 chiens stérilisés en 10 ans,2021-09-18,0,https://www.lequotidien.com/actualites/chiots-nordiques-4500-chiens-adoptes-et-4000-chiens-sterilises-en-10-ans-516a70fa7ede3fd6f4929dcddf0f0c39,2021-09-18 09:16:57,mixte
Saint-Raymond,élection OR campagne,5,Le journal de Lévis,Élections fédérales : tous les candidats sont maintenant connus,2021-09-01,17,https://www.journaldelevis.com/1067/Politique_.html?id=81466,2021-09-18 09:16:57,mixte
Saint-Raymond,élection OR campagne,6,ICI.Radio-Canada.ca,Pas de nouvelles traces du cycliste porté disparu à Saint-Raymond,2021-08-17,32,https://ici.radio-canada.ca/nouvelle/1816999/cycliste-pavel-brezezinski-vallee-bras-du-nord-saint-raymond,2021-09-18 09:16:57,mixte
Saint-Raymond,élection OR campagne,7,Le Soleil - Groupe Capitales Médias,Un avenir prometteur pour Saint-Raymond | Retour en régions | La Vitrine,2021-03-26,176,https://www.lesoleil.com/la-vitrine/retour-en-regions/un-avenir-prometteur-pour-saint-raymond-9624cae258bf02d5c8e78c179ecc3275,2021-09-18 09:16:57,mixte
Saint-Raymond,élection OR campagne,8,ICI.Radio-Canada.ca,Un homme blessé dans une embardée en VTT à Saint-Raymond,2021-07-27,53,https://ici.radio-canada.ca/nouvelle/1812335/accident-blessure-embardee-portneuf-surete-quebec,2021-09-18 09:16:58,mixte
Saint-Raymond,élection OR campagne,9,Le Journal de Québec,Un septuagénaire blessé dans l'écrasement d'un planeur dans Portneuf,2021-08-14,35,https://www.journaldequebec.com/2021/08/14/ecrasement-dun-planeur-dans-portneuf,2021-09-18 09:16:58,mixte
Saint-Raymond,élection OR campagne,10,Le Journal de Québec,Saint-Raymond de Portneuf: chalet 4 saisons avec vue panoramique sur la rivière Sainte-Anne,2021-06-17,93,https://www.journaldequebec.com/2021/06/17/saint-raymond-de-portneuf-chalet-4-saisons-avec-vue-panoramique-sur-la-riviere-sainte-anne,2021-09-18 09:16:58,mixte
