Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Marie,"""premier ministre""",1,La Presse,Justin Trudeau veut bâtir un Québec et un Canada « plus forts »,2021-09-12,6,https://www.lapresse.ca/elections-federales/2021-09-12/justin-trudeau-veut-batir-un-quebec-et-un-canada-plus-forts.php,2021-09-18 13:46:39,national
Sainte-Marie,"""premier ministre""",2,ICI.Radio-Canada.ca,"Sault-Sainte-Marie, une circonscription à la portée des trois grands partis | Élections Canada 2021",2021-09-06,12,https://ici.radio-canada.ca/nouvelle/1821524/analyse-election-federal-sault-sainte-marie,2021-09-18 13:46:39,national
Sainte-Marie,"""premier ministre""",3,Le journal de Lévis,COVID-19 : 43 nouveaux cas confirmés dans la région,2021-09-15,3,https://www.journaldelevis.com/1438/COVID-19.html?id=81572,2021-09-18 13:46:39,national
Sainte-Marie,"""premier ministre""",4,La Presse,La Presse en Nouvelle-Écosse | Le baril de poudre de la baie Sainte-Marie | La Presse,2021-09-15,3,https://www.lapresse.ca/actualites/chroniques/2021-09-15/la-presse-en-nouvelle-ecosse/le-baril-de-poudre-de-la-baie-sainte-marie.php,2021-09-18 13:46:40,national
Sainte-Marie,"""premier ministre""",5,La Presse,Protection de l'eau douce | Les libéraux promettent un milliard sur dix ans,2021-08-30,19,https://www.lapresse.ca/elections-federales/2021-08-30/protection-de-l-eau-douce/les-liberaux-promettent-un-milliard-sur-dix-ans.php,2021-09-18 13:46:40,national
Sainte-Marie,"""premier ministre""",6,Le Délit,Entrevue avec Steven Guilbeault - Parti libéral du Canada,2021-09-14,4,https://www.delitfrancais.com/2021/09/14/entrevue-avec-steven-guilbeault-parti-liberal-du-canada/,2021-09-18 13:46:40,national
Sainte-Marie,"""premier ministre""",7,Le Journal de Montréal,Le NPD veut renouer avec le Québec,2021-08-27,22,https://www.journaldemontreal.com/2021/08/27/ruth-ellen-brosseau-tente-un-retour-en-politique-federale,2021-09-18 13:46:41,national
Sainte-Marie,"""premier ministre""",8,Le Journal de Montréal,Une plateforme sur le logement décevante et qui rate sa cible,2021-08-25,24,https://www.journaldemontreal.com/2021/08/25/une-plateforme-sur-le-logement-decevante-et-qui-rate-sa-cible,2021-09-18 13:46:41,national
Sainte-Marie,"""premier ministre""",9,Le Journal de Québec,Musée Marius-Barbeau,2021-08-28,21,https://www.journaldequebec.com/2021/08/28/musee-marius-barbeau,2021-09-18 13:46:41,national
Sainte-Marie,"""premier ministre""",10,Le Peuple Lotbinière,À la découverte du patrimoine régional,2021-09-17,1,https://www.lepeuplelotbiniere.ca/1068/Art.html?id=103706,2021-09-18 13:46:41,national
