Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sept-Îles,"""premier ministre""",1,Le Devoir,"Québec persiste et signe sur l'obligation vaccinale, malgré les ruptures de service",2021-09-17,1,https://www.ledevoir.com/societe/sante/633129/coronavirus-quebec-persiste-et-signe-sur-l-obligation-vaccinale-malgre-les-ruptures-de-service,2021-09-18 13:51:03,national
Sept-Îles,"""premier ministre""",2,Ma Côte-Nord,Cégep de Sept-Îles : hausse du nombre d'étudiants en soins infirmiers et en technique d'éducation à la petite enfance.,2021-08-22,27,https://macotenord.com/cegep-de-sept-iles-hausse-du-nombre-detudiants-en-soins-infirmiers-et-en-technique-deducation-a-la-petite-enfance/,2021-09-18 13:51:03,national
Sept-Îles,"""premier ministre""",3,Le Soleil - Groupe Capitales Médias,Où s'en va François Legault? | Jean-Marc Salvet | Chroniques,2021-09-14,4,https://www.lesoleil.com/chroniques/jean-marc-salvet/ou-sen-va-francois-legault-a05ca7478b10289ca543b0a9abcf6c4b,2021-09-18 13:51:03,national
Sept-Îles,"""premier ministre""",4,Ma Côte-Nord,Nouvelles places en garderie sur la Côte-Nord: les entreprises en réclament un peu plus,2021-08-29,20,https://macotenord.com/nouvelles-places-en-garderie-sur-la-cote-nord-les-entreprises-en-reclament-un-peu-plus/,2021-09-18 13:51:03,national
Sept-Îles,"""premier ministre""",5,Ma Côte-Nord,Les Métallos de l'Est appuient le Bloc Québécois,2021-09-14,4,https://macotenord.com/les-metallos-de-lest-appuient-le-bloc-quebecois/,2021-09-18 13:51:03,national
Sept-Îles,"""premier ministre""",6,Le Journal de Québec,"COVID-19: un bilan «encourageant», selon le ministre Dubé",2021-08-30,19,https://www.journaldequebec.com/2021/08/30/covid-19-386-nouveaux-cas-et-aucun-deces-supplementaire-au-quebec,2021-09-18 13:51:04,national
Sept-Îles,"""premier ministre""",7,TVA Nouvelles,Les développements sur le coronavirus du 26 août,2021-08-26,23,https://www.tvanouvelles.ca/2021/08/26/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-09-18 13:51:04,national
Sept-Îles,"""premier ministre""",8,Le Parisien,Covid-19 : le Premier ministre belge hausse le ton contre les non vaccinés,2021-09-17,1,https://www.leparisien.fr/societe/sante/covid-19-deconfinement-progressif-en-martinique-et-en-polynesie-a-partir-de-lundi-suivez-notre-direct-17-09-2021-2HBN6VUDBZCD5CEGHTAWYDJGWM.php,2021-09-18 13:51:04,national
Sept-Îles,"""premier ministre""",9,Le Devoir,Le Parti québécois ne veut plus de la gouvernance par décrets,2021-09-08,10,https://www.ledevoir.com/politique/quebec/630663/le-parti-quebecois-ne-veut-plus-de-la-gouvernance-par-decrets-de-legault,2021-09-18 13:51:04,national
Sept-Îles,"""premier ministre""",10,ICI.Radio-Canada.ca,Horaire à l'heure : les ambulanciers de Matane reviennent à la charge,2021-08-20,29,https://ici.radio-canada.ca/nouvelle/1817861/ambulanciers-matane-horaire-heure-faction,2021-09-18 13:51:05,national
