Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sorel-Tracy,"""premier ministre""",1,Sorel-Tracy Magazine,Le député Émond annonce 354 000$ pour soutenir le Carrefour jeunesse-emploi de Pierre-De Saurel - SorelTracy Magazine,2021-09-09,9,https://www.soreltracy.com/le-depute-emond-annonce-354-000-pour-soutenir-le-carrefour-jeunesse-emploi-de-pierre-de-saurel/,2021-09-18 13:57:50,national
Sorel-Tracy,"""premier ministre""",2,Le journal de Lévis,Traverse Québec-Lévis : un conflit de travail qui perdure,2021-09-17,1,https://www.journaldelevis.com/1120/Soci%C3%A9t%C3%A9_.html?id=81599,2021-09-18 13:57:50,national
Sorel-Tracy,"""premier ministre""",3,Le journal de Lévis,Nouvelles journées de grève à la traverse Québec-Lévis,2021-08-23,26,https://www.journaldelevis.com/1120/Soci%C3%A9t%C3%A9_.html?id=81388,2021-09-18 13:57:50,national
Sorel-Tracy,"""premier ministre""",4,Le Journal de Québec,"11 Septembre 2001, où étiez-vous? Des témoignages à parcourir. | JDQ",,,https://www.journaldequebec.com/11-septembre-2001-il-y-a-20-ans-ou-etiez-vous-tous-les-temoignages,2021-09-18 13:57:51,national
Sorel-Tracy,"""premier ministre""",5,Sorel-Tracy Magazine,"Éthique: « Il est temps de faire le ménage à Ottawa après le passage des libéraux », dit Yanick Caisse",2021-08-18,31,https://www.soreltracy.com/2021/aout/18a5.html,2021-09-18 13:57:51,national
Sorel-Tracy,"""premier ministre""",6,Sorel-Tracy Magazine,"Assouplissement progressif des mesures pour tous, à partir du 28 mai",2021-05-18,123,https://www.soreltracy.com/2021/mai/18m4.html,2021-09-18 13:57:51,national
Sorel-Tracy,"""premier ministre""",7,Sorel-Tracy Magazine,Le Syndicat des enseignantes et des enseignants du Cégep de Sorel-Tracy est en grève le jeudi 13 mai,2021-05-12,129,https://www.soreltracy.com/2021/mai/12m1.html,2021-09-18 13:57:51,national
Sorel-Tracy,"""premier ministre""",8,ICI.Radio-Canada.ca,Une conférence virtuelle entre le nouveau patron de Rio Tinto et François Legault | Industries Saguenay-Lac-Saint-Jean,2021-03-22,180,https://ici.radio-canada.ca/nouvelle/1779185/aluminium-fer-titane-gouvernement,2021-09-18 13:57:52,national
Sorel-Tracy,"""premier ministre""",9,Sorel-Tracy Magazine,Des suggestions pour acheter un livre québécois le 12 août,2021-08-09,40,https://www.soreltracy.com/2021/aout/9a2.html,2021-09-18 13:57:52,national
Sorel-Tracy,"""premier ministre""",10,Le Journal de Montréal,Accident: décès d'un cycliste octogénaire à Sorel-Tracy,2021-04-06,165,https://www.journaldemontreal.com/2021/04/06/un-cycliste-octogenaire-se-trouve-dans-un-etat-critique-a-sorel-tracy,2021-09-18 13:57:52,national
