Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Thetford Mines,accident,1,Courrier Frontenac,Accident dans le secteur Robertsonville à Thetford Mines,2021-09-15,3,https://www.courrierfrontenac.qc.ca/2021/09/15/accident-dans-le-secteur-robertsonville-a-thetford-mines/,2021-09-18 12:32:23,local
Thetford Mines,accident,2,Courrier Frontenac,Un accident de travail fait un blessé,2021-08-30,19,https://www.courrierfrontenac.qc.ca/2021/08/30/un-accident-de-travail-fait-un-blesse/,2021-09-18 12:32:23,local
Thetford Mines,accident,3,Courrier Frontenac,Noyade à Thetford Mines : un père meurt en tentant de sauver son fils,2021-08-30,19,https://www.courrierfrontenac.qc.ca/2021/08/30/noyade-a-thetford-mines-un-pere-meurt-en-tentant-de-sauver-son-fils/,2021-09-18 12:32:24,local
Thetford Mines,accident,4,Le Journal de Québec,Une trotte de 700 km,2021-08-27,22,https://www.journaldequebec.com/2021/08/27/une-trotte-de-700-km,2021-09-18 12:32:24,local
Thetford Mines,accident,5,Le Soleil - Groupe Capitales Médias,Accident mortel à Thetford Mines: Snapchat ou la radio?,2020-11-24,298,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-mortel-a-thetford-mines-snapchat-ou-la-radio-7ac7d3b2ef187b6469adc04b2308b4c7,2021-09-18 12:32:24,local
Thetford Mines,accident,6,ICI.Radio-Canada.ca,Vitesse et alcool seraient en cause dans un accident mortel à Saint-Ferdinand,2021-06-24,86,https://ici.radio-canada.ca/nouvelle/1804172/vehicule-centre-quebec-route-stupefiants-boisson,2021-09-18 12:32:25,local
Thetford Mines,accident,7,Courrier Frontenac,Accident impliquant un poids lourd et une voiture dans le secteur Robertsonville,2021-02-01,229,https://www.courrierfrontenac.qc.ca/2021/02/01/accident-impliquant-un-poids-lourd-et-une-voiture-secteur-robertsonville/,2021-09-18 12:32:25,local
Thetford Mines,accident,8,Courrier Frontenac,Accident à Saint-Jean-de-Brébeuf : décès d'un Thetfordois de 44 ans,2020-11-19,303,https://www.courrierfrontenac.qc.ca/2020/11/19/accident-mortel-st-jean-de-brebeuf-route-267-thetford-mines/,2021-09-18 12:32:25,local
Thetford Mines,accident,9,Courrier Frontenac,Une motocycliste blessée dans un accident à Black Lake,2021-04-15,156,https://www.courrierfrontenac.qc.ca/2021/04/15/une-motocycliste-blessee-dans-un-accident-a-black-lake/,2021-09-18 12:32:25,local
Thetford Mines,accident,10,Courrier Frontenac,Spectaculaire collision entre trois véhicules à Saint-Ferdinand,2021-06-07,103,https://www.courrierfrontenac.qc.ca/2021/06/07/spectaculaire-collision-entre-trois-vehicules-a-saint-ferdinand/,2021-09-18 12:32:25,local
Thetford Mines,accident,11,Courrier Frontenac,Début d'incendie sur la rue Villeneuve,2021-07-23,57,https://www.courrierfrontenac.qc.ca/2021/07/23/debut-dincendie-sur-la-rue-villeneuve/,2021-09-18 12:32:26,local
Thetford Mines,accident,12,Le Journal de Québec,Cellulaire au volant: un père exige qu'on change les choses sur nos routes,2021-05-29,112,https://www.journaldequebec.com/2021/05/29/cellulaire-au-volant-un-pere-exige-quon-change-les-choses-sur-nos-routes,2021-09-18 12:32:26,local
Thetford Mines,accident,13,Radio-Canada.ca,La face sombre du recrutement de travailleurs étrangers temporaires,2021-09-16,2,https://ici.radio-canada.ca/nouvelle/1824317/immigration-quebec-penurie-travailleurs-canada-legault,2021-09-18 12:32:26,local
Thetford Mines,accident,14,Courrier Frontenac,Un automobiliste d'Adstock intercepté à 146 km/h,2021-05-25,116,https://www.courrierfrontenac.qc.ca/2021/05/25/un-automobiliste-dadstock-intercepte-a-146-km-h/,2021-09-18 12:32:26,local
Thetford Mines,accident,15,Courrier Frontenac,Incendie sur la rue Quirion : la cause sous investigation,2021-05-14,127,https://www.courrierfrontenac.qc.ca/2021/05/14/incendie-sur-la-rue-quirion-la-cause-sous-investigation/,2021-09-18 12:32:26,local
Thetford Mines,accident,16,Courrier Frontenac,Incendie d'une résidence centenaire à Black Lake,2021-03-09,193,https://www.courrierfrontenac.qc.ca/2021/03/09/incendie-dune-residence-centenaire-a-black-lake/,2021-09-18 12:32:27,local
Thetford Mines,accident,17,TVA Nouvelles,Deux morts dans un accident de la route près de Thetford Mines,,,https://www.tvanouvelles.ca/2017/07/07/grave-accident-de-la-route-dans-chaudiere-appalaches,2021-09-18 12:32:27,local
Thetford Mines,accident,18,iHeartRadio,Une ado de 17 ans meurt dans un accident à Adstock,,,https://www.iheartradio.ca/energie/energie-quebec/nouvelles/une-ado-de-17-ans-meurt-dans-un-accident-a-adstock-1.8486821,2021-09-18 12:32:27,local
Thetford Mines,accident,19,Courrier Frontenac,Couvre-feu : huit personnes interpellées cette fin de semaine à Thetford Mines,2021-03-15,187,https://www.courrierfrontenac.qc.ca/2021/03/15/couvre-feu-huit-personnes-interpellees-cette-fin-de-semaine-a-thetford-mines/,2021-09-18 12:32:27,local
Thetford Mines,accident,20,Courrier Frontenac,Début d'incendie dans un immeuble de la 10e rue Nord,2021-07-09,71,https://www.courrierfrontenac.qc.ca/2021/07/09/debut-dincendie-dans-un-immeuble-de-la-10e-rue-nord/,2021-09-18 12:32:27,local
Thetford Mines,accident,21,Le Soleil - Groupe Capitales Médias,Accident mortel à Thetford Mines | Justice et faits divers | Actualités,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-mortel-a-thetford-mines-ae682e37b4ce47a12c62d840fa2bbe78,2021-09-18 12:32:27,local
Thetford Mines,accident,22,Courrier Frontenac,Intervention des pompiers chez CVTech-AAB,2021-07-05,75,https://www.courrierfrontenac.qc.ca/2021/07/05/intervention-des-pompiers-chez-cvtech-aab/,2021-09-18 12:32:28,local
Thetford Mines,accident,23,Courrier Frontenac,Un Thetfordois arrêté pour harcèlement criminel,2021-04-29,142,https://www.courrierfrontenac.qc.ca/2021/04/29/un-thetfordois-arrete-pour-harcelement-criminel/,2021-09-18 12:32:28,local
Thetford Mines,accident,24,Courrier Frontenac,Trois arrestations pour invasion de domicile à Thetford Mines,2021-06-22,88,https://www.courrierfrontenac.qc.ca/2021/06/22/trois-arrestations-pour-invasion-de-domicile-a-thetford-mines/,2021-09-18 12:32:28,local
Thetford Mines,accident,25,Courrier Frontenac,Irlande : l'homme qui manquait à l'appel a été retrouvé,2021-07-30,50,https://www.courrierfrontenac.qc.ca/2021/07/30/irlande-homme-qui-manquait-appel-retrouve/,2021-09-18 12:32:28,local
Thetford Mines,décès OR mort,1,Le Journal de Québec,Thetford Mines: un homme de 42 est mort en sauvant son fils de la noyade,2021-08-28,21,https://www.journaldequebec.com/2021/08/28/un-homme-de-42-ans-se-noie-a-thetford-mines,2021-09-18 12:33:08,local
Thetford Mines,décès OR mort,2,TVA Nouvelles,Thetford Mines: un homme de 42 ans est mort en sauvant son fils de la noyade,2021-08-30,19,https://www.tvanouvelles.ca/2021/08/30/thetford-mines-un-homme-de-42-est-mort-en-sauvant-son-fils-de-la-noyade,2021-09-18 12:33:08,local
Thetford Mines,décès OR mort,3,La Presse,Un homme se noie à Thetford Mines,2021-08-28,21,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-08-28/un-homme-se-noie-a-thetford-mines.php,2021-09-18 12:33:08,local
