Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Windsor,accident,1,La Tribune - Groupe Capitales Médias,Sortie de route à Windsor : une motocycliste repose dans un état critique,2021-09-18,0,https://www.latribune.ca/actualites/sortie-de-route-a-windsor--une-motocycliste-repose-dans-un-etat-critique-7916c69bba116b6787b15726f5b15548,2021-09-18 13:05:58,local
Windsor,accident,2,La Tribune - Groupe Capitales Médias,La communauté de l'excavation rend hommage à Pascal Lussier,2021-08-27,22,https://www.latribune.ca/ma-region/la-communaute-de-lexcavation-rend-hommage-a-pascal-lussier-c241068bab203a4aeadcee136872b4a3,2021-09-18 13:05:58,local
Windsor,accident,3,EstriePlus.com,Un camion fait une embardée à Windsor - ACTUALITÉS - Estrie - Estrieplus.com - Le journal Internet,2021-03-11,191,http://m.estrieplus.com/contenu-un_camion_fait_une_embardee_a_windsor-1355-49328.html,2021-09-18 13:05:58,local
Windsor,accident,4,La Tribune - Groupe Capitales Médias,Un automobiliste perd la vie près de Windsor,,,https://www.latribune.ca/actualites/sherbrooke/un-automobiliste-perd-la-vie-pres-de-windsor-03ee65a2f0bf8b55a602801f01eb9475,2021-09-18 13:05:58,local
Windsor,accident,5,La Tribune - Groupe Capitales Médias,Accident mortel à Val-Joli : l'identité de la victime rendue publique,2021-08-19,30,https://www.latribune.ca/actualites/accident-mortel-a-val-joli--lidentite-de-la-victime-rendue-publique-52874463a6b2ec7f0fd38f0fc0d5e46d,2021-09-18 13:05:58,local
Windsor,accident,6,La Tribune - Groupe Capitales Médias,Collision entre un Spyder et un véhicule sur la 249,2021-07-04,76,https://www.latribune.ca/actualites/justice-et-faits-divers/collision-entre-un-spyder-et-un-vehicule-sur-la-249-51f0079c2a6b4a0b954b502b9101c40f,2021-09-18 13:05:59,local
Windsor,accident,7,La Tribune - Groupe Capitales Médias,Un garage rasé par les flammes à Windsor,2021-03-12,190,https://www.latribune.ca/ma-region/un-garage-rase-par-les-flammes-a-windsor-c23078c021a5bd703981f9e065610f81,2021-09-18 13:05:59,local
Windsor,accident,8,iHeartRadio,La SQ dévoile l'identité de l'homme mort dans un accident à Waterville,2021-03-23,179,https://www.iheartradio.ca/energie/energie-estrie/nouvelles/la-sq-devoile-l-identite-de-l-homme-mort-dans-un-accident-a-waterville-1.14824300,2021-09-18 13:05:59,local
Windsor,accident,9,La Tribune - Groupe Capitales Médias,L'identité de la victime de l'accident de St-François est dévoilée,,,https://www.latribune.ca/actualites/sherbrooke/lidentite-de-la-victime-de-laccident-de-st-francois-est-devoilee-f2fd0ec2c9aa392d0aabd781077e07a2,2021-09-18 13:05:59,local
Windsor,accident,10,La Tribune - Groupe Capitales Médias,Accident mortel sur la 10 | Actualités,2021-07-15,65,https://www.latribune.ca/actualites/accident-mortel-sur-la-10-36841f9a12caccee6ac1b7ec330c819d,2021-09-18 13:06:00,local
Windsor,accident,11,La Tribune - Groupe Capitales Médias,Une famille de Windsor perd tout dans un incendie,2021-05-03,138,https://www.latribune.ca/actualites/une-famille-de-windsor-perd-tout-dans-un-incendie-a953bb86714f6c0b544a6ac8570d37c6,2021-09-18 13:06:00,local
Windsor,accident,12,La Tribune - Groupe Capitales Médias,Un quatrième accident en quatre jours sur la 410,2021-06-04,106,https://www.latribune.ca/actualites/un-quatrieme-accident-en-quatre-jours-sur-la-410-977a781bdbc32b62a5da0259450c7f32,2021-09-18 13:06:00,local
Windsor,accident,13,La Tribune - Groupe Capitales Médias,Un motocycliste décède à la suite d'une collision à Windsor,,,https://www.latribune.ca/actualites/justice-et-faits-divers/un-motocycliste-decede-a-la-suite-dune-collision-a-windsor-cee1336e10766db4eb1269d485d55313,2021-09-18 13:06:00,local
Windsor,accident,14,La Tribune - Groupe Capitales Médias,Un jeune Estrien victime d'un accident de travail: « Tout le monde est atterré »,2021-04-29,142,https://www.latribune.ca/actualites/un-jeune-estrien-victime-dun-accident-de-travail--tout-le-monde-est-atterre--2e128302839723ef8a67b4463d155f74,2021-09-18 13:06:00,local
Windsor,accident,15,La Tribune - Groupe Capitales Médias,Deux accidents graves sur les routes de l'Estrie,2021-01-17,244,https://www.latribune.ca/actualites/deux-accidents-graves-sur-les-routes-de-lestrie-c19bdabb7cd2300cbab788bc9144eec2,2021-09-18 13:06:01,local
Windsor,accident,16,Info Dimanche,Accident mortel sur l'autoroute 85 à Rivière-du-Loup | infodimanche.com,2021-07-28,52,https://www.infodimanche.com/actualites/faits-divers/432931/accident-mortel-sur-lautoroute-85-a-riviere-du-loup,2021-09-18 13:06:01,local
Windsor,accident,17,La Tribune - Groupe Capitales Médias,Accident mortel à Ascot Corner: la victime souffrait de démence,2021-06-09,101,https://www.latribune.ca/ma-region/accident-mortel-a-ascot-corner-la-victime-souffrait-de-demence-ea865d661a7339c903825c6b82842437,2021-09-18 13:06:01,local
Windsor,accident,18,La Tribune - Groupe Capitales Médias,Accident mortel sur le 4e Rang à Stoke,2020-10-16,337,https://www.latribune.ca/actualites/justice-et-faits-divers/accident-mortel-sur-le-4e-rang-a-stoke-d9cac11ebdba398cd97ce9b2e939a722,2021-09-18 13:06:01,local
Windsor,accident,19,La Tribune - Groupe Capitales Médias,Accident sur la 10: l'enfant de dix ans succombe à ses blessures,2021-01-18,243,https://www.latribune.ca/actualites/accident-sur-la-10-lenfant-de-dix-ans-succombe-a-ses-blessures-4d2eec269a67fd4000bf7fb85ae23de6,2021-09-18 13:06:01,local
Windsor,accident,20,La Tribune - Groupe Capitales Médias,Accident mortel en motoneige : la coroner réclame une meilleure signalisation,2021-06-16,94,https://www.latribune.ca/actualites/accident-mortel-en-motoneige--la-coroner-reclame-une-meilleure-signalisation-182d62626e9dd2fa51b84d9abe6b11f0,2021-09-18 13:06:02,local
Windsor,accident,21,La Tribune - Groupe Capitales Médias,L'identité de la victime de l'accident de Magog révélée,2021-05-14,127,https://www.latribune.ca/actualites/lidentite-de-la-victime-de-laccident-de-magog-revelee-289bd846f30466b75e78a2b50a990991,2021-09-18 13:06:02,local
Windsor,accident,22,La Tribune - Groupe Capitales Médias,Un adolescent perd la vie dans un accident à Drummondville,2021-06-12,98,https://www.latribune.ca/actualites/un-adolescent-perd-la-vie-dans-un-accident-a-drummondville-43a21f80c2579203fb0399232c5a8a79,2021-09-18 13:06:02,local
Windsor,accident,23,ICI.Radio-Canada.ca,Un homme de 19 ans meurt dans un accident à Mirabel,2021-03-30,172,https://ici.radio-canada.ca/nouvelle/1780979/accident-mortel-autoroute-50-mirabel,2021-09-18 13:06:02,local
Windsor,accident,24,ICI.Radio-Canada.ca,Accident de travail à Saint-Martin : l'adolescent ne portait pas de ceinture de sécurité,2021-06-16,94,https://ici.radio-canada.ca/nouvelle/1802087/accident-travail-rapport-cnesst-saint-martin-beauce,2021-09-18 13:06:02,local
Windsor,accident,25,La Tribune - Groupe Capitales Médias,Un accident au coin King et Jacques-Cartier cause un bouchon de circulation,2021-06-28,82,https://www.latribune.ca/actualites/un-accident-au-coin-king-et-jacques-cartier-cause-un-bouchon-de-circulation-13708c2415b218d44ed0e2a02886e1d7,2021-09-18 13:06:03,local
Windsor,décès OR mort,1,NecrologieCanada,Jim Mundy 2021,2021-09-18,0,https://necrocanada.com/deces-2021/jim-mundy-2021/,2021-09-18 13:06:39,local
Windsor,décès OR mort,2,NecrologieCanada,Gloria Grabijas 2021,2021-09-18,0,https://necrocanada.com/deces-2021/gloria-grabijas-2021/,2021-09-18 13:06:40,local
Windsor,décès OR mort,3,NecrologieCanada,CADORETTE Jean-Paul 1932 2021,2021-09-17,1,https://necrocanada.com/deces-2021/cadorette-jean-paul-1932-2021/,2021-09-18 13:06:40,local
Windsor,décès OR mort,4,NecrologieCanada,George Windsor Dryden October 8 1940 August 28 2021,2021-09-14,4,https://necrocanada.com/deces-2021/george-windsor-dryden-october-8-1940august-28-2021/,2021-09-18 13:06:40,local
Windsor,décès OR mort,5,NecrologieCanada,Sterling Jerry Woodworth 1949 2021,2021-09-17,1,https://necrocanada.com/deces-2021/sterlingjerrywoodworth-1949-2021/,2021-09-18 13:06:40,local
Windsor,décès OR mort,6,NecrologieCanada,BERNIER Lionel 1928 2021,2021-09-13,5,https://necrocanada.com/deces-2021/bernier-lionel-1928-2021/,2021-09-18 13:06:40,local
Windsor,décès OR mort,7,NecrologieCanada,LECLERC Anita 1928 2021,2021-09-14,4,https://necrocanada.com/deces-2021/leclerc-anita-1928-2021/,2021-09-18 13:06:41,local
Windsor,décès OR mort,8,NecrologieCanada,Paula Boufford,2021-09-15,3,https://necrocanada.com/deces-2021/paulaboufford/,2021-09-18 13:06:41,local
Windsor,décès OR mort,9,NecrologieCanada,Giovanna Barbera,2021-09-17,1,https://necrocanada.com/deces-2021/giovannabarbera/,2021-09-18 13:06:41,local
Windsor,décès OR mort,10,NecrologieCanada,Mijo aka Michael Skrinjaric,2021-09-13,5,https://necrocanada.com/deces-2021/mijo-aka-michaelskrinjaric/,2021-09-18 13:06:41,local
Windsor,décès OR mort,11,NecrologieCanada,VACHON BOURBEAU Lauretta 1922 2021,2021-09-02,16,https://necrocanada.com/deces-2021/vachon-bourbeau-lauretta-1922-2021/,2021-09-18 13:06:42,local
Windsor,décès OR mort,12,NecrologieCanada,Nancy L Farrell Darragh 2021,2021-09-15,3,https://necrocanada.com/deces-2021/nancy-l-farrell-darragh-2021/,2021-09-18 13:06:42,local
Windsor,décès OR mort,13,NecrologieCanada,LeVESQUE Carmen 1948 2021,2021-08-20,29,https://necrocanada.com/deces-2021/levesque-carmen-1948-2021/,2021-09-18 13:06:42,local
