Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Acton Vale,élection OR campagne,1,L'Express - Drummondville,Le Brock propose un projet inspiré du stade d'Acton Vale - L'Express,2021-09-30,0,https://www.journalexpress.ca/2021/09/30/brock-projet-stade-leo-asselin-acton-vale-jacques-desautels-baseball-drummondville/,2021-09-30 17:08:04,mixte
Acton Vale,élection OR campagne,2,Le Journal de Montréal,Quelqu'un sait pourquoi on est allé voter?,2021-09-21,9,https://www.journaldemontreal.com/2021/09/21/quelquun-sait-pourquoi-on-est-alle-voter,2021-09-30 17:08:04,mixte
Acton Vale,élection OR campagne,3,L’actualité,Voici la liste des événements des chefs pour le lundi 20 septembre 2021,2021-09-20,10,https://lactualite.com/actualites/voici-la-liste-des-evenements-des-chefs-pour-le-lundi-20-septembre-2021/,2021-09-30 17:08:04,mixte
Acton Vale,élection OR campagne,4,La Voix de l'est - Groupe Capitales Médias,Un nouveau visage à l'hôtel de ville d'Acton Vale,2021-06-24,98,https://www.lavoixdelest.ca/actualites/un-nouveau-visage-a-lhotel-de-ville-dacton-vale-d07ca8535c97d05bdf270bdd50961504,2021-09-30 17:08:04,mixte
Acton Vale,élection OR campagne,5,L'Express - Drummondville,Élections fédérales : toujours pas de candidat libéral dans Drummond - L'Express,2021-08-24,37,https://www.journalexpress.ca/2021/08/24/elections-federales-toujours-pas-de-candidat-liberal-dans-drummond/,2021-09-30 17:08:05,mixte
Acton Vale,élection OR campagne,6,La Releve,Début de la vaccination dans la région à partir du 11 mars,2021-02-26,216,https://www.lareleve.qc.ca/2021/02/26/debut-de-la-vaccination-dans-la-region-a-partir-du-11-mars/,2021-09-30 17:08:05,mixte
Acton Vale,élection OR campagne,7,La Voix de l'est - Groupe Capitales Médias,Un incendie chez Newtech à Acton Vale | Actualités,2021-02-04,238,https://www.lavoixdelest.ca/actualites/un-incendie-chez-newtech-a-acton-vale-d8673918d09b853ccc95f3adca1413f3,2021-09-30 17:08:05,mixte
Acton Vale,élection OR campagne,8,La Voix de l'est - Groupe Capitales Médias,Bob Magnale s'amène à Acton Vale | Affaires,2021-03-06,208,https://www.lavoixdelest.ca/affaires/bob-magnale-samene-a-acton-vale-b224473552294e4da741f9546f71ac2a,2021-09-30 17:08:05,mixte
Acton Vale,élection OR campagne,9,La Voix de l'est - Groupe Capitales Médias,Un cycliste pédalera 2000 km pour les jeunes | Actualités,2021-05-18,135,https://www.lavoixdelest.ca/actualites/un-cycliste-pedalera-2000-km-pour-les-jeunes-b3985af7e80043611ca3746976a6b868,2021-09-30 17:08:05,mixte
Acton Vale,élection OR campagne,10,L'Express - Drummondville,Les élections fédérales officiellement déclenchées - L'Express,2021-08-15,46,https://www.journalexpress.ca/2021/08/15/les-elections-federales-officiellement-declenchees/,2021-09-30 17:08:06,mixte
